,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-06-07,0.0,4.0,252.8,22,141,8.0
1,2019-06-08,0.0,2.0,4.3999999999999995,24,164,5.0
2,2019-06-22,0.0,1.0,7.0,27,178,1.0
3,2019-06-25,0.0,4.0,4.5,20,149,10.0
4,2019-06-26,0.0,3.0,3.85,23,154,4.0
5,2019-06-27,47.13,3.0,5.4,23,154,12.0
6,2019-06-28,49.25,2.0,2.125,19,157,3.0
7,2019-06-29,49.25,0.0,0.0,NULL,NULL,0.0
8,2019-06-30,56.85,1.0,7.6,31,184,25.0
9,2019-07-01,60.68,2.0,3.825,28,174,8.0
10,2019-07-02,60.68,1.0,0.0001,30,195,1.0
11,2019-07-03,62.8,1.0,2.125,26,187,3.0
12,2019-07-04,62.8,0.0,0.0,NULL,NULL,0.0
13,2019-07-05,75.55,1.0,12.75,30,189,5.0
14,2019-07-06,75.55,0.0,0.0,NULL,NULL,0.0
15,2019-07-07,75.55,0.0,0.0,NULL,NULL,0.0
16,2019-07-08,75.55,0.0,0.0,NULL,NULL,0.0
17,2019-07-09,75.55,1.0,0.0001,30,207,1.0
18,2019-07-10,75.55,0.0,0.0,NULL,NULL,0.0
19,2019-07-11,77.25,1.0,1.7,28,178,3.0
20,2019-07-12,77.25,1.0,0.0001,35,261,1.0
21,2019-07-13,77.25,0.0,0.0,NULL,NULL,0.0
22,2019-07-14,77.25,0.0,0.0,NULL,NULL,0.0
23,2019-07-15,77.25,0.0,0.0,NULL,NULL,0.0
24,2019-07-16,77.25,0.0,0.0,NULL,NULL,0.0
25,2019-07-17,77.25,0.0,0.0,NULL,NULL,0.0
26,2019-07-18,77.25,1.0,0.0,29,191,1.0
27,2019-07-19,85.05,1.0,7.8,28,184,12.0
28,2019-07-20,85.05,0.0,0.0,NULL,NULL,0.0
29,2019-07-21,93.54,3.0,10.15,18,146,10.0
30,2019-07-22,93.54,0.0,0.0,NULL,NULL,0.0
31,2019-07-23,113.89,3.0,22.25,20,148,17.0
32,2019-07-24,113.89,0.0,0.0,NULL,NULL,0.0
33,2019-07-25,114.99,2.0,1.1,23,160,11.0
34,2019-07-26,117.19,1.0,2.2,31,194,1.0
35,2019-07-27,117.19,0.0,0.0,NULL,NULL,0.0
36,2019-07-28,117.25,3.0,1.15,22,142,13.0
37,2019-07-29,117.25,0.0,0.0,NULL,NULL,0.0
38,2019-07-30,117.25,0.0,0.0,NULL,NULL,0.0
39,2019-07-31,117.25,1.0,0.0,25,182,1.0
40,2019-08-01,117.25,0.0,0.0,NULL,NULL,0.0
41,2019-08-02,117.25,1.0,0.0001,28,218,1.0
42,2019-08-03,117.25,1.0,0.0,25,168,12.0
43,2019-08-04,117.25,0.0,0.0,NULL,NULL,0.0
44,2019-08-05,117.25,0.0,0.0,NULL,NULL,0.0
45,2019-08-06,117.25,0.0,0.0,NULL,NULL,0.0
46,2019-08-07,117.25,0.0,0.0,NULL,NULL,0.0
47,2019-08-08,117.25,0.0,0.0,NULL,NULL,0.0
48,2019-08-09,117.25,0.0,0.0,NULL,NULL,0.0
49,2019-08-10,117.25,0.0,0.0,NULL,NULL,0.0
50,2019-08-11,117.25,0.0,0.0,NULL,NULL,0.0
51,2019-08-12,117.25,0.0,0.0,NULL,NULL,0.0
52,2019-08-13,119.65,1.0,2.4,24,169,1.0
53,2019-08-14,119.65,0.0,0.0,NULL,NULL,0.0
54,2019-08-15,122.35,1.0,2.7,24,168,1.0
55,2019-08-16,142.2,2.0,24.6,24,163,18.0
56,2019-08-17,142.42,2.0,4.4,18,152,3.0
57,2019-08-18,142.42,0.0,0.0,NULL,NULL,0.0
58,2019-08-19,142.42,0.0,0.0,NULL,NULL,0.0
59,2019-08-20,142.42,0.0,0.0,NULL,NULL,0.0
60,2019-08-21,142.42,0.0,0.0,NULL,NULL,0.0
61,2019-08-22,142.42,0.0,0.0,NULL,NULL,0.0
62,2019-08-23,142.42,0.0,0.0,NULL,NULL,0.0
63,2019-08-24,142.44,1.0,0.4,22,189,1.0
64,2019-08-25,142.44,0.0,0.0,NULL,NULL,0.0
65,2019-08-26,142.44,0.0,0.0,NULL,NULL,0.0
66,2019-08-27,145.24,1.0,2.8,23,169,1.0
67,2019-08-28,145.26,1.0,0.4,23,182,1.0
68,2019-08-29,145.26,0.0,0.0,NULL,NULL,0.0
69,2019-08-30,145.26,0.0,0.0,NULL,NULL,0.0
70,2019-08-31,145.26,0.0,0.0,NULL,NULL,0.0
71,2019-09-01,145.26,0.0,0.0,NULL,NULL,0.0
72,2019-09-02,145.26,0.0,0.0,NULL,NULL,0.0
73,2019-09-03,145.26,0.0,0.0,NULL,NULL,0.0
74,2019-09-04,145.26,1.0,0.0,25,174,4.0
75,2019-09-05,145.26,0.0,0.0,NULL,NULL,0.0
76,2019-09-06,145.26,0.0,0.0,NULL,NULL,0.0
77,2019-09-07,145.26,0.0,0.0,NULL,NULL,0.0
78,2019-09-08,145.26,0.0,0.0,NULL,NULL,0.0
79,2019-09-09,0.0,0.0,0.0,NULL,NULL,0.0
80,2019-09-10,0.0,0.0,0.0,NULL,NULL,0.0
81,2019-09-11,0.0,0.0,0.0,NULL,NULL,0.0
82,2019-09-12,0.0,1.0,0.0001,29,184,1.0
83,2019-09-13,0.0,0.0,0.0,NULL,NULL,0.0
84,2019-09-14,0.0,2.0,0.0001,23,155,3.0
85,2019-09-15,0.0,2.0,0.0001,22,155,2.0
86,2019-09-16,0.0,1.0,0.0001,24,191,1.0
87,2019-09-17,0.0,1.0,0.0001,28,189,1.0
88,2019-09-18,0.0,1.0,0.0001,24,186,1.0
89,2019-09-19,0.0,1.0,0.0001,32,229,1.0
90,2019-09-20,0.0,0.0,0.0,NULL,NULL,0.0
91,2019-09-21,0.0,1.0,2.5,23,170,1.0
92,2019-09-22,0.0,0.0,0.0,NULL,NULL,0.0
93,2019-09-23,0.0,0.0,0.0,NULL,NULL,0.0
94,2019-09-24,0.0,0.0,0.0,NULL,NULL,0.0
95,2019-09-25,0.0,0.0,0.0,NULL,NULL,0.0
96,2019-09-26,147.76,0.0,0.0,NULL,NULL,0.0
97,2019-09-27,147.76,0.0,0.0,NULL,NULL,0.0
98,2019-09-28,147.76,0.0,0.0,NULL,NULL,0.0
99,2019-09-29,147.76,0.0,0.0,NULL,NULL,0.0
100,2019-09-30,147.76,0.0,0.0,NULL,NULL,0.0
101,2019-10-01,147.76,0.0,0.0,NULL,NULL,0.0
102,2019-10-02,147.76,0.0,0.0,NULL,NULL,0.0
103,2019-10-03,147.76,0.0,0.0,NULL,NULL,0.0
104,2019-10-04,147.76,0.0,0.0,NULL,NULL,0.0
105,2019-10-05,147.76,1.0,0.0,24,160,1.0
106,2019-10-06,147.76,0.0,0.0,NULL,NULL,0.0
107,2019-10-07,147.76,0.0,0.0,NULL,NULL,0.0
108,2019-10-08,147.76,1.0,0.0001,26,174,1.0
109,2019-10-09,147.76,1.0,0.0001,34,214,1.0
110,2019-10-10,147.76,2.0,0.0002,28,179,4.0
111,2019-10-11,66.21,1.0,0.0001,39,235,1.0
112,2019-10-12,16.21,1.0,0.0001,36,241,1.0
113,2019-10-13,16.21,0.0,0.0,NULL,NULL,0.0
114,2019-10-14,15.21,3.0,0.0001,22,153,4.0
115,2019-10-15,14.21,0.0,0.0,NULL,NULL,0.0
116,2019-10-16,13.71,2.0,0.0001,31,191,2.0
117,2019-10-17,13.71,1.0,0.0001,40,251,1.0
118,2019-10-18,13.71,1.0,0.0,29,183,2.0
119,2019-10-19,13.71,0.0,0.0,NULL,NULL,0.0
120,2019-10-20,13.71,0.0,0.0,NULL,NULL,0.0
121,2019-10-21,13.71,0.0,0.0,NULL,NULL,0.0
122,2019-10-22,13.71,0.0,0.0,NULL,NULL,0.0
123,2019-10-23,13.71,1.0,0.0001,43,256,1.0
124,2019-10-24,13.71,0.0,0.0,NULL,NULL,0.0
125,2019-10-25,13.71,0.0,0.0,NULL,NULL,0.0
126,2019-10-26,13.71,0.0,0.0,NULL,NULL,0.0
127,2019-10-27,13.71,0.0,0.0,NULL,NULL,0.0
128,2019-10-28,13.71,1.0,0.0001,43,243,1.0
129,2019-10-29,13.71,0.0,0.0,NULL,NULL,0.0
130,2019-10-30,13.71,1.0,0.0,30,177,2.0
131,2019-10-31,13.71,0.0,0.0,NULL,NULL,0.0
132,2019-11-01,13.71,0.0,0.0,NULL,NULL,0.0
133,2019-11-02,13.71,0.0,0.0,NULL,NULL,0.0
134,2019-11-03,13.71,0.0,0.0,NULL,NULL,0.0
135,2019-11-04,13.71,0.0,0.0,NULL,NULL,0.0
136,2019-11-05,13.71,0.0,0.0,NULL,NULL,0.0
137,2019-11-06,13.71,0.0,0.0,NULL,NULL,0.0
138,2019-11-07,13.71,0.0,0.0,NULL,NULL,0.0
139,2019-11-08,13.71,0.0,0.0,NULL,NULL,0.0
140,2019-11-09,13.71,0.0,0.0,NULL,NULL,0.0
141,2019-11-10,13.71,0.0,0.0,NULL,NULL,0.0
142,2019-11-11,13.71,0.0,0.0,NULL,NULL,0.0
143,2019-11-12,13.71,0.0,0.0,NULL,NULL,0.0
144,2019-11-13,13.71,0.0,0.0,NULL,NULL,0.0
145,2019-11-14,13.71,0.0,0.0,NULL,NULL,0.0
146,2019-11-15,13.71,0.0,0.0,NULL,NULL,0.0
147,2019-11-16,13.71,0.0,0.0,NULL,NULL,0.0
148,2019-11-17,13.71,0.0,0.0,NULL,NULL,0.0
149,2019-11-18,13.71,0.0,0.0,NULL,NULL,0.0
150,2019-11-19,13.71,0.0,0.0,NULL,NULL,0.0
