,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-03,0.0,1.0,100.0,19,116,1.0
1,2018-11-05,0.0,5.0,120.0,16,87,6.0
2,2018-11-06,158.59,5.0,210.0,18,88,11.0
3,2018-11-07,543.59,12.0,385.0,13,73,17.0
4,2018-11-08,678.59,3.0,135.0,19,102,8.0
5,2018-11-09,843.59,2.0,165.0,18,111,2.0
6,2018-11-10,863.59,1.0,20.0,19,119,1.0
7,2018-11-11,1053.59,3.0,190.0,17,108,4.0
8,2018-11-12,1158.59,6.0,105.0,15,98,9.0
9,2018-11-13,1223.59,2.0,65.0,17,113,4.0
10,2018-11-14,1458.59,5.0,235.0,15,94,7.0
11,2018-11-15,1823.59,6.0,375.0,13,92,30.0
12,2018-11-16,2143.59,2.0,320.0,17,115,2.0
13,2018-11-17,2663.59,3.0,520.0,15,102,5.0
14,2018-11-18,2988.59,3.0,325.0,15,99,3.0
15,2018-11-19,3018.59,2.0,30.0,17,115,2.0
16,2018-11-20,3198.59,2.0,180.0,15,117,2.0
17,2018-11-21,3198.59,0.0,0.0,NULL,NULL,0.0
18,2018-11-22,3178.59,0.0,0.0,NULL,NULL,0.0
19,2018-11-23,3353.59,3.0,175.0,15,106,3.0
20,2018-11-24,3353.59,0.0,0.0,NULL,NULL,0.0
21,2018-11-25,3358.59,1.0,5.0,16,126,1.0
22,2018-11-26,3358.59,0.0,0.0,NULL,NULL,0.0
23,2018-11-27,3538.59,3.0,180.0,13,109,5.0
24,2018-11-28,3553.59,3.0,15.0,15,118,3.0
25,2018-11-29,3558.59,2.0,5.0,18,122,2.0
26,2018-11-30,3963.59,7.0,0.0,14,101,16.0
27,2018-12-01,3973.59,2.0,10.0,17,125,2.0
28,2018-12-02,3973.59,0.0,0.0,NULL,NULL,0.0
29,2018-12-03,3973.59,0.0,0.0,NULL,NULL,0.0
30,2018-12-04,3973.59,1.0,0.0,18,87,1.0
31,2018-12-05,3973.59,0.0,0.0,NULL,NULL,0.0
32,2018-12-06,3973.59,1.0,0.0,17,88,1.0
33,2018-12-07,3973.59,1.0,0.0,22,143,1.0
34,2018-12-08,3973.59,0.0,0.0,NULL,NULL,0.0
35,2018-12-09,3973.59,0.0,0.0,NULL,NULL,0.0
36,2018-12-10,3973.59,0.0,0.0,NULL,NULL,0.0
37,2018-12-11,3973.59,0.0,0.0,NULL,NULL,0.0
38,2018-12-15,3983.59,1.0,10.0,20,133,1.0
39,2018-12-19,3983.59,1.0,0.0,28,178,1.0
40,2018-12-21,3993.59,1.0,10.0,25,149,1.0
41,2018-12-27,3993.59,2.0,0.0,26,161,3.0
42,2019-01-10,3993.59,3.0,0.0,38,160,4.0
43,2019-01-12,3993.59,1.0,0.0,38,147,1.0
44,2019-01-13,4023.59,2.0,30.0,41,145,2.0
45,2019-01-17,4043.59,2.0,20.0,43,148,2.0
46,2019-01-18,4053.59,1.0,10.0,43,148,1.0
47,2019-01-19,4053.59,1.0,0.0,45,148,1.0
48,2019-01-21,4063.59,1.0,10.0,51,164,1.0
49,2019-01-24,4023.59,2.0,20.0,46,157,77.0
50,2019-02-19,4023.59,2.0,0.0,48,179,2.0
51,2019-02-20,4023.59,2.0,0.0,29,108,2.0
52,2019-02-21,4023.59,3.0,0.0,26,106,8.0
53,2019-02-23,4023.5885,2.0,0.0,28,106,21.0
54,2019-02-24,4023.5885,3.0,0.0,25,99,45.0
55,2019-02-25,4023.59,4.0,0.0,23,106,25.0
56,2019-02-26,4023.59,2.0,0.0,27,104,2.0
57,2019-02-27,4023.74,4.0,3.0,24,110,18.0
58,2019-02-28,4023.74,4.0,0.0,26,141,50.0
59,2019-03-02,4037.74,3.0,14.0,29,141,3.0
60,2019-03-04,37.74,3.0,0.0,30,148,7.0
61,2019-03-05,38.79,4.0,21.0,29,136,50.0
62,2019-03-06,38.79,2.0,0.0,34,161,4.0
63,2019-03-07,38.79,2.0,0.0,33,158,4.0
64,2019-03-08,38.79,3.0,0.0,28,144,14.0
65,2019-03-11,38.79,2.0,0.0,35,155,10.0
66,2019-03-12,38.79,2.0,0.0,32,152,18.0
67,2019-03-13,0.0,2.0,0.0,34,151,2.0
68,2019-03-14,38.7886,4.0,0.0,33,136,8.0
69,2019-03-15,38.7886,2.0,0.0,34,165,2.0
70,2019-03-16,38.7886,3.0,0.0,30,140,7.0
71,2019-03-17,39.6966,3.0,18.0,29,133,7.0
72,2019-03-18,40.1966,2.0,10.0,35,155,19.0
73,2019-03-19,40.1966,3.0,0.0,34,151,4.0
74,2019-03-20,42.7,5.0,50.0,29,136,25.0
75,2019-03-21,42.7,4.0,0.0,29,136,54.0
76,2019-03-22,42.7,4.0,0.0,29,140,15.0
77,2019-03-23,42.7,0.0,0.0,NULL,NULL,0.0
