,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-07,0.0,42.0,50.0,12,72,64.0
1,2019-09-08,0.0,76.0,0.0,12,62,174.0
2,2019-09-09,0.0,63.0,0.0,12,69,153.0
3,2019-09-10,0.0,68.0,0.0,12,65,195.0
4,2019-09-11,0.0,56.0,0.0,12,68,163.0
5,2019-09-12,0.0,52.0,0.0,12,70,133.0
6,2019-09-13,0.0,54.0,0.0,12,70,106.0
7,2019-09-14,0.0,70.0,0.0,12,65,160.0
8,2019-09-15,0.0,65.0,0.0,12,65,140.0
9,2019-09-16,0.0,58.0,0.0,12,70,172.0
10,2019-09-17,0.0,59.0,0.0,12,73,153.0
11,2019-09-18,0.0,59.0,0.0002,12,70,186.0
12,2019-09-19,0.0,71.0,0.0001,12,67,160.0
13,2019-09-20,0.0,51.0,0.0,12,67,115.0
14,2019-09-21,0.0,47.0,0.0,12,68,95.0
15,2019-09-22,0.0,46.0,0.0,12,67,82.0
16,2019-09-23,0.0,43.0,0.0,12,73,75.0
17,2019-09-24,0.0,33.0,0.0,12,82,66.0
18,2019-09-25,0.0,37.0,0.0,12,78,60.0
19,2019-09-26,41.83,35.0,0.0,12,76,63.0
20,2019-09-27,41.83,44.0,0.0,12,72,76.0
21,2019-09-28,41.83,40.0,0.0,12,68,91.0
22,2019-09-29,41.83,36.0,0.0,12,74,62.0
23,2019-09-30,20.92,39.0,0.0,13,69,74.0
24,2019-10-01,20.92,42.0,0.0,12,65,73.0
25,2019-10-02,20.92,39.0,0.0,12,69,68.0
26,2019-10-03,20.92,34.0,0.0,11,60,62.0
27,2019-10-04,20.92,43.0,0.0,11,66,108.0
28,2019-10-05,20.92,29.0,0.0,11,68,61.0
29,2019-10-06,20.92,27.0,0.0,11,64,57.0
30,2019-10-07,20.92,29.0,0.0,11,65,56.0
31,2019-10-08,20.92,28.0,0.0,11,74,65.0
32,2019-10-09,20.92,31.0,0.0001,11,75,70.0
33,2019-10-10,20.92,33.0,0.0002,11,74,76.0
34,2019-10-11,20.92,30.0,0.0,12,79,84.0
35,2019-10-12,20.92,31.0,0.0002,11,80,76.0
36,2019-10-13,20.92,32.0,0.0001,11,71,71.0
37,2019-10-14,20.92,36.0,0.0,11,69,72.0
38,2019-10-15,20.92,40.0,0.0,11,70,80.0
39,2019-10-16,20.92,44.0,0.0001,12,68,108.0
40,2019-10-17,20.92,36.0,0.0001,12,72,94.0
41,2019-10-18,20.92,54.0,0.0,12,61,117.0
42,2019-10-19,20.92,49.0,0.0,12,62,131.0
43,2019-10-20,20.92,53.0,0.0,13,62,115.0
44,2019-10-21,20.92,48.0,0.0,13,68,154.0
45,2019-10-22,20.92,52.0,0.0,14,67,169.0
46,2019-10-23,20.92,54.0,0.0001,13,66,149.0
47,2019-10-24,20.92,43.0,0.0,14,70,101.0
48,2019-10-25,20.92,39.0,0.0,12,61,136.0
49,2019-10-26,20.92,45.0,0.0,12,60,138.0
50,2019-10-27,20.92,43.0,0.0,12,59,165.0
51,2019-10-28,20.92,48.0,0.0001,12,60,170.0
52,2019-10-29,20.92,39.0,0.0,13,73,102.0
53,2019-10-30,20.92,37.0,0.0,14,73,76.0
54,2019-10-31,20.92,50.0,0.0,13,67,148.0
55,2019-11-01,20.92,38.0,0.0,14,73,92.0
56,2019-11-02,20.92,30.0,0.0,9,49,79.0
57,2019-11-03,20.92,24.0,0.0,9,52,91.0
58,2019-11-04,20.92,41.0,0.0,8,40,133.0
