,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-31,0.0,25.0,8.917200000000001,15,84,346.0
1,2019-11-01,0.0,41.0,10.943999999999997,11,68,222.0
2,2019-11-02,0.0,25.0,5.587200000000002,10,53,143.0
3,2019-11-03,0.0,15.0,3.0911999999999997,12,66,86.0
4,2019-11-04,0.0,9.0,2.34,14,80,66.0
5,2019-11-05,0.21,22.0,5.943,10,54,109.0
6,2019-11-06,0.36,28.0,11.266200000000001,10,48,161.0
7,2019-11-07,1.56,24.0,9.741,10,48,129.0
8,2019-11-08,0.84,17.0,4.4838,13,62,93.0
9,2019-11-09,0.27,19.0,1.029,11,55,60.0
10,2019-11-10,1.5,19.0,2.6778,11,53,68.0
11,2019-11-11,0.21,8.0,1.1118,16,81,32.0
12,2019-11-12,0.2,11.0,0.9708,16,74,69.0
13,2019-11-13,0.18,7.0,2.5644000000000005,16,87,108.0
14,2019-11-14,0.34,16.0,1.6241999999999999,10,64,134.0
15,2019-11-15,1.67,13.0,2.3148,11,71,111.0
16,2019-11-16,0.45,15.0,3.8202,11,67,99.0
17,2019-11-17,0.09,9.0,0.489,13,81,44.0
18,2019-11-18,0.03,15.0,1.3649999999999998,11,67,81.0
19,2019-11-19,0.18,14.0,0.702,14,67,51.0
20,2019-11-20,0.15,10.0,2.1372,15,77,65.0
21,2019-11-21,0.42,10.0,0.8819999999999999,14,75,70.0
22,2019-11-22,0.3,13.0,3.102,14,69,188.0
23,2019-11-23,0.57,16.0,4.5468,11,57,127.0
24,2019-11-24,0.12,14.0,0.402,13,61,53.0
25,2019-11-25,0.06,11.0,0.5574000000000001,14,74,65.0
26,2019-11-26,0.93,11.0,0.9846000000000001,16,72,93.0
27,2019-11-27,0.07,10.0,0.0546,17,73,145.0
28,2019-11-28,3.42,15.0,6.271200000000005,13,62,184.0
29,2019-11-29,0.03,9.0,0.5646,18,81,117.0
30,2019-11-30,0.0,11.0,4.699200000000001,14,71,88.0
31,2019-12-01,0.51,10.0,1.3710000000000002,15,72,101.0
32,2019-12-02,1.77,36.0,9.049199999999999,10,45,353.0
33,2019-12-03,1.69,37.0,8.0418,9,43,242.0
34,2019-12-04,1.59,39.0,11.098800000000002,9,45,279.0
35,2019-12-05,0.87,36.0,3.540599999999999,9,43,142.0
36,2019-12-06,1.38,11.0,2.9549999999999996,15,69,102.0
37,2019-12-07,0.18,9.0,0.21599999999999997,15,70,28.0
38,2019-12-08,0.12,12.0,1.1784,13,60,155.0
39,2019-12-09,0.18,15.0,1.1261999999999999,12,60,81.0
40,2019-12-10,0.06,32.0,4.3332,11,46,320.0
41,2019-12-11,0.34,49.0,7.5924,10,36,436.0
42,2019-12-12,2.76,49.0,14.062199999999995,10,41,694.0
43,2019-12-13,1.8,37.0,24.2406,10,39,432.0
44,2019-12-14,1.53,56.0,15.105000000000006,9,33,456.0
45,2019-12-15,1.92,49.0,19.2768,9,35,766.0
46,2019-12-16,2.79,56.0,15.6816,9,35,631.0
47,2019-12-17,2.11,43.0,39.78419999999999,10,42,481.0
48,2019-12-18,1.68,40.0,12.666000000000004,10,38,577.0
49,2019-12-19,3.24,51.0,17.3628,10,35,361.0
50,2019-12-20,1.56,50.0,10.347599999999998,11,34,304.0
51,2019-12-21,1.38,41.0,6.084,11,40,346.0
52,2019-12-22,1.98,43.0,15.556199999999999,10,35,305.0
53,2019-12-23,1.86,38.0,11.062800000000003,9,36,299.0
54,2019-12-24,1.8,44.0,20.4678,9,36,314.0
55,2019-12-25,1.68,46.0,15.385200000000003,10,33,289.0
56,2019-12-26,1.38,35.0,7.370400000000001,11,42,281.0
57,2019-12-27,1.99,40.0,18.058799999999994,10,42,418.0
58,2019-12-28,3.91,49.0,28.5624,9,37,638.0
59,2019-12-29,2.1,45.0,16.5708,10,39,410.0
60,2019-12-30,0.06,49.0,20.1192,9,35,409.0
61,2019-12-31,1.56,47.0,17.472600000000003,9,37,362.0
62,2020-01-01,1.8,41.0,22.660200000000003,10,39,347.0
63,2020-01-02,1.98,37.0,12.367799999999997,10,41,335.0
64,2020-01-03,0.66,47.0,12.460800000000006,9,37,332.0
65,2020-01-04,1.81,43.0,15.035400000000003,9,41,310.0
66,2020-01-05,1.72,19.0,5.7336,13,54,153.0
67,2020-01-06,1.68,25.0,4.1706,10,44,114.0
68,2020-01-07,1.68,35.0,5.181,10,42,212.0
69,2020-01-08,1.69,35.0,5.0472,10,41,346.0
70,2020-01-09,1.68,36.0,7.1952,10,44,227.0
71,2020-01-10,1.71,36.0,13.732200000000002,10,41,329.0
72,2020-01-11,1.95,40.0,12.987,9,37,242.0
73,2020-01-12,1.71,35.0,11.359800000000005,10,43,384.0
