,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-03,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-06,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-01-07,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-01-09,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-01-15,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-01-17,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-01-19,0.0,3.0,6.0,43,146,156.0
7,2019-01-20,119.73,3.0,0.0,46,154,52.0
8,2019-01-21,116.73,14.0,95.0,41,151,455.0
9,2019-01-22,116.54,9.0,12.0,42,147,262.0
10,2019-01-23,115.4,6.0,7.0,40,153,92.0
11,2019-01-24,117.25,4.0,8.0,44,155,70.0
12,2019-01-25,115.25,7.0,10.0,37,146,98.0
13,2019-01-26,116.06,2.0,3.0,40,152,68.0
14,2019-01-27,115.78,6.0,7.0,36,152,64.0
15,2019-01-28,113.51,47.0,127.0,27,123,1532.0
16,2019-01-29,114.18,34.0,110.0,27,137,732.0
17,2019-01-30,183.67,24.0,744.0,33,148,860.0
18,2019-01-31,182.69,18.0,26.0,34,155,380.0
19,2019-02-01,237.4,12.0,123.0,40,156,682.0
20,2019-02-02,224.31,13.0,512.0,39,157,1079.0
21,2019-02-03,225.09,11.0,122.0,39,153,381.0
22,2019-02-04,225.35,8.0,17.0,44,160,81.0
23,2019-02-05,225.18,6.0,3.0,44,165,40.0
24,2019-02-06,224.99,6.0,6.0,47,165,53.0
25,2019-02-07,224.86,6.0,3.0,45,160,43.0
26,2019-02-08,224.84,3.0,1.0,48,164,36.0
27,2019-02-09,207.98,7.0,38.0,44,160,236.0
28,2019-02-10,207.96,5.0,0.0,47,166,37.0
29,2019-02-11,428.06,22.0,17799.0,37,154,12277.0
30,2019-02-12,430.23,21.0,27.0,40,154,265.0
31,2019-02-13,430.1,10.0,2.0,41,168,74.0
32,2019-02-14,432.47,4.0,54.0,47,174,143.0
33,2019-02-15,441.95,10.0,137.0,45,179,167.0
34,2019-02-16,441.91,7.0,1.0,44,170,49.0
35,2019-02-17,440.55,11.0,24.0,41,165,145.0
36,2019-02-18,440.61,6.0,1.0,42,177,46.0
37,2019-02-19,440.4,4.0,0.0,46,177,31.0
38,2019-02-20,455.92,5.0,3563.0,26,105,2406.0
39,2019-02-21,479.06,17.0,228.0,20,93,428.0
40,2019-02-22,485.8,16.0,678.0,20,97,5792.0
41,2019-02-23,497.9964,14.0,583.0,20,94,5240.0
42,2019-02-24,555.2435,14.0,300.0,19,90,412.0
43,2019-02-25,552.97,24.0,38.0,18,92,149.0
44,2019-02-26,554.97,9.0,268.0,22,97,579.0
45,2019-02-27,554.97,12.0,12.0,19,102,193.0
46,2019-02-28,554.71,7.0,15.0,24,124,113.0
47,2019-03-01,554.13,7.0,15.0,22,119,145.0
48,2019-03-02,551.11,7.0,52.0,22,118,236.0
49,2019-03-03,550.76,12.0,64.0,21,110,464.0
50,2019-03-04,550.83,10.0,242.0,22,115,2978.0
51,2019-03-05,550.52,9.0,12.0,21,115,148.0
52,2019-03-06,550.5,6.0,24.0,24,118,225.0
53,2019-03-07,549.71,12.0,128.0,22,108,1091.0
54,2019-03-08,554.13,13.0,359.0,22,110,1247.0
55,2019-03-09,564.13,11.0,283.0,23,109,1273.0
56,2019-03-10,557.82,14.0,1215.0,20,107,4572.0
57,2019-03-11,560.37,15.0,842.0,20,103,6691.0
58,2019-03-12,554.79,25.0,1989.0,20,99,5420.0
59,2019-03-13,544.61,250.0,1870.0,13,54,6615.0
60,2019-03-14,593.0531,354.0,15157.0,11,47,10103.0
61,2019-03-15,557.5506,86.0,8661.0,15,67,10929.0
62,2019-03-16,561.6024,571.0,5611.0,9,36,18955.0
63,2019-03-17,552.2891,684.0,9246.0,9,35,31359.0
64,2019-03-18,639.5202,185.0,8735.0,15,62,39492.0
65,2019-03-19,646.4823,210.0,4920.0,15,61,29718.0
66,2019-03-20,382.08,439.0,13843.0,11,45,24308.0
67,2019-03-21,450.33,236.0,15403.0,13,53,15435.0
68,2019-03-22,427.62,458.0,4727.0,11,43,14264.0
69,2019-03-23,535.19,275.0,3185.0,12,49,10365.0
70,2019-03-24,603.21,70.0,2506.0,18,76,17557.0
71,2019-03-25,534.39,210.0,13358.0,13,56,21196.0
72,2019-03-26,559.63,264.0,23265.0,12,52,29185.0
73,2019-03-27,704.84,275.0,22106.0,12,51,25969.0
74,2019-03-28,743.12,298.0,11889.0,12,51,22865.0
75,2019-03-29,726.9,1533.0,822.0,6,18,5015.0
76,2019-03-30,738.39,495.0,1100.0,9,41,18417.0
77,2019-03-31,721.99,495.0,389.32400000000183,6,42,3543.0
78,2019-04-01,698.78,209.0,1004.8558000000005,9,56,3570.0
79,2019-04-02,679.86,566.0,478.20420000000047,4,39,3488.0
80,2019-04-03,687.45,285.0,5756.865500000415,8,54,21278.0
81,2019-04-04,714.36,198.0,2781.0712999999955,9,58,20484.0
82,2019-04-05,720.43,182.0,7804.829000000034,7,53,48714.0
83,2019-04-06,733.05,192.0,3297.6482000000124,9,54,24347.0
84,2019-04-07,721.65,169.0,8233.699799999595,9,55,28385.0
85,2019-04-08,686.72,213.0,4834.518999999992,9,56,17965.0
86,2019-04-09,729.13,180.0,3127.735199999981,6,52,30451.0
87,2019-04-10,699.29,241.0,6675.841399999956,7,51,24997.0
88,2019-04-11,677.26,244.0,10577.702199999807,8,51,39215.0
89,2019-04-12,634.26,195.0,7359.423600000032,8,54,41608.0
90,2019-04-13,718.64,193.0,3644.110100000046,8,52,23781.0
91,2019-04-14,721.11,267.0,5855.571200000036,7,46,38534.0
92,2019-04-15,691.26,210.0,12979.77629999966,8,56,58574.0
93,2019-04-16,766.26,240.0,6222.715399999921,9,51,27171.0
94,2019-04-17,802.29,426.0,5375.181600000225,6,41,57588.0
95,2019-04-18,694.19,295.0,4976.406900000049,8,46,28332.0
96,2019-04-19,720.2,195.0,8654.15929999986,8,56,48561.0
97,2019-04-20,686.45,209.0,4656.098299999836,7,52,29085.0
98,2019-04-21,721.93,200.0,334.8178999999983,7,51,3598.0
99,2019-04-22,718.15,220.0,959.7214000000001,7,51,4802.0
100,2019-04-23,717.31,174.0,33.240800000000014,7,55,932.0
101,2019-04-24,717.66,193.0,142.72939999999997,7,54,1238.0
102,2019-04-25,712.32,215.0,1033.8428,7,52,4046.0
103,2019-04-26,707.13,138.0,3025.0400999999997,7,62,8576.0
104,2019-04-27,702.86,108.0,551.8802999999974,7,62,6217.0
105,2019-04-28,706.52,91.0,595.1825000000106,7,64,6082.0
106,2019-04-29,708.59,100.0,101.54700000000015,7,67,1224.0
107,2019-04-30,709.92,86.0,75.75290000000001,7,68,1322.0
108,2019-05-01,710.95,81.0,51.82620000000004,7,66,816.0
109,2019-05-02,709.54,66.0,28.068099999999994,8,76,659.0
110,2019-05-03,709.29,46.0,39.8294,9,81,471.0
111,2019-05-04,707.29,74.0,20.18540000000001,7,71,405.0
112,2019-05-05,712.49,65.0,73.443,9,75,634.0
113,2019-05-06,706.92,69.0,182.95609999999706,9,76,3748.0
114,2019-05-07,711.4,60.0,88.66499999999998,11,83,864.0
115,2019-05-08,711.91,48.0,22.949500000000008,11,85,687.0
116,2019-05-09,708.48,97.0,25.007100000000005,8,65,384.0
117,2019-05-10,709.07,53.0,7.334999999999997,11,82,200.0
118,2019-05-11,708.47,63.0,18.505799999999997,9,76,351.0
119,2019-05-12,708.27,40.0,16.754200000000004,11,84,220.0
120,2019-05-13,707.27,40.0,35.350000000000016,11,82,234.0
121,2019-05-14,709.48,54.0,66.35000000000005,11,75,554.0
122,2019-05-15,710.02,22.0,29.549999999999958,13,99,916.0
123,2019-05-16,709.47,20.0,8.171700000000001,11,97,88.0
124,2019-05-17,709.23,29.0,3.7510000000000003,11,89,92.0
125,2019-05-18,709.7,18.0,5.027900000000001,14,95,105.0
