,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-10-24,0.0,1.0,0.0,18,110,1.0
1,2018-11-25,0.0,1.0,0.0,16,126,1.0
2,2018-11-28,0.0,1.0,0.0,20,146,1.0
3,2019-04-02,0.0,1.0,43.0,32,201,3.0
4,2019-04-03,0.0,3.0,0.0,25,159,13.0
5,2019-04-05,0.0,1.0,3.0,34,184,2.0
6,2019-04-06,0.0,8.0,0.0,23,129,23.0
7,2019-04-07,0.0,3.0,0.0,24,149,8.0
8,2019-04-08,0.0,2.0,0.0,31,166,7.0
9,2019-04-09,0.0,2.0,0.0,30,169,5.0
10,2019-04-10,0.0,1.0,0.0,37,208,1.0
11,2019-04-11,0.0,8.0,1.0,23,128,22.0
12,2019-04-12,0.0,13.0,0.0,21,116,33.0
13,2019-04-13,0.0,6.0,0.0,25,134,18.0
14,2019-04-14,0.0,10.0,0.0,21,116,29.0
15,2019-04-15,0.0,6.0,0.0,26,139,16.0
16,2019-04-16,0.0,14.0,0.0,23,114,36.0
17,2019-04-17,0.0,9.0,0.0,25,133,26.0
18,2019-04-18,0.0,11.0,0.0,23,123,22.0
19,2019-04-19,0.0,13.0,0.0,20,118,20.0
20,2019-04-20,0.0,11.0,0.0,19,116,14.0
21,2019-04-21,0.0,5.0,0.0,22,140,11.0
22,2019-04-22,0.3,8.0,0.0,24,133,17.0
23,2019-04-23,0.3,13.0,0.0,17,117,26.0
24,2019-04-24,0.3,10.0,0.0,15,116,17.0
25,2019-04-25,0.3,13.0,0.3,16,116,65.0
26,2019-04-26,0.3,6.0,0.0,23,136,13.0
27,2019-04-27,0.3,5.0,0.0,23,142,8.0
28,2019-04-28,0.3,10.0,0.0,18,119,16.0
29,2019-04-29,0.3,7.0,0.0,19,130,9.0
30,2019-04-30,0.3,9.0,0.0,17,124,18.0
31,2019-05-01,0.3,9.0,0.0,16,122,15.0
32,2019-05-02,0.3,30.0,0.0,11,91,78.0
33,2019-05-03,0.3,39.0,0.0,10,84,89.0
34,2019-05-04,0.3,23.0,0.0,12,93,24.0
35,2019-05-05,0.3,12.0,0.0,16,113,22.0
36,2019-05-06,0.3,46.0,0.0,10,85,48.0
37,2019-05-07,0.3,11.0,0.0,18,114,19.0
38,2019-05-08,0.3,9.0,0.0,22,128,14.0
39,2019-05-09,0.3,3.0,0.0,29,162,4.0
40,2019-05-10,0.3,44.0,0.0,12,86,50.0
41,2019-05-11,0.3,11.0,0.0,15,115,23.0
42,2019-05-12,0.3,12.0,0.0,15,110,45.0
43,2019-05-13,2.3,5.0,2.0,20,134,12.0
44,2019-05-14,6.3,44.0,4.0,12,84,58.0
45,2019-05-15,6.3,16.0,0.0,16,109,30.0
