,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-07-16,0.0,5.0,29.0,16,139,6.0
1,2019-07-17,0.0,6.0,14.2,16,135,7.0
2,2019-07-18,0.0,2.0,101.6,22,165,6.0
3,2019-07-19,236.39,3.0,115.4,22,159,9.0
4,2019-07-20,242.43,2.0,6.6,19,150,3.0
5,2019-07-21,249.03,2.0,6.6,24,160,3.0
6,2019-07-22,310.33,3.0,68.0,18,145,4.0
7,2019-07-23,319.53,1.0,9.2,26,173,2.0
8,2019-07-24,328.33,9.0,9.0,12,114,9.0
9,2019-07-25,467.93,5.0,152.6,15,131,7.0
10,2019-07-26,488.53,3.0,20.6,21,149,3.0
11,2019-07-27,504.53,2.0,16.0,24,159,2.0
12,2019-07-28,524.13,1.0,19.6,30,168,2.0
13,2019-07-29,543.73,2.0,19.6,24,163,2.0
14,2019-07-30,547.87,1.0,4.6,27,182,1.0
15,2019-07-31,557.07,1.0,9.2,25,182,2.0
16,2019-08-01,580.19,12.0,30.4,11,107,16.0
17,2019-08-02,850.63,3.0,275.6,20,150,10.0
18,2019-08-03,855.23,1.0,4.6,25,168,1.0
19,2019-08-04,875.83,3.0,20.6,18,140,3.0
20,2019-08-05,885.03,1.0,9.2,25,180,2.0
21,2019-08-06,900.03,1.0,15.0,26,178,1.0
22,2019-08-07,900.03,0.0,0.0,NULL,NULL,0.0
23,2019-08-08,916.43,3.0,18.0,20,148,4.0
24,2019-08-09,919.13,3.0,3.0,21,150,3.0
25,2019-08-10,921.03,2.0,2.0,21,152,2.0
26,2019-08-11,921.93,1.0,1.0,24,165,1.0
27,2019-08-12,922.93,1.0,1.0,25,172,1.0
28,2019-08-13,922.93,0.0,0.0,NULL,NULL,0.0
29,2019-08-14,1034.93,2.0,112.0,18,153,6.0
30,2019-08-15,1061.53,9.0,26.6,12,113,9.0
31,2019-08-16,1077.57,5.0,16.799999999999997,14,129,6.0
32,2019-08-17,1097.41,2.0,20.4,18,152,6.0
33,2019-08-18,1111.81,2.0,16.0,22,155,2.0
34,2019-08-19,1112.81,1.0,1.0,23,178,1.0
35,2019-08-20,1197.65,12.0,93.2,10,102,16.0
36,2019-08-21,1335.09,12.0,158.6,10,100,13.0
37,2019-08-22,1024.09,5.0,19.0,11,128,5.0
38,2019-08-23,1029.69,2.0,5.6,15,149,2.0
39,2019-08-24,1097.49,4.0,68.0,13,128,4.0
40,2019-08-25,1104.09,3.0,6.6,14,132,3.0
41,2019-08-26,1132.81,3.0,31.800000000000004,16,138,7.0
42,2019-08-27,1164.01,6.0,32.8,13,123,8.0
43,2019-08-28,1179.11,8.0,80.19999999999999,11,119,9.0
