,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-26,0.0,1.0,0.0001,92,188,1.0
1,2019-05-27,0.0,1.0,0.0001,101,212,1.0
2,2019-05-30,0.0,1.0,0.0001,98,201,1.0
3,2019-05-31,0.0,1.0,0.0001,103,207,1.0
4,2019-06-23,523.99,0.0,0.0,NULL,NULL,0.0
5,2019-06-24,523.99,1.0,0.0001,94,192,1.0
6,2019-06-25,523.99,0.0,0.0,NULL,NULL,0.0
7,2019-06-26,523.99,1.0,0.0001,106,205,1.0
8,2019-06-27,523.99,2.0,0.0002,88,175,2.0
9,2019-06-28,523.99,0.0,0.0,NULL,NULL,0.0
10,2019-06-29,523.99,0.0,0.0,NULL,NULL,0.0
11,2019-06-30,523.99,0.0,0.0,NULL,NULL,0.0
12,2019-07-01,523.99,0.0,0.0,NULL,NULL,0.0
13,2019-07-02,523.99,1.0,0.0001,30,195,1.0
14,2019-07-03,523.99,0.0,0.0,NULL,NULL,0.0
15,2019-07-04,523.99,0.0,0.0,NULL,NULL,0.0
16,2019-07-05,523.99,0.0,0.0,NULL,NULL,0.0
17,2019-07-06,523.99,0.0,0.0,NULL,NULL,0.0
18,2019-07-07,523.99,0.0,0.0,NULL,NULL,0.0
19,2019-07-08,523.99,0.0,0.0,NULL,NULL,0.0
20,2019-07-09,523.99,1.0,0.0001,30,207,1.0
21,2019-07-10,523.99,0.0,0.0,NULL,NULL,0.0
22,2019-07-11,523.99,0.0,0.0,NULL,NULL,0.0
23,2019-07-12,523.99,1.0,0.0001,35,261,1.0
24,2019-07-13,523.99,0.0,0.0,NULL,NULL,0.0
25,2019-07-14,523.99,0.0,0.0,NULL,NULL,0.0
26,2019-07-15,523.99,0.0,0.0,NULL,NULL,0.0
27,2019-07-16,523.99,1.0,0.0001,29,189,1.0
28,2019-07-17,523.99,1.0,0.0001,33,198,1.0
29,2019-07-18,523.99,1.0,0.0001,29,191,1.0
30,2019-07-19,523.99,0.0,0.0,NULL,NULL,0.0
31,2019-07-20,523.99,0.0,0.0,NULL,NULL,0.0
32,2019-07-21,523.99,0.0,0.0,NULL,NULL,0.0
33,2019-07-22,523.99,0.0,0.0,NULL,NULL,0.0
34,2019-07-23,523.99,0.0,0.0,NULL,NULL,0.0
35,2019-07-24,523.99,0.0,0.0,NULL,NULL,0.0
36,2019-07-25,523.99,0.0,0.0,NULL,NULL,0.0
37,2019-07-26,523.99,0.0,0.0,NULL,NULL,0.0
38,2019-07-27,523.99,0.0,0.0,NULL,NULL,0.0
