,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-03,0.0,2.0,5.005400000000001,28,164,2.0
1,2019-05-04,0.0,3.0,110.9822,24,147,10.0
2,2019-05-05,0.0,5.0,0.14,25,142,308.0
3,2019-05-06,0.0,12.0,1.9070000000000003,17,114,324.0
4,2019-05-07,0.0,5.0,0.30000000000000004,22,145,268.0
5,2019-05-08,0.0,10.0,3.8,18,122,263.0
6,2019-05-09,0.0,7.0,6.02,19,133,89.0
7,2019-05-10,0.0,5.0,1.0,21,136,10.0
8,2019-05-11,0.0,5.0,0.0111,21,136,389.0
9,2019-05-12,0.0,5.0,4.1,22,138,177.0
10,2019-05-13,0.0,3.0,0.0,26,150,18.0
11,2019-05-14,0.0,6.0,0.0,19,132,393.0
12,2019-05-15,0.0,5.0,3.2,21,137,255.0
13,2019-05-16,0.0,10.0,29.2696,16,120,258.0
14,2019-05-17,0.0,10.0,0.0,16,116,66.0
15,2019-05-18,0.0,151.0,67350.0,8,51,754.0
16,2019-05-19,0.0,98.0,3396.0000000000005,8,60,933.0
17,2019-05-20,0.0,86.0,2465.4999999999995,10,65,196.0
18,2019-05-21,0.0,69.0,525.0,10,70,164.0
19,2019-05-22,1489.63,78.0,1858.6,9,66,263.0
20,2019-05-23,904.53,89.0,2260.7999999999997,9,63,214.0
21,2019-05-24,2544.13,159.0,3569.7,8,54,309.0
22,2019-05-25,2296.84,123.0,1884.0,8,56,343.0
23,2019-05-26,2648.95,135.0,4716.399999999998,8,55,963.0
24,2019-05-27,2199.27,112.0,3509.7999999999993,9,65,1529.0
25,2019-05-28,1831.3,96.0,1953.6,9,72,874.0
26,2019-05-29,983.87,123.0,3809.2999999999997,8,63,1115.0
27,2019-05-30,2517.38,129.0,6633.599999999999,9,62,1221.0
28,2019-05-31,1840.86,121.0,2767.2,8,59,1129.0
29,2019-06-01,1518.76,140.0,2461.899999999999,7,54,1148.0
30,2019-06-02,970.32,118.0,3456.9,8,54,1702.0
31,2019-06-03,406.83,90.0,801.7,8,60,1058.0
32,2019-06-04,1914.55,110.0,6002.359999999998,8,58,1204.0
33,2019-06-05,1426.79,103.0,5630.72,8,63,1510.0
34,2019-06-06,2860.89,128.0,4952.4001,7,53,1376.0
35,2019-06-07,2444.97,122.0,2489.8,8,55,1423.0
36,2019-06-08,2040.06,109.0,1943.6,8,57,1349.0
37,2019-06-09,4032.89,120.0,5721.099999999999,8,56,1676.0
38,2019-06-10,3669.17,119.0,2200.2000000000003,8,59,1406.0
39,2019-06-11,3171.55,132.0,2332.7,8,53,1448.0
40,2019-06-12,2720.88,138.0,3423.7000000000003,7,53,1604.0
41,2019-06-13,2111.36,157.0,3729.3999999999996,8,54,1732.0
42,2019-06-14,1249.15,138.0,1767.3000000000004,7,54,1708.0
43,2019-06-15,2741.67,129.0,5387.2,8,55,1691.0
44,2019-06-16,1467.77,141.0,3075.7000000000003,8,51,1940.0
45,2019-06-17,2995.03,142.0,4826.7,8,53,2117.0
46,2019-06-18,2462.59,137.0,1712.6999999999998,8,56,1628.0
47,2019-06-19,1949.63,143.0,3262.0,8,54,1751.0
48,2019-06-20,1325.11,160.0,4366.1,8,54,2055.0
49,2019-06-21,2853.62,146.0,6023.1,8,55,1858.0
50,2019-06-22,2155.23,141.0,2973.399999999999,8,59,1972.0
51,2019-06-23,1304.88,188.0,3221.8999999999996,7,55,2155.0
52,2019-06-24,2741.6,159.0,5818.7,8,58,2294.0
53,2019-06-25,2270.44,147.0,4106.4,7,57,1985.0
54,2019-06-26,1671.79,148.0,3557.7999999999997,9,60,1916.0
55,2019-06-27,2917.68,167.0,5530.7,9,56,1972.0
56,2019-06-28,2300.98,172.0,4877.799999999999,10,55,2341.0
57,2019-06-29,1634.86,164.0,3083.9,9,54,2194.0
58,2019-06-30,2896.11,153.0,5868.5999999999985,10,54,2256.0
59,2019-07-01,2388.54,160.0,3748.6,10,56,2484.0
60,2019-07-02,1689.9,187.0,5287.799999999999,10,55,2295.0
61,2019-07-03,2547.32,217.0,11734.300000000001,9,52,2931.0
62,2019-07-04,1918.21,181.0,2913.0,10,56,2229.0
63,2019-07-05,1233.95,181.0,4867.7,9,54,2499.0
64,2019-07-06,2645.68,178.0,8269.300000000001,9,53,2698.0
65,2019-07-07,2037.96,174.0,7250.8,10,54,2587.0
66,2019-07-08,3160.77,219.0,9333.400000000001,9,51,3016.0
67,2019-07-09,2336.67,196.0,6678.5999999999985,8,51,2660.0
68,2019-07-10,916.81,229.0,5955.0999999999985,9,49,2956.0
69,2019-07-11,1839.1,270.0,12946.69,8,44,3358.0
70,2019-07-12,3090.59,215.0,8402.1,9,49,3235.0
71,2019-07-13,2443.02,211.0,4030.2,8,48,3057.0
72,2019-07-14,1720.0,187.0,6376.799999999999,9,50,2844.0
73,2019-07-15,1147.24,214.0,6935.8,8,51,3075.0
74,2019-07-16,2154.87,233.0,10502.0,8,50,3239.0
75,2019-07-17,3309.74,266.0,10683.4,8,48,3353.0
76,2019-07-18,2472.55,267.0,6072.799999999999,8,47,3079.0
77,2019-07-19,1681.46,278.0,8589.499999999998,8,46,3432.0
78,2019-07-20,2453.96,257.0,15381.1,8,46,3802.0
79,2019-07-21,1515.74,249.0,4703.489999999999,8,46,3405.0
80,2019-07-22,2403.4,303.0,14875.66,8,45,3959.0
81,2019-07-23,1228.17,300.0,12832.300000000003,8,42,3936.0
82,2019-07-24,1918.35,347.0,15562.300000000003,8,38,4229.0
83,2019-07-25,2658.41,395.0,12725.899999999998,7,36,4499.0
84,2019-07-26,1421.94,390.0,15428.200000000003,8,37,4932.0
85,2019-07-27,3118.13,380.0,16875.100000000002,8,36,4768.0
86,2019-07-28,2059.32,280.0,5835.2,8,42,4019.0
87,2019-07-29,4055.38,303.0,9377.300000000001,8,43,4071.0
88,2019-07-30,2605.51,301.0,9295.4,8,44,4601.0
89,2019-07-31,1476.01,338.0,9954.699999999999,8,39,4544.0
90,2019-08-01,2330.16,389.0,12432.319999999996,8,40,4721.0
91,2019-08-02,2970.81,361.0,10442.399999999998,8,42,4337.0
92,2019-08-03,1976.89,402.0,4252.109999999999,7,35,4671.0
93,2019-08-04,2981.29,316.0,10708.219999999998,9,37,3976.0
94,2019-08-05,2130.13,351.0,9693.8,8,39,4291.0
95,2019-08-06,2255.58,348.0,12349.799999999997,8,40,4319.0
96,2019-08-07,1300.57,303.0,6514.999999999999,8,44,4214.0
97,2019-08-08,2061.13,322.0,10609.599999999999,7,42,4612.0
98,2019-08-09,1817.94,395.0,7507.059999999998,7,37,4772.0
99,2019-08-10,2127.2,371.0,8079.400000000002,7,36,4532.0
100,2019-08-11,3052.57,360.0,11571.160000000003,7,39,4670.0
101,2019-08-12,1854.13,364.0,5963.5,7,36,4898.0
102,2019-08-13,2165.22,391.0,6712.69,7,36,4929.0
103,2019-08-14,2643.06,400.0,6024.5,7,35,5145.0
104,2019-08-15,1540.41,437.0,4306.0,7,33,5423.0
105,2019-08-16,1749.48,473.0,6739.789999999998,7,33,5506.0
106,2019-08-17,2809.02,467.0,16488.2,7,32,5761.0
107,2019-08-18,1688.35,465.0,14736.300000000001,7,33,4734.0
108,2019-08-19,2058.95,472.0,5481.799999999999,6,34,4616.0
109,2019-08-20,2211.47,474.0,15832.0,6,31,5134.0
110,2019-08-21,1194.89,410.0,4227.999999999999,7,36,5062.0
111,2019-08-22,1386.09,436.0,16136.100000000006,7,33,4967.0
112,2019-08-23,1671.35,409.0,4964.7,7,34,4969.0
113,2019-08-24,2610.65,408.0,7220.3,7,35,4933.0
114,2019-08-25,1603.32,386.0,1084.8,7,37,5068.0
115,2019-08-26,1241.82,428.0,2281.2000000000003,7,33,4935.0
116,2019-08-27,2367.38,468.0,3223.3999999999996,7,31,5436.0
