,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-02,0.0,1.0,0.0,17,128,1.0
1,2018-12-12,0.0,1.0,0.0,23,147,1.0
2,2018-12-14,0.0,1.0,0.0,21,138,2.0
3,2018-12-16,0.0,1.0,0.0,20,136,1.0
4,2018-12-17,0.0,1.0,0.0,23,145,1.0
5,2018-12-19,0.0,1.0,0.0,28,178,1.0
6,2018-12-20,0.0,1.0,4.0,26,157,39.0
7,2018-12-21,0.0,1.0,10.0,25,149,98.0
8,2018-12-22,0.0,1.0,2.0,24,142,18.0
9,2018-12-24,0.0,2.0,0.0,24,144,3.0
10,2018-12-26,0.0,2.0,0.0,26,153,3.0
11,2018-12-27,0.0,3.0,0.0,22,142,33.0
12,2018-12-28,0.0,2.0,0.0,27,155,38.0
13,2018-12-29,0.0,4.0,35.0,25,134,67.0
14,2018-12-30,0.0,2.0,1.0,26,151,8.0
15,2019-01-02,0.0,0.0,0.0,NULL,NULL,0.0
16,2019-01-08,0.0,0.0,0.0,NULL,NULL,0.0
17,2019-01-09,0.0,1.0,4.0,40,162,36.0
18,2019-01-10,31.71,5.0,3.0,36,158,20.0
19,2019-01-11,31.81,1.0,0.0,39,155,1.0
20,2019-01-12,31.92,2.0,2.0,37,146,15.0
21,2019-01-13,32.85,6.0,3.0,37,141,23.0
22,2019-01-14,32.94,5.0,4.0,40,153,17.0
23,2019-01-15,34.48,4.0,15.0,42,154,31.0
24,2019-01-17,35.48,2.0,3.0,43,148,17.0
25,2019-01-18,35.98,2.0,1.0,42,147,4.0
26,2019-01-19,35.96,1.0,0.0,45,148,1.0
27,2019-01-21,25.88,2.0,0.0,50,163,2.0
28,2019-01-22,12.32,1.0,1.0,50,155,1.0
29,2019-01-23,12.32,1.0,0.0,45,158,1.0
30,2019-01-25,12.32,1.0,0.0,43,152,1.0
31,2019-02-01,13.1,2.0,8.0,49,166,15.0
32,2019-02-13,13.1,1.0,0.0,50,177,2.0
33,2019-02-18,13.3,1.0,0.0,47,182,2.0
34,2019-02-19,13.28,1.0,0.0,49,180,2.0
35,2019-02-20,13.02,1.0,1.0,30,109,9.0
36,2019-02-26,13.0,1.0,0.0,28,105,1.0
37,2019-02-28,13.61,1.0,2.0,36,178,16.0
38,2019-03-03,13.61,1.0,0.0,36,172,1.0
39,2019-03-08,13.61,1.0,0.0,37,182,1.0
40,2019-03-15,13.6119,1.0,0.0,41,185,2.0
41,2019-03-20,13.61,0.0,0.0,NULL,NULL,0.0
42,2019-03-21,13.61,0.0,0.0,NULL,NULL,0.0
43,2019-03-22,13.59,2.0,0.0,37,164,2.0
44,2019-03-23,14.55,1.0,5.0,37,167,6.0
45,2019-03-24,14.53,1.0,0.0,35,168,1.0
46,2019-03-25,14.53,0.0,0.0,NULL,NULL,0.0
47,2019-03-26,14.53,0.0,0.0,NULL,NULL,0.0
48,2019-03-27,14.53,0.0,0.0,NULL,NULL,0.0
49,2019-03-28,14.53,0.0,0.0,NULL,NULL,0.0
50,2019-03-29,14.53,0.0,0.0,NULL,NULL,0.0
51,2019-03-30,14.53,0.0,0.0,NULL,NULL,0.0
52,2019-03-31,14.53,0.0,0.0,NULL,NULL,0.0
53,2019-04-01,14.53,0.0,0.0,NULL,NULL,0.0
54,2019-04-02,14.53,0.0,0.0,NULL,NULL,0.0
55,2019-04-03,14.53,0.0,0.0,NULL,NULL,0.0
56,2019-04-04,14.53,0.0,0.0,NULL,NULL,0.0
57,2019-04-05,14.53,0.0,0.0,NULL,NULL,0.0
58,2019-04-06,14.53,0.0,0.0,NULL,NULL,0.0
59,2019-04-07,14.53,0.0,0.0,NULL,NULL,0.0
60,2019-04-08,14.53,0.0,0.0,NULL,NULL,0.0
61,2019-04-09,14.53,0.0,0.0,NULL,NULL,0.0
62,2019-04-10,14.53,0.0,0.0,NULL,NULL,0.0
