,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-10-16,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-10-17,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-10-18,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-10-19,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-10-20,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-10-21,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-10-22,0.0,0.0,0.0,NULL,NULL,0.0
7,2018-10-23,0.0,0.0,0.0,NULL,NULL,0.0
8,2018-10-24,0.0,0.0,0.0,NULL,NULL,0.0
9,2018-10-25,0.0,0.0,0.0,NULL,NULL,0.0
10,2018-10-26,0.02,13.0,186.0,13,68,359.0
11,2018-10-27,53.91,7.0,0.0,15,75,310.0
12,2018-10-28,55.18,2.0,3.0,17,94,29.0
13,2018-10-29,54.45,3.0,12.0,17,95,23.0
14,2018-10-30,57.4,2.0,0.0,18,102,12.0
15,2018-10-31,0.0,4.0,26.0,17,90,34.0
16,2018-11-01,13.26,5.0,14.0,18,88,15.0
17,2018-11-02,12.95,12.0,31.0,13,73,50.0
18,2018-11-03,12.73,4.0,2.0,16,89,12.0
19,2018-11-04,13.68,3.0,1.0,18,96,4.0
20,2018-11-05,13.82,3.0,2.0,19,99,11.0
21,2018-11-06,13.76,2.0,1.0,20,109,2.0
22,2018-11-07,13.76,0.0,0.0,NULL,NULL,0.0
23,2018-11-08,13.76,0.0,0.0,NULL,NULL,0.0
24,2018-11-09,13.76,0.0,0.0,NULL,NULL,0.0
25,2018-11-10,13.71,1.0,1.0,19,119,1.0
26,2018-11-11,13.5,2.0,3.0,18,112,3.0
27,2018-11-12,13.49,3.0,2.0,18,110,13.0
28,2018-11-13,13.49,1.0,0.0,19,122,1.0
29,2018-11-14,13.49,0.0,0.0,NULL,NULL,0.0
30,2018-11-15,13.77,2.0,9.0,19,114,10.0
31,2018-11-16,13.7,1.0,1.0,20,128,5.0
32,2018-11-17,13.57,3.0,4.0,15,102,11.0
33,2018-11-18,13.32,2.0,5.0,17,113,32.0
34,2018-11-19,13.32,0.0,0.0,NULL,NULL,0.0
35,2018-11-20,13.32,0.0,0.0,NULL,NULL,0.0
36,2018-11-21,13.33,1.0,1.0,16,125,6.0
37,2018-11-22,13.36,2.0,2.0,18,121,18.0
38,2018-11-23,13.61,1.0,1.0,19,127,14.0
39,2018-11-24,14.61,1.0,1.0,18,127,1.0
40,2018-11-25,14.61,0.0,0.0,NULL,NULL,0.0
41,2018-11-26,15.46,1.0,2.0,15,127,13.0
42,2018-11-27,15.46,0.0,0.0,NULL,NULL,0.0
43,2018-11-28,15.46,0.0,0.0,NULL,NULL,0.0
44,2018-11-29,81.33,1.0,66.0,21,133,17.0
45,2018-11-30,29.39,2.0,0.0,20,129,72.0
46,2018-12-01,29.39,0.0,0.0,NULL,NULL,0.0
47,2018-12-02,29.39,0.0,0.0,NULL,NULL,0.0
48,2018-12-03,28.99,1.0,2.0,19,137,2.0
49,2018-12-04,28.93,1.0,1.0,18,142,1.0
50,2018-12-05,28.93,1.0,0.0,20,140,1.0
51,2018-12-06,32.26,2.0,7.0,17,134,7.0
52,2018-12-07,32.03,1.0,25.0,22,143,25.0
53,2018-12-08,31.98,2.0,1.0,17,129,6.0
54,2018-12-09,56.38,1.0,148.0,20,136,35.0
55,2018-12-10,56.32,1.0,1.0,23,147,2.0
56,2018-12-11,24.32,0.0,0.0,NULL,NULL,0.0
57,2018-12-25,24.21,1.0,0.0,26,163,1.0
58,2019-01-03,24.27,1.0,0.0,34,146,2.0
59,2019-01-06,32.96,1.0,9.0,34,143,9.0
60,2019-01-10,32.95,1.0,0.0,40,162,2.0
61,2019-02-02,32.89,1.0,1.0,50,169,1.0
62,2019-03-03,50.56,3.0,68.0,31,140,344.0
63,2019-03-04,50.53,2.0,1.0,34,160,3.0
64,2019-03-18,0.2496,1.0,2.0,37,178,6.0
65,2019-03-20,0.25,0.0,0.0,NULL,NULL,0.0
66,2019-03-21,0.25,0.0,0.0,NULL,NULL,0.0
67,2019-03-22,0.25,0.0,0.0,NULL,NULL,0.0
68,2019-03-23,0.25,0.0,0.0,NULL,NULL,0.0
69,2019-03-24,0.25,0.0,0.0,NULL,NULL,0.0
70,2019-03-25,0.25,0.0,0.0,NULL,NULL,0.0
71,2019-03-26,0.25,0.0,0.0,NULL,NULL,0.0
72,2019-03-27,0.25,0.0,0.0,NULL,NULL,0.0
73,2019-03-28,0.25,0.0,0.0,NULL,NULL,0.0
74,2019-03-29,0.25,0.0,0.0,NULL,NULL,0.0
75,2019-03-30,0.25,0.0,0.0,NULL,NULL,0.0
76,2019-03-31,0.25,0.0,0.0,NULL,NULL,0.0
77,2019-04-01,0.25,0.0,0.0,NULL,NULL,0.0
78,2019-04-02,0.25,0.0,0.0,NULL,NULL,0.0
79,2019-04-03,0.25,0.0,0.0,NULL,NULL,0.0
80,2019-04-04,0.25,0.0,0.0,NULL,NULL,0.0
81,2019-04-05,0.25,0.0,0.0,NULL,NULL,0.0
82,2019-04-06,0.25,0.0,0.0,NULL,NULL,0.0
83,2019-04-07,0.25,0.0,0.0,NULL,NULL,0.0
84,2019-04-08,0.25,0.0,0.0,NULL,NULL,0.0
85,2019-04-09,0.25,0.0,0.0,NULL,NULL,0.0
86,2019-04-10,0.25,0.0,0.0,NULL,NULL,0.0
87,2019-04-11,0.25,0.0,0.0,NULL,NULL,0.0
88,2019-04-12,0.25,0.0,0.0,NULL,NULL,0.0
89,2019-04-13,0.25,0.0,0.0,NULL,NULL,0.0
90,2019-04-14,0.25,0.0,0.0,NULL,NULL,0.0
91,2019-04-15,0.25,0.0,0.0,NULL,NULL,0.0
92,2019-04-16,0.25,0.0,0.0,NULL,NULL,0.0
93,2019-04-17,0.25,0.0,0.0,NULL,NULL,0.0
94,2019-04-18,0.25,0.0,0.0,NULL,NULL,0.0
95,2019-04-19,0.25,0.0,0.0,NULL,NULL,0.0
96,2019-04-20,0.25,0.0,0.0,NULL,NULL,0.0
97,2019-04-21,0.25,0.0,0.0,NULL,NULL,0.0
98,2019-04-22,0.25,0.0,0.0,NULL,NULL,0.0
99,2019-04-23,0.25,0.0,0.0,NULL,NULL,0.0
100,2019-04-24,0.25,0.0,0.0,NULL,NULL,0.0
101,2019-04-25,0.25,0.0,0.0,NULL,NULL,0.0
102,2019-04-26,0.25,0.0,0.0,NULL,NULL,0.0
103,2019-04-27,0.25,0.0,0.0,NULL,NULL,0.0
