,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-17,0.0,16.0,600.38,14,94,513.0
1,2019-10-18,0.0,31.0,1.9204000000000003,13,73,671.0
2,2019-10-19,0.0,16.0,0.0,14,90,391.0
3,2019-10-20,0.0,18.0,0.74,14,83,206.0
4,2019-10-21,99.3,36.0,2.5993000000000004,14,74,658.0
5,2019-10-22,94.59,353.0,10.071599999999997,6,34,5976.0
6,2019-10-23,97.32,371.0,34.2161,6,34,6800.0
7,2019-10-24,40.48,271.0,52.59930000000001,6,31,5653.0
8,2019-10-25,58.57,234.0,74.82470000000002,6,26,5548.0
9,2019-10-26,41.7,213.0,27.910700000000006,6,30,5747.0
10,2019-10-27,27.34,192.0,18.787400000000005,6,28,4871.0
11,2019-10-28,7.33,188.0,9.754099999999998,6,31,4154.0
12,2019-10-29,5.87,192.0,34.151,6,36,4839.0
13,2019-10-30,195.57,185.0,226.80810000000002,8,38,4370.0
14,2019-10-31,195.48,190.0,40.14099999999999,7,39,4228.0
15,2019-11-01,193.23,128.0,6.203,6,39,1794.0
16,2019-11-02,188.77,46.0,0.9711000000000001,7,36,599.0
17,2019-11-03,172.65,70.0,2.6818,5,28,874.0
18,2019-11-04,105.51,85.0,5.1069,5,25,1183.0
19,2019-11-05,102.71,54.0,4.222000000000001,8,34,771.0
20,2019-11-06,98.41,48.0,0.7102999999999999,7,35,586.0
21,2019-11-07,196.46,59.0,110.707,6,29,726.0
22,2019-11-08,206.35,53.0,69.19839999999999,6,34,760.0
23,2019-11-09,209.39,43.0,34.0073,7,37,737.0
24,2019-11-10,181.34,54.0,15.37,6,32,1002.0
25,2019-11-11,162.2,44.0,2.7393,8,38,637.0
26,2019-11-12,114.32,38.0,50.251999999999995,7,40,483.0
27,2019-11-13,104.92,44.0,1.1253000000000002,6,40,667.0
28,2019-11-14,96.24,48.0,1.6435000000000002,6,39,584.0
29,2019-11-15,113.85,47.0,23.724,6,41,507.0
30,2019-11-16,113.01,62.0,1.486,6,34,772.0
