,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-17,0.0,1.0,500.0,19,121,1.0
1,2018-11-29,0.0,3.0,1.0,17,117,13.0
2,2018-11-30,0.0,4.0,0.0,17,112,103.0
3,2018-12-01,0.0,2.0,0.0,17,125,4.0
4,2018-12-02,0.0,1.0,0.0,17,128,2.0
5,2018-12-03,0.0,3.0,3.0,16,115,79.0
6,2018-12-04,0.0,3.0,4.0,17,124,160.0
7,2018-12-05,0.0,3.0,23.0,15,121,84.0
8,2018-12-06,0.0,3.0,3.0,15,123,104.0
9,2018-12-07,0.0,11.0,4.0,12,97,190.0
10,2018-12-08,0.0,2.0,0.0,17,129,8.0
11,2018-12-09,0.0,3.0,1.0,13,118,15.0
12,2018-12-10,0.0,3.0,22.0,16,122,105.0
13,2018-12-11,0.0,3.0,0.0,17,120,23.0
14,2018-12-12,0.0,3.0,3.0,16,118,77.0
15,2018-12-13,0.0,3.0,3.0,20,125,129.0
16,2018-12-18,0.0,3.0,1.0,22,130,32.0
17,2018-12-19,0.0,3.0,2.0,23,142,43.0
18,2018-12-25,0.0,2.0,0.0,22,143,10.0
19,2018-12-26,0.0,7.0,0.0,20,115,816.0
20,2018-12-27,0.0,3.0,0.0,22,142,120.0
21,2018-12-28,0.0,6.0,0.0,22,122,94.0
22,2018-12-29,0.0,4.0,1.0,25,134,29.0
23,2018-12-30,0.0,2.0,0.0,26,151,6.0
24,2019-01-02,0.0,0.0,0.0,NULL,NULL,0.0
25,2019-01-03,0.0,0.0,0.0,NULL,NULL,0.0
26,2019-01-04,0.0,0.0,0.0,NULL,NULL,0.0
27,2019-01-05,0.0,0.0,0.0,NULL,NULL,0.0
28,2019-01-06,0.0,0.0,0.0,NULL,NULL,0.0
29,2019-01-07,0.0,0.0,0.0,NULL,NULL,0.0
30,2019-01-08,0.0,7.0,21.0,36,154,494.0
31,2019-01-09,7.09,5.0,8.0,36,158,309.0
32,2019-01-10,7.13,11.0,13.0,33,152,647.0
33,2019-01-11,7.16,6.0,6.0,34,150,386.0
34,2019-01-12,7.16,2.0,0.0,37,146,12.0
35,2019-01-13,7.16,4.0,1.0,39,143,60.0
36,2019-01-14,7.07,10.0,6.0,36,148,234.0
37,2019-01-15,1.1,6.0,14.0,40,152,775.0
38,2019-01-16,1.1,6.0,2.0,42,148,64.0
39,2019-01-17,0.73,6.0,7.0,39,144,583.0
40,2019-01-18,0.73,2.0,0.0,42,147,6.0
41,2019-01-19,0.73,2.0,0.0,44,147,6.0
42,2019-01-21,0.73,4.0,1.0,48,161,20.0
