,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-02-22,0.0,2.0,20.0,28,110,22.0
1,2019-02-25,0.0,2.0,2.0,25,108,85.0
2,2019-02-26,0.0,3.0,45.0,26,103,42.0
3,2019-03-01,0.0,2.0,1.0,30,155,20.0
4,2019-03-04,0.0,4.0,1.0,28,139,50.0
5,2019-03-06,0.0,2.0,0.0,34,161,21.0
6,2019-03-07,25.74,10.0,43.0,23,113,253.0
7,2019-03-08,31.15,16.0,19.0,21,107,514.0
8,2019-03-09,36.41,15.0,59.0,21,105,258.0
9,2019-03-10,41.62,9.0,30.0,23,112,97.0
10,2019-03-11,41.6,10.0,26.0,23,114,223.0
11,2019-03-12,41.59,4.0,21.0,28,135,42.0
12,2019-03-13,57.4,8.0,62.0,24,114,223.0
13,2019-03-14,59.195,8.0,3.0,23,117,132.0
14,2019-03-15,59.995,6.0,2.0,26,127,56.0
15,2019-03-16,60.315,8.0,84.0,25,117,123.0
16,2019-03-17,60.72,2.0,1.0,33,145,47.0
17,2019-03-19,59.33,6.0,2.0,29,131,74.0
18,2019-03-20,59.43,5.0,2.0,29,136,103.0
19,2019-03-21,59.33,2.0,0.0,33,152,30.0
20,2019-03-22,59.43,4.0,1.0,29,140,21.0
21,2019-03-23,59.65,4.0,23.0,28,136,29.0
22,2019-03-24,72.26,4.0,32.0,25,130,142.0
23,2019-03-25,73.65,2.0,21.0,31,150,52.0
24,2019-03-26,73.55,4.0,0.0,28,134,13.0
25,2019-03-27,73.76,3.0,1.0,31,146,26.0
26,2019-03-28,69.02,6.0,509.0,25,128,310.0
27,2019-03-29,179.51,6.0,280.0,25,124,76.0
28,2019-03-30,180.01,3.0,1.0,28,140,33.0
29,2019-03-31,180.01,0.0,0.0,NULL,NULL,0.0
30,2019-04-01,180.01,3.0,2.1863,24,158,14.0
31,2019-04-02,180.02,2.0,0.2,29,174,12.0
32,2019-04-03,180.23,3.0,2.7439999999999998,25,159,36.0
33,2019-04-04,180.33,3.0,0.5,24,151,24.0
34,2019-04-05,180.33,2.0,0.1,31,165,9.0
35,2019-04-06,180.33,2.0,0.1,30,166,5.0
36,2019-04-07,180.33,2.0,1.0,28,161,9.0
37,2019-04-08,141.58,2.0,37.1836,31,166,39.0
38,2019-04-09,141.68,2.0,0.2,30,169,12.0
39,2019-04-10,141.68,2.0,0.1,32,176,6.0
40,2019-04-11,42.48,4.0,1.2000000000000002,31,155,22.0
41,2019-04-12,42.58,1.0,0.1,35,194,1.0
42,2019-04-13,43.68,2.0,1.1,32,165,2.0
43,2019-04-14,44.18,2.0,0.5,30,161,3.0
44,2019-04-15,44.18,0.0,0.0,NULL,NULL,0.0
45,2019-04-16,44.18,0.0,0.0,NULL,NULL,0.0
46,2019-04-17,43.18,2.0,0.2,36,176,4.0
47,2019-04-18,43.18,0.0,0.0,NULL,NULL,0.0
48,2019-04-19,43.18,0.0,0.0,NULL,NULL,0.0
49,2019-04-20,43.18,0.0,0.0,NULL,NULL,0.0
50,2019-04-21,43.18,0.0,0.0,NULL,NULL,0.0
51,2019-04-22,43.28,2.0,0.1,36,177,9.0
52,2019-04-23,43.28,0.0,0.0,NULL,NULL,0.0
53,2019-04-24,46.1,2.0,9.134,31,173,58.0
54,2019-04-25,46.1,0.0,0.0,NULL,NULL,0.0
55,2019-04-26,10.1,0.0,0.0,NULL,NULL,0.0
56,2019-04-27,10.1,0.0,0.0,NULL,NULL,0.0
57,2019-04-28,10.1,0.0,0.0,NULL,NULL,0.0
58,2019-04-29,10.1,0.0,0.0,NULL,NULL,0.0
59,2019-04-30,10.1,2.0,0.1,33,173,5.0
60,2019-05-01,10.1,0.0,0.0,NULL,NULL,0.0
61,2019-05-02,10.11,2.0,0.1,30,166,7.0
62,2019-05-03,10.11,0.0,0.0,NULL,NULL,0.0
63,2019-05-04,10.11,2.0,0.1,31,162,3.0
64,2019-05-05,10.11,0.0,0.0,NULL,NULL,0.0
65,2019-05-06,10.11,0.0,0.0,NULL,NULL,0.0
66,2019-05-07,10.31,2.0,0.2,33,178,11.0
67,2019-05-08,10.31,0.0,0.0,NULL,NULL,0.0
68,2019-05-09,10.31,0.0,0.0,NULL,NULL,0.0
69,2019-05-10,10.31,0.0,0.0,NULL,NULL,0.0
70,2019-05-11,10.31,0.0,0.0,NULL,NULL,0.0
71,2019-05-12,10.31,0.0,0.0,NULL,NULL,0.0
72,2019-05-13,13.09,0.0,0.0,NULL,NULL,0.0
73,2019-05-14,13.09,0.0,0.0,NULL,NULL,0.0
74,2019-05-15,13.09,0.0,0.0,NULL,NULL,0.0
75,2019-05-16,13.09,0.0,0.0,NULL,NULL,0.0
76,2019-05-17,13.09,0.0,0.0,NULL,NULL,0.0
77,2019-05-18,13.09,0.0,0.0,NULL,NULL,0.0
78,2019-05-19,13.09,0.0,0.0,NULL,NULL,0.0
79,2019-05-20,13.09,0.0,0.0,NULL,NULL,0.0
80,2019-05-21,13.09,0.0,0.0,NULL,NULL,0.0
81,2019-05-22,13.09,0.0,0.0,NULL,NULL,0.0
82,2019-05-23,13.09,0.0,0.0,NULL,NULL,0.0
83,2019-05-24,13.09,0.0,0.0,NULL,NULL,0.0
84,2019-05-25,13.09,0.0,0.0,NULL,NULL,0.0
85,2019-05-26,13.09,0.0,0.0,NULL,NULL,0.0
86,2019-05-27,13.09,0.0,0.0,NULL,NULL,0.0
87,2019-05-28,13.09,0.0,0.0,NULL,NULL,0.0
88,2019-05-29,13.09,0.0,0.0,NULL,NULL,0.0
89,2019-05-30,13.09,0.0,0.0,NULL,NULL,0.0
90,2019-05-31,13.09,0.0,0.0,NULL,NULL,0.0
91,2019-06-01,13.09,0.0,0.0,NULL,NULL,0.0
92,2019-06-02,13.09,0.0,0.0,NULL,NULL,0.0
93,2019-06-03,13.09,0.0,0.0,NULL,NULL,0.0
94,2019-06-04,13.09,0.0,0.0,NULL,NULL,0.0
