,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-04,0.0,152.0,47999.7229,12,65,1420.0
1,2019-04-05,0.0,122.0,13298.741800000003,10,61,2619.0
2,2019-04-06,0.0,103.0,775.2900000000001,12,66,1905.0
3,2019-04-07,0.0,112.0,1480.1036,11,61,695.0
4,2019-04-08,0.0,138.0,2339.4957999999997,11,60,953.0
5,2019-04-09,41742.84,153.0,1720.7433,8,56,960.0
6,2019-04-10,36484.75,165.0,1528.4499999999998,10,57,1058.0
7,2019-04-11,33975.76,159.0,292.16920000000005,11,58,975.0
8,2019-04-12,30709.27,160.0,298.4,12,61,856.0
9,2019-04-13,24147.56,158.0,67.0597,10,56,883.0
10,2019-04-14,21304.8,166.0,308.17789999999997,9,54,917.0
11,2019-04-15,16036.61,174.0,130.9426,10,62,1024.0
12,2019-04-16,11614.4,184.0,20.5521,10,54,1037.0
13,2019-04-17,7565.02,213.0,57.56530000000001,10,54,1306.0
14,2019-04-18,2985.07,205.0,155.0,10,53,1864.0
15,2019-04-19,4486.82,208.0,4565.3,7,52,2599.0
16,2019-04-20,4249.95,39.0,100.89999999999999,10,86,88.0
17,2019-04-21,4055.04,17.0,0.0,14,104,30.0
18,2019-04-22,3681.98,12.0,12.0,19,119,98.0
19,2019-04-23,3397.42,8.0,0.1,22,131,50.0
20,2019-04-24,3123.35,7.0,0.0,19,128,31.0
21,2019-04-25,2828.14,7.0,0.0,21,136,34.0
22,2019-04-26,2621.25,6.0,0.0,23,136,22.0
23,2019-04-27,2368.79,4.0,55.0,26,148,20.0
24,2019-04-28,1937.68,6.0,0.0,23,141,23.0
25,2019-04-29,1936.46,4.0,0.0,23,150,15.0
26,2019-04-30,1433.58,7.0,0.0,20,134,23.0
27,2019-05-01,1440.01,7.0,96.5,19,131,22.0
28,2019-05-02,1438.46,6.0,0.0,23,138,17.0
29,2019-05-03,490.15,7.0,100.0,19,131,29.0
30,2019-05-04,166.74,11.0,0.0,16,113,49.0
31,2019-05-05,87.92,6.0,0.0,22,134,14.0
32,2019-05-06,88.27,3.0,0.4,28,164,6.0
33,2019-05-07,88.53,1.0,0.3,35,196,14.0
34,2019-05-08,88.5,1.0,0.0,38,195,12.0
35,2019-05-09,89.38,3.0,1.0,29,162,9.0
36,2019-05-10,89.42,3.0,0.1,27,154,12.0
37,2019-05-11,89.34,3.0,0.0,29,156,13.0
38,2019-05-12,89.25,2.0,0.0,29,162,9.0
39,2019-05-13,89.17,2.0,0.0,30,164,5.0
40,2019-05-14,89.07,2.0,0.0,30,169,6.0
41,2019-05-15,88.97,3.0,0.0,27,153,5.0
42,2019-05-16,88.83,2.0,0.0,31,160,5.0
43,2019-05-17,88.72,2.0,0.0,31,161,5.0
44,2019-05-18,88.66,2.0,0.0,30,159,4.0
45,2019-05-19,89.47,3.0,1.0,27,151,7.0
46,2019-05-20,89.49,2.0,0.1,30,162,5.0
47,2019-05-21,89.52,2.0,0.1,28,158,5.0
48,2019-05-22,89.48,3.0,0.1,27,151,11.0
49,2019-05-23,89.39,2.0,0.0,26,181,5.0
50,2019-05-24,89.31,1.0,0.0,33,197,4.0
51,2019-05-25,89.18,2.0,0.0,26,174,7.0
52,2019-05-26,89.09,1.0,0.0,27,188,4.0
53,2019-05-27,88.99,2.0,0.0,32,197,5.0
54,2019-05-28,88.93,1.0,0.0,33,212,4.0
55,2019-05-29,88.23,3.0,0.0,23,162,6.0
56,2019-05-30,88.21,1.0,0.0,27,201,3.0
57,2019-05-31,87.99,3.0,0.0,25,168,10.0
58,2019-06-01,87.99,1.0,0.0,27,183,3.0
59,2019-06-02,87.77,2.0,0.0,21,162,2.0
60,2019-06-03,87.76,1.0,0.0,25,188,3.0
61,2019-06-04,87.74,1.0,0.0,25,189,6.0
62,2019-06-05,87.62,4.0,0.2,19,145,17.0
63,2019-06-06,87.87,4.0,0.4,19,140,13.0
64,2019-06-07,93.17,3.0,6.0,25,152,11.0
65,2019-06-08,93.11,2.0,0.0,24,164,8.0
66,2019-06-09,181.52,3.0,101.0,21,154,16.0
67,2019-06-10,174.84,3.0,0.0,19,154,12.0
68,2019-06-11,171.65,3.0,0.1,22,153,7.0
69,2019-06-12,164.86,4.0,0.1,18,143,14.0
70,2019-06-13,162.35,3.0,0.0,21,152,8.0
71,2019-06-14,156.85,2.0,0.0,22,171,5.0
72,2019-06-15,154.01,4.0,7.0,16,131,8.0
73,2019-06-16,146.91,6.0,0.2,16,120,31.0
74,2019-06-17,146.37,2.0,0.0,23,156,6.0
75,2019-06-18,140.66,3.0,0.0,22,152,7.0
76,2019-06-19,133.06,5.0,0.1,18,132,11.0
77,2019-06-20,127.82,3.0,0.0,19,153,8.0
78,2019-06-21,121.27,4.0,0.1,18,139,14.0
79,2019-06-22,120.78,3.0,0.0,19,145,8.0
80,2019-06-23,110.12,3.0,0.0,16,144,7.0
81,2019-06-24,103.19,3.0,0.0,20,156,5.0
82,2019-06-25,103.51,5.0,0.82,17,140,21.0
83,2019-06-26,89.27,5.0,0.0,17,135,13.0
84,2019-06-27,88.64,4.0,0.0,16,139,8.0
85,2019-06-28,79.29,4.0,0.0,16,136,9.0
86,2019-06-29,71.53,5.0,0.3,15,127,12.0
87,2019-06-30,71.05,4.0,0.1,15,135,15.0
88,2019-07-01,63.58,6.0,1.2,14,129,20.0
89,2019-07-02,58.83,4.0,0.0,20,148,9.0
90,2019-07-03,47.93,4.0,0.0,17,145,13.0
91,2019-07-04,45.06,7.0,0.6,16,129,29.0
92,2019-07-05,43.47,4.0,0.0,18,145,9.0
93,2019-07-06,43.19,1.0,0.0,28,179,2.0
94,2019-07-07,42.67,2.0,0.0,22,161,5.0
95,2019-07-08,41.55,4.0,0.0,16,147,12.0
96,2019-07-09,41.1,4.0,0.0,21,147,10.0
97,2019-07-10,39.04,4.0,0.0,19,143,10.0
98,2019-07-11,38.56,3.0,0.0,17,144,6.0
99,2019-07-12,37.51,5.0,0.0,18,141,16.0
100,2019-07-13,37.12,2.0,0.0,22,154,5.0
101,2019-07-14,35.5,2.0,0.0,20,153,3.0
102,2019-07-15,34.55,3.0,0.0,16,143,6.0
103,2019-07-16,33.85,4.0,0.0,20,145,8.0
104,2019-07-17,32.55,3.0,0.0,21,157,10.0
105,2019-07-18,32.38,1.0,0.0,29,191,3.0
106,2019-07-19,31.72,3.0,0.0,22,159,14.0
107,2019-07-20,31.57,1.0,0.0,25,168,1.0
108,2019-07-21,31.54,3.0,0.4,18,146,11.0
109,2019-07-22,30.53,4.0,0.0,16,136,18.0
110,2019-07-23,29.22,3.0,0.1,20,148,8.0
111,2019-07-24,29.05,4.0,0.25,18,140,13.0
112,2019-07-25,29.68,3.0,1.0,18,146,9.0
113,2019-07-26,24.29,5.0,0.4,14,128,18.0
114,2019-07-27,23.13,6.0,0.0,15,123,10.0
115,2019-07-28,22.84,2.0,0.0,26,154,3.0
116,2019-07-29,22.32,5.0,0.0,17,133,13.0
117,2019-07-30,22.0,2.0,0.0,21,159,3.0
118,2019-07-31,21.85,1.0,0.0,25,182,2.0
119,2019-08-01,21.82,1.0,0.0,25,174,1.0
120,2019-08-02,22.8,1.0,1.1,28,218,9.0
121,2019-08-03,22.79,1.0,0.0,25,168,2.0
122,2019-08-04,22.79,0.0,0.0,NULL,NULL,0.0
123,2019-08-05,22.67,1.0,0.0,25,180,3.0
124,2019-08-06,22.67,0.0,0.0,NULL,NULL,0.0
125,2019-08-07,22.59,1.0,0.0,22,161,3.0
126,2019-08-08,22.59,0.0,0.0,NULL,NULL,0.0
127,2019-08-09,22.59,0.0,0.0,NULL,NULL,0.0
128,2019-08-10,22.59,0.0,0.0,NULL,NULL,0.0
129,2019-08-11,22.59,0.0,0.0,NULL,NULL,0.0
130,2019-08-12,22.59,0.0,0.0,NULL,NULL,0.0
131,2019-08-13,22.59,0.0,0.0,NULL,NULL,0.0
132,2019-08-14,22.28,1.0,0.0,26,179,3.0
133,2019-08-15,22.28,0.0,0.0,NULL,NULL,0.0
134,2019-08-16,22.28,0.0,0.0,NULL,NULL,0.0
135,2019-08-17,22.28,0.0,0.0,NULL,NULL,0.0
136,2019-08-18,22.28,0.0,0.0,NULL,NULL,0.0
137,2019-08-19,22.28,0.0,0.0,NULL,NULL,0.0
138,2019-08-20,22.28,0.0,0.0,NULL,NULL,0.0
139,2019-08-21,22.28,0.0,0.0,NULL,NULL,0.0
140,2019-08-22,22.28,0.0,0.0,NULL,NULL,0.0
141,2019-08-23,22.28,0.0,0.0,NULL,NULL,0.0
142,2019-08-24,22.28,0.0,0.0,NULL,NULL,0.0
143,2019-08-25,22.28,0.0,0.0,NULL,NULL,0.0
144,2019-08-26,22.28,0.0,0.0,NULL,NULL,0.0
145,2019-08-27,22.28,0.0,0.0,NULL,NULL,0.0
146,2019-08-28,21.66,2.0,0.0,19,156,4.0
147,2019-08-29,21.66,0.0,0.0,NULL,NULL,0.0
148,2019-08-30,21.66,0.0,0.0,NULL,NULL,0.0
149,2019-08-31,21.66,0.0,0.0,NULL,NULL,0.0
150,2019-09-01,21.66,0.0,0.0,NULL,NULL,0.0
151,2019-09-02,21.66,0.0,0.0,NULL,NULL,0.0
152,2019-09-03,21.66,0.0,0.0,NULL,NULL,0.0
153,2019-09-04,21.66,0.0,0.0,NULL,NULL,0.0
154,2019-09-05,21.66,0.0,0.0,NULL,NULL,0.0
155,2019-09-06,21.66,0.0,0.0,NULL,NULL,0.0
156,2019-09-07,21.66,0.0,0.0,NULL,NULL,0.0
157,2019-09-08,21.66,0.0,0.0,NULL,NULL,0.0
158,2019-09-09,0.0,0.0,0.0,NULL,NULL,0.0
159,2019-09-10,0.0,0.0,0.0,NULL,NULL,0.0
160,2019-09-11,0.0,1.0,0.0,26,176,3.0
161,2019-09-12,0.0,0.0,0.0,NULL,NULL,0.0
162,2019-09-13,0.0,0.0,0.0,NULL,NULL,0.0
163,2019-09-14,0.0,0.0,0.0,NULL,NULL,0.0
164,2019-09-15,0.0,0.0,0.0,NULL,NULL,0.0
165,2019-09-16,0.0,0.0,0.0,NULL,NULL,0.0
166,2019-09-17,0.0,0.0,0.0,NULL,NULL,0.0
167,2019-09-18,0.0,0.0,0.0,NULL,NULL,0.0
168,2019-09-19,0.0,0.0,0.0,NULL,NULL,0.0
169,2019-09-20,0.0,0.0,0.0,NULL,NULL,0.0
170,2019-09-21,0.0,0.0,0.0,NULL,NULL,0.0
171,2019-09-22,0.0,0.0,0.0,NULL,NULL,0.0
172,2019-09-23,0.0,0.0,0.0,NULL,NULL,0.0
173,2019-09-24,0.0,0.0,0.0,NULL,NULL,0.0
174,2019-09-25,0.0,0.0,0.0,NULL,NULL,0.0
175,2019-09-26,21.04,0.0,0.0,NULL,NULL,0.0
176,2019-09-27,21.04,0.0,0.0,NULL,NULL,0.0
177,2019-09-28,21.04,0.0,0.0,NULL,NULL,0.0
178,2019-09-29,21.04,0.0,0.0,NULL,NULL,0.0
179,2019-09-30,21.04,0.0,0.0,NULL,NULL,0.0
180,2019-10-01,21.04,0.0,0.0,NULL,NULL,0.0
181,2019-10-02,21.04,0.0,0.0,NULL,NULL,0.0
182,2019-10-03,21.04,0.0,0.0,NULL,NULL,0.0
183,2019-10-04,21.04,0.0,0.0,NULL,NULL,0.0
