,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-15,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-16,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-01-17,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-01-18,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-01-19,0.0,369.0,326.0,13,55,36282.0
5,2019-01-20,0.0,278.0,202.0,14,61,32007.0
6,2019-01-21,0.0,258.0,148.0,20,69,45644.0
7,2019-01-22,0.0,267.0,168.0,20,70,42980.0
8,2019-01-23,0.0,568.0,363.0,13,55,68879.0
9,2019-01-24,0.0,575.0,262.0,13,54,70625.0
10,2019-01-25,0.0,878.0,469.0,9,43,111816.0
11,2019-01-26,0.0,685.0,215.0,11,46,95854.0
12,2019-01-27,0.0,614.0,278.0,10,46,89348.0
13,2019-01-28,0.0,629.0,666.0,11,50,87724.0
14,2019-01-29,0.0,483.0,267.0,14,61,85803.0
15,2019-01-30,0.0,448.0,101.0,15,65,79657.0
16,2019-01-31,0.0,399.0,160.0,16,64,68714.0
17,2019-02-01,0.0,340.0,170.0,18,69,63613.0
18,2019-02-02,0.0,361.0,453.0,18,68,68025.0
19,2019-02-03,0.0,340.0,397.0,20,72,62067.0
20,2019-02-04,0.0,305.0,91.0,19,75,57340.0
21,2019-02-05,0.0,304.0,87.0,17,75,60934.0
22,2019-02-06,0.0,295.0,279.0,18,79,57346.0
23,2019-02-07,0.0,301.0,90.0,19,74,60089.0
24,2019-02-08,0.0,297.0,267.0,21,76,62483.0
25,2019-02-09,0.0,329.0,130.0,18,70,59886.0
26,2019-02-10,0.0,341.0,129.0,16,65,72161.0
27,2019-02-11,0.0,362.0,58.0,15,58,63121.0
28,2019-02-12,0.0,344.0,45.0,17,65,59630.0
29,2019-02-13,0.0,357.0,366.0,15,64,66678.0
30,2019-02-14,0.0,365.0,173.0,16,67,66018.0
31,2019-02-15,0.0,415.0,231.0,15,61,78264.0
32,2019-02-16,0.0,397.0,629.0,15,60,71676.0
33,2019-02-17,0.0,390.0,168.0,16,63,65002.0
34,2019-02-18,0.0,456.0,169.0,15,60,66155.0
35,2019-02-19,0.0,410.0,79.0,16,65,47527.0
36,2019-02-20,0.0,434.0,355.0,8,33,61340.0
37,2019-02-21,0.0,418.0,238.0,7,33,63576.0
38,2019-02-22,0.0,420.0,386.0,9,35,60869.0
39,2019-02-23,0.0004,390.0,155.0,8,35,60941.0
40,2019-02-24,0.0004,406.0,348.0,8,34,60356.0
41,2019-02-25,0.0,463.0,122.0,8,37,67854.0
42,2019-02-26,0.0,458.0,16.0,8,35,68421.0
43,2019-02-27,0.0,498.0,161.0,8,36,79596.0
44,2019-02-28,0.0,490.0,290.0,10,39,74796.0
45,2019-03-01,0.0,527.0,103.0,11,40,88701.0
46,2019-03-02,0.0,539.0,39.0,9,36,90212.0
47,2019-03-03,0.0,642.0,63.0,8,32,98544.0
48,2019-03-04,0.0,679.0,80.0,6,25,94582.0
49,2019-03-05,0.0,722.0,47.0,8,33,108293.0
50,2019-03-06,0.0,705.0,47.0,8,32,111001.0
51,2019-03-07,0.0,845.0,143.0,8,27,138809.0
52,2019-03-08,0.0,835.0,73.0,8,28,123597.0
53,2019-03-09,0.0,655.0,51.0,8,32,99428.0
54,2019-03-10,0.0,637.0,41.0,6,30,88076.0
55,2019-03-11,0.0,662.0,46.0,8,34,95489.0
56,2019-03-12,0.0,738.0,134.0,7,32,114157.0
57,2019-03-13,0.0,683.0,25.0,8,31,110323.0
58,2019-03-14,0.0005,685.0,54.0,8,32,103824.0
59,2019-03-15,0.0007,659.0,66.0,9,37,106310.0
60,2019-03-16,0.0007,720.0,401.0,8,32,107876.0
61,2019-03-17,0.0007,760.0,73.0,8,33,114782.0
62,2019-03-18,0.0007,713.0,430.0,8,36,104919.0
63,2019-03-19,0.0007,723.0,18.0,8,32,108984.0
64,2019-03-20,0.0,756.0,31.0,8,34,114339.0
65,2019-03-21,0.0,699.0,41.0,8,31,173328.0
66,2019-03-22,0.0,630.0,23.0,9,35,87224.0
67,2019-03-23,0.0,603.0,21.0,8,36,83101.0
68,2019-03-24,9.89,644.0,34.0,7,33,88634.0
69,2019-03-25,8.97,686.0,24.0,9,34,91594.0
70,2019-03-26,8.02,633.0,148.0,9,37,87712.0
71,2019-03-27,7.06,618.0,13.0,8,35,89142.0
72,2019-03-28,6.19,729.0,118.0,8,36,95156.0
73,2019-03-29,5.29,654.0,14.0,11,39,86229.0
74,2019-03-30,4.39,590.0,26.0,8,37,92466.0
75,2019-03-31,3.61,694.0,9.0379,5,36,104276.0
76,2019-04-01,2.59,678.0,170.10829999999999,5,36,76679.0
77,2019-04-02,11.58,613.0,49.15110000000001,3,38,69775.0
78,2019-04-03,10.49,569.0,14.1346,5,43,68172.0
79,2019-04-04,9.52,560.0,4.4958,5,40,70166.0
80,2019-04-05,8.39,535.0,17.5965,3,40,64826.0
81,2019-04-06,7.1,551.0,116.93789999999997,5,36,78847.0
82,2019-04-07,6.14,514.0,110.94689999999999,5,39,70062.0
83,2019-04-08,5.0,485.0,23.399099999999994,5,44,68521.0
84,2019-04-09,3.9,469.0,117.14460000000003,3,40,68631.0
85,2019-04-10,2.67,507.0,85.51249999999999,5,42,76842.0
86,2019-04-11,1.64,522.0,14.1005,5,39,82116.0
87,2019-04-12,0.53,470.0,9.503199999999998,5,42,80944.0
88,2019-04-13,9.4,466.0,44.440900000000006,5,39,80568.0
89,2019-04-14,8.28,441.0,101.5981,5,41,81209.0
90,2019-04-15,7.14,483.0,22.136399999999995,5,39,75859.0
91,2019-04-16,5.94,541.0,39.12350000000001,5,37,72001.0
92,2019-04-17,4.86,390.0,26.5338,7,42,60120.0
93,2019-04-18,4.17,434.0,13.687899999999999,6,41,68625.0
94,2019-04-19,22.86,563.0,47.403200000000005,4,35,64204.0
95,2019-04-20,21.83,534.0,93.8994,4,38,60556.0
96,2019-04-21,20.66,562.0,2.961099999999999,4,35,67278.0
97,2019-04-22,18.16,626.0,5.268800000000001,3,34,61223.0
98,2019-04-23,15.48,675.0,4.6861999999999995,3,33,61215.0
99,2019-04-24,12.87,673.0,4.495800000000001,3,32,60974.0
100,2019-04-25,10.35,682.0,17.0578,3,35,60543.0
101,2019-04-26,7.74,726.0,2.2949,3,31,55656.0
102,2019-04-27,5.17,714.0,5.998499999999999,3,32,53942.0
103,2019-04-28,2.38,729.0,19.7737,3,32,53954.0
104,2019-04-29,20.52,702.0,38.0522,3,34,60436.0
105,2019-04-30,18.06,735.0,6.242400000000001,2,32,53071.0
106,2019-05-01,15.36,726.0,1.9757,2,34,42108.0
107,2019-05-02,12.6,745.0,2.9495,3,33,41847.0
108,2019-05-03,10.02,710.0,5.3534,3,35,43283.0
109,2019-05-04,7.47,705.0,16.749000000000006,3,30,48669.0
110,2019-05-05,4.31,728.0,101.0439,3,31,56781.0
111,2019-05-06,1.71,714.0,8.332500000000001,3,35,57119.0
112,2019-05-07,19.18,697.0,38.657300000000006,3,38,59542.0
113,2019-05-08,16.59,723.0,9.625499999999999,3,34,59392.0
114,2019-05-09,13.97,702.0,4.142200000000001,3,35,59508.0
115,2019-05-10,48.05,713.0,49.42829999999999,3,31,56684.0
116,2019-05-11,45.94,680.0,3.5458000000000007,3,33,58008.0
117,2019-05-12,42.85,700.0,3.6131,3,31,58882.0
118,2019-05-13,40.62,702.0,6.236000000000001,3,31,58060.0
119,2019-05-14,37.96,715.0,2.2915000000000005,3,30,60584.0
120,2019-05-15,34.86,697.0,1.2117,3,29,58213.0
121,2019-05-16,32.44,704.0,1.4937999999999998,3,31,56904.0
122,2019-05-17,29.93,690.0,7.606699999999999,3,33,57969.0
123,2019-05-18,27.43,683.0,6.621,3,31,56483.0
124,2019-05-19,24.62,697.0,3.609200000000001,3,31,53505.0
125,2019-05-20,22.02,690.0,3.421900000000001,3,32,61862.0
126,2019-05-21,19.5,697.0,2.8528000000000002,3,28,58331.0
127,2019-05-22,17.01,680.0,1.4259000000000002,3,31,58249.0
128,2019-05-23,14.44,671.0,1.994,2,32,55971.0
129,2019-05-24,11.83,659.0,1.3308,2,27,55934.0
130,2019-05-25,9.23,665.0,9.6587,2,28,55388.0
131,2019-05-26,6.59,670.0,21.805999999999997,2,28,61316.0
132,2019-05-27,54.13,678.0,86.57249999999998,3,30,58076.0
133,2019-05-28,51.18,678.0,10.242300000000002,3,34,59727.0
134,2019-05-29,48.81,661.0,14.111999999999995,3,33,52718.0
135,2019-05-30,46.47,666.0,1.2298999999999998,3,30,47015.0
136,2019-05-31,43.55,660.0,2.9871,3,30,45264.0
137,2019-06-01,40.94,680.0,2.3003,3,28,49116.0
138,2019-06-02,38.42,682.0,0.5152,3,28,47418.0
139,2019-06-03,35.8,668.0,14.6724,3,29,45193.0
140,2019-06-04,32.91,653.0,3.6550000000000007,3,27,47304.0
141,2019-06-05,30.6,437.0,1.4255,5,34,17594.0
142,2019-06-06,28.1,643.0,1.5248,3,29,19851.0
143,2019-06-07,25.53,644.0,0.7277999999999998,3,29,18542.0
144,2019-06-08,22.7,649.0,0.8153,3,27,12186.0
145,2019-06-09,20.1,647.0,0.7158,3,29,15677.0
146,2019-06-10,17.39,629.0,3.5332999999999997,3,29,12831.0
147,2019-06-11,15.11,629.0,5.565,3,29,23578.0
148,2019-06-12,12.44,625.0,24.331500000000002,3,29,28103.0
149,2019-06-13,9.85,620.0,8.171,3,29,31029.0
150,2019-06-14,7.29,630.0,0.5624,3,29,29179.0
151,2019-06-15,4.59,630.0,0.9137,3,29,25555.0
152,2019-06-16,1.93,634.0,0.9438000000000002,3,28,28369.0
153,2019-06-17,0.0,635.0,0.9234,3,30,41410.0
154,2019-06-18,56.96,628.0,60.3065,3,31,46077.0
155,2019-06-19,54.56,642.0,0.5684,3,30,32687.0
156,2019-06-20,51.98,613.0,0.6741,3,30,35170.0
157,2019-06-21,49.85,622.0,0.49229999999999996,3,30,45011.0
158,2019-06-22,47.46,637.0,0.4343,3,30,48189.0
159,2019-06-23,44.33,625.0,0.597,3,31,48271.0
160,2019-06-24,41.86,627.0,0.2336,3,30,46673.0
161,2019-06-25,39.55,619.0,1.0281999999999998,3,31,46613.0
162,2019-06-26,36.96,604.0,0.24680000000000002,3,31,47562.0
163,2019-06-27,34.38,615.0,0.5492,3,32,49293.0
164,2019-06-28,31.9,601.0,0.3617,3,32,51718.0
165,2019-06-29,29.49,617.0,1.2055,5,33,51600.0
166,2019-06-30,27.37,612.0,0.48780000000000007,5,36,21666.0
167,2019-07-01,24.52,612.0,0.1719,5,35,24044.0
168,2019-07-02,22.33,640.0,0.9468,5,35,26629.0
169,2019-07-03,19.6,616.0,1.3763,5,36,32059.0
170,2019-07-04,17.2,584.0,0.2602,5,36,31268.0
171,2019-07-05,14.65,624.0,0.8161,5,34,28035.0
172,2019-07-06,12.73,606.0,0.3073,4,33,24020.0
173,2019-07-07,9.59,610.0,3.8045999999999998,4,33,32073.0
174,2019-07-08,7.21,611.0,2.8188999999999997,4,31,38920.0
175,2019-07-09,4.55,622.0,1.2344,4,32,42182.0
176,2019-07-10,1.95,614.0,17.8611,4,31,36315.0
177,2019-07-11,89.92,626.0,92.976,4,29,37611.0
178,2019-07-12,86.9,637.0,3.2641000000000004,4,30,37406.0
179,2019-07-13,84.53,616.0,1.0929,4,30,36514.0
180,2019-07-14,82.33,631.0,1.4613999999999998,4,32,34912.0
181,2019-07-15,79.67,623.0,2.7234,4,32,33296.0
182,2019-07-16,76.82,622.0,1.3501,5,33,33535.0
183,2019-07-17,74.45,630.0,0.6678,5,31,32919.0
184,2019-07-18,72.01,649.0,1.2225000000000001,5,29,29187.0
185,2019-07-19,69.31,630.0,1.0264000000000002,4,31,30988.0
186,2019-07-20,66.8,850.0,5.2772999999999985,4,25,32586.0
187,2019-07-21,64.16,728.0,1.8044000000000004,5,27,29914.0
188,2019-07-22,61.81,628.0,5.602899999999999,4,28,29940.0
189,2019-07-23,59.33,635.0,0.9794,5,28,24704.0
190,2019-07-24,56.98,602.0,0.8986,4,28,21352.0
191,2019-07-25,54.43,342.0,4.883,8,38,17097.0
192,2019-07-26,52.14,606.0,1.8525000000000003,4,26,36998.0
193,2019-07-27,49.59,594.0,4.3301,4,24,37320.0
194,2019-07-28,47.73,614.0,0.32780000000000004,4,24,39970.0
195,2019-07-29,44.66,596.0,0.7259,4,26,40698.0
196,2019-07-30,42.04,611.0,57.734899999999996,4,27,43078.0
197,2019-07-31,39.39,614.0,13.845300000000002,4,26,40034.0
198,2019-08-01,37.52,616.0,21.8532,4,28,40595.0
199,2019-08-02,34.65,555.0,1.3944,5,29,38560.0
200,2019-08-03,32.31,615.0,2.0172999999999996,4,29,41321.0
201,2019-08-04,29.8,603.0,0.7728,5,28,38358.0
202,2019-08-05,27.41,605.0,3.4051,5,29,30465.0
203,2019-08-06,25.26,635.0,2.0648,4,25,27427.0
204,2019-08-07,22.63,594.0,2.3175,4,28,25783.0
205,2019-08-08,20.62,237.0,3.1382000000000003,8,50,26647.0
206,2019-08-09,17.95,629.0,1.6644,4,26,27416.0
207,2019-08-10,15.54,619.0,1.2304,4,24,27706.0
208,2019-08-11,13.08,631.0,0.7394000000000001,4,25,26798.0
209,2019-08-12,10.66,649.0,1.8449000000000002,4,26,30699.0
210,2019-08-13,8.4,631.0,1.4631999999999998,5,28,35069.0
211,2019-08-14,6.38,623.0,1.0790000000000002,5,28,33162.0
212,2019-08-15,436.35,608.0,433.5522,4,26,36425.0
213,2019-08-16,433.4,584.0,3.4079999999999995,5,27,28092.0
214,2019-08-17,430.75,572.0,1.1312999999999998,5,29,24838.0
215,2019-08-18,428.71,578.0,2.6516,5,28,36439.0
216,2019-08-19,426.52,220.0,0.5524,8,47,29833.0
217,2019-08-20,424.68,170.0,0.19619999999999999,8,48,24172.0
218,2019-08-21,422.26,454.0,4.2033,6,32,24173.0
219,2019-08-22,420.38,606.0,1.0425,5,29,28999.0
220,2019-08-23,417.36,601.0,4.195,5,29,28109.0
221,2019-08-24,415.07,597.0,1.0305,4,27,29484.0
222,2019-08-25,412.3,607.0,4.053799999999999,5,27,32915.0
223,2019-08-26,410.5,618.0,7.335200000000001,5,28,26593.0
224,2019-08-27,407.32,596.0,1.5765000000000002,5,29,31457.0
225,2019-08-28,404.81,608.0,1.5172,5,30,29297.0
226,2019-08-29,402.48,604.0,1.0833,5,28,27492.0
227,2019-08-30,400.41,604.0,3.6630999999999996,5,28,27966.0
228,2019-08-31,397.68,615.0,5.8761,5,25,29019.0
229,2019-09-01,395.22,618.0,1.4862000000000002,5,26,29590.0
230,2019-09-02,392.82,241.0,1.6191,7,42,30868.0
231,2019-09-03,390.46,606.0,2.3793000000000006,5,27,29148.0
232,2019-09-04,387.83,607.0,0.9069,5,27,28114.0
233,2019-09-05,385.41,608.0,0.5174000000000001,5,27,30075.0
234,2019-09-06,383.38,682.0,3.6445,4,25,33548.0
235,2019-09-07,381.5,603.0,9.816999999999998,5,28,38126.0
236,2019-09-08,378.09,588.0,0.6193000000000001,5,27,33149.0
237,2019-09-09,0.0,573.0,22.8381,5,27,36171.0
238,2019-09-10,0.0,584.0,26.679300000000005,5,27,32935.0
239,2019-09-11,0.0,654.0,6.474100000000001,5,26,33622.0
240,2019-09-12,0.0,615.0,7.758,5,29,35734.0
241,2019-09-13,0.0,494.0,5.7982000000000005,6,29,32154.0
242,2019-09-14,0.0,495.0,1.225,6,29,32204.0
243,2019-09-15,0.0,525.0,10.238800000000001,6,29,30100.0
244,2019-09-16,0.0,475.0,2.2323000000000004,6,31,28904.0
245,2019-09-17,0.0,491.0,7.161899999999999,6,29,27670.0
246,2019-09-18,0.0,503.0,1.2935,6,29,29058.0
247,2019-09-19,0.0,467.0,1.4403,5,28,22260.0
248,2019-09-20,0.0,462.0,1.6117000000000001,6,26,23696.0
249,2019-09-21,0.0,390.0,0.7642,6,29,23292.0
250,2019-09-22,0.0,374.0,1.0909,6,31,19820.0
251,2019-09-23,0.0,358.0,30.814700000000013,6,30,28224.0
252,2019-09-24,0.0,410.0,14.261099999999995,6,30,29060.0
253,2019-09-25,0.0,539.0,12.781599999999996,5,26,32761.0
254,2019-09-26,336.47,554.0,31.646199999999997,5,26,28974.0
255,2019-09-27,333.85,150.0,11.2396,8,48,22489.0
256,2019-09-28,331.25,533.0,2.1029,6,25,26601.0
257,2019-09-29,329.26,518.0,0.8606,6,25,25508.0
258,2019-09-30,326.79,510.0,13.0757,6,25,22120.0
259,2019-10-01,323.32,414.0,0.4409,6,28,25128.0
260,2019-10-02,322.19,261.0,7.813100000000001,6,31,19809.0
261,2019-10-03,320.02,45.0,0.8633000000000001,9,54,16734.0
262,2019-10-04,316.58,430.0,1.8322,6,30,31872.0
263,2019-10-05,314.73,192.0,2.9140000000000006,6,33,19940.0
264,2019-10-06,312.98,49.0,1.5614000000000001,9,54,6779.0
265,2019-10-07,310.25,39.0,2.9123,10,55,8343.0
266,2019-10-08,307.67,46.0,1.5486999999999997,10,59,7215.0
267,2019-10-09,305.75,128.0,1.8277999999999999,8,40,6394.0
268,2019-10-10,302.55,153.0,8.761299999999999,8,43,14486.0
269,2019-10-11,300.5,459.0,2.0965000000000003,6,28,12613.0
270,2019-10-12,298.16,453.0,1.4689,6,28,19871.0
271,2019-10-13,295.59,520.0,25.2516,6,26,18506.0
272,2019-10-14,292.95,465.0,0.9994999999999999,6,25,18020.0
273,2019-10-15,290.52,451.0,1.4649,6,28,13906.0
274,2019-10-16,287.51,406.0,0.20570000000000002,6,29,11324.0
275,2019-10-17,285.06,373.0,0.3812,6,31,14083.0
276,2019-10-18,283.46,446.0,0.39210000000000006,6,28,9010.0
277,2019-10-19,280.5,426.0,0.7105,6,28,9052.0
