,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-10-24,20528.64,91.0,21037.0,7,36,10101.0
1,2018-10-25,20633.81,6571.0,427.0,2,4,16518.0
2,2018-10-26,20748.53,32479.0,354.0,1,1,64174.0
3,2018-10-27,23230.81,6807.0,0.0,1,3,36605.0
4,2018-10-28,23418.27,6730.0,642.0,1,1,15078.0
5,2018-10-29,23455.16,220.0,192.0,4,23,4792.0
6,2018-10-30,23758.8,144.0,0.0,3,33,14535.0
7,2018-10-31,20139.75,1279.0,77591.0,3,9,111292.0
8,2018-11-01,20773.64,307.0,8835.0,4,26,40480.0
9,2018-11-02,20738.38,376.0,5697.0,4,23,22689.0
10,2018-11-03,20211.28,284.0,15570.0,4,26,31166.0
11,2018-11-04,20294.15,302.0,6119.0,4,24,19529.0
12,2018-11-05,18936.3,171.0,3662.0,4,33,6789.0
13,2018-11-06,19292.95,165.0,3429.0,4,39,5804.0
14,2018-11-07,19396.69,208.0,3720.0,4,33,12235.0
15,2018-11-08,19336.33,152.0,2484.0,4,33,14885.0
16,2018-11-09,19397.73,130.0,1844.0,4,39,15466.0
17,2018-11-10,19443.29,92.0,521.0,4,39,5086.0
18,2018-11-11,19431.52,97.0,852.0,5,41,6515.0
19,2018-11-12,19714.02,117.0,5639.0,4,40,26199.0
20,2018-11-13,19853.08,106.0,5806.0,4,41,25563.0
21,2018-11-14,19919.89,77.0,5065.0,4,45,18144.0
22,2018-11-15,20075.58,104.0,4586.0,4,39,18414.0
23,2018-11-16,20435.68,100.0,6890.0,4,42,21819.0
24,2018-11-17,19490.39,83.0,1265.0,4,41,5825.0
25,2018-11-18,19854.47,50.0,590.0,5,45,992.0
26,2018-11-19,14939.93,84.0,2150.0,4,42,15353.0
27,2018-11-20,10026.85,73.0,1870.0,4,42,14107.0
28,2018-11-21,9980.65,70.0,1028.0,4,44,8841.0
29,2018-11-22,9987.36,53.0,723.0,6,49,6573.0
30,2018-11-23,10037.82,52.0,213.0,6,51,2670.0
31,2018-11-24,9984.24,63.0,117.0,6,47,1236.0
32,2018-11-25,9994.62,41.0,535.0,6,52,4774.0
33,2018-11-26,10018.05,49.0,786.0,7,49,8207.0
34,2018-11-27,10047.65,48.0,223.0,7,52,4573.0
35,2018-11-28,10067.66,53.0,148.0,8,57,2617.0
36,2018-11-29,10058.01,25.0,1.0,8,70,215.0
37,2018-11-30,10064.98,22.0,0.0,9,75,313.0
38,2018-12-01,10067.35,31.0,28.0,8,64,302.0
39,2018-12-02,10065.06,19.0,4.0,10,75,45.0
40,2018-12-03,10064.65,20.0,17.0,9,79,88.0
41,2018-12-04,10056.46,24.0,17.0,9,79,254.0
42,2018-12-05,10068.92,14.0,25.0,13,89,139.0
43,2018-12-06,10069.98,16.0,13.0,11,90,178.0
44,2018-12-07,10070.98,15.0,3.0,10,86,48.0
45,2018-12-08,7117.57,32.0,153.0,6,69,866.0
46,2018-12-09,7276.53,28.0,363.0,7,67,910.0
47,2018-12-10,7130.8,19.0,13.0,10,77,4131.0
48,2018-12-11,6910.24,28.0,12.0,8,65,4801.0
49,2018-12-12,6898.94,27.0,32.0,9,67,790.0
50,2018-12-13,6881.69,18.0,97.0,10,74,2310.0
51,2018-12-14,6887.31,19.0,62.0,8,75,1554.0
52,2018-12-15,6890.36,10.0,15.0,13,84,412.0
53,2018-12-16,6890.2,11.0,0.0,10,81,90.0
54,2018-12-17,6889.84,12.0,1.0,12,82,190.0
55,2018-12-18,6892.7,18.0,7.0,10,78,202.0
56,2018-12-19,6940.06,36.0,475.0,9,68,5869.0
57,2018-12-20,6920.78,23.0,503.0,13,79,6503.0
58,2018-12-21,6954.29,26.0,235.0,13,74,2481.0
59,2018-12-22,6953.36,19.0,3.0,15,76,271.0
60,2018-12-23,6944.2,8.0,40.0,17,98,73.0
61,2018-12-24,6933.81,12.0,0.0,14,85,151.0
62,2018-12-25,6921.53,14.0,0.0,13,86,1145.0
63,2018-12-26,6961.34,18.0,0.0,14,80,4615.0
64,2018-12-27,7514.16,35.0,0.0,13,66,6846.0
65,2018-12-28,7311.87,74.0,0.0,9,55,7445.0
66,2018-12-29,8219.86,132.0,12357.0,8,48,8624.0
67,2018-12-30,7790.23,64.0,4562.0,9,60,8274.0
68,2018-12-31,7639.68,41.0,4273.0,18,112,7046.0
69,2019-01-01,7518.92,36.0,3977.0,20,117,7969.0
70,2019-01-02,7420.46,48.0,1378.0,16,108,6011.0
71,2019-01-03,7292.75,43.0,1492.0,16,111,5772.0
72,2019-01-04,5501.3,39.0,8276.0,16,115,8656.0
73,2019-01-05,5281.52,40.0,4962.0,15,106,8008.0
74,2019-01-06,5109.31,33.0,3478.0,17,113,7743.0
75,2019-01-07,4927.7,40.0,11975.0,17,114,10919.0
76,2019-01-08,4827.34,44.0,5350.0,23,122,9070.0
77,2019-01-09,5063.64,35.0,4577.0,24,130,7916.0
78,2019-01-10,4968.8,35.0,3643.0,25,128,6600.0
79,2019-01-11,4893.51,79.0,7545.0,18,98,12153.0
80,2019-01-12,4841.62,82.0,4332.0,16,91,17028.0
81,2019-01-13,4658.97,44.0,9656.0,24,112,13585.0
82,2019-01-14,4341.1,79.0,3125.0,19,104,10738.0
83,2019-01-15,4152.41,71.0,6108.0,21,110,16606.0
84,2019-01-16,3916.74,46.0,5477.0,25,117,9160.0
85,2019-01-17,4028.74,30.0,3804.0,29,124,5291.0
86,2019-01-18,4006.54,40.0,2636.0,26,117,5365.0
87,2019-01-19,4064.91,35.0,2241.0,28,119,5241.0
88,2019-01-20,4054.21,17.0,81.0,36,140,4920.0
89,2019-01-21,4181.96,12.0,748.0,42,153,4903.0
90,2019-01-22,4199.56,16.0,1590.0,38,140,5158.0
91,2019-01-23,4233.14,25.0,562.0,29,134,5086.0
92,2019-01-24,4219.61,19.0,2.0,32,140,4356.0
93,2019-01-25,4225.53,22.0,34.0,30,131,4800.0
94,2019-01-26,4217.55,16.0,3.0,31,138,4698.0
95,2019-01-27,4996.17,19.0,2076.0,29,139,5256.0
96,2019-01-28,4908.41,27.0,5582.0,30,139,8942.0
97,2019-01-29,4990.64,21.0,624.0,31,147,5818.0
98,2019-01-30,5091.53,17.0,1748.0,35,153,6448.0
99,2019-01-31,5088.82,18.0,540.0,34,155,6235.0
100,2019-02-01,5077.44,10.0,254.0,42,158,5713.0
101,2019-02-02,5077.09,15.0,244.0,38,155,5168.0
102,2019-02-03,5083.84,13.0,252.0,37,151,5217.0
103,2019-02-04,5074.79,13.0,254.0,39,155,5252.0
104,2019-02-05,5066.02,12.0,252.0,38,159,5143.0
105,2019-02-06,5073.19,14.0,261.0,40,157,5223.0
106,2019-02-07,5040.08,7.0,327.0,44,159,5196.0
107,2019-02-08,5171.72,17.0,2702.0,37,151,5469.0
108,2019-02-09,5180.74,13.0,250.0,41,154,5285.0
109,2019-02-10,5157.04,16.0,263.0,40,155,5180.0
110,2019-02-11,5168.62,19.0,250.0,39,157,5245.0
111,2019-02-12,5170.75,12.0,258.0,41,161,5259.0
112,2019-02-13,5156.13,12.0,249.0,40,166,5081.0
113,2019-02-14,5166.58,12.0,263.0,41,167,5210.0
114,2019-02-15,5172.96,13.0,246.0,42,176,5217.0
115,2019-02-16,5148.43,10.0,250.0,41,167,5198.0
116,2019-02-17,5153.54,15.0,252.0,38,161,5269.0
117,2019-02-18,5169.69,13.0,247.0,38,170,5086.0
118,2019-02-19,5170.79,14.0,157.0,40,167,3350.0
119,2019-02-20,3155.67,12.0,251.0,21,98,5181.0
