,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-23,0,4.0,0.2289000000000001,21,147,320.0
1,2019-05-24,0,4.0,121.965,19,150,367.0
2,2019-05-27,0,4.0,0.2846000000000002,25,167,657.0
3,2019-05-28,0,3.0,0.3683000000000003,22,165,877.0
4,2019-05-29,0,4.0,0.5724000000000005,21,155,1087.0
5,2019-05-31,0,6.0,23.861599999999964,20,144,810.0
6,2019-06-04,0,2.0,4.100000000000001,21,168,95.0
7,2019-06-06,0,2.0,1.0999999999999999,25,169,88.0
8,2019-06-07,0,2.0,3.300000000000001,26,167,62.0
9,2019-06-09,0,2.0,0.1,28,171,5.0
10,2019-06-10,0,2.0,2.700000000000001,23,173,96.0
11,2019-06-11,0,4.0,5.020000000000001,20,141,119.0
12,2019-06-12,0,2.0,1.9200000000000008,26,176,78.0
13,2019-06-14,0,2.0,99.9,22,171,80.0
14,2019-06-15,0,2.0,1.3,19,152,79.0
15,2019-06-16,0,2.0,1.8300000000000007,25,157,51.0
16,2019-06-17,0,10.0,22.124899999999997,13,114,1854.0
17,2019-06-18,0,41.0,464.0773000000002,10,76,8469.0
18,2019-06-19,0,28.0,138.7532000000006,10,85,3506.0
19,2019-06-20,0,23.0,175.8809999999992,10,90,3943.0
20,2019-06-21,0,15.0,127.33909999999995,11,103,5162.0
21,2019-06-22,0,10.0,30.699999999999967,12,113,2473.0
22,2019-06-23,0,8.0,9.878700000000004,14,119,1882.0
23,2019-06-24,0,8.0,8.623300000000004,14,123,1148.0
24,2019-06-25,0,14.0,130.9562000000002,14,113,2983.0
25,2019-06-26,0,8.0,180.34190000000015,14,122,4592.0
26,2019-06-27,0,4.0,14.020299999999983,16,139,584.0
27,2019-06-28,0,10.0,22.0,13,112,1217.0
28,2019-06-29,0,4.0,25.948099999999975,17,137,1172.0
29,2019-06-30,0,3.0,4.800000000000001,21,149,1574.0
30,2019-07-01,0,6.0,18.008599999999987,14,129,1506.0
31,2019-07-02,0,3.0,0.6,24,160,882.0
32,2019-07-03,0,3.0,9.0289,19,151,1793.0
33,2019-07-04,0,3.0,10.908599999999986,23,157,1555.0
34,2019-07-05,0,4.0,101.2,18,145,2425.0
35,2019-07-06,0,4.0,32.62890000000008,16,135,1306.0
36,2019-07-07,0,3.0,2.9000000000000012,17,145,796.0
37,2019-07-08,0,3.0,2.1000000000000005,19,154,850.0
38,2019-07-09,0,4.0,63.59890000000001,21,147,973.0
39,2019-07-10,0,5.0,1.6,16,135,606.0
40,2019-07-11,0,2.0,1.8724,22,163,821.0
41,2019-07-12,0,6.0,9.29999999999999,16,138,1151.0
42,2019-07-13,0,4.0,38.29820000000019,16,133,1201.0
