,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-30,0.0,7.0,5.297799999999999,15,114,1470.0
1,2019-10-01,0.0,13.0,40.20000000000001,13,96,1512.0
2,2019-10-02,0.0,8.0,3.8680000000000003,14,109,1412.0
3,2019-10-03,0.0,2.0,0.1,17,143,1394.0
4,2019-10-04,0.0,6.0,2.0624,13,113,1462.0
5,2019-10-05,0.0,4.0,2.0,14,119,1375.0
6,2019-10-06,0.0,2.0,0.4,17,135,1339.0
7,2019-10-07,0.0,5.0,0.5,15,116,1367.0
8,2019-10-10,0.0,16.0,1.7003000000000001,13,96,1203.0
9,2019-10-11,1050.99,11.0,9.9331,13,106,1547.0
10,2019-10-12,1051.79,15.0,2.9003,12,101,1491.0
11,2019-10-13,1052.49,5.0,0.7000000000000001,12,126,1441.0
12,2019-10-14,1070.17,15.0,19.8819,12,93,1519.0
13,2019-10-15,1079.23,15.0,16.560000000000002,13,95,1604.0
14,2019-10-16,1080.03,10.0,2.8004000000000002,15,109,1496.0
15,2019-10-17,1072.03,13.0,24.50019999999999,15,99,1648.0
16,2019-10-18,952.7,22.0,101.70009999999999,14,81,2178.0
17,2019-10-19,983.61,11.0,44.3243000000001,15,102,1670.0
18,2019-10-20,987.31,6.0,21.06209999999998,16,115,1683.0
19,2019-10-21,991.2,9.0,15.19999999999999,16,110,1668.0
20,2019-10-22,957.35,12.0,60.699999999999974,16,105,2052.0
21,2019-10-23,1010.82,15.0,163.7307999999999,16,102,2124.0
22,2019-10-24,1084.92,19.0,191.20000000000007,17,91,2671.0
23,2019-10-25,1087.37,18.0,3.850300000000001,15,84,1489.0
24,2019-10-26,1087.89,8.0,1.9001000000000001,16,106,1447.0
25,2019-10-27,1088.7,4.0,1.0,19,122,1445.0
26,2019-10-28,1081.13,18.0,13.7002,16,87,1632.0
27,2019-10-29,1064.88,15.0,39.72259999999997,16,96,2073.0
28,2019-10-30,780.69,20.0,524.9311999999945,17,89,6612.0
29,2019-10-31,743.17,28.0,546.5581,14,81,7401.0
30,2019-11-01,757.86,17.0,54.90009999999997,15,90,2245.0
31,2019-11-02,757.67,9.0,5.000000000000002,15,80,1526.0
32,2019-11-03,758.72,7.0,5.000000000000002,15,82,1510.0
33,2019-11-04,759.48,6.0,3.6000000000000023,16,96,1480.0
34,2019-11-05,759.39,10.0,2.1000000000000005,14,76,1472.0
35,2019-11-06,766.67,10.0,10.7475,14,75,1533.0
36,2019-11-07,766.9,11.0,4.000000000000001,13,71,1503.0
37,2019-11-08,768.56,9.0,3.0547999999999997,17,77,1482.0
38,2019-11-09,768.76,7.0,0.5,17,81,1450.0
39,2019-11-10,768.77,5.0,0.7999999999999999,17,88,1455.0
40,2019-11-11,768.51,19.0,24.103299999999987,11,56,1849.0
41,2019-11-12,771.39,16.0,4.6000000000000005,12,62,1465.0
42,2019-11-13,772.94,12.0,5.1722,15,73,1432.0
43,2019-11-14,774.05,9.0,4.4,16,86,1491.0
44,2019-11-15,772.1,9.0,5.700000000000001,14,83,1520.0
