,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-29,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-31,17.38,26.0,10.0,33,149,565.0
2,2019-02-01,15.13,13.0,27.0,39,155,1457.0
3,2019-02-02,232.96,28.0,677.0,32,143,4170.0
4,2019-02-03,231.67,18.0,16.0,35,146,1694.0
5,2019-02-04,231.91,29.0,1.0,33,141,1433.0
6,2019-02-05,187.21,10.0,2.0,40,161,630.0
7,2019-02-06,187.67,49.0,1.0,29,128,444.0
8,2019-02-07,191.21,29.0,10.0,34,139,401.0
9,2019-02-08,191.21,6.0,0.0,45,161,269.0
10,2019-02-09,191.39,3.0,0.0,48,164,214.0
11,2019-02-10,191.32,4.0,0.0,48,167,261.0
12,2019-02-11,61.71,469.0,38.0,13,56,1618.0
13,2019-02-12,98.25,28.0,46.0,36,148,942.0
14,2019-02-13,112.52,266.0,103.0,18,73,1098.0
15,2019-02-14,130.94,18.0,33.0,39,162,213.0
16,2019-02-15,122.61,22.0,229.0,38,169,1016.0
17,2019-02-16,119.98,64.0,20.0,32,129,341.0
18,2019-02-17,123.94,13.0,8.0,39,163,76.0
19,2019-02-18,124.52,18.0,9.0,36,165,91.0
20,2019-02-19,123.01,7.0,2.0,43,174,224.0
21,2019-02-20,133.62,8.0,0.0,23,102,653.0
22,2019-02-21,145.25,2.0,0.0,27,107,115.0
23,2019-02-22,138.01,2.0,0.0,28,110,331.0
24,2019-02-23,138.9421,4.0,2.0,74,275,23.0
25,2019-02-24,138.4171,5.0,1.0,42,181,72.0
26,2019-02-25,145.64,10.0,14.0,40,177,46.0
27,2019-02-26,145.72,6.0,2.0,44,177,33.0
28,2019-02-27,148.96,5.0,0.0,23,109,58.0
29,2019-02-28,147.35,3.0,1.0,28,151,59.0
30,2019-03-01,147.45,5.0,1.0,26,132,14.0
31,2019-03-02,147.46,5.0,1.0,25,127,18.0
32,2019-03-03,151.22,7.0,6.0,23,118,32.0
33,2019-03-04,152.45,8.0,3.0,23,120,56.0
34,2019-03-05,153.06,7.0,4.0,23,121,31.0
35,2019-03-06,153.98,6.0,4.0,24,118,40.0
36,2019-03-07,153.37,3.0,1.0,31,142,11.0
37,2019-03-08,153.07,3.0,0.0,28,144,6.0
38,2019-03-09,156.52,6.0,3.0,25,116,14.0
39,2019-03-10,156.28,6.0,2.0,25,118,16.0
40,2019-03-11,158.11,6.0,3.0,27,123,27.0
41,2019-03-12,160.42,338.0,5.0,10,44,362.0
42,2019-03-13,158.62,7.0,2.0,25,117,29.0
43,2019-03-14,0.121,7.0,3.0,25,119,29.0
44,2019-03-15,0.121,5.0,2.0,29,132,20.0
45,2019-03-17,0.121,5.0,2.0,27,121,14.0
46,2019-03-18,0.121,8.0,5.0,25,123,40.0
47,2019-03-19,0.0,5.0,2.0,31,136,21.0
48,2019-03-20,0.12,3.0,1.0,34,152,13.0
49,2019-03-21,0.12,4.0,3.0,29,136,24.0
50,2019-03-22,0.12,7.0,1.0,25,125,17.0
51,2019-03-23,0.12,5.0,1.0,25,128,14.0
52,2019-03-24,0.12,3.0,1.0,28,137,6.0
53,2019-03-25,0.12,6.0,2.0,26,128,16.0
54,2019-03-26,0.12,3.0,1.0,30,144,3.0
55,2019-03-27,0.12,3.0,4.0,31,146,5.0
56,2019-03-28,0.12,1.0,1.0,35,172,1.0
57,2019-03-29,0.12,3.0,1.0,30,140,5.0
58,2019-03-30,0.12,1.0,0.0,31,164,2.0
59,2019-03-31,0.12,1.0,0.39,28,178,3.0
60,2019-04-01,0.12,2.0,1.08,31,174,3.0
61,2019-04-02,0.12,1.0,0.9,32,201,1.0
62,2019-04-03,0.12,0.0,0.0,NULL,NULL,0.0
63,2019-04-04,0.12,0.0,0.0,NULL,NULL,0.0
64,2019-04-05,0.12,1.0,0.9,34,184,1.0
65,2019-04-06,0.12,0.0,0.0,NULL,NULL,0.0
66,2019-04-07,0.12,1.0,8.88,33,182,10.0
67,2019-04-08,0.12,2.0,5.1000000000000005,31,166,4.0
68,2019-04-09,191.06,0.0,0.0,NULL,NULL,0.0
69,2019-04-10,191.84,1.0,0.78,37,208,5.0
70,2019-04-11,192.23,1.0,0.39,39,203,2.0
71,2019-04-12,193.22,2.0,0.99,30,170,2.0
72,2019-04-13,193.22,0.0,0.0,NULL,NULL,0.0
73,2019-04-14,194.12,1.0,0.9,35,182,1.0
74,2019-04-15,195.92,40.0,1.7999999999999998,14,89,42.0
75,2019-04-16,196.82,29.0,0.8999999999999999,15,92,29.0
76,2019-04-17,196.82,7.0,0.0,26,139,7.0
77,2019-04-18,196.82,0.0,0.0,NULL,NULL,0.0
78,2019-04-19,196.82,0.0,0.0,NULL,NULL,0.0
79,2019-04-20,0.0,1.0,36.0891,38,184,1.0
80,2019-04-21,0.0,0.0,0.0,NULL,NULL,0.0
81,2019-04-22,0.0,0.0,0.0,NULL,NULL,0.0
82,2019-04-23,8.0,0.0,0.0,NULL,NULL,0.0
83,2019-04-24,8.0,0.0,0.0,NULL,NULL,0.0
