,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-20,0.0,2.0,10.001,21,168,3.0
1,2019-09-28,0.0,2.0,39.0,21,149,2.0
2,2019-09-29,39.53,1.0,2.0,21,166,2.0
3,2019-09-30,40.53,2.0,32.0,27,161,2.0
4,2019-10-01,39.68,1.0,30.0,24,175,1.0
5,2019-10-02,39.68,0.0,0.0,NULL,NULL,0.0
6,2019-10-03,39.68,0.0,0.0,NULL,NULL,0.0
7,2019-10-04,39.68,0.0,0.0,NULL,NULL,0.0
8,2019-10-05,39.68,0.0,0.0,NULL,NULL,0.0
9,2019-10-06,39.68,0.0,0.0,NULL,NULL,0.0
10,2019-10-07,39.68,1.0,1.0,26,163,1.0
11,2019-10-08,29.68,5.0,15.0,15,116,10.0
12,2019-10-09,31.68,3.0,4.0001,19,147,3.0
13,2019-10-10,32.68,2.0,2.0002,28,179,3.0
14,2019-10-11,44.68,3.0,13.0001,22,159,6.0
15,2019-10-12,56.67,5.0,16.0001,19,135,6.0
16,2019-10-13,56.67,0.0,0.0,NULL,NULL,0.0
17,2019-10-14,55.67,2.0,1.0001,30,182,2.0
18,2019-10-15,56.67,1.0,2.0,30,208,1.0
19,2019-10-16,56.67,3.0,2.0002000000000004,24,166,3.0
20,2019-10-17,56.67,3.0,3.0001,28,167,3.0
21,2019-10-18,56.67,1.0,5.0,29,183,2.0
22,2019-10-19,56.67,0.0,0.0,NULL,NULL,0.0
23,2019-10-20,56.67,0.0,0.0,NULL,NULL,0.0
24,2019-10-21,56.67,1.0,2.0,27,176,1.0
25,2019-10-22,56.67,1.0,3.0,27,183,1.0
26,2019-10-23,56.67,2.0,8.0001,30,196,4.0
27,2019-10-24,56.67,1.0,3.0,28,178,1.0
28,2019-10-25,53.67,0.0,0.0,NULL,NULL,0.0
29,2019-10-26,53.67,0.0,0.0,NULL,NULL,0.0
30,2019-10-27,53.67,0.0,0.0,NULL,NULL,0.0
31,2019-10-28,56.67,2.0,3.0001,28,176,2.0
32,2019-10-29,56.67,1.0,2.0,28,172,1.0
33,2019-10-30,56.67,1.0,2.0,30,177,1.0
34,2019-10-31,56.67,1.0,3.0,30,196,1.0
35,2019-11-01,53.67,0.0,0.0,NULL,NULL,0.0
36,2019-11-02,53.67,0.0,0.0,NULL,NULL,0.0
37,2019-11-03,53.67,0.0,0.0,NULL,NULL,0.0
38,2019-11-04,53.67,0.0,0.0,NULL,NULL,0.0
39,2019-11-05,53.67,0.0,0.0,NULL,NULL,0.0
40,2019-11-06,53.67,0.0,0.0,NULL,NULL,0.0
41,2019-11-07,53.67,0.0,0.0,NULL,NULL,0.0
42,2019-11-08,53.67,0.0,0.0,NULL,NULL,0.0
43,2019-11-09,53.67,0.0,0.0,NULL,NULL,0.0
44,2019-11-10,53.57,0.0,0.0,NULL,NULL,0.0
45,2019-11-11,53.57,0.0,0.0,NULL,NULL,0.0
46,2019-11-12,53.57,0.0,0.0,NULL,NULL,0.0
47,2019-11-13,53.57,0.0,0.0,NULL,NULL,0.0
48,2019-11-14,53.57,0.0,0.0,NULL,NULL,0.0
49,2019-11-15,53.57,0.0,0.0,NULL,NULL,0.0
50,2019-11-16,53.57,0.0,0.0,NULL,NULL,0.0
51,2019-11-17,53.57,0.0,0.0,NULL,NULL,0.0
52,2019-11-18,53.57,0.0,0.0,NULL,NULL,0.0
53,2019-11-19,53.57,0.0,0.0,NULL,NULL,0.0
54,2019-11-20,53.57,0.0,0.0,NULL,NULL,0.0
55,2019-11-21,53.57,0.0,0.0,NULL,NULL,0.0
56,2019-11-22,53.57,0.0,0.0,NULL,NULL,0.0
57,2019-11-23,53.57,0.0,0.0,NULL,NULL,0.0
58,2019-11-24,53.57,0.0,0.0,NULL,NULL,0.0
59,2019-11-25,53.57,0.0,0.0,NULL,NULL,0.0
60,2019-11-26,53.57,0.0,0.0,NULL,NULL,0.0
61,2019-11-27,53.57,0.0,0.0,NULL,NULL,0.0
62,2019-11-28,53.57,0.0,0.0,NULL,NULL,0.0
63,2019-11-29,53.47,0.0,0.0,NULL,NULL,0.0
64,2019-11-30,0.0,0.0,0.0,NULL,NULL,0.0
65,2019-12-01,53.47,0.0,0.0,NULL,NULL,0.0
66,2019-12-02,53.47,0.0,0.0,NULL,NULL,0.0
67,2019-12-03,53.47,0.0,0.0,NULL,NULL,0.0
68,2019-12-04,53.47,0.0,0.0,NULL,NULL,0.0
69,2019-12-05,53.47,0.0,0.0,NULL,NULL,0.0
70,2019-12-06,53.47,0.0,0.0,NULL,NULL,0.0
71,2019-12-07,53.47,0.0,0.0,NULL,NULL,0.0
72,2019-12-08,53.47,0.0,0.0,NULL,NULL,0.0
73,2019-12-09,53.47,0.0,0.0,NULL,NULL,0.0
74,2019-12-10,53.47,0.0,0.0,NULL,NULL,0.0
75,2019-12-11,53.47,0.0,0.0,NULL,NULL,0.0
76,2019-12-12,53.47,0.0,0.0,NULL,NULL,0.0
77,2019-12-13,53.47,0.0,0.0,NULL,NULL,0.0
78,2019-12-14,53.47,0.0,0.0,NULL,NULL,0.0
79,2019-12-15,53.47,0.0,0.0,NULL,NULL,0.0
80,2019-12-16,53.47,0.0,0.0,NULL,NULL,0.0
81,2019-12-17,53.47,0.0,0.0,NULL,NULL,0.0
82,2019-12-18,53.47,0.0,0.0,NULL,NULL,0.0
83,2019-12-19,53.47,0.0,0.0,NULL,NULL,0.0
84,2019-12-20,53.47,0.0,0.0,NULL,NULL,0.0
85,2019-12-21,53.47,0.0,0.0,NULL,NULL,0.0
86,2019-12-22,53.47,0.0,0.0,NULL,NULL,0.0
87,2019-12-23,53.47,0.0,0.0,NULL,NULL,0.0
88,2019-12-24,53.47,0.0,0.0,NULL,NULL,0.0
89,2019-12-25,53.47,0.0,0.0,NULL,NULL,0.0
90,2019-12-26,53.47,0.0,0.0,NULL,NULL,0.0
91,2019-12-27,53.47,0.0,0.0,NULL,NULL,0.0
92,2019-12-28,53.47,0.0,0.0,NULL,NULL,0.0
93,2019-12-29,53.47,0.0,0.0,NULL,NULL,0.0
94,2019-12-30,53.47,0.0,0.0,NULL,NULL,0.0
95,2019-12-31,53.47,0.0,0.0,NULL,NULL,0.0
96,2020-01-01,53.47,0.0,0.0,NULL,NULL,0.0
97,2020-01-02,53.47,0.0,0.0,NULL,NULL,0.0
98,2020-01-03,53.47,0.0,0.0,NULL,NULL,0.0
99,2020-01-04,53.47,0.0,0.0,NULL,NULL,0.0
100,2020-01-05,53.47,0.0,0.0,NULL,NULL,0.0
101,2020-01-06,53.47,0.0,0.0,NULL,NULL,0.0
102,2020-01-07,53.47,0.0,0.0,NULL,NULL,0.0
103,2020-01-08,53.47,0.0,0.0,NULL,NULL,0.0
104,2020-01-09,53.47,0.0,0.0,NULL,NULL,0.0
105,2020-01-10,53.47,0.0,0.0,NULL,NULL,0.0
106,2020-01-11,53.47,0.0,0.0,NULL,NULL,0.0
107,2020-01-12,53.47,0.0,0.0,NULL,NULL,0.0
