,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-12-18,0,2.0,2.79,21,115,6396.0
1,2019-12-19,0,5.0,15.613100000000003,18,94,4327.0
2,2019-12-20,0,3.0,19.695,19,103,3290.0
3,2019-12-21,0,9.0,14.4488,15,68,2483.0
4,2019-12-22,0,4.0,3.379,17,88,2216.0
5,2019-12-23,0,3.0,1.7485,17,103,2109.0
6,2019-12-24,0,2.0,0.66,18,112,1948.0
7,2019-12-25,0,6.0,1.8510000000000002,17,80,2133.0
8,2019-12-26,0,5.0,6.891800000000001,15,87,1931.0
9,2019-12-27,0,2.0,0.7575,21,112,1535.0
10,2019-12-28,0,4.0,2.226,17,91,1254.0
11,2019-12-29,0,2.0,1.0,19,110,979.0
12,2019-12-30,0,2.0,0.62,20,110,841.0
13,2020-01-02,0,0.0,0.0,NULL,NULL,0.0
14,2020-01-03,0,0.0,0.0,NULL,NULL,0.0
15,2020-01-04,0,0.0,0.0,NULL,NULL,0.0
16,2020-01-05,0,0.0,0.0,NULL,NULL,0.0
17,2020-01-06,0,0.0,0.0,NULL,NULL,0.0
18,2020-01-07,0,0.0,0.0,NULL,NULL,0.0
19,2020-01-08,0,0.0,0.0,NULL,NULL,0.0
20,2020-01-09,0,0.0,0.0,NULL,NULL,0.0
21,2020-01-10,0,0.0,0.0,NULL,NULL,0.0
22,2020-01-11,0,0.0,0.0,NULL,NULL,0.0
23,2020-01-12,0,0.0,0.0,NULL,NULL,0.0
