,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-26,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-27,0.0,340.0,0.0,3,23,2312.0
2,2018-11-28,0.0,233.0,0.0,3,28,1519.0
3,2018-11-29,0.0,95.0,0.0,5,47,627.0
4,2018-11-30,0.0,98.0,0.0,5,45,744.0
5,2018-12-01,0.0,122.0,0.0,5,41,1115.0
6,2018-12-02,0.0,115.0,0.0,4,42,1142.0
7,2018-12-03,0.0,146.0,0.0,4,38,1724.0
8,2018-12-04,0.0,142.0,0.0,4,38,1626.0
9,2018-12-05,0.0,82.0,0.0,5,51,857.0
10,2018-12-06,0.0,43.0,0.0,7,68,391.0
11,2018-12-07,0.0,29.0,0.0,6,68,349.0
12,2018-12-08,0.0,28.0,0.0,7,73,327.0
13,2018-12-09,0.0,32.0,0.0,6,61,239.0
14,2018-12-10,0.0,21.0,0.0,8,74,209.0
15,2018-12-11,0.0,19.0,0.0,11,79,171.0
16,2018-12-12,0.0,28.0,0.0,8,64,185.0
17,2018-12-13,0.0,23.0,0.0,7,67,188.0
18,2018-12-14,0.0,19.0,0.0,8,75,81.0
19,2018-12-15,0.0,26.0,0.0,7,64,223.0
20,2018-12-16,0.0,24.0,0.0,7,65,128.0
21,2018-12-17,0.0,24.0,0.0,8,66,125.0
22,2018-12-18,0.0,14.0,0.0,14,88,61.0
23,2018-12-19,0.0,17.0,0.0,14,94,216.0
24,2018-12-20,0.0,36.0,0.0,10,66,485.0
25,2018-12-21,0.0,23.0,0.0,14,77,346.0
26,2018-12-22,0.0,25.0,0.0,11,69,283.0
27,2018-12-23,0.0,17.0,0.0,13,78,148.0
28,2018-12-24,0.0,10.0,0.0,17,94,123.0
29,2018-12-25,0.0,13.0,0.0,14,89,101.0
30,2018-12-26,0.0,15.0,0.0,16,90,127.0
31,2018-12-27,0.0,7.0,0.0,19,115,51.0
32,2018-12-28,0.0,11.0,0.0,20,107,29.0
33,2018-12-29,0.0,12.0,0.0,17,98,65.0
34,2018-12-30,0.0,8.0,0.0,20,109,101.0
35,2018-12-31,0.0,11.0,0.0,26,138,87.0
36,2019-01-01,0.0,11.0,0.0,28,139,75.0
37,2019-01-02,0.0,11.0,0.0,29,139,57.0
38,2019-01-03,0.0,12.0,0.0,25,136,77.0
39,2019-01-04,0.0,17.0,0.0,19,134,75.0
40,2019-01-05,0.0,10.0,0.0,24,134,73.0
41,2019-01-06,0.0,8.0,0.0,28,136,278.0
42,2019-01-07,0.0,7.0,0.0,30,144,40.0
43,2019-01-08,0.0,10.0,0.0,33,151,141.0
44,2019-01-09,0.0,6.0,0.0,35,157,39.0
45,2019-01-10,0.0,4.0,0.0,37,159,9.0
46,2019-01-11,0.0,7.0,0.0,33,149,123.0
47,2019-01-12,0.0,6.0,0.0,33,142,25.0
48,2019-01-13,0.0,5.0,0.0,38,142,8.0
49,2019-01-14,0.0,5.0,0.0,40,153,32.0
50,2019-01-15,0.0,5.0,0.0,41,153,19.0
51,2019-01-16,0.0,8.0,0.0,40,146,31.0
52,2019-01-17,0.0,3.0,0.0,42,147,16.0
53,2019-01-18,0.0,3.0,0.0,41,146,5.0
54,2019-01-19,0.0,7.0,0.0,41,142,83.0
55,2019-01-20,0.0,2.0,0.0,47,155,10.0
56,2019-01-21,0.0,4.0,0.0,48,161,31.0
57,2019-01-22,0.0,4.0,0.0,47,152,21.0
58,2019-01-23,0.0,11.0,0.0,36,148,170.0
59,2019-01-24,0.0,11.0,0.0,40,148,71.0
60,2019-01-25,0.0,5.0,0.0,39,148,72.0
61,2019-01-26,0.0,6.0,0.0,36,148,48.0
62,2019-01-27,0.0,2.0,0.0,40,156,3.0
63,2019-01-28,0.0,6.0,0.0,42,159,30.0
64,2019-01-29,0.0,4.0,0.0,43,163,26.0
65,2019-01-30,0.0,3.0,0.0,46,167,10.0
66,2019-01-31,0.0,5.0,0.0,43,168,24.0
67,2019-02-01,0.0,10.0,0.0,42,158,97.0
68,2019-02-02,0.0,10.0,0.0,42,160,58.0
69,2019-02-03,0.0,3.0,0.0,45,161,31.0
70,2019-02-04,0.0,5.0,0.0,47,163,22.0
71,2019-02-05,0.0,5.0,0.0,45,166,54.0
72,2019-02-06,0.0,7.0,0.0,46,164,62.0
73,2019-02-07,0.0,8.0,0.0,43,158,60.0
74,2019-02-08,0.0,3.0,0.0,48,164,6.0
75,2019-02-09,0.0,1.0,0.0,50,166,23.0
76,2019-02-10,0.0,3.0,0.0,49,168,7.0
77,2019-02-11,0.0,10.0,0.0,43,165,131.0
78,2019-02-12,0.0,5.0,0.0,47,168,141.0
79,2019-02-13,0.0,7.0,0.0,44,171,75.0
80,2019-02-14,0.0,5.0,0.0,46,173,94.0
81,2019-02-15,0.0,3.0,0.0,51,186,16.0
82,2019-02-16,0.0,8.0,0.0,43,169,48.0
83,2019-02-17,0.0,8.0,0.0,43,168,28.0
84,2019-02-18,0.0,7.0,0.0,41,176,14.0
85,2019-02-19,0.0,2.0,0.0,48,179,2.0
86,2019-02-20,0.0,4.0,0.0,27,106,32.0
87,2019-02-21,0.0,4.0,0.0,25,105,40.0
88,2019-02-22,0.0,5.0,0.0,25,107,17.0
89,2019-02-23,0.0019,5.0,0.0,25,103,105.0
90,2019-02-24,0.0019,6.0,0.0,22,96,75.0
91,2019-02-25,0.0,5.0,0.0,22,105,49.0
92,2019-02-26,0.0,8.0,0.0,23,98,50.0
93,2019-02-27,0.0,4.0,0.0,24,110,36.0
94,2019-02-28,0.0,3.0,0.0,28,151,52.0
95,2019-03-01,0.0,1.0,0.0,33,170,8.0
96,2019-03-02,0.0,4.0,0.0,26,133,52.0
97,2019-03-03,0.0,4.0,0.0,29,131,35.0
98,2019-03-04,0.0,1.0,0.0,37,179,1.0
99,2019-03-05,0.0,1.0,0.0,35,180,2.0
100,2019-03-06,0.0,3.0,0.0,30,145,6.0
101,2019-03-07,0.0,4.0,0.0,30,130,18.0
102,2019-03-08,0.0,3.0,0.0,28,144,11.0
103,2019-03-09,0.0,1.0,0.0,35,164,4.0
104,2019-03-10,0.0,1.0,0.0,37,166,4.0
105,2019-03-11,0.0,6.0,0.0,27,123,35.0
106,2019-03-12,0.0,2.0,0.0,32,152,7.0
107,2019-03-13,0.0,3.0,0.0,32,138,6.0
108,2019-03-14,0.0021,2.0,0.0,38,158,21.0
109,2019-03-15,0.0022,2.0,0.0,34,165,3.0
110,2019-03-16,0.0022,2.0,0.0,32,149,5.0
111,2019-03-17,0.0022,6.0,0.0,26,119,59.0
112,2019-03-18,0.0022,1.0,0.0,37,178,8.0
113,2019-03-19,0.0022,6.0,0.0,29,131,42.0
114,2019-03-20,0.0,0.0,0.0,NULL,NULL,0.0
115,2019-03-21,0.0,1.0,0.0,37,171,2.0
116,2019-03-22,0.0,2.0,0.0,37,164,3.0
117,2019-03-23,0.0,3.0,0.0,30,140,15.0
118,2019-03-24,0.0,2.0,0.0,32,148,10.0
119,2019-03-25,0.0,6.0,0.0,26,128,25.0
120,2019-03-26,0.0,2.0,0.0,32,151,6.0
121,2019-03-27,0.0,2.0,0.0,35,156,5.0
122,2019-03-28,0.0,1.0,0.0,35,172,1.0
123,2019-03-29,0.0,4.0,0.0,27,133,12.0
124,2019-03-30,0.0,0.0,0.0,NULL,NULL,0.0
125,2019-03-31,0.0,0.0,0.0,NULL,NULL,0.0
126,2019-04-01,0.0,3.0,0.0,24,158,6.0
127,2019-04-02,0.0,3.0,0.0,24,160,8.0
128,2019-04-03,0.0,0.0,0.0,NULL,NULL,0.0
129,2019-04-04,0.0,2.0,0.0,28,168,47.0
130,2019-04-05,0.0,3.0,0.0,25,145,4.0
131,2019-04-06,0.0,1.0,0.0,33,183,3.0
132,2019-04-07,0.0,2.0,0.0,28,161,19.0
133,2019-04-08,0.0,1.0,0.0,36,189,3.0
134,2019-04-09,0.0,1.0,0.0,36,193,3.0
135,2019-04-10,0.0,1.0,0.0,37,208,1.0
136,2019-04-11,0.0,2.0,0.0,36,178,16.0
137,2019-04-12,0.0,2.0,0.0,30,170,131.0
138,2019-04-13,0.0,3.0,0.0,28,153,32.0
139,2019-04-14,0.0,2.0,0.0,30,161,5.0
140,2019-04-15,0.0,1.0,0.0,35,187,27.0
141,2019-04-16,0.0,3.0,0.0,31,158,5.0
142,2019-04-17,0.0,2.0,0.0,36,176,5.0
143,2019-04-18,0.0,4.0,0.0,30,155,36.0
144,2019-04-19,0.0,1.0,0.0,35,184,33.0
145,2019-04-20,0.0,0.0,0.0,NULL,NULL,0.0
146,2019-04-21,0.0,2.0,0.0,30,160,11.0
147,2019-04-22,0.0,2.0,0.0,36,177,2.0
148,2019-04-23,0.0,2.0,0.0,27,166,17.0
149,2019-04-24,0.0,2.0,0.0,31,173,21.0
150,2019-04-25,0.0,2.0,0.0,28,169,9.0
151,2019-04-26,5.8,1.0,0.0,39,196,6.0
152,2019-04-27,5.8,2.0,0.0,32,170,16.0
153,2019-04-28,5.8,0.0,0.0,NULL,NULL,0.0
154,2019-04-29,5.8,3.0,0.0,27,158,21.0
155,2019-04-30,5.8,2.0,0.0,33,173,15.0
156,2019-05-01,5.8,2.0,0.0,30,170,35.0
157,2019-05-02,5.8,6.0,0.0,23,138,68.0
158,2019-05-03,2864.74,4.0,2858.9343,22,145,77.0
159,2019-05-04,2864.74,3.0,0.0,24,147,50.0
160,2019-05-05,2864.74,2.0,0.0,30,168,53.0
161,2019-05-06,2864.74,4.0,0.0,23,152,45.0
162,2019-05-07,2864.74,1.0,0.0,35,196,8.0
