,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-06-19,27.41,0.0,0.0,NULL,NULL,0.0
1,2018-06-20,31.62,0.0,0.0,NULL,NULL,0.0
2,2018-06-21,42.72,0.0,0.0,NULL,NULL,0.0
3,2018-06-22,14.71,0.0,0.0,NULL,NULL,0.0
4,2018-06-23,14.91,0.0,0.0,NULL,NULL,0.0
5,2018-06-24,14.91,0.0,0.0,NULL,NULL,0.0
6,2018-06-25,14.91,0.0,0.0,NULL,NULL,0.0
7,2018-06-26,14.91,0.0,0.0,NULL,NULL,0.0
8,2018-06-27,14.91,0.0,0.0,NULL,NULL,0.0
9,2018-06-28,14.42,0.0,0.0,NULL,NULL,0.0
10,2018-06-29,18.92,0.0,0.0,NULL,NULL,0.0
11,2018-06-30,18.92,0.0,0.0,NULL,NULL,0.0
12,2018-07-01,19.32,0.0,0.0,NULL,NULL,0.0
13,2018-07-02,19.35,0.0,0.0,NULL,NULL,0.0
14,2018-07-03,20.22,0.0,0.0,NULL,NULL,0.0
15,2018-07-04,21.22,0.0,0.0,NULL,NULL,0.0
16,2018-07-05,22.22,0.0,0.0,NULL,NULL,0.0
17,2018-07-06,23.33,0.0,0.0,NULL,NULL,0.0
18,2018-07-07,29.33,0.0,0.0,NULL,NULL,0.0
19,2018-07-08,31.33,0.0,0.0,NULL,NULL,0.0
20,2018-07-09,31.43,0.0,0.0,NULL,NULL,0.0
21,2018-07-10,34.43,0.0,0.0,NULL,NULL,0.0
22,2018-07-11,0.0,0.0,0.0,NULL,NULL,0.0
23,2018-07-12,41.47,0.0,0.0,NULL,NULL,0.0
24,2018-07-13,42.47,0.0,0.0,NULL,NULL,0.0
25,2018-07-14,42.47,0.0,0.0,NULL,NULL,0.0
26,2018-07-15,43.07,0.0,0.0,NULL,NULL,0.0
27,2018-07-16,45.07,0.0,0.0,NULL,NULL,0.0
28,2018-07-17,45.07,0.0,0.0,NULL,NULL,0.0
29,2018-07-18,48.07,0.0,0.0,NULL,NULL,0.0
30,2018-07-19,50.07,0.0,0.0,NULL,NULL,0.0
31,2018-07-20,50.07,0.0,0.0,NULL,NULL,0.0
32,2018-07-21,50.17,0.0,0.0,NULL,NULL,0.0
33,2018-07-22,51.17,0.0,0.0,NULL,NULL,0.0
34,2018-07-23,51.17,0.0,0.0,NULL,NULL,0.0
35,2018-07-24,51.17,0.0,0.0,NULL,NULL,0.0
36,2018-07-25,51.17,0.0,0.0,NULL,NULL,0.0
37,2018-07-26,51.17,0.0,0.0,NULL,NULL,0.0
38,2018-07-27,51.17,0.0,0.0,NULL,NULL,0.0
39,2018-07-28,51.17,0.0,0.0,NULL,NULL,0.0
40,2018-07-29,51.17,0.0,0.0,NULL,NULL,0.0
41,2018-07-30,51.17,0.0,0.0,NULL,NULL,0.0
42,2018-07-31,51.42,0.0,0.0,NULL,NULL,0.0
43,2018-08-01,51.42,0.0,0.0,NULL,NULL,0.0
44,2018-08-02,52.42,0.0,0.0,NULL,NULL,0.0
45,2018-08-03,55.42,0.0,0.0,NULL,NULL,0.0
46,2018-08-04,55.42,0.0,0.0,NULL,NULL,0.0
47,2018-08-05,55.42,0.0,0.0,NULL,NULL,0.0
48,2018-08-06,55.43,0.0,0.0,NULL,NULL,0.0
49,2018-08-07,56.53,0.0,0.0,NULL,NULL,0.0
50,2018-08-08,56.53,0.0,0.0,NULL,NULL,0.0
51,2018-08-09,56.53,0.0,0.0,NULL,NULL,0.0
52,2018-08-10,56.53,0.0,0.0,NULL,NULL,0.0
53,2018-08-11,56.53,0.0,0.0,NULL,NULL,0.0
54,2018-08-12,56.53,0.0,0.0,NULL,NULL,0.0
55,2018-08-13,11.11,0.0,0.0,NULL,NULL,0.0
56,2018-08-14,11.11,0.0,0.0,NULL,NULL,0.0
57,2018-08-15,11.11,0.0,0.0,NULL,NULL,0.0
58,2018-08-16,11.11,0.0,0.0,NULL,NULL,0.0
59,2018-08-17,11.11,0.0,0.0,NULL,NULL,0.0
60,2018-08-18,11.11,0.0,0.0,NULL,NULL,0.0
61,2018-08-19,11.11,0.0,0.0,NULL,NULL,0.0
62,2018-08-20,11.11,0.0,0.0,NULL,NULL,0.0
63,2018-08-21,11.11,0.0,0.0,NULL,NULL,0.0
64,2018-08-22,11.11,0.0,0.0,NULL,NULL,0.0
65,2018-08-23,11.11,0.0,0.0,NULL,NULL,0.0
66,2018-08-24,11.11,0.0,0.0,NULL,NULL,0.0
67,2018-08-25,11.11,0.0,0.0,NULL,NULL,0.0
68,2018-08-26,13.11,0.0,0.0,NULL,NULL,0.0
69,2018-08-27,13.11,0.0,0.0,NULL,NULL,0.0
70,2018-08-28,13.11,0.0,0.0,NULL,NULL,0.0
71,2018-08-29,17.11,0.0,0.0,NULL,NULL,0.0
72,2018-08-30,17.11,0.0,0.0,NULL,NULL,0.0
73,2018-08-31,17.11,0.0,0.0,NULL,NULL,0.0
74,2018-09-01,17.11,0.0,0.0,NULL,NULL,0.0
75,2018-09-02,17.11,0.0,0.0,NULL,NULL,0.0
76,2018-09-03,17.11,0.0,0.0,NULL,NULL,0.0
77,2018-09-04,17.11,0.0,0.0,NULL,NULL,0.0
78,2018-09-05,17.11,0.0,0.0,NULL,NULL,0.0
79,2018-09-06,17.11,0.0,0.0,NULL,NULL,0.0
80,2018-09-07,17.11,0.0,0.0,NULL,NULL,0.0
81,2018-09-08,17.11,0.0,0.0,NULL,NULL,0.0
82,2018-09-09,17.11,0.0,0.0,NULL,NULL,0.0
83,2018-09-10,17.11,0.0,0.0,NULL,NULL,0.0
84,2018-09-11,17.11,0.0,0.0,NULL,NULL,0.0
85,2018-09-12,17.11,0.0,0.0,NULL,NULL,0.0
86,2018-09-13,17.11,0.0,0.0,NULL,NULL,0.0
87,2018-09-14,17.11,0.0,0.0,NULL,NULL,0.0
88,2018-09-15,17.11,0.0,0.0,NULL,NULL,0.0
89,2018-09-16,17.11,0.0,0.0,NULL,NULL,0.0
90,2018-09-17,17.11,0.0,0.0,NULL,NULL,0.0
91,2018-09-18,17.11,0.0,0.0,NULL,NULL,0.0
92,2018-09-19,17.11,0.0,0.0,NULL,NULL,0.0
93,2018-09-20,17.11,0.0,0.0,NULL,NULL,0.0
94,2018-09-21,17.11,0.0,0.0,NULL,NULL,0.0
95,2018-09-22,17.11,0.0,0.0,NULL,NULL,0.0
96,2018-09-23,17.11,0.0,0.0,NULL,NULL,0.0
97,2018-09-24,14.12,0.0,0.0,NULL,NULL,0.0
98,2018-09-25,14.17,0.0,0.0,NULL,NULL,0.0
99,2018-09-26,11.64,0.0,0.0,NULL,NULL,0.0
100,2018-09-27,5.65,0.0,0.0,NULL,NULL,0.0
101,2018-09-28,5.65,0.0,0.0,NULL,NULL,0.0
102,2018-09-29,5.66,0.0,0.0,NULL,NULL,0.0
103,2018-09-30,5.91,97.0,0.0,8,22,1483.0
104,2018-10-01,5.91,82.0,0.0,9,24,1495.0
105,2018-10-02,5.91,75.0,0.0,9,27,1232.0
106,2018-10-03,5.91,79.0,0.0,7,25,1688.0
107,2018-10-04,5.91,61.0,0.0,8,27,1121.0
108,2018-10-05,5.92,57.0,0.0,8,28,1140.0
109,2018-10-06,5.92,56.0,0.0,7,25,1026.0
110,2018-10-07,5.92,48.0,0.0,9,28,1003.0
111,2018-10-08,5.92,53.0,0.0,9,31,1246.0
112,2018-10-09,5.92,54.0,0.0,7,28,1111.0
113,2018-10-10,5.93,58.0,0.0,8,30,1160.0
114,2018-10-11,5.94,56.0,1.0,9,31,1065.0
115,2018-10-12,5.94,51.0,0.0,9,31,992.0
116,2018-10-13,5.94,37.0,0.0,9,35,869.0
117,2018-10-14,5.96,57.0,2.0,7,29,989.0
118,2018-10-15,5.96,46.0,0.0,8,30,962.0
119,2018-10-16,5.97,47.0,2.0,5,28,639.0
120,2018-10-17,5.97,45.0,0.0,8,38,1018.0
121,2018-10-18,5.98,38.0,1.0,9,40,951.0
122,2018-10-19,5.98,44.0,0.0,9,39,1028.0
123,2018-10-20,5.98,35.0,0.0,11,43,857.0
124,2018-10-21,5.98,47.0,0.0,8,35,934.0
125,2018-10-22,5.98,38.0,0.0,9,43,1231.0
126,2018-10-23,5.98,51.0,0.0,10,44,772.0
127,2018-10-24,5.98,38.0,0.0,11,50,963.0
128,2018-10-25,5.98,39.0,0.0,9,46,1195.0
129,2018-10-26,5.98,44.0,0.0,8,43,1089.0
130,2018-10-27,5.99,31.0,0.0,8,48,873.0
131,2018-10-28,5.99,40.0,0.0,8,45,1057.0
132,2018-10-29,5.99,40.0,0.0,9,45,1009.0
133,2018-10-30,5.99,34.0,0.0,10,51,984.0
134,2018-10-31,5.99,29.0,0.0,10,56,864.0
135,2018-11-01,6.0,34.0,1.0,9,54,1051.0
136,2018-11-02,6.0,28.0,0.0,9,55,573.0
137,2018-11-03,6.0,36.0,0.0,7,52,1019.0
138,2018-11-04,6.0,27.0,0.0,7,55,824.0
139,2018-11-05,6.0,30.0,0.0,10,57,732.0
140,2018-11-06,6.0,23.0,0.0,9,59,581.0
141,2018-11-07,6.0,35.0,0.0,7,53,844.0
142,2018-11-08,6.0,28.0,0.0,8,60,508.0
143,2018-11-09,6.0,22.0,0.0,10,70,726.0
144,2018-11-10,6.01,23.0,1.0,7,64,660.0
145,2018-11-11,6.01,23.0,0.0,8,66,772.0
146,2018-11-12,6.01,22.0,0.0,9,72,721.0
147,2018-11-13,6.01,22.0,0.0,8,71,762.0
148,2018-11-14,6.02,22.0,1.0,6,65,758.0
149,2018-11-15,6.02,21.0,0.0,7,66,686.0
150,2018-11-16,6.02,19.0,0.0,6,69,590.0
151,2018-11-17,6.02,19.0,0.0,7,63,817.0
152,2018-11-18,6.02,20.0,0.0,7,64,799.0
153,2018-11-19,6.02,15.0,0.0,8,71,646.0
154,2018-11-20,6.02,12.0,0.0,10,77,672.0
155,2018-11-21,6.02,17.0,0.0,7,72,749.0
156,2018-11-22,6.02,16.0,0.0,8,73,708.0
157,2018-11-23,6.02,13.0,0.0,8,78,712.0
158,2018-11-24,6.02,15.0,0.0,9,75,708.0
159,2018-11-25,6.02,17.0,0.0,9,73,861.0
160,2018-11-26,6.02,15.0,0.0,9,76,505.0
161,2018-11-27,6.02,18.0,0.0,9,77,729.0
162,2018-11-28,6.02,18.0,0.0,9,79,502.0
163,2018-11-29,6.02,22.0,0.0,9,75,550.0
164,2018-11-30,6.02,24.0,0.0,8,70,715.0
