,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-09-30,0.0,13.0,0.0,15,42,122.0
1,2018-10-01,0.0,13.0,0.0,14,45,89.0
2,2018-10-02,0.0,10.0,0.0,15,50,25.0
3,2018-10-03,0.0,9.0,0.0,15,54,93.0
4,2018-10-04,0.0,11.0,0.0,14,51,77.0
5,2018-10-05,0.0,9.0,0.0,14,52,36.0
6,2018-10-06,0.0,13.0,0.0,14,48,106.0
7,2018-10-07,0.0,8.0,0.0,14,52,42.0
8,2018-10-08,0.0,22.0,0.0,12,40,183.0
9,2018-10-09,0.0,23.0,0.0,13,43,109.0
10,2018-10-10,0.0,24.0,0.0,11,44,85.0
11,2018-10-11,0.0,16.0,0.0,12,50,65.0
12,2018-10-12,0.0,27.0,0.0,11,41,97.0
13,2018-10-13,0.0,11.0,0.0,13,52,25.0
14,2018-10-14,0.0,12.0,0.0,13,52,44.0
15,2018-10-15,0.0,9.0,0.0,13,57,115.0
16,2018-10-16,0.0,7.0,0.0,14,64,20.0
17,2018-10-17,0.0,14.0,0.0,11,58,90.0
18,2018-10-18,0.0,14.0,0.0,12,61,329.0
19,2018-10-19,0.0,19.0,0.0,12,53,85.0
20,2018-10-20,0.0,13.0,0.0,13,60,60.0
21,2018-10-21,0.0,12.0,0.0,13,58,39.0
22,2018-10-22,0.0,4.0,0.0,15,82,33.0
23,2018-10-23,0.0,13.0,0.0,12,61,51.0
24,2018-10-24,0.0,9.0,0.0,16,73,34.0
25,2018-10-25,0.0,9.0,0.0,16,76,119.0
26,2018-10-26,0.0,9.0,0.0,17,76,76.0
27,2018-10-27,0.0,15.0,0.0,13,62,69.0
28,2018-10-28,0.0,13.0,0.0,12,58,106.0
29,2018-10-29,0.0,7.0,0.0,15,76,59.0
30,2018-10-30,0.0,14.0,0.0,11,64,134.0
31,2018-10-31,0.0,9.0,0.0,13,77,80.0
32,2018-11-01,0.0,18.0,0.0,13,65,167.0
33,2018-11-02,0.0,22.0,0.0,11,61,167.0
34,2018-11-03,0.0,11.0,0.0,13,73,42.0
35,2018-11-04,0.0,23.0,0.0,8,58,90.0
36,2018-11-05,0.0,35.0,0.0,8,53,111.0
37,2018-11-06,0.0,9.0,0.0,14,76,106.0
38,2018-11-07,0.0,21.0,0.0,10,60,78.0
39,2018-11-08,0.0,13.0,0.0,12,74,49.0
40,2018-11-09,0.0,21.0,0.0,12,72,90.0
41,2018-11-10,0.0,11.0,0.0,12,80,24.0
42,2018-11-11,0.0,10.0,0.0,12,79,27.0
43,2018-11-12,0.0,15.0,0.0,11,78,109.0
44,2018-11-13,0.0,10.0,0.0,12,84,68.0
45,2018-11-14,0.0,12.0,0.0,11,79,68.0
46,2018-11-15,0.0,41.0,0.0,5,52,118.0
47,2018-11-16,0.0,9.0,0.0,12,83,39.0
48,2018-11-17,0.0,9.0,0.0,11,77,52.0
49,2018-11-18,0.0,14.0,0.0,9,70,56.0
50,2018-11-19,0.0,13.0,0.0,9,74,71.0
51,2018-11-20,0.0,20.0,0.0,8,69,75.0
52,2018-11-21,0.0,14.0,0.0,10,76,32.0
53,2018-11-22,0.0,8.0,0.0,11,88,36.0
54,2018-11-23,0.0,7.0,0.0,12,92,53.0
55,2018-11-24,0.0,9.0,0.0,11,87,17.0
56,2018-11-25,0.0,5.0,0.0,12,94,21.0
57,2018-11-26,0.0,9.0,0.0,12,87,72.0
58,2018-11-27,0.0,2.0,0.0,14,118,11.0
59,2018-11-28,0.0,8.0,0.0,13,100,33.0
60,2018-11-29,0.0,5.0,0.0,14,107,48.0
61,2018-11-30,0.0,6.0,0.0,15,105,27.0
62,2018-12-01,0.0,9.0,0.0,13,98,47.0
63,2018-12-02,0.0,9.0,0.0,13,95,36.0
64,2018-12-03,0.0,16.0,0.0,12,86,99.0
65,2018-12-04,0.0,8.0,0.0,13,102,69.0
66,2018-12-05,0.0,8.0,0.0,14,106,44.0
67,2018-12-06,0.0,8.0,0.0,14,106,14.0
68,2018-12-07,0.0,5.0,0.0,15,116,60.0
69,2018-12-08,0.0,10.0,0.0,13,98,37.0
70,2018-12-09,0.0,3.0,0.0,13,118,26.0
71,2018-12-10,0.0,6.0,0.0,13,105,8.0
72,2018-12-11,0.0,3.0,0.0,17,120,6.0
73,2018-12-12,0.0,2.0,0.0,18,129,5.0
74,2018-12-13,0.0,6.0,0.0,16,106,25.0
75,2018-12-14,0.0,6.0,0.0,17,104,16.0
76,2018-12-15,0.0,7.0,0.0,15,94,23.0
77,2018-12-16,0.0,5.0,0.0,15,99,7.0
78,2018-12-17,0.0,211.0,100.0,4,27,1897.0
79,2018-12-18,0.0,307.0,0.0,3,25,4386.0
80,2018-12-19,0.0,580.0,0.0,3,24,15630.0
81,2018-12-20,0.0,704.0,0.0,3,16,20691.0
82,2018-12-21,0.0,661.0,0.0,3,14,19998.0
83,2018-12-22,0.0,609.0,0.0,3,17,17810.0
84,2018-12-23,0.0,540.0,0.0,3,21,18346.0
85,2018-12-24,0.0,783.0,0.0,3,18,26071.0
86,2018-12-25,0.0,839.0,0.0,3,16,31151.0
87,2018-12-26,0.0,596.0,0.0,3,22,19567.0
88,2018-12-27,0.0,563.0,0.0,3,24,19331.0
89,2018-12-28,0.0,503.0,0.0,3,26,15955.0
90,2018-12-29,0.0,1416.0,100.0,3,15,58813.0
91,2018-12-30,0.0,1428.0,200.0,3,13,62468.0
92,2019-01-02,0.0,0.0,0.0,NULL,NULL,0.0
93,2019-01-03,0.0,0.0,0.0,NULL,NULL,0.0
94,2019-01-09,0.0,0.0,0.0,NULL,NULL,0.0
95,2019-01-13,0.0,475.0,0.0,9,53,15370.0
96,2019-01-14,326.12,337.0,0.0,10,57,13285.0
97,2019-01-15,326.12,322.0,0.0,10,56,10782.0
98,2019-01-16,326.12,263.0,0.0,13,63,8695.0
99,2019-01-17,326.12,225.0,0.0,15,69,7104.0
100,2019-01-18,326.12,211.0,0.0,14,66,6012.0
101,2019-01-19,326.12,179.0,0.0,16,70,4924.0
102,2019-01-20,326.12,189.0,0.0,17,71,5833.0
103,2019-01-21,326.12,175.0,0.0,21,78,5863.0
104,2019-01-22,326.12,268.0,0.0,19,69,8882.0
105,2019-01-23,326.12,2.0,0.0,44,157,6.0
106,2019-01-24,326.12,116.0,0.0,19,90,3762.0
107,2019-02-12,326.12,1.0,0.0,51,172,1.0
108,2019-02-13,326.12,2.0,0.0,49,176,3.0
109,2019-02-14,326.12,1.0,0.0,50,177,1.0
110,2019-02-20,326.12,1.0,0.0,30,109,1.0
111,2019-02-28,0.0,82.0,0.0,18,69,1719.0
