,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-10,0.0,1.0,0.0001,37,208,1.0
1,2019-04-11,0.0,1.0,0.0001,39,203,1.0
2,2019-04-19,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-04-20,0.0,13.0,0.0,18,115,13.0
4,2019-04-21,0.0,2.0,0.0,30,160,2.0
5,2019-04-23,0.0,1.0,0.0,32,189,1.0
6,2019-04-25,0.0,1.0,0.0,33,187,1.0
7,2019-04-30,0.0,3.0,0.0,27,157,3.0
8,2019-05-15,0.0,1.0,0.0,36,185,1.0
9,2019-05-16,0.0,2.0,0.0,31,160,2.0
10,2019-05-18,0.0,1.0,0.0,35,174,1.0
11,2019-05-19,0.0,1.0,0.0,35,180,1.0
12,2019-05-21,82.53,0.0,0.0,NULL,NULL,0.0
13,2019-05-22,82.53,0.0,0.0,NULL,NULL,0.0
14,2019-05-23,82.25,1.0,0.0,31,201,1.0
15,2019-05-24,82.25,0.0,0.0,NULL,NULL,0.0
16,2019-05-25,82.25,0.0,0.0,NULL,NULL,0.0
17,2019-05-26,82.25,0.0,0.0,NULL,NULL,0.0
18,2019-05-27,82.25,0.0,0.0,NULL,NULL,0.0
19,2019-05-28,82.25,0.0,0.0,NULL,NULL,0.0
20,2019-05-29,82.25,0.0,0.0,NULL,NULL,0.0
21,2019-05-30,82.25,0.0,0.0,NULL,NULL,0.0
22,2019-05-31,82.25,10.0,0.0001,14,122,10.0
23,2019-06-01,82.25,5.0,0.0,16,136,5.0
24,2019-06-02,82.25,0.0,0.0,NULL,NULL,0.0
25,2019-06-03,82.25,0.0,0.0,NULL,NULL,0.0
26,2019-06-04,82.25,0.0,0.0,NULL,NULL,0.0
27,2019-06-05,82.25,0.0,0.0,NULL,NULL,0.0
28,2019-06-06,82.25,0.0,0.0,NULL,NULL,0.0
29,2019-06-07,82.25,0.0,0.0,NULL,NULL,0.0
30,2019-06-08,82.25,0.0,0.0,NULL,NULL,0.0
31,2019-06-09,82.25,0.0,0.0,NULL,NULL,0.0
32,2019-06-10,82.25,0.0,0.0,NULL,NULL,0.0
33,2019-06-11,82.25,0.0,0.0,NULL,NULL,0.0
34,2019-06-12,82.25,0.0,0.0,NULL,NULL,0.0
35,2019-06-13,82.25,0.0,0.0,NULL,NULL,0.0
36,2019-06-14,82.25,0.0,0.0,NULL,NULL,0.0
37,2019-06-15,82.25,0.0,0.0,NULL,NULL,0.0
38,2019-06-16,82.25,0.0,0.0,NULL,NULL,0.0
39,2019-06-17,82.25,0.0,0.0,NULL,NULL,0.0
40,2019-06-18,82.25,0.0,0.0,NULL,NULL,0.0
41,2019-06-19,82.25,0.0,0.0,NULL,NULL,0.0
42,2019-06-20,82.25,0.0,0.0,NULL,NULL,0.0
43,2019-06-21,82.25,0.0,0.0,NULL,NULL,0.0
44,2019-06-22,82.25,0.0,0.0,NULL,NULL,0.0
45,2019-06-23,82.25,0.0,0.0,NULL,NULL,0.0
46,2019-06-24,82.25,0.0,0.0,NULL,NULL,0.0
47,2019-06-25,82.25,0.0,0.0,NULL,NULL,0.0
48,2019-06-26,82.25,0.0,0.0,NULL,NULL,0.0
49,2019-06-27,82.25,0.0,0.0,NULL,NULL,0.0
50,2019-06-28,82.25,0.0,0.0,NULL,NULL,0.0
51,2019-06-29,82.25,0.0,0.0,NULL,NULL,0.0
52,2019-06-30,82.25,0.0,0.0,NULL,NULL,0.0
53,2019-07-01,82.25,1.0,0.0001,31,192,1.0
54,2019-07-02,82.25,0.0,0.0,NULL,NULL,0.0
55,2019-07-03,82.25,0.0,0.0,NULL,NULL,0.0
56,2019-07-04,82.25,0.0,0.0,NULL,NULL,0.0
57,2019-07-05,82.25,0.0,0.0,NULL,NULL,0.0
58,2019-07-06,82.25,0.0,0.0,NULL,NULL,0.0
59,2019-07-07,82.25,0.0,0.0,NULL,NULL,0.0
60,2019-07-08,82.25,0.0,0.0,NULL,NULL,0.0
61,2019-07-09,82.25,1.0,0.0001,30,207,1.0
62,2019-07-10,82.25,0.0,0.0,NULL,NULL,0.0
63,2019-07-11,82.25,0.0,0.0,NULL,NULL,0.0
64,2019-07-12,82.25,1.0,0.0001,35,261,1.0
65,2019-07-13,82.25,0.0,0.0,NULL,NULL,0.0
66,2019-07-14,82.25,0.0,0.0,NULL,NULL,0.0
67,2019-07-15,82.25,0.0,0.0,NULL,NULL,0.0
68,2019-07-16,82.25,0.0,0.0,NULL,NULL,0.0
69,2019-07-17,82.25,0.0,0.0,NULL,NULL,0.0
70,2019-07-18,82.25,0.0,0.0,NULL,NULL,0.0
71,2019-07-19,82.25,0.0,0.0,NULL,NULL,0.0
72,2019-07-20,82.25,0.0,0.0,NULL,NULL,0.0
73,2019-07-21,82.25,0.0,0.0,NULL,NULL,0.0
74,2019-07-22,82.25,0.0,0.0,NULL,NULL,0.0
75,2019-07-23,82.25,0.0,0.0,NULL,NULL,0.0
76,2019-07-24,82.25,0.0,0.0,NULL,NULL,0.0
77,2019-07-25,82.25,0.0,0.0,NULL,NULL,0.0
78,2019-07-26,82.25,0.0,0.0,NULL,NULL,0.0
79,2019-07-27,82.25,0.0,0.0,NULL,NULL,0.0
80,2019-07-28,82.25,0.0,0.0,NULL,NULL,0.0
81,2019-07-29,82.25,0.0,0.0,NULL,NULL,0.0
82,2019-07-30,82.25,0.0,0.0,NULL,NULL,0.0
83,2019-07-31,82.25,0.0,0.0,NULL,NULL,0.0
84,2019-08-01,82.25,0.0,0.0,NULL,NULL,0.0
85,2019-08-02,82.25,1.0,0.0001,28,218,1.0
86,2019-08-03,82.25,0.0,0.0,NULL,NULL,0.0
87,2019-08-04,82.25,0.0,0.0,NULL,NULL,0.0
88,2019-08-05,82.25,0.0,0.0,NULL,NULL,0.0
89,2019-08-06,82.25,0.0,0.0,NULL,NULL,0.0
90,2019-08-07,82.25,0.0,0.0,NULL,NULL,0.0
91,2019-08-08,82.25,0.0,0.0,NULL,NULL,0.0
92,2019-08-09,82.25,0.0,0.0,NULL,NULL,0.0
93,2019-08-10,82.25,0.0,0.0,NULL,NULL,0.0
94,2019-08-11,82.25,0.0,0.0,NULL,NULL,0.0
95,2019-08-12,82.25,0.0,0.0,NULL,NULL,0.0
96,2019-08-13,82.25,0.0,0.0,NULL,NULL,0.0
97,2019-08-14,82.25,0.0,0.0,NULL,NULL,0.0
98,2019-08-15,82.25,0.0,0.0,NULL,NULL,0.0
99,2019-08-16,82.25,0.0,0.0,NULL,NULL,0.0
100,2019-08-17,82.25,0.0,0.0,NULL,NULL,0.0
101,2019-08-18,82.25,0.0,0.0,NULL,NULL,0.0
102,2019-08-19,82.25,0.0,0.0,NULL,NULL,0.0
103,2019-08-20,82.25,0.0,0.0,NULL,NULL,0.0
104,2019-08-21,82.25,0.0,0.0,NULL,NULL,0.0
105,2019-08-22,82.25,0.0,0.0,NULL,NULL,0.0
106,2019-08-23,82.25,0.0,0.0,NULL,NULL,0.0
107,2019-08-24,82.25,0.0,0.0,NULL,NULL,0.0
108,2019-08-25,82.25,0.0,0.0,NULL,NULL,0.0
109,2019-08-26,82.25,0.0,0.0,NULL,NULL,0.0
110,2019-08-27,82.25,0.0,0.0,NULL,NULL,0.0
111,2019-08-28,82.25,0.0,0.0,NULL,NULL,0.0
112,2019-08-29,82.25,0.0,0.0,NULL,NULL,0.0
113,2019-08-30,82.25,0.0,0.0,NULL,NULL,0.0
114,2019-08-31,82.25,0.0,0.0,NULL,NULL,0.0
115,2019-09-01,82.25,0.0,0.0,NULL,NULL,0.0
116,2019-09-02,82.25,0.0,0.0,NULL,NULL,0.0
117,2019-09-03,82.25,0.0,0.0,NULL,NULL,0.0
118,2019-09-04,82.25,0.0,0.0,NULL,NULL,0.0
119,2019-09-05,82.25,0.0,0.0,NULL,NULL,0.0
120,2019-09-06,82.25,0.0,0.0,NULL,NULL,0.0
121,2019-09-07,82.25,0.0,0.0,NULL,NULL,0.0
122,2019-09-08,82.25,0.0,0.0,NULL,NULL,0.0
123,2019-09-09,0.0,0.0,0.0,NULL,NULL,0.0
124,2019-09-10,0.0,0.0,0.0,NULL,NULL,0.0
125,2019-09-11,0.0,0.0,0.0,NULL,NULL,0.0
126,2019-09-12,0.0,1.0,0.0001,29,184,1.0
127,2019-09-13,0.0,0.0,0.0,NULL,NULL,0.0
128,2019-09-14,0.0,1.0,0.0001,28,182,1.0
129,2019-09-15,0.0,1.0,0.0001,28,184,1.0
130,2019-09-16,0.0,1.0,0.0001,24,191,1.0
131,2019-09-17,0.0,1.0,0.0001,28,189,1.0
132,2019-09-18,0.0,0.0,0.0,NULL,NULL,0.0
133,2019-09-19,0.0,2.0,0.0002,23,169,2.0
134,2019-09-20,0.0,0.0,0.0,NULL,NULL,0.0
135,2019-09-21,0.0,0.0,0.0,NULL,NULL,0.0
136,2019-09-22,0.0,0.0,0.0,NULL,NULL,0.0
137,2019-09-23,0.0,0.0,0.0,NULL,NULL,0.0
138,2019-09-24,0.0,0.0,0.0,NULL,NULL,0.0
139,2019-09-25,0.0,0.0,0.0,NULL,NULL,0.0
140,2019-09-26,82.25,0.0,0.0,NULL,NULL,0.0
141,2019-09-27,82.25,0.0,0.0,NULL,NULL,0.0
142,2019-09-28,82.25,0.0,0.0,NULL,NULL,0.0
143,2019-09-29,82.25,0.0,0.0,NULL,NULL,0.0
144,2019-09-30,82.25,0.0,0.0,NULL,NULL,0.0
145,2019-10-01,82.25,0.0,0.0,NULL,NULL,0.0
146,2019-10-02,82.25,0.0,0.0,NULL,NULL,0.0
147,2019-10-03,82.25,0.0,0.0,NULL,NULL,0.0
148,2019-10-04,82.25,0.0,0.0,NULL,NULL,0.0
149,2019-10-05,82.25,0.0,0.0,NULL,NULL,0.0
150,2019-10-06,82.25,0.0,0.0,NULL,NULL,0.0
151,2019-10-07,82.25,0.0,0.0,NULL,NULL,0.0
152,2019-10-08,82.25,1.0,0.0001,26,174,1.0
153,2019-10-09,82.25,3.0,0.00030000000000000003,19,147,3.0
154,2019-10-10,82.25,3.0,0.0006000000000000001,23,154,6.0
155,2019-10-11,82.25,0.0,0.0,NULL,NULL,0.0
156,2019-10-12,82.25,1.0,0.0002,36,241,2.0
157,2019-10-13,82.25,0.0,0.0,NULL,NULL,0.0
158,2019-10-14,82.25,1.0,0.0001,43,235,1.0
159,2019-10-15,82.25,0.0,0.0,NULL,NULL,0.0
160,2019-10-16,82.25,1.0,0.0001,39,253,1.0
161,2019-10-17,82.25,1.0,0.0001,40,251,1.0
162,2019-10-18,82.25,0.0,0.0,NULL,NULL,0.0
163,2019-10-19,82.25,0.0,0.0,NULL,NULL,0.0
164,2019-10-20,82.25,0.0,0.0,NULL,NULL,0.0
165,2019-10-21,82.25,0.0,0.0,NULL,NULL,0.0
166,2019-10-22,82.25,0.0,0.0,NULL,NULL,0.0
167,2019-10-23,82.25,1.0,0.0001,43,256,1.0
168,2019-10-24,82.25,0.0,0.0,NULL,NULL,0.0
169,2019-10-25,82.25,0.0,0.0,NULL,NULL,0.0
170,2019-10-26,82.25,0.0,0.0,NULL,NULL,0.0
171,2019-10-27,82.25,0.0,0.0,NULL,NULL,0.0
172,2019-10-28,82.25,1.0,0.0001,43,243,1.0
173,2019-10-29,82.25,0.0,0.0,NULL,NULL,0.0
174,2019-10-30,82.25,0.0,0.0,NULL,NULL,0.0
175,2019-10-31,82.25,0.0,0.0,NULL,NULL,0.0
176,2019-11-01,82.25,0.0,0.0,NULL,NULL,0.0
177,2019-11-02,82.25,0.0,0.0,NULL,NULL,0.0
178,2019-11-03,82.25,0.0,0.0,NULL,NULL,0.0
179,2019-11-04,82.25,0.0,0.0,NULL,NULL,0.0
180,2019-11-05,82.25,0.0,0.0,NULL,NULL,0.0
181,2019-11-06,82.25,0.0,0.0,NULL,NULL,0.0
182,2019-11-07,82.25,0.0,0.0,NULL,NULL,0.0
183,2019-11-08,82.25,0.0,0.0,NULL,NULL,0.0
184,2019-11-09,82.25,0.0,0.0,NULL,NULL,0.0
185,2019-11-10,82.25,0.0,0.0,NULL,NULL,0.0
186,2019-11-11,82.25,0.0,0.0,NULL,NULL,0.0
187,2019-11-12,82.25,0.0,0.0,NULL,NULL,0.0
188,2019-11-13,82.25,0.0,0.0,NULL,NULL,0.0
189,2019-11-14,82.25,0.0,0.0,NULL,NULL,0.0
190,2019-11-15,82.25,0.0,0.0,NULL,NULL,0.0
191,2019-11-16,82.25,0.0,0.0,NULL,NULL,0.0
192,2019-11-17,82.25,0.0,0.0,NULL,NULL,0.0
193,2019-11-18,82.25,0.0,0.0,NULL,NULL,0.0
194,2019-11-19,82.25,0.0,0.0,NULL,NULL,0.0
195,2019-11-20,82.25,0.0,0.0,NULL,NULL,0.0
196,2019-11-21,82.25,0.0,0.0,NULL,NULL,0.0
197,2019-11-22,82.25,0.0,0.0,NULL,NULL,0.0
198,2019-11-23,82.25,0.0,0.0,NULL,NULL,0.0
199,2019-11-24,82.25,0.0,0.0,NULL,NULL,0.0
200,2019-11-25,82.25,0.0,0.0,NULL,NULL,0.0
201,2019-11-26,82.25,0.0,0.0,NULL,NULL,0.0
202,2019-11-27,82.25,0.0,0.0,NULL,NULL,0.0
203,2019-11-28,82.25,0.0,0.0,NULL,NULL,0.0
204,2019-11-29,82.25,0.0,0.0,NULL,NULL,0.0
205,2019-11-30,0.0,0.0,0.0,NULL,NULL,0.0
206,2019-12-01,82.25,0.0,0.0,NULL,NULL,0.0
207,2019-12-02,82.26,0.0,0.0,NULL,NULL,0.0
208,2019-12-03,82.26,0.0,0.0,NULL,NULL,0.0
209,2019-12-04,82.27,0.0,0.0,NULL,NULL,0.0
210,2019-12-05,82.27,0.0,0.0,NULL,NULL,0.0
211,2019-12-06,82.28,0.0,0.0,NULL,NULL,0.0
212,2019-12-07,82.29,0.0,0.0,NULL,NULL,0.0
213,2019-12-08,82.29,0.0,0.0,NULL,NULL,0.0
214,2019-12-09,82.3,0.0,0.0,NULL,NULL,0.0
215,2019-12-10,82.3,0.0,0.0,NULL,NULL,0.0
216,2019-12-11,82.31,0.0,0.0,NULL,NULL,0.0
217,2019-12-12,82.31,0.0,0.0,NULL,NULL,0.0
218,2019-12-13,82.32,0.0,0.0,NULL,NULL,0.0
219,2019-12-14,82.32,0.0,0.0,NULL,NULL,0.0
220,2019-12-15,82.33,0.0,0.0,NULL,NULL,0.0
221,2019-12-16,82.33,0.0,0.0,NULL,NULL,0.0
222,2019-12-17,82.34,0.0,0.0,NULL,NULL,0.0
