,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-08-27,25.2,0.0,0.0,NULL,NULL,0.0
1,2018-08-28,25.2,0.0,0.0,NULL,NULL,0.0
2,2018-08-29,575.44,0.0,0.0,NULL,NULL,0.0
3,2018-08-30,804.55,0.0,0.0,NULL,NULL,0.0
4,2018-08-31,920.47,0.0,0.0,NULL,NULL,0.0
5,2018-09-01,947.31,0.0,0.0,NULL,NULL,0.0
6,2018-09-02,1174.35,0.0,0.0,NULL,NULL,0.0
7,2018-09-03,1225.59,0.0,0.0,NULL,NULL,0.0
8,2018-09-04,1481.05,0.0,0.0,NULL,NULL,0.0
9,2018-09-05,1521.34,0.0,0.0,NULL,NULL,0.0
10,2018-09-06,1551.36,0.0,0.0,NULL,NULL,0.0
11,2018-09-07,1604.3,0.0,0.0,NULL,NULL,0.0
12,2018-09-08,1608.05,0.0,0.0,NULL,NULL,0.0
13,2018-09-09,1620.04,0.0,0.0,NULL,NULL,0.0
14,2018-09-10,1621.83,0.0,0.0,NULL,NULL,0.0
15,2018-09-11,1628.36,0.0,0.0,NULL,NULL,0.0
16,2018-09-12,1641.91,0.0,0.0,NULL,NULL,0.0
17,2018-09-13,1646.8,0.0,0.0,NULL,NULL,0.0
18,2018-09-14,1650.72,0.0,0.0,NULL,NULL,0.0
19,2018-09-15,1653.82,0.0,0.0,NULL,NULL,0.0
20,2018-09-16,1655.48,0.0,0.0,NULL,NULL,0.0
21,2018-09-17,1658.15,0.0,0.0,NULL,NULL,0.0
22,2018-09-18,1701.64,0.0,0.0,NULL,NULL,0.0
23,2018-09-19,1717.77,0.0,0.0,NULL,NULL,0.0
24,2018-09-20,1730.53,0.0,0.0,NULL,NULL,0.0
25,2018-09-21,1730.53,0.0,0.0,NULL,NULL,0.0
26,2018-09-22,1731.58,0.0,0.0,NULL,NULL,0.0
27,2018-09-23,1732.8,0.0,0.0,NULL,NULL,0.0
28,2018-09-24,1736.97,0.0,0.0,NULL,NULL,0.0
29,2018-09-25,1739.92,0.0,0.0,NULL,NULL,0.0
30,2018-09-26,1744.55,0.0,0.0,NULL,NULL,0.0
31,2018-09-27,1749.35,0.0,0.0,NULL,NULL,0.0
32,2018-09-28,1751.37,0.0,0.0,NULL,NULL,0.0
33,2018-09-29,1767.69,0.0,0.0,NULL,NULL,0.0
34,2018-09-30,1778.5,111.0,0.0,7,21,4875.0
35,2018-10-01,1795.45,231.0,0.0,5,12,7663.0
36,2018-10-02,1810.32,152.0,0.0,5,17,4904.0
37,2018-10-03,1819.41,115.0,0.0,6,19,3289.0
38,2018-10-04,1828.88,112.0,0.0,6,21,3286.0
39,2018-10-05,1832.04,142.0,0.0,4,16,3377.0
