,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-09-23,2020.98,0.0,0.0,NULL,NULL,0.0
1,2018-09-24,3256.91,0.0,0.0,NULL,NULL,0.0
2,2018-09-25,13888.77,0.0,0.0,NULL,NULL,0.0
3,2018-09-26,48213.31,0.0,0.0,NULL,NULL,0.0
4,2018-09-27,77689.98,0.0,0.0,NULL,NULL,0.0
5,2018-09-28,73646.93,0.0,0.0,NULL,NULL,0.0
6,2018-09-29,35319.73,0.0,0.0,NULL,NULL,0.0
7,2018-09-30,28261.86,855.0,0.0,3,3,5228.0
8,2018-10-01,26472.04,590.0,0.0,3,4,2307.0
9,2018-10-02,25631.33,468.0,0.0,3,5,1054.0
10,2018-10-03,25591.49,339.0,0.0,3,9,577.0
11,2018-10-04,25474.76,326.0,0.0,3,9,762.0
12,2018-10-05,25407.11,239.0,0.0,3,11,334.0
13,2018-10-06,25264.99,194.0,0.0,3,14,277.0
14,2018-10-07,25033.77,195.0,0.0,3,16,265.0
15,2018-10-08,24911.85,199.0,0.0,3,13,269.0
16,2018-10-09,24869.47,163.0,0.0,3,18,193.0
17,2018-10-10,24795.76,142.0,0.0,4,19,177.0
18,2018-10-11,24621.49,136.0,9.0,4,20,159.0
19,2018-10-12,24683.12,179.0,180.0,4,17,390.0
20,2018-10-13,24881.69,261.0,1162.0,4,14,1109.0
21,2018-10-14,24844.94,291.0,1241.0,3,10,1613.0
22,2018-10-15,24762.2,354.0,1195.0,3,8,1456.0
23,2018-10-16,24877.23,310.0,1179.0,3,7,1335.0
24,2018-10-17,25044.86,317.0,1288.0,3,12,1243.0
25,2018-10-18,25012.87,313.0,1199.0,3,15,1076.0
26,2018-10-19,24992.85,278.0,1339.0,3,15,866.0
27,2018-10-20,25047.84,287.0,1749.0,3,14,1179.0
28,2018-10-21,24896.94,299.0,2070.0,3,17,1334.0
29,2018-10-22,25067.62,341.0,2762.0,3,15,1621.0
30,2018-10-23,25777.95,383.0,3610.0,3,18,2227.0
31,2018-10-24,25811.24,398.0,4313.0,3,17,2503.0
32,2018-10-25,26752.13,438.0,6158.0,4,18,2272.0
33,2018-10-26,26402.44,406.0,5778.0,4,19,2292.0
34,2018-10-27,28166.1,365.0,0.0,4,18,2485.0
35,2018-10-28,27129.49,396.0,6001.0,4,17,1757.0
36,2018-10-29,3379.15,762.0,0.0,3,13,843.0
37,2018-10-30,3024.72,137.0,0.0,5,35,137.0
38,2018-10-31,2990.23,43.0,0.0,7,48,43.0
39,2018-11-01,2877.08,46.0,0.0,8,48,46.0
40,2018-11-02,2856.43,28.0,0.0,9,55,28.0
41,2018-11-03,2850.3,15.0,0.0,11,68,15.0
42,2018-11-04,2842.62,9.0,0.0,13,73,9.0
43,2018-11-05,2834.34,19.0,0.0,11,63,19.0
44,2018-11-06,2817.65,15.0,0.0,12,67,15.0
45,2018-11-07,2813.83,9.0,0.0,16,83,9.0
46,2018-11-08,2805.68,11.0,0.0,13,82,11.0
47,2018-11-09,2794.35,7.0,0.0,15,89,7.0
48,2018-11-10,2780.21,5.0,0.0,14,95,5.0
49,2018-11-11,2774.45,7.0,0.0,13,90,7.0
50,2018-11-12,2754.24,7.0,0.0,14,91,7.0
51,2018-11-13,2751.57,12.0,0.0,11,78,12.0
