,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-09-30,8001.79,452.0,0.0,4,6,2671.0
1,2018-10-01,8031.55,265.0,0.0,4,10,700.0
2,2018-10-02,7719.92,224.0,0.0,4,14,311.0
3,2018-10-03,7705.17,136.0,0.0,5,15,214.0
4,2018-10-04,7677.63,132.0,0.0,4,17,207.0
5,2018-10-05,7674.23,102.0,0.0,6,20,118.0
6,2018-10-06,7645.92,97.0,0.0,5,20,126.0
7,2018-10-07,7641.77,83.0,0.0,6,23,93.0
8,2018-10-08,7617.89,89.0,0.0,5,22,98.0
9,2018-10-09,7612.18,73.0,0.0,6,26,83.0
10,2018-10-10,7610.59,57.0,0.0,9,31,60.0
11,2018-10-11,7608.23,47.0,1.0,10,34,54.0
12,2018-10-12,7607.75,44.0,1.0,10,34,53.0
13,2018-10-13,7606.96,47.0,1.0,7,30,57.0
14,2018-10-14,7606.26,46.0,1.0,9,32,51.0
15,2018-10-15,7602.44,52.0,1.0,7,29,61.0
16,2018-10-16,7602.47,30.0,0.0,10,36,36.0
17,2018-10-17,7600.73,41.0,1.0,9,39,48.0
18,2018-10-18,7599.78,37.0,1.0,10,41,44.0
19,2018-10-19,7600.16,31.0,1.0,10,44,34.0
20,2018-10-20,7601.82,48.0,6.0,10,38,60.0
21,2018-10-21,7601.31,43.0,0.0,10,39,51.0
22,2018-10-22,7601.07,34.0,0.0,10,44,40.0
23,2018-10-23,7601.03,44.0,0.0,11,46,46.0
24,2018-10-24,7601.24,46.0,1.0,10,45,53.0
25,2018-10-25,7601.4,35.0,1.0,10,48,38.0
26,2018-10-26,7601.6,33.0,1.0,9,47,40.0
27,2018-10-27,7602.02,25.0,0.0,9,50,30.0
28,2018-10-28,7644.91,61.0,49.0,7,40,106.0
29,2018-10-29,7632.24,112.0,1.0,7,37,131.0
30,2018-10-30,7629.07,36.0,0.0,9,49,44.0
31,2018-10-31,7629.17,31.0,0.0,9,54,42.0
32,2018-11-01,7625.86,29.0,0.0,11,57,31.0
33,2018-11-02,7624.69,31.0,0.0,8,53,37.0
34,2018-11-03,7624.94,28.0,0.0,8,55,32.0
35,2018-11-04,7625.18,13.0,0.0,11,66,15.0
36,2018-11-05,7622.84,34.0,0.0,9,55,36.0
37,2018-11-06,7622.19,17.0,0.0,10,62,20.0
38,2018-11-07,7622.34,25.0,0.0,8,57,26.0
39,2018-11-08,7622.53,17.0,0.0,10,67,18.0
40,2018-11-09,7622.55,23.0,0.0,9,69,24.0
41,2018-11-10,7622.75,17.0,0.0,10,70,19.0
42,2018-11-11,7621.86,19.0,0.0,9,70,21.0
43,2018-11-12,7621.27,20.0,0.0,10,74,21.0
44,2018-11-13,7621.42,20.0,0.0,9,72,21.0
45,2018-11-14,7621.74,11.0,0.0,12,82,15.0
46,2018-11-15,7621.92,16.0,0.0,10,71,19.0
47,2018-11-16,7622.89,19.0,1.0,6,69,35.0
48,2018-11-17,7623.63,23.0,1.0,6,61,40.0
49,2018-11-18,7623.72,21.0,0.0,6,62,21.0
50,2018-11-19,7623.53,22.0,1.0,7,65,27.0
51,2018-11-20,7622.64,27.0,0.0,7,59,31.0
52,2018-11-21,7622.86,17.0,0.0,7,72,21.0
53,2018-11-22,7623.21,27.0,0.0,7,61,32.0
54,2018-11-23,7623.24,10.0,0.0,10,83,11.0
55,2018-11-24,7623.36,17.0,0.0,8,72,17.0
56,2018-11-25,7622.83,20.0,0.0,8,64,23.0
57,2018-11-26,7622.64,20.0,0.0,8,71,23.0
58,2018-11-27,7622.21,11.0,0.0,11,84,16.0
59,2018-11-28,7622.77,9.0,1.0,12,98,12.0
60,2018-11-29,7623.05,10.0,0.0,12,94,13.0
61,2018-11-30,7623.66,12.0,0.0,10,91,16.0
62,2018-12-01,7624.2,11.0,1.0,11,91,13.0
