,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-09-01,797.28,0.0,0.0,NULL,NULL,0.0
1,2018-09-01,797.28,0.0,0.0,NULL,NULL,0.0
2,2018-09-02,821.6,0.0,0.0,NULL,NULL,0.0
3,2018-09-02,821.6,0.0,0.0,NULL,NULL,0.0
4,2018-09-03,837.97,0.0,0.0,NULL,NULL,0.0
5,2018-09-03,837.97,0.0,0.0,NULL,NULL,0.0
6,2018-09-04,858.12,0.0,0.0,NULL,NULL,0.0
7,2018-09-04,858.12,0.0,0.0,NULL,NULL,0.0
8,2018-09-05,888.53,0.0,0.0,NULL,NULL,0.0
9,2018-09-06,1004.67,0.0,0.0,NULL,NULL,0.0
10,2018-09-07,969.02,0.0,0.0,NULL,NULL,0.0
11,2018-09-08,971.29,0.0,0.0,NULL,NULL,0.0
12,2018-09-09,971.88,0.0,0.0,NULL,NULL,0.0
13,2018-09-10,980.84,0.0,0.0,NULL,NULL,0.0
14,2018-09-11,995.94,0.0,0.0,NULL,NULL,0.0
15,2018-09-12,995.91,0.0,0.0,NULL,NULL,0.0
16,2018-09-13,969.94,0.0,0.0,NULL,NULL,0.0
17,2018-09-14,964.94,0.0,0.0,NULL,NULL,0.0
18,2018-09-15,964.09,0.0,0.0,NULL,NULL,0.0
19,2018-09-16,965.04,0.0,0.0,NULL,NULL,0.0
20,2018-09-17,965.84,0.0,0.0,NULL,NULL,0.0
21,2018-09-18,963.84,0.0,0.0,NULL,NULL,0.0
22,2018-09-19,963.26,0.0,0.0,NULL,NULL,0.0
23,2018-09-20,963.26,0.0,0.0,NULL,NULL,0.0
24,2018-09-21,962.59,0.0,0.0,NULL,NULL,0.0
25,2018-09-22,962.09,0.0,0.0,NULL,NULL,0.0
26,2018-09-23,956.58,0.0,0.0,NULL,NULL,0.0
27,2018-09-24,956.58,0.0,0.0,NULL,NULL,0.0
28,2018-09-25,956.38,0.0,0.0,NULL,NULL,0.0
29,2018-09-26,956.38,0.0,0.0,NULL,NULL,0.0
