,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-28,0.0,14.0,0.0,18,97,827.0
1,2018-12-29,0.0,6.0,3.0,23,116,1013.0
2,2018-12-30,0.0,8.0,6.0,20,109,1195.0
3,2018-12-31,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-01-01,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-01-02,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-01-03,0.0,0.0,0.0,NULL,NULL,0.0
7,2019-01-04,0.0,0.0,0.0,NULL,NULL,0.0
8,2019-01-05,0.0,0.0,0.0,NULL,NULL,0.0
9,2019-01-06,0.0,0.0,0.0,NULL,NULL,0.0
10,2019-01-07,0.0,0.0,0.0,NULL,NULL,0.0
11,2019-01-08,0.0,65.0,5.0,19,110,2972.0
12,2019-01-09,10.0,76.0,4.0,17,109,2970.0
13,2019-01-10,10.85,76.0,9.0,19,108,2854.0
14,2019-01-11,11.9,68.0,1.0,22,106,2027.0
15,2019-01-12,15.12,73.0,4.0,17,95,2084.0
16,2019-01-13,25.87,70.0,13.0,21,99,2571.0
17,2019-01-14,19.08,75.0,16.0,20,107,2391.0
18,2019-01-15,25.2,72.0,12.0,20,109,2797.0
19,2019-01-16,29.08,86.0,12.0,19,100,3066.0
20,2019-01-17,15.33,73.0,14.0,23,105,2262.0
21,2019-01-18,11.82,77.0,2.0,20,96,1650.0
22,2019-01-19,13.99,74.0,3.0,21,99,1548.0
23,2019-01-20,14.22,69.0,3.0,23,111,1503.0
24,2019-01-21,16.77,70.0,3.0,25,114,1671.0
25,2019-01-22,18.31,69.0,6.0,25,110,1661.0
26,2019-01-23,19.16,23.0,3.0,30,136,1302.0
27,2019-01-24,20.92,69.0,2.0,20,104,1226.0
28,2019-01-25,22.92,72.0,3.0,18,96,1388.0
29,2019-01-26,23.12,70.0,0.0,18,98,1133.0
30,2019-01-27,23.12,67.0,0.0,21,105,743.0
31,2019-01-28,27.42,68.0,4.0,22,111,882.0
32,2019-01-29,29.83,65.0,3.0,21,116,1135.0
33,2019-01-30,10.83,64.0,0.0,24,120,1076.0
34,2019-01-31,10.83,64.0,0.0,25,122,1023.0
35,2019-02-01,13.83,17.0,3.0,36,151,972.0
36,2019-02-02,20.54,66.0,7.0,28,116,1107.0
37,2019-02-03,11.64,69.0,1.0,26,108,759.0
38,2019-02-04,12.04,72.0,0.0,26,113,1133.0
39,2019-02-05,12.09,21.0,1.0,33,152,771.0
40,2019-02-06,12.12,69.0,1.0,26,115,957.0
41,2019-02-07,12.43,17.0,1.0,38,149,955.0
42,2019-02-08,14.45,16.0,4.0,38,152,897.0
43,2019-02-09,10.35,19.0,1.0,38,148,934.0
44,2019-02-10,11.05,19.0,2.0,38,152,682.0
45,2019-02-11,11.15,24.0,0.0,35,152,798.0
46,2019-02-12,12.06,23.0,1.0,39,152,800.0
47,2019-02-13,12.31,69.0,0.0,32,123,1064.0
48,2019-02-14,12.82,28.0,1.0,36,153,1100.0
49,2019-02-15,13.51,78.0,2.0,31,129,2010.0
50,2019-02-16,13.76,19.0,1.0,35,158,1389.0
51,2019-02-17,15.29,98.0,4.0,29,111,1452.0
52,2019-02-18,16.78,92.0,2.0,28,117,2562.0
53,2019-02-19,12.01,87.0,1.0,28,120,1699.0
54,2019-02-20,12.01,38.0,0.0,18,82,2204.0
55,2019-02-21,13.76,35.0,7.0,18,82,3280.0
56,2019-02-22,14.28,30.0,6.0,18,91,2543.0
57,2019-02-23,14.6687,37.0,3.0,17,81,3208.0
58,2019-02-24,15.5344,37.0,10.0,17,76,3528.0
59,2019-02-25,16.6,89.0,5.0,14,66,4182.0
60,2019-02-26,4.91,38.0,6.0,17,78,3761.0
61,2019-02-27,5.33,34.0,5.0,18,90,2986.0
62,2019-02-28,10.19,84.0,8.0,17,68,3325.0
63,2019-03-01,10.51,79.0,3.0,17,71,3416.0
64,2019-03-02,11.03,140.0,6.0,16,59,4118.0
65,2019-03-03,11.95,133.0,6.0,14,54,4311.0
66,2019-03-04,20.19,77.0,13.0,16,69,3068.0
67,2019-03-05,0.22,30.0,1.0,19,95,4164.0
68,2019-03-06,4.06,34.0,15.0,19,89,3350.0
69,2019-03-07,0.87,81.0,7.0,17,70,4886.0
70,2019-03-08,1.41,37.0,6.0,18,93,3488.0
71,2019-03-09,1.15,35.0,9.0,18,89,5111.0
72,2019-03-10,1.75,33.0,7.0,17,89,5799.0
73,2019-03-11,2.88,62.0,3.0,18,75,4658.0
74,2019-03-12,2.17,144.0,6.0,15,58,4060.0
75,2019-03-13,8.94,54.0,25.0,19,77,6758.0
76,2019-03-14,10.0813,144.0,4.0,15,64,5495.0
77,2019-03-15,10.3929,44.0,1.0,19,83,5633.0
78,2019-03-16,4.8032,41.0,12.0,19,82,6406.0
79,2019-03-17,6.0501,41.0,5.0,19,80,8736.0
80,2019-03-18,9.4301,50.0,11.0,19,81,8669.0
81,2019-03-19,1.5897,47.0,4.0,19,82,7615.0
82,2019-03-20,1.69,42.0,2.0,19,88,6821.0
83,2019-03-21,2.12,42.0,7.0,18,84,13804.0
84,2019-03-22,3.18,44.0,4.0,19,84,7310.0
85,2019-03-23,7.35,43.0,12.0,19,80,8614.0
86,2019-03-24,8.29,41.0,10.0,19,84,7280.0
87,2019-03-25,1.36,40.0,12.0,19,85,7409.0
88,2019-03-26,1.88,39.0,6.0,20,87,7819.0
89,2019-03-27,1.92,38.0,1.0,20,88,6473.0
90,2019-03-28,1.94,35.0,0.0,19,89,4867.0
91,2019-03-29,1.98,35.0,1.0,19,89,3971.0
92,2019-03-30,0.38,35.0,3.0,19,90,5341.0
93,2019-03-31,0.16,40.0,3.663499999999999,14,88,6081.0
94,2019-04-01,0.48,36.0,1.4904,14,87,5237.0
95,2019-04-02,5.25,39.0,5.184,14,93,5260.0
96,2019-04-03,0.54,39.0,0.9410000000000001,14,98,4580.0
97,2019-04-04,0.55,33.0,0.30500000000000005,16,96,3883.0
98,2019-04-05,0.58,34.0,0.503,14,92,3065.0
99,2019-04-06,0.84,31.0,0.3857,17,95,4680.0
100,2019-04-07,3.57,32.0,4.1499,15,88,4268.0
101,2019-04-08,5.89,35.0,2.615,15,91,4430.0
102,2019-04-09,5.9,35.0,0.2789000000000001,13,88,3496.0
103,2019-04-10,10.25,39.0,6.238,15,91,2847.0
104,2019-04-11,10.27,31.0,0.3327,16,95,2399.0
105,2019-04-12,0.29,29.0,0.30300000000000005,18,101,1661.0
106,2019-04-13,0.29,34.0,0.101,16,92,3589.0
107,2019-04-14,0.29,32.0,0.028000000000000004,17,93,2428.0
108,2019-04-15,0.34,27.0,0.871,18,100,2609.0
