,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-01,0.0,2.0,0.01,18,151,1054.0
1,2019-09-02,0.0,3.0,23.01,15,141,707.0
2,2019-09-03,0.0,76.0,72273.76039999994,10,60,4467.0
3,2019-09-04,12.76,84.0,3.4816,10,59,3688.0
4,2019-09-05,23.87,83.0,12.502399999999994,10,61,3723.0
5,2019-09-06,21.78,81.0,92879.61889999994,10,61,5603.0
6,2019-09-07,21.8,82.0,1429.8820000000003,11,61,3661.0
7,2019-09-08,21.66,79.0,1011.589,11,60,3655.0
8,2019-09-09,0.0,81.0,1445.0603999999998,11,64,3586.0
9,2019-09-10,0.0,83.0,1461.6625999999999,11,62,3600.0
10,2019-09-11,0.0,82.0,1153.0104999999999,11,64,3522.0
11,2019-09-12,0.0,79.0,1219.5410000000002,11,65,3422.0
12,2019-09-13,0.0,80.0,1204.3047,11,65,2822.0
13,2019-09-14,0.0,81.0,983.8094999999998,11,62,3050.0
14,2019-09-15,0.0,81.0,903.2989,11,60,3273.0
15,2019-09-16,0.0,80.0,1.4903000000000002,11,67,3591.0
16,2019-09-17,0.0,81.0,0.20040000000000002,11,65,3605.0
17,2019-09-18,0.0,81.0,1.6208999999999998,11,65,3556.0
18,2019-09-19,0.0,77.0,0.040799999999999996,11,65,3497.0
19,2019-09-20,0.0,79.0,0.060200000000000004,11,62,3498.0
20,2019-09-21,0.0,78.0,0.10020000000000001,11,59,3255.0
21,2019-09-22,0.0,76.0,0.01,11,60,3200.0
22,2019-09-23,0.0,78.0,1.0502,11,61,3071.0
23,2019-09-24,0.0,75.0,1.7501,11,65,3509.0
24,2019-09-25,0.0,76.0,1.1400000000000001,11,61,3513.0
25,2019-09-26,178.26,79.0,0.17,11,62,3238.0
26,2019-09-27,178.06,77.0,0.01,11,63,3345.0
27,2019-09-28,179.48,78.0,1.5222000000000002,11,63,3091.0
28,2019-09-29,179.44,78.0,0.3204,11,60,3156.0
29,2019-09-30,179.21,79.0,0.020700000000000003,11,55,3202.0
30,2019-10-01,179.19,76.0,0.0,11,54,2376.0
31,2019-10-02,179.19,77.0,0.0001,11,53,908.0
32,2019-10-03,179.19,0.0,0.0,NULL,NULL,0.0
33,2019-10-04,179.19,0.0,0.0,NULL,NULL,0.0
34,2019-10-05,179.19,0.0,0.0,NULL,NULL,0.0
35,2019-10-06,179.19,0.0,0.0,NULL,NULL,0.0
36,2019-10-07,179.19,0.0,0.0,NULL,NULL,0.0
37,2019-10-08,179.19,0.0,0.0,NULL,NULL,0.0
38,2019-10-09,179.19,2.0,0.0002,24,170,2.0
39,2019-10-10,179.19,3.0,0.0004,23,154,4.0
40,2019-10-11,179.19,1.0,0.0001,39,235,1.0
41,2019-10-12,179.19,2.0,0.0005,30,193,5.0
42,2019-10-13,179.19,1.0,0.0001,29,198,1.0
43,2019-10-14,179.19,3.0,0.00030000000000000003,22,153,3.0
44,2019-10-15,179.19,0.0,0.0,NULL,NULL,0.0
45,2019-10-16,179.19,4.0,0.0004,22,152,4.0
46,2019-10-17,179.19,3.0,0.00030000000000000003,28,167,3.0
47,2019-10-18,179.19,0.0,0.0,NULL,NULL,0.0
48,2019-10-19,179.19,0.0,0.0,NULL,NULL,0.0
49,2019-10-20,179.19,0.0,0.0,NULL,NULL,0.0
50,2019-10-21,179.19,0.0,0.0,NULL,NULL,0.0
51,2019-10-22,179.19,0.0,0.0,NULL,NULL,0.0
52,2019-10-23,179.19,4.0,0.0004,23,149,4.0
53,2019-10-24,179.19,0.0,0.0,NULL,NULL,0.0
54,2019-10-25,179.19,0.0,0.0,NULL,NULL,0.0
55,2019-10-26,179.19,0.0,0.0,NULL,NULL,0.0
56,2019-10-27,179.19,0.0,0.0,NULL,NULL,0.0
57,2019-10-28,179.19,3.0,0.00030000000000000003,24,153,3.0
58,2019-10-29,179.19,0.0,0.0,NULL,NULL,0.0
59,2019-10-30,179.19,0.0,0.0,NULL,NULL,0.0
60,2019-10-31,179.19,0.0,0.0,NULL,NULL,0.0
61,2019-11-01,179.19,0.0,0.0,NULL,NULL,0.0
62,2019-11-02,179.19,0.0,0.0,NULL,NULL,0.0
63,2019-11-03,179.19,0.0,0.0,NULL,NULL,0.0
64,2019-11-04,179.19,0.0,0.0,NULL,NULL,0.0
65,2019-11-05,179.19,0.0,0.0,NULL,NULL,0.0
66,2019-11-06,179.19,0.0,0.0,NULL,NULL,0.0
67,2019-11-07,179.19,0.0,0.0,NULL,NULL,0.0
68,2019-11-08,179.19,0.0,0.0,NULL,NULL,0.0
69,2019-11-09,179.19,0.0,0.0,NULL,NULL,0.0
70,2019-11-10,179.19,0.0,0.0,NULL,NULL,0.0
71,2019-11-11,179.19,0.0,0.0,NULL,NULL,0.0
72,2019-11-12,179.19,0.0,0.0,NULL,NULL,0.0
73,2019-11-13,179.19,0.0,0.0,NULL,NULL,0.0
74,2019-11-14,179.19,0.0,0.0,NULL,NULL,0.0
75,2019-11-15,179.19,0.0,0.0,NULL,NULL,0.0
76,2019-11-16,179.19,0.0,0.0,NULL,NULL,0.0
77,2019-11-17,179.19,0.0,0.0,NULL,NULL,0.0
78,2019-11-18,179.19,0.0,0.0,NULL,NULL,0.0
79,2019-11-19,179.19,0.0,0.0,NULL,NULL,0.0
80,2019-11-20,179.19,0.0,0.0,NULL,NULL,0.0
81,2019-11-21,179.19,0.0,0.0,NULL,NULL,0.0
82,2019-11-22,179.19,0.0,0.0,NULL,NULL,0.0
83,2019-11-23,179.19,0.0,0.0,NULL,NULL,0.0
84,2019-11-24,179.19,0.0,0.0,NULL,NULL,0.0
85,2019-11-25,179.19,0.0,0.0,NULL,NULL,0.0
86,2019-11-26,179.19,0.0,0.0,NULL,NULL,0.0
87,2019-11-27,179.19,0.0,0.0,NULL,NULL,0.0
88,2019-11-28,179.19,0.0,0.0,NULL,NULL,0.0
89,2019-11-29,179.19,0.0,0.0,NULL,NULL,0.0
90,2019-11-30,0.0,0.0,0.0,NULL,NULL,0.0
91,2019-12-01,179.19,0.0,0.0,NULL,NULL,0.0
92,2019-12-02,179.19,0.0,0.0,NULL,NULL,0.0
93,2019-12-03,179.19,0.0,0.0,NULL,NULL,0.0
94,2019-12-04,179.19,0.0,0.0,NULL,NULL,0.0
95,2019-12-05,179.19,0.0,0.0,NULL,NULL,0.0
96,2019-12-06,179.19,0.0,0.0,NULL,NULL,0.0
97,2019-12-07,179.19,0.0,0.0,NULL,NULL,0.0
98,2019-12-08,179.19,0.0,0.0,NULL,NULL,0.0
99,2019-12-09,179.19,0.0,0.0,NULL,NULL,0.0
100,2019-12-10,179.19,0.0,0.0,NULL,NULL,0.0
101,2019-12-11,179.19,0.0,0.0,NULL,NULL,0.0
102,2019-12-12,179.19,0.0,0.0,NULL,NULL,0.0
103,2019-12-13,179.19,0.0,0.0,NULL,NULL,0.0
104,2019-12-14,179.19,0.0,0.0,NULL,NULL,0.0
105,2019-12-15,179.19,0.0,0.0,NULL,NULL,0.0
106,2019-12-16,179.19,0.0,0.0,NULL,NULL,0.0
107,2019-12-17,179.19,0.0,0.0,NULL,NULL,0.0
108,2019-12-18,179.19,0.0,0.0,NULL,NULL,0.0
109,2019-12-19,179.19,0.0,0.0,NULL,NULL,0.0
110,2019-12-20,179.19,0.0,0.0,NULL,NULL,0.0
111,2019-12-21,179.19,0.0,0.0,NULL,NULL,0.0
112,2019-12-22,179.19,0.0,0.0,NULL,NULL,0.0
113,2019-12-23,179.19,0.0,0.0,NULL,NULL,0.0
114,2019-12-24,179.19,0.0,0.0,NULL,NULL,0.0
115,2019-12-25,179.19,0.0,0.0,NULL,NULL,0.0
116,2019-12-26,179.19,0.0,0.0,NULL,NULL,0.0
117,2019-12-27,179.19,0.0,0.0,NULL,NULL,0.0
118,2019-12-28,179.19,0.0,0.0,NULL,NULL,0.0
119,2019-12-29,179.19,0.0,0.0,NULL,NULL,0.0
120,2019-12-30,179.19,0.0,0.0,NULL,NULL,0.0
121,2019-12-31,179.19,0.0,0.0,NULL,NULL,0.0
122,2020-01-01,179.19,0.0,0.0,NULL,NULL,0.0
