,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-03,0.0,3.0,6257.293,25,159,6.0
1,2019-04-08,0.0,6.0,2.5000000000000004,26,140,47.0
2,2019-04-09,0.0,9.0,256.99999999999955,21,130,1466.0
3,2019-04-10,0.0,12.0,398.6001,20,118,1866.0
4,2019-04-11,0.0,27.0,179.3001,18,99,799.0
5,2019-04-12,0.0,98.0,701.7999999999981,14,70,5674.0
6,2019-04-13,0.0,46.0,1033.1000000000215,15,82,15286.0
7,2019-04-14,0.0,40.0,250.59999999999988,15,84,3099.0
8,2019-04-15,0.0,37.0,711.4000000000013,15,94,7611.0
9,2019-04-16,0.0,27.0,91.5000000000005,17,96,1752.0
10,2019-04-17,0.0,21.0,118.7,17,106,1149.0
11,2019-04-18,0.0,34.0,612.3535999999997,14,90,770.0
12,2019-04-19,0.0,31.0,178.60000000000025,12,90,1785.0
13,2019-04-20,0.0,22.0,239.6000000000008,13,102,3379.0
14,2019-04-21,0.0,22.0,115.30000000000004,11,97,1315.0
15,2019-04-22,5810.39,36.0,177.40000000000066,10,88,2254.0
16,2019-04-23,5814.43,17.0,288.4999999999999,14,106,2534.0
17,2019-04-24,5812.75,26.0,197.99999999999994,12,98,3378.0
18,2019-04-25,5811.5,20.0,106.0,12,104,1053.0
19,2019-04-26,5815.54,22.0,103.00000000000047,12,99,1808.0
20,2019-04-27,5817.75,16.0,36.89999999999999,14,105,435.0
21,2019-04-28,5837.33,23.0,203.20000000000093,13,95,2523.0
22,2019-04-29,5899.1,44.0,3647.4000000000005,9,85,27614.0
23,2019-04-30,5430.54,47.0,2163.199999999975,10,84,27356.0
24,2019-05-01,5466.29,72.0,1595.9999999999843,10,74,21883.0
25,2019-05-02,5505.93,44.0,1534.3999999999887,10,88,20913.0
26,2019-05-03,5537.27,35.0,1523.6999999999896,11,86,20158.0
27,2019-05-04,5561.35,35.0,1830.2999999999888,10,87,21779.0
28,2019-05-05,5621.06,44.0,2198.1999999999925,11,85,19738.0
29,2019-05-06,5656.72,37.0,1787.0999999999906,11,88,22212.0
30,2019-05-07,5670.57,68.0,1336.6999999999837,9,78,18358.0
31,2019-05-08,5690.49,250.0,1426.8999999999871,7,50,18972.0
32,2019-05-09,5708.49,413.0,1405.599999999993,5,41,16738.0
33,2019-05-10,5720.01,285.0,812.9000000000005,7,45,9965.0
34,2019-05-11,5731.49,56.0,612.5000000000008,10,79,5606.0
35,2019-05-12,5735.61,44.0,297.1999999999996,10,79,2385.0
36,2019-05-13,5740.73,67.0,368.00000000000153,10,72,3535.0
37,2019-05-14,5741.03,120.0,214.10000000000014,8,58,1905.0
38,2019-05-15,5742.62,45.0,11.199999999999998,10,74,557.0
39,2019-05-16,5740.67,93.0,44.80000000000008,8,63,1019.0
40,2019-05-17,5740.43,68.0,26.20000000000002,10,69,453.0
41,2019-05-18,5740.89,46.0,78.29999999999988,12,77,706.0
42,2019-05-19,5740.03,59.0,58.0,10,65,455.0
43,2019-05-20,1732.9,60.0,26.900000000000027,11,70,518.0
44,2019-05-21,1733.54,58.0,10.999999999999995,11,72,468.0
45,2019-05-22,1733.5,59.0,5.399999999999998,11,71,354.0
46,2019-05-23,780.09,153.0,12.099999999999994,8,57,455.0
