,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-30,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-31,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-02-01,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-02-02,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-02-03,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-02-04,0.0,2.0,783.0,49,166,783.0
6,2019-02-05,1634.0,1.0,26.0,49,170,26.0
7,2019-02-06,1637.0,1.0,3.0,52,170,3.0
8,2019-02-07,1766.0,23.0,129.0,37,144,129.0
9,2019-02-08,1950.0,58.0,184.0,30,122,185.0
10,2019-02-09,1979.0,14.0,29.0,40,153,29.0
11,2019-02-10,2126.0,110.0,147.0,25,104,152.0
12,2019-02-11,2535.0,80.0,409.0,26,107,413.0
13,2019-02-12,2820.0,158.0,285.0,24,93,285.0
14,2019-02-13,3500.0,165.0,680.0,24,94,680.0
15,2019-02-14,270.0,214.0,313.0,22,87,314.0
16,2019-02-15,710.0,335.0,440.0,19,68,444.0
17,2019-02-16,731.0,14.0,21.0,37,163,21.0
18,2019-02-17,739.0,3.0,8.0,48,173,8.0
19,2019-02-18,1366.0,343.0,627.0,19,70,696.0
20,2019-02-19,1714.0,291.0,334.0,21,78,365.0
21,2019-02-20,2086.0,214.0,372.0,12,44,385.0
22,2019-02-21,2551.0,357.0,465.0,9,37,480.0
23,2019-02-22,3254.0,261.0,703.0,12,45,726.0
24,2019-02-23,3257.0,8.0,3.0,22,100,28.0
25,2019-02-24,3257.0,6.0,0.0,22,96,27.0
26,2019-02-25,3322.0,58.0,65.0,16,74,127.0
27,2019-02-26,3351.0,303.0,29.0,11,42,329.0
28,2019-02-27,3389.0,495.0,38.0,9,37,539.0
29,2019-02-28,13.0,338.0,24.0,12,46,369.0
30,2019-03-01,34.0,219.0,21.0,15,53,240.0
31,2019-03-02,104.0,231.0,70.0,14,53,315.0
32,2019-03-03,169.0,91.0,65.0,16,64,195.0
33,2019-03-04,199.0,255.0,28.0,12,45,300.0
34,2019-03-05,251.0,475.0,51.0,10,39,526.0
35,2019-03-06,316.0,398.0,65.0,10,42,469.0
36,2019-03-07,390.0,641.0,74.0,9,32,752.0
37,2019-03-08,426.0,615.0,36.0,9,33,665.0
38,2019-03-09,473.0,358.0,47.0,10,42,418.0
39,2019-03-10,503.0,342.0,30.0,9,40,377.0
40,2019-03-11,560.0,645.0,57.0,9,35,703.0
41,2019-03-12,595.0,665.0,35.0,8,33,695.0
42,2019-03-13,615.0,588.0,20.0,10,34,616.0
43,2019-03-14,638.0,568.0,23.0,10,36,606.0
44,2019-03-15,672.0,676.0,34.0,8,36,734.0
45,2019-03-16,692.0,386.0,20.0,11,43,414.0
46,2019-03-17,707.0,357.0,15.0,11,43,388.0
47,2019-03-18,731.0,711.0,24.0,9,37,772.0
48,2019-03-19,758.0,708.0,13.0,9,34,724.0
49,2019-03-20,833.0,590.0,75.0,9,36,682.0
50,2019-03-21,857.0,683.0,42.0,9,32,1384.0
51,2019-03-22,938.0,652.0,80.0,8,34,738.0
52,2019-03-23,955.0,277.0,17.0,11,48,298.0
53,2019-03-24,969.0,300.0,14.0,10,46,334.0
54,2019-03-25,975.0,747.0,6.0,8,32,774.0
55,2019-03-26,1005.0,666.0,30.0,8,36,901.0
56,2019-03-27,1016.0,580.0,11.0,9,37,706.0
57,2019-03-28,1034.0,657.0,18.0,9,38,673.0
58,2019-03-29,1054.0,655.0,20.0,10,38,670.0
59,2019-03-30,1078.0,184.0,24.0,13,58,213.0
60,2019-03-31,1078.0,303.0,0.0,8,50,304.0
61,2019-04-01,1082.0,452.0,4.0,6,45,459.0
62,2019-04-02,1082.0,395.0,0.0001,5,43,420.0
63,2019-04-03,1083.0,501.0,1.0,6,47,504.0
64,2019-04-04,1098.0,243.0,15.0001,8,55,268.0
65,2019-04-05,1098.0,321.0,0.0,5,44,322.0
66,2019-04-06,1100.0,214.0,2.0,8,52,221.0
67,2019-04-07,1102.0,211.0,2.0,8,52,216.0
68,2019-04-08,1102.0,281.0,0.0,7,49,293.0
69,2019-04-09,1106.0,175.0,4.0,7,53,195.0
70,2019-04-10,1107.0,165.0,1.0001,10,57,166.0
71,2019-04-11,1109.0,146.0,2.0001,13,63,147.0
72,2019-04-12,1109.0,148.0,0.0,13,62,153.0
73,2019-04-13,1110.0,135.0,1.0,11,58,138.0
74,2019-04-14,1110.0,121.0,0.0,12,60,124.0
75,2019-04-15,1116.0,128.0,6.0,12,67,134.0
76,2019-04-16,1126.0,91.0,10.0,13,68,133.0
77,2019-04-17,1127.0,3.0,1.0,32,162,3.0
78,2019-04-18,1128.0,6.0,1.0,28,145,9.0
79,2019-04-19,1129.0,3.0,1.0,31,162,3.0
80,2019-04-20,1130.0,9.0,1.0,20,123,25.0
81,2019-04-21,1135.0,12.0,5.0,17,116,27.0
82,2019-04-22,1136.0,10.0,1.0,21,126,12.0
83,2019-04-23,1138.0,1.0,2.0,32,189,2.0
84,2019-04-24,1139.0,3.0,1.0,26,158,4.0
85,2019-04-25,1141.0,1.0,2.0,33,187,2.0
86,2019-04-26,1142.0,3.0,1.0,28,156,3.0
87,2019-04-27,1145.0,4.0,3.0,26,148,7.0
88,2019-04-28,1151.0,2.0,6.0,30,175,7.0
89,2019-04-29,1152.0,4.0,1.0,23,150,8.0
90,2019-04-30,756.0,6.0,4.0,23,139,10.0
91,2019-05-01,758.0,3.0,2.0,28,156,6.0
92,2019-05-02,293.0,1.0,35.0,37,184,35.0
93,2019-05-03,294.0,3.0,1.0,25,154,5.0
94,2019-05-04,294.0,1.0,0.0,36,182,1.0
95,2019-05-05,298.0,69.0,4.0,7,72,393.0
96,2019-05-06,299.0,6.0,1.0,20,139,551.0
97,2019-05-07,0.0,19.0,6751.0,15,103,7303.0
98,2019-05-08,0.0,8.0,0.0,25,136,1845.0
99,2019-05-09,28.2,76.0,28.200000000000003,10,73,6199.0
100,2019-05-10,79.2,108.0,51.00000000000001,8,61,14216.0
101,2019-05-11,111.9,112.0,32.7,7,65,17842.0
102,2019-05-12,127.0,97.0,15.1,7,61,21265.0
103,2019-05-13,138.0,158.0,11.0,7,55,21510.0
104,2019-05-14,152.5,256.0,14.5,7,46,23658.0
105,2019-05-15,163.2,266.0,10.7,7,43,25786.0
106,2019-05-16,198.2,464.0,35.0,5,38,30040.0
107,2019-05-17,208.2,461.0,10.0,5,39,34397.0
108,2019-05-18,225.5,58.0,17.3,10,70,37336.0
109,2019-05-19,227.7,52.0,2.2,12,69,36902.0
110,2019-05-20,230.8,426.0,3.1,6,40,35762.0
111,2019-05-21,232.8,511.0,2.0,6,36,38901.0
112,2019-05-22,237.1,416.0,4.3,6,38,28390.0
113,2019-05-23,249.1,469.0,12.000000000000002,5,37,36121.0
114,2019-05-24,252.2,449.0,3.1,5,36,39271.0
115,2019-05-25,258.5,443.0,6.3,5,36,40708.0
116,2019-05-26,260.9,440.0,2.4,6,38,42691.0
117,2019-05-27,264.9,448.0,4.0,6,40,39509.0
118,2019-05-28,267.6,450.0,2.7,6,41,40600.0
119,2019-05-29,268.6,427.0,1.0,6,39,40468.0
120,2019-05-30,272.1,439.0,3.5,6,37,35981.0
121,2019-05-31,275.8,347.0,3.7,5,40,38040.0
122,2019-06-01,275.8,39.0,0.0,9,82,39700.0
123,2019-06-02,276.8,431.0,1.0,6,37,38639.0
124,2019-06-03,277.8,434.0,1.0,6,36,40104.0
125,2019-06-04,278.9,429.0,1.1,6,36,38113.0
126,2019-06-05,279.9,430.0,1.0,6,35,38714.0
127,2019-06-06,279.9,41.0,0.0,9,74,37976.0
128,2019-06-07,291.1,441.0,11.2,6,35,34153.0
129,2019-06-08,291.3,429.0,0.2,6,37,39087.0
130,2019-06-09,291.5,428.0,0.2,6,35,41288.0
131,2019-06-10,292.7,329.0,1.2,6,38,39334.0
132,2019-06-11,293.7,371.0,1.0,6,37,38772.0
133,2019-06-12,293.7,35.0,0.0,10,83,34206.0
134,2019-06-13,293.7,425.0,0.0,6,35,35581.0
135,2019-06-14,294.7,45.0,1.0,9,76,33477.0
136,2019-06-15,294.7,306.0,0.0,6,40,37784.0
137,2019-06-16,294.7,430.0,0.0,6,35,34254.0
138,2019-06-17,294.7,441.0,0.0,6,35,33331.0
139,2019-06-18,294.7,460.0,0.0,5,34,27633.0
140,2019-06-19,294.7,457.0,0.0,5,35,31944.0
141,2019-06-20,294.7,450.0,0.0,6,35,33026.0
142,2019-06-21,298.9,535.0,4.2,5,33,26097.0
143,2019-06-22,298.9,59.0,0.0,9,72,24699.0
144,2019-06-23,298.9,66.0,0.0,9,69,22349.0
145,2019-06-24,299.9,525.0,1.0,5,36,37066.0
146,2019-06-25,299.9,67.0,0.0,9,72,36459.0
147,2019-06-26,300.1,447.0,0.2,6,38,38560.0
148,2019-06-27,300.1,442.0,0.0,7,40,37074.0
149,2019-06-28,301.1,441.0,1.0,7,40,36165.0
150,2019-06-29,301.1,60.0,0.0,10,71,27960.0
151,2019-06-30,301.1,426.0,0.0,7,42,36691.0
152,2019-07-01,302.7,446.0,1.5999999999999999,7,43,25301.0
153,2019-07-02,304.9,454.0,2.2,7,40,32742.0
154,2019-07-03,307.0,440.0,2.1,7,41,39487.0
155,2019-07-04,309.5,445.0,2.5,7,41,34724.0
156,2019-07-05,309.9,453.0,0.4,7,38,31616.0
157,2019-07-06,309.9,59.0,0.0,10,73,31849.0
158,2019-07-07,310.1,440.0,0.2,7,38,33679.0
159,2019-07-08,310.7,445.0,0.6000000000000001,7,40,25235.0
160,2019-07-09,312.1,61.0,1.4000000000000001,10,72,34454.0
161,2019-07-10,312.3,450.0,0.2,7,36,30056.0
162,2019-07-11,312.9,59.0,0.6000000000000001,10,74,30085.0
163,2019-07-12,312.9,57.0,0.0,10,74,23927.0
164,2019-07-13,312.9,36.0,0.0,10,80,25398.0
165,2019-07-14,312.9,50.0,0.0,10,74,28069.0
166,2019-07-15,313.1,60.0,0.2,10,71,22513.0
167,2019-07-16,315.1,53.0,2.0,10,77,24656.0
168,2019-07-17,315.3,42.0,0.2,10,78,27298.0
169,2019-07-18,315.3,37.0,0.0,10,83,24962.0
170,2019-07-19,315.3,27.0,0.0,10,92,18460.0
171,2019-07-20,315.3,29.0,0.0,10,87,22819.0
172,2019-07-21,315.3,28.0,0.0,10,85,32506.0
173,2019-07-22,316.3,36.0,1.0,10,84,30635.0
174,2019-07-23,316.5,27.0,0.2,10,93,28979.0
175,2019-07-24,316.5,25.0,0.0,10,92,29733.0
176,2019-07-25,317.5,30.0,1.0,10,86,25244.0
177,2019-07-26,317.5,22.0,0.0,10,95,10764.0
178,2019-07-27,317.5,22.0,0.0,10,88,12844.0
179,2019-07-28,317.5,26.0,0.0,10,83,27565.0
180,2019-07-29,317.5,15.0,0.0,10,101,3717.0
181,2019-07-30,317.5,6.0,0.0,14,128,11.0
182,2019-07-31,317.5,4.0,0.0,17,138,12.0
183,2019-08-01,317.5,6.0,0.0,15,124,14.0
184,2019-08-02,317.5,4.0,0.0,17,141,9.0
185,2019-08-03,317.5,2.0,0.0,20,151,2.0
186,2019-08-04,317.5,4.0,0.0,16,128,6.0
187,2019-08-05,317.5,3.0,0.0,19,150,3.0
188,2019-08-06,317.5,3.0,0.0,18,147,3.0
189,2019-08-07,317.5,14.0,0.0,12,97,25.0
190,2019-08-08,317.5,3.0,0.0,20,148,3.0
191,2019-08-09,317.5,8.0,0.0,11,114,19.0
192,2019-08-10,317.5,6.0,0.0,12,118,12.0
193,2019-08-11,317.5,5.0,0.0,13,125,9.0
194,2019-08-12,0.0,5.0,0.0,14,124,7.0
195,2019-08-13,0.0,2.0,0.0,19,154,2.0
196,2019-08-14,0.0,2.0,0.0,18,153,2.0
197,2019-08-15,0.0,0.0,0.0,NULL,NULL,0.0
198,2019-08-16,0.0,4.0,0.0,17,139,4.0
199,2019-08-17,0.0,1.0,0.0,24,169,1.0
200,2019-08-18,0.0,4.0,0.0,16,135,5.0
201,2019-08-19,0.0,3.0,0.0,15,143,4.0
202,2019-08-20,0.0,3.0,0.0,18,143,4.0
203,2019-08-21,0.0,1.0,0.0,22,172,1.0
204,2019-08-22,0.0,0.0,0.0,NULL,NULL,0.0
205,2019-08-23,0.0,2.0,0.0,15,149,2.0
206,2019-08-24,0.0,1.0,0.0,22,189,1.0
207,2019-08-25,0.0,2.0,0.0,19,149,2.0
208,2019-08-26,0.0,0.0,0.0,NULL,NULL,0.0
209,2019-08-27,0.0,0.0,0.0,NULL,NULL,0.0
210,2019-08-28,0.0,0.0,0.0,NULL,NULL,0.0
211,2019-08-29,0.0,0.0,0.0,NULL,NULL,0.0
212,2019-08-30,0.0,0.0,0.0,NULL,NULL,0.0
213,2019-08-31,0.0,0.0,0.0,NULL,NULL,0.0
214,2019-09-01,0.0,0.0,0.0,NULL,NULL,0.0
215,2019-09-02,0.0,0.0,0.0,NULL,NULL,0.0
216,2019-09-03,0.0,0.0,0.0,NULL,NULL,0.0
217,2019-09-04,0.0,0.0,0.0,NULL,NULL,0.0
218,2019-09-05,0.0,0.0,0.0,NULL,NULL,0.0
219,2019-09-06,0.0,0.0,0.0,NULL,NULL,0.0
220,2019-09-07,0.0,0.0,0.0,NULL,NULL,0.0
221,2019-09-08,0.0,0.0,0.0,NULL,NULL,0.0
222,2019-09-09,0.0,0.0,0.0,NULL,NULL,0.0
223,2019-09-10,0.0,0.0,0.0,NULL,NULL,0.0
224,2019-09-11,0.0,0.0,0.0,NULL,NULL,0.0
225,2019-09-12,0.0,0.0,0.0,NULL,NULL,0.0
