,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-07-27,2049.43,0.0,0.0,NULL,NULL,0.0
1,2018-07-28,2154.92,0.0,0.0,NULL,NULL,0.0
2,2018-07-29,2230.75,0.0,0.0,NULL,NULL,0.0
3,2018-07-30,2362.31,0.0,0.0,NULL,NULL,0.0
4,2018-07-31,2534.56,0.0,0.0,NULL,NULL,0.0
5,2018-08-01,2717.12,0.0,0.0,NULL,NULL,0.0
6,2018-08-02,2836.43,0.0,0.0,NULL,NULL,0.0
7,2018-08-03,2889.79,0.0,0.0,NULL,NULL,0.0
8,2018-08-04,2946.34,0.0,0.0,NULL,NULL,0.0
9,2018-08-05,3044.42,0.0,0.0,NULL,NULL,0.0
10,2018-08-06,3084.32,0.0,0.0,NULL,NULL,0.0
11,2018-08-07,3115.32,0.0,0.0,NULL,NULL,0.0
12,2018-08-08,3191.16,0.0,0.0,NULL,NULL,0.0
13,2018-08-09,3314.67,0.0,0.0,NULL,NULL,0.0
14,2018-08-10,3431.16,0.0,0.0,NULL,NULL,0.0
15,2018-08-11,3491.72,0.0,0.0,NULL,NULL,0.0
16,2018-08-12,3602.45,0.0,0.0,NULL,NULL,0.0
17,2018-08-13,3660.43,0.0,0.0,NULL,NULL,0.0
18,2018-08-14,1740.14,0.0,0.0,NULL,NULL,0.0
19,2018-08-15,1870.08,0.0,0.0,NULL,NULL,0.0
20,2018-08-16,2025.97,0.0,0.0,NULL,NULL,0.0
21,2018-08-17,2322.35,0.0,0.0,NULL,NULL,0.0
22,2018-08-18,2497.42,0.0,0.0,NULL,NULL,0.0
23,2018-08-19,2608.34,0.0,0.0,NULL,NULL,0.0
24,2018-08-20,2754.81,0.0,0.0,NULL,NULL,0.0
25,2018-08-21,2844.92,0.0,0.0,NULL,NULL,0.0
26,2018-08-22,2884.08,0.0,0.0,NULL,NULL,0.0
27,2018-08-23,2910.77,0.0,0.0,NULL,NULL,0.0
28,2018-08-24,2993.44,0.0,0.0,NULL,NULL,0.0
29,2018-08-25,3060.44,0.0,0.0,NULL,NULL,0.0
