,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-04,0.0,1.0,200.0,22,164,1.0
1,2019-10-10,6.89,24.0,0.1331000000000002,12,86,852.0
2,2019-10-11,733.94,32.0,811.0485000000001,11,76,631.0
3,2019-10-12,860.94,12.0,197.0003,13,104,37.0
4,2019-10-13,930.94,5.0,70.0001,12,126,15.0
5,2019-10-14,940.94,7.0,16.000899999999998,15,117,11.0
6,2019-10-15,1063.94,23.0,123.0,12,84,31.0
7,2019-10-16,1071.94,10.0,108.0001,15,109,13.0
8,2019-10-17,884.94,9.0,113.0001,17,109,13.0
9,2019-10-18,926.94,7.0,247.0001,17,114,26.0
10,2019-10-19,1036.94,5.0,110.0003,17,122,9.0
11,2019-10-20,1141.94,3.0,105.0,21,137,4.0
12,2019-10-21,1261.94,4.0,220.0,20,134,12.0
13,2019-10-22,1271.94,4.0,110.0,20,135,6.0
14,2019-10-23,1271.94,5.0,150.0001,20,141,9.0
15,2019-10-24,1324.94,2.0,100.0,23,156,2.0
16,2019-10-25,1338.94,4.0,114.0,22,134,10.0
17,2019-10-26,1343.94,3.0,5.0001,20,129,3.0
18,2019-10-27,1353.94,3.0,10.0,22,135,4.0
19,2019-10-28,1199.94,8.0,396.0001,17,114,19.0
20,2019-10-29,1352.94,4.0,153.0,19,133,10.0
21,2019-10-30,1367.94,4.0,15.0,20,133,6.0
22,2019-10-31,1537.94,7.0,170.0,19,124,30.0
23,2019-11-01,1562.94,3.0,25.0,19,138,10.0
24,2019-11-02,1562.94,0.0,0.0,NULL,NULL,0.0
25,2019-11-03,1562.94,0.0,0.0,NULL,NULL,0.0
26,2019-11-04,1562.94,0.0,0.0,NULL,NULL,0.0
27,2019-11-05,262.94,0.0,0.0,NULL,NULL,0.0
28,2019-11-06,262.94,0.0,0.0,NULL,NULL,0.0
29,2019-11-07,70.94,4.0,11.0,17,110,6.0
30,2019-11-08,70.94,0.0,0.0,NULL,NULL,0.0
31,2019-11-09,61.94,2.0,3.0,19,120,2.0
32,2019-11-10,67.94,3.0,6.0,19,102,4.0
33,2019-11-11,70.94,2.0,3.0,21,133,2.0
34,2019-11-12,73.94,2.0,3.0,20,130,2.0
35,2019-11-13,113.94,3.0,124.0,20,114,8.0
36,2019-11-14,229.94,4.0,224.0,18,105,10.0
37,2019-11-15,137.94,6.0,232.0,16,92,12.0
38,2019-11-16,345.94,2.0,108.0,16,120,4.0
39,2019-11-17,345.94,0.0,0.0,NULL,NULL,0.0
40,2019-11-18,453.94,2.0,108.0,20,121,4.0
41,2019-11-19,303.94,2.0,108.0,20,129,4.0
42,2019-11-20,303.94,2.0,108.0,19,124,4.0
43,2019-11-21,303.94,2.0,108.0,23,123,4.0
44,2019-11-22,409.94,4.0,264.0,19,100,20.0
45,2019-11-23,409.94,0.0,0.0,NULL,NULL,0.0
46,2019-11-24,709.94,4.0,408.0,18,97,10.0
47,2019-11-25,408.94,6.0,127.02,21,95,40.0
48,2019-11-26,211.76,320.0,271.43,6,16,1398.0
49,2019-11-27,19.92,430.0,69.98,4,12,2690.0
50,2019-11-28,27.85,458.0,112.47999999999996,4,12,3157.0
51,2019-11-29,26.69,775.0,150.79,3,6,4442.0
52,2019-11-30,0.0,881.0,213.63999999999993,3,6,5766.0
53,2019-12-01,63.49,732.0,259.72000000000014,3,6,5040.0
54,2019-12-02,74.46,579.0,126.99999999999997,3,9,3670.0
55,2019-12-03,54.34,530.0,107.98010000000001,4,11,3268.0
56,2019-12-04,66.99,770.0,182.27,3,7,4082.0
57,2019-12-05,24.4,729.0,199.49099999999999,3,7,4204.0
58,2019-12-06,31.79,1106.0,257.86499999999995,3,4,5634.0
59,2019-12-07,23.47,1563.0,485.58,3,4,7345.0
60,2019-12-08,15.93,4470.0,391.2199999999999,1,2,9459.0
61,2019-12-09,65.36,6461.0,229.85000000000002,1,1,13018.0
62,2019-12-10,80.45,7577.0,302.2000999999999,1,1,14400.0
63,2019-12-11,95.15,6226.0,264.1201,1,2,12835.0
64,2019-12-12,105.94,9894.0,264.79,1,1,16719.0
65,2019-12-13,66.73,8271.0,240.52010000000004,1,1,15473.0
66,2019-12-14,79.46,10624.0,163.80999999999995,1,1,19297.0
67,2019-12-15,87.92,9529.0,163.85999999999996,1,1,16564.0
68,2019-12-16,54.96,8652.0,265.95,1,1,15062.0
69,2019-12-17,168.64,1003.0,422.9501999999999,3,3,3965.0
70,2019-12-18,188.15,386.0,212.44,4,10,2603.0
71,2019-12-19,234.81,430.0,334.9201000000001,6,14,3434.0
72,2019-12-20,434.26,297.0,294.49000000000007,7,17,2225.0
73,2019-12-21,447.04,234.0,26.170099999999984,7,17,1357.0
74,2019-12-22,493.02,412.0,91.35000000000001,5,12,2636.0
75,2019-12-23,341.58,344.0,190.68010000000004,5,15,5625.0
76,2019-12-24,356.5,381.0,65.73,5,15,2706.0
77,2019-12-25,534.36,3582.0,337.58000000000004,1,1,11564.0
78,2019-12-26,546.02,847.0,179.53999999999996,3,5,9336.0
79,2019-12-27,548.82,956.0,39.64,3,4,9235.0
80,2019-12-28,556.39,734.0,124.43010000000005,3,5,9260.0
81,2019-12-29,559.0,719.0,31.01,3,5,9393.0
82,2019-12-30,575.83,704.0,117.24000000000001,3,5,9613.0
83,2019-12-31,596.5,695.0,22.8401,3,5,11704.0
84,2020-01-01,618.04,763.0,182.55999999999997,3,5,11468.0
85,2020-01-02,643.34,666.0,147.45999999999998,3,6,7902.0
86,2020-01-03,651.22,636.0,154.18009999999998,3,5,3192.0
87,2020-01-04,678.06,730.0,334.54,3,4,2580.0
88,2020-01-05,683.9,594.0,74.95000000000002,3,6,2650.0
89,2020-01-06,109.52,451.0,77.26000000000002,4,11,3500.0
90,2020-01-07,109.86,431.0,6.0,5,14,1530.0
91,2020-01-08,110.13,427.0,5.430000000000001,5,13,2402.0
92,2020-01-09,132.92,431.0,55.690000000000005,5,15,2541.0
93,2020-01-10,135.4,395.0,10.030000000000001,5,14,2146.0
94,2020-01-11,262.9,435.0,163.02000000000004,4,10,2245.0
95,2020-01-12,273.22,434.0,66.27,4,13,2336.0
