,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-15,0.0,4.0,0.0,29,151,44.0
1,2019-04-16,0.0,6.0,0.0,27,136,18.0
2,2019-04-17,0.0,3.0,0.0,32,162,5.0
3,2019-04-18,0.0,5.0,0.0,29,150,14.0
4,2019-04-19,0.0,3.0,0.0,31,162,15.0
5,2019-04-20,0.0,2.0,0.0,32,163,3.0
6,2019-04-21,0.0,3.0,0.0,27,153,5.0
7,2019-04-22,0.0,4.0,0.0,28,150,6.0
8,2019-04-23,0.0,1.0,0.0,32,189,4.0
9,2019-04-24,0.0,1.0,0.0,37,192,1.0
10,2019-04-25,0.0,1.0,0.0,33,187,1.0
11,2019-04-26,0.0,2.0,0.0,32,175,2.0
12,2019-04-28,0.0,2.0,0.0,30,175,2.0
13,2019-05-01,0.0,2.0,0.0,30,170,5.0
14,2019-05-02,0.0,2.0,0.0,30,166,4.0
15,2019-05-03,0.0,1.0,0.0,35,191,5.0
16,2019-05-04,0.0,1.0,0.0,36,182,1.0
17,2019-05-05,3.28,2.0,0.0,30,168,8.0
18,2019-05-06,3.28,3.0,0.0,28,164,4.0
19,2019-05-07,3.28,3.0,0.0,28,162,11.0
20,2019-05-08,3.29,3.0,0.0,31,164,9.0
21,2019-05-09,3.29,3.0,0.0,29,162,16.0
22,2019-05-10,3.29,4.0,0.0,22,144,14.0
23,2019-05-11,3.29,2.0,0.0,31,166,15.0
24,2019-05-12,3.29,0.0,0.0,NULL,NULL,0.0
25,2019-05-13,3.3,2.0,0.0,30,164,16.0
26,2019-05-14,3.31,2.0,0.0,30,169,9.0
27,2019-05-15,3.31,2.0,0.0,30,166,3.0
28,2019-05-16,3.32,1.0,0.0,38,178,1.0
29,2019-05-17,3.33,3.0,0.0,27,150,17.0
30,2019-05-18,3.33,0.0,0.0,NULL,NULL,0.0
31,2019-05-19,3.33,0.0,0.0,NULL,NULL,0.0
32,2019-05-20,3.33,0.0,0.0,NULL,NULL,0.0
33,2019-05-21,3.33,0.0,0.0,NULL,NULL,0.0
34,2019-05-22,3.34,3.0,0.0,27,151,20.0
35,2019-05-23,3.35,2.0,0.0,26,181,5.0
36,2019-05-24,3.35,3.0,0.0,22,160,5.0
37,2019-05-25,3.35,1.0,0.0,30,185,1.0
38,2019-05-26,3.35,1.0,0.0,27,188,2.0
39,2019-05-27,3.35,0.0,0.0,NULL,NULL,0.0
40,2019-05-28,3.35,1.0,0.0,33,212,1.0
41,2019-05-29,3.35,1.0,0.0,28,198,1.0
42,2019-05-30,3.35,0.0,0.0,NULL,NULL,0.0
43,2019-05-31,3.35,1.0,0.0,30,207,1.0
44,2019-06-01,3.35,1.0,0.0,27,183,1.0
45,2019-06-02,3.35,0.0,0.0,NULL,NULL,0.0
46,2019-06-03,3.35,0.0,0.0,NULL,NULL,0.0
47,2019-06-04,3.46,1.0,0.0,25,189,5.0
48,2019-06-05,3.46,2.0,0.0,22,160,3.0
49,2019-06-06,3.47,2.0,0.0,25,169,3.0
50,2019-06-07,3.47,1.0,0.0,29,187,1.0
51,2019-06-08,3.48,2.0,0.0,24,164,3.0
52,2019-06-09,3.49,2.0,0.0,28,171,2.0
53,2019-06-10,3.49,0.0,0.0,NULL,NULL,0.0
54,2019-06-11,3.49,1.0,0.0,28,189,2.0
