,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-02-03,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-02-04,0.0,58.0,1693.0,28,118,1075.0
2,2019-02-05,6729.19,94.0,2349.0,23,108,1352.0
3,2019-02-06,10137.93,110.0,44417.0,22,103,1995.0
4,2019-02-07,10810.57,191.0,5313.0,23,89,3553.0
5,2019-02-08,10522.95,206.0,3329.0,24,86,3112.0
6,2019-02-09,11002.13,225.0,6999.0,21,81,3700.0
7,2019-02-10,11136.85,189.0,1118.0,21,84,1845.0
8,2019-02-11,11454.62,183.0,1246.0,21,84,1608.0
9,2019-02-12,1434.83,194.0,3230.0,21,86,2143.0
10,2019-02-13,1748.77,216.0,780.0,21,84,1784.0
11,2019-02-14,1969.63,181.0,1990.0,24,91,1917.0
12,2019-02-15,2147.9,177.0,2155.0,24,90,1478.0
13,2019-02-16,2248.52,172.0,621.0,23,91,1457.0
14,2019-02-17,2397.72,165.0,367.0,24,92,1348.0
15,2019-02-18,2439.06,131.0,305.0,26,101,794.0
16,2019-02-19,2488.06,71.0,303.0,33,127,436.0
17,2019-02-20,1295.3,99.0,295.0,14,62,660.0
18,2019-02-21,1345.38,93.0,136.0,13,60,613.0
19,2019-02-22,1393.39,88.0,66.0,15,63,588.0
20,2019-02-23,1427.9714,84.0,54.0,14,62,579.0
21,2019-02-24,1424.709,78.0,12.0,14,59,523.0
22,2019-02-25,1450.42,72.0,56.0,15,69,643.0
23,2019-02-26,1161.16,71.0,22.0,16,64,513.0
24,2019-02-27,1159.45,76.0,14.0,16,69,514.0
25,2019-02-28,1164.14,71.0,14.0,19,74,528.0
26,2019-03-01,1173.25,52.0,13.0,19,86,472.0
27,2019-03-02,1180.13,38.0,9.0,19,88,455.0
28,2019-03-03,1182.54,45.0,7.0,19,79,458.0
29,2019-03-04,1177.91,40.0,4.0,19,85,438.0
30,2019-03-05,1142.61,43.0,28.0,18,86,455.0
31,2019-03-06,1143.2,43.0,3.0,18,86,430.0
32,2019-03-07,1153.21,24.0,11.0,19,96,410.0
33,2019-03-08,1151.84,24.0,1.0,20,101,411.0
34,2019-03-09,1152.25,21.0,2.0,19,95,411.0
35,2019-03-10,1159.98,19.0,8.0,18,102,405.0
36,2019-03-11,1176.88,23.0,18.0,19,96,437.0
37,2019-03-12,1128.29,10.0,0.0,22,112,383.0
38,2019-03-13,1131.69,12.0,5.0,21,104,391.0
39,2019-03-14,1129.8976,29.0,19.0,20,94,431.0
40,2019-03-15,1131.1408,15.0,2.0,22,107,389.0
41,2019-03-16,1137.1201,16.0,28.0,22,103,419.0
42,2019-03-17,1142.1161,33.0,58.0,20,84,436.0
43,2019-03-18,1155.0464,38.0,16.0,20,85,448.0
44,2019-03-19,1112.5666,28.0,0.0,20,99,412.0
45,2019-03-20,1112.15,22.0,7.0,20,99,403.0
46,2019-03-21,1123.14,21.0,24.0,19,99,426.0
47,2019-03-22,1127.56,28.0,12.0,20,95,435.0
48,2019-03-23,1129.34,28.0,30.0,20,92,419.0
49,2019-03-24,1137.26,30.0,18.0,20,88,417.0
50,2019-03-25,1145.8,27.0,9.0,20,95,418.0
51,2019-03-26,1110.89,21.0,12.0,21,100,406.0
52,2019-03-27,1119.79,18.0,100.0,23,105,41.0
53,2019-03-28,1125.76,34.0,26.0,20,92,434.0
54,2019-03-29,1138.92,29.0,14.0,20,93,522.0
55,2019-03-30,1143.64,13.0,74.0,22,109,402.0
56,2019-03-31,1151.22,28.0,9.2675,15,95,444.0
57,2019-04-01,1323.27,43.0,173.54250000000005,13,84,628.0
58,2019-04-02,1112.8,31.0,2.4522000000000004,15,96,452.0
59,2019-04-03,1209.92,35.0,139.95540000000003,15,100,570.0
60,2019-04-04,1291.56,34.0,66.44390000000001,15,94,539.0
61,2019-04-05,1297.79,22.0,6.482200000000001,16,102,428.0
62,2019-04-06,1300.73,21.0,3.7546999999999997,18,102,418.0
63,2019-04-07,1301.96,22.0,1.7175000000000002,18,99,414.0
64,2019-04-08,1304.49,17.0,3.2250000000000005,18,106,53.0
65,2019-04-09,1111.84,13.0,0.7911,16,118,395.0
66,2019-04-10,1132.88,22.0,23.5726,17,102,464.0
67,2019-04-11,1128.1,14.0,0.35000000000000003,21,119,408.0
68,2019-04-12,1129.32,9.0,1.25,22,127,19.0
69,2019-04-13,1128.33,21.0,3.7725,19,103,413.0
70,2019-04-14,1131.66,9.0,3.4175,22,118,24.0
71,2019-04-15,1132.63,11.0,1.0,23,122,393.0
72,2019-04-16,1101.59,16.0,0.41750000000000004,22,112,398.0
73,2019-04-17,1101.89,12.0,1.2553,22,121,393.0
74,2019-04-18,1113.46,15.0,14.940600000000002,20,113,422.0
75,2019-04-19,1113.41,20.0,0.15000000000000002,17,105,402.0
76,2019-04-20,1114.88,15.0,1.5,16,112,25.0
77,2019-04-21,1115.17,14.0,2.4699999999999998,15,110,20.0
78,2019-04-22,1121.8,15.0,7.2328,18,114,778.0
79,2019-04-23,1121.78,16.0,0.45,16,110,21.0
80,2019-04-24,1099.17,6.0,0.0,21,134,7.0
81,2019-04-25,1099.22,8.0,0.5688,20,133,13.0
82,2019-04-26,1099.05,7.0,0.5077,20,130,395.0
83,2019-04-27,1140.02,12.0,44.73250000000001,18,116,435.0
84,2019-04-28,1140.72,13.0,0.8,15,112,17.0
85,2019-04-29,1142.33,16.0,1.9875,14,106,21.0
86,2019-04-30,1142.78,11.0,2.0025,14,116,396.0
87,2019-05-01,1100.11,19.0,5.05,12,104,417.0
88,2019-05-02,1106.3,15.0,7.7875,14,110,415.0
89,2019-05-03,1107.28,16.0,1.1,15,106,22.0
90,2019-05-04,1107.68,14.0,10.822500000000002,14,108,407.0
91,2019-05-05,1107.66,12.0,0.0,16,113,13.0
92,2019-05-06,1133.27,17.0,61.0035,15,104,431.0
93,2019-05-07,1091.19,21.0,69.1541,14,102,420.0
94,2019-05-08,1099.83,42.0,9.537500000000001,12,89,450.0
95,2019-05-09,1124.81,26.0,27.7305,13,96,444.0
96,2019-05-10,1129.47,24.0,11.841100000000003,13,96,449.0
97,2019-05-11,1129.96,15.0,0.6175,13,110,17.0
98,2019-05-12,1141.01,22.0,13.069400000000002,13,98,446.0
99,2019-05-13,1141.65,20.0,1.2399999999999998,14,103,432.0
