,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-13,0.0,1.0,2500.0,39,189,1.0
1,2019-05-14,0.0,4.0,4.0,24,150,15.0
2,2019-05-15,0.0,30.0,859.0,11,89,102.0
3,2019-05-16,781.03,16.0,319.0,13,104,54.0
4,2019-05-17,903.03,5.0,122.0,20,134,12.0
5,2019-05-18,968.03,3.0,65.0,25,146,4.0
6,2019-05-19,1034.03,4.0,66.0,23,144,6.0
7,2019-05-20,735.03,12.0,201.0,17,110,28.0
8,2019-05-21,886.03,5.0,151.0,20,131,8.0
9,2019-05-22,962.03,6.0,76.0,20,126,10.0
10,2019-05-23,1058.03,10.0,96.0,15,118,26.0
11,2019-05-24,611.03,5.0,53.0,17,135,8.0
12,2019-05-25,667.03,4.0,56.0,20,145,6.0
13,2019-05-26,745.03,6.0,78.0,17,135,14.0
14,2019-05-27,877.03,8.0,132.0,16,133,16.0
15,2019-05-28,878.03,2.0,1.0,27,190,2.0
16,2019-05-29,1010.03,6.0,132.0,18,141,12.0
17,2019-05-30,720.03,6.0,215.0,17,141,14.0
18,2019-05-31,776.03,4.0,51.0,23,162,5.0
19,2019-06-01,777.03,2.0,1.0,24,164,2.0
20,2019-06-02,892.03,3.0,115.0,19,149,6.0
21,2019-06-03,1064.03,10.0,172.0,15,119,20.0
22,2019-06-04,745.03,5.0,181.0,17,136,12.0
23,2019-06-05,875.03,7.0,130.0,16,127,20.0
24,2019-06-06,865.03,9.0,490.0,14,116,42.0
25,2019-06-07,942.03,8.0,77.0,17,120,14.0
26,2019-06-08,1069.03,7.0,127.0,13,119,14.0
27,2019-06-09,685.03,4.0,116.0,17,139,8.0
28,2019-06-10,995.03,9.0,310.0,13,116,18.0
29,2019-06-11,781.03,7.0,286.0,15,119,18.0
30,2019-06-12,1067.03,4.0,286.0,18,143,18.0
31,2019-06-13,1099.03,5.0,32.0,16,130,8.0
32,2019-06-14,1099.03,0.0,0.0,NULL,NULL,0.0
33,2019-06-15,604.03,2.0,5.0,19,152,2.0
34,2019-06-16,794.03,6.0,190.0,16,120,14.0
35,2019-06-17,1059.03,6.0,265.0,16,126,12.0
36,2019-06-18,1017.03,9.0,346.0,15,121,34.0
37,2019-06-19,785.03,11.0,616.0,13,112,61.0
38,2019-06-20,1067.03,15.0,282.0,12,103,45.0
39,2019-06-21,950.03,8.0,227.0,14,120,25.0
40,2019-06-22,1089.03,7.0,59.0,13,122,15.0
41,2019-06-23,969.03,15.0,380.0,11,104,30.0
42,2019-06-24,780.03,8.0,296.0,14,123,21.0
43,2019-06-25,1007.03,36.0,727.0,10,87,92.0
44,2019-06-26,758.03,25.0,1250.0,10,92,91.0
45,2019-06-27,758.03,1.0,0.0,30,195,1.0
46,2019-06-28,713.67,589.0,1588.0207999999993,4,33,13810.0
47,2019-06-29,857.38,657.0,3562.1102,4,32,16221.0
48,2019-06-30,715.39,636.0,381.3486000000001,4,35,22038.0
49,2019-07-01,714.47,739.0,410.93360000000007,4,30,16348.0
50,2019-07-02,648.84,695.0,152.13410000000002,4,30,18618.0
51,2019-07-03,521.51,695.0,104.15579999999999,4,31,18916.0
52,2019-07-04,768.39,665.0,333.1664,4,33,15857.0
53,2019-07-05,695.77,646.0,206.8321,4,33,14900.0
54,2019-07-06,797.27,577.0,212.91339999999994,5,34,15733.0
55,2019-07-07,1154.36,540.0,448.0777,6,35,7771.0
56,2019-07-08,620.88,532.0,271.8841,6,36,22237.0
57,2019-07-09,588.55,524.0,155.09390000000002,6,34,20813.0
58,2019-07-10,602.01,509.0,158.0936,6,33,23064.0
59,2019-07-11,683.77,500.0,207.20699999999997,6,32,20756.0
60,2019-07-12,715.91,539.0,173.73860000000002,5,31,18314.0
61,2019-07-13,593.12,550.0,141.53939999999997,6,32,21074.0
