,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-02,0.0,1.0,21.0,32,201,1.0
1,2019-04-10,0.0,6.0,3.1999999999999997,24,142,41.0
2,2019-04-11,0.0,200.0,159.1,9,53,389.0
3,2019-04-12,0.0,182.0,80.2,10,56,342.0
4,2019-04-13,0.0,65.0,6.0,13,73,113.0
5,2019-04-14,0.0,51.0,19.0,14,75,108.0
6,2019-04-15,0.0,11.0,6.0,23,122,25.0
7,2019-04-16,0.0,42.0,7.0,14,84,98.0
8,2019-04-17,0.0,20.0,2.0,19,110,26.0
9,2019-04-18,0.0,33.0,1.0,15,91,63.0
10,2019-04-19,0.0,17.0,3.0,19,111,52.0
11,2019-04-20,0.0,14.0,1.0,17,114,46.0
12,2019-04-21,0.0,3.0,0.0,27,153,34.0
13,2019-04-22,0.0,26.0,12.01,13,98,221.0
14,2019-04-23,0.0,47.0,371.306,10,85,1223.0
15,2019-04-24,0.0,48.0,66.423,9,84,1208.0
16,2019-04-25,0.0,48.0,136.4613,9,86,844.0
17,2019-04-26,0.0,47.0,342.55780000000004,9,82,740.0
18,2019-04-27,0.0,51.0,263.641,9,76,632.0
19,2019-04-28,0.0,49.0,94.30750000000002,9,82,573.0
20,2019-04-29,0.0,41.0,50.415000000000006,11,88,369.0
21,2019-04-30,0.0,6.0,42.4,23,139,271.0
22,2019-05-01,0.0,4.0,0.0,24,148,11.0
23,2019-05-02,0.0,4.0,1.0,25,147,19.0
24,2019-05-03,0.0,4.0,0.0,22,145,5.0
25,2019-05-04,0.0,3.0,0.0,24,147,3.0
26,2019-05-05,0.0,4.0,1.0,26,147,21.0
27,2019-05-06,0.0,2.0,1.0,32,174,3.0
28,2019-05-07,0.0,1.0,0.0,35,196,1.0
29,2019-05-09,0.0,3.0,44.4,29,162,7.0
30,2019-05-10,456.02,4.0,3.0,22,144,12.0
31,2019-05-11,456.02,5.0,0.0,21,136,5.0
32,2019-05-12,393.28,3.0,41.4,28,152,3.0
33,2019-05-13,393.28,1.0,0.0,39,189,1.0
34,2019-05-14,394.18,6.0,1.0,19,132,7.0
35,2019-05-15,394.18,5.0,0.0,21,137,5.0
36,2019-05-16,394.18,2.0,0.0,31,160,2.0
37,2019-05-17,394.18,1.0,0.0,36,176,1.0
38,2019-05-18,394.18,3.0,0.0,25,146,4.0
39,2019-05-19,394.18,2.0,0.0,30,163,3.0
40,2019-05-20,394.18,2.0,0.0,30,162,2.0
41,2019-05-21,394.18,2.0,0.0,28,158,2.0
42,2019-05-22,394.18,2.0,0.0,30,160,2.0
43,2019-05-23,394.18,349.0,11.464200000000002,6,42,4432.0
44,2019-05-24,394.18,403.0,7.297000000000001,6,37,9981.0
45,2019-05-25,394.18,412.0,6.2098,6,38,9629.0
46,2019-05-26,394.18,465.0,14.689300000000006,5,36,12309.0
47,2019-05-27,394.18,499.0,7.197599999999999,5,37,9706.0
48,2019-05-28,394.18,488.0,10.804900000000004,5,39,9936.0
49,2019-05-29,394.18,482.0,11.138699999999998,5,37,9607.0
50,2019-05-30,394.18,510.0,15.843500000000006,5,35,10165.0
51,2019-05-31,394.18,260.0,5.9129,6,44,3929.0
52,2019-06-01,394.18,498.0,5.794499999999998,4,33,5206.0
53,2019-06-02,394.18,490.0,8.3622,5,33,9402.0
54,2019-06-03,394.18,487.0,4.5908000000000015,5,33,9458.0
55,2019-06-04,394.18,491.0,6.516000000000002,5,33,9136.0
56,2019-06-05,864.04,489.0,7.5037,4,32,9795.0
57,2019-06-06,865.21,500.0,4.121600000000001,5,33,8941.0
58,2019-06-07,767.32,486.0,104.39870000000003,5,33,8586.0
59,2019-06-08,717.51,463.0,3.8098,5,34,8616.0
60,2019-06-09,718.14,470.0,12.874599999999996,5,33,9122.0
61,2019-06-10,548.84,489.0,184.1318,5,33,10387.0
62,2019-06-11,549.0,471.0,3.2776,5,33,8701.0
63,2019-06-12,549.15,463.0,3.1721000000000013,5,32,9018.0
64,2019-06-13,549.41,466.0,5.3469,5,33,8845.0
65,2019-06-14,549.59,466.0,3.6664000000000003,5,34,5430.0
66,2019-06-15,551.23,462.0,4.433899999999998,5,34,3709.0
67,2019-06-16,551.33,451.0,2.1313,5,33,5581.0
68,2019-06-17,551.31,453.0,9.507299999999995,5,34,5524.0
69,2019-06-18,551.55,446.0,4.946500000000001,6,36,5371.0
70,2019-06-19,551.93,451.0,7.7787999999999835,6,36,5615.0
71,2019-06-20,549.8,466.0,13.531299999999977,5,33,6037.0
72,2019-06-21,550.14,455.0,6.807100000000001,6,37,6224.0
73,2019-06-22,550.35,452.0,4.389400000000001,5,36,5700.0
74,2019-06-23,550.68,462.0,6.549700000000003,5,35,7460.0
75,2019-06-24,551.22,449.0,11.025599999999997,6,40,6770.0
76,2019-06-25,553.15,443.0,19.840400000000002,5,38,6331.0
77,2019-06-26,553.3,494.0,2.7733000000000008,5,36,5635.0
78,2019-06-27,552.82,445.0,1.5310000000000001,6,39,6048.0
79,2019-06-28,496.53,439.0,1.8813999999999997,8,41,6819.0
80,2019-06-29,496.5,436.0,3.1294,7,39,7125.0
81,2019-06-30,496.9,422.0,1.7878,8,43,6584.0
82,2019-07-01,496.8,421.0,4.425299999999999,8,45,8838.0
83,2019-07-02,496.92,443.0,2.1376,8,41,7874.0
84,2019-07-03,499.15,429.0,5.268199999999999,8,42,7625.0
85,2019-07-04,499.29,434.0,2.4907000000000004,8,43,7180.0
86,2019-07-05,501.43,436.0,4.802099999999999,8,40,8391.0
87,2019-07-06,501.54,439.0,2.33,7,39,5208.0
88,2019-07-07,501.63,428.0,1.7042000000000002,8,41,4647.0
89,2019-07-08,501.77,426.0,2.7377000000000007,8,42,4613.0
90,2019-07-09,501.97,430.0,4.100300000000001,7,39,4888.0
91,2019-07-10,504.16,423.0,45.882600000000004,8,41,5025.0
92,2019-07-11,504.31,423.0,3.0166999999999997,7,35,4674.0
93,2019-07-12,505.05,432.0,4.4393,7,37,4831.0
94,2019-07-13,505.18,447.0,2.6026000000000007,7,35,4764.0
95,2019-07-14,507.38,426.0,6.170000000000002,7,37,4930.0
96,2019-07-15,532.58,418.0,4.1115,7,39,4957.0
97,2019-07-16,532.77,432.0,3.9336999999999995,7,39,4952.0
98,2019-07-17,534.93,420.0,5.342400000000001,7,38,4626.0
99,2019-07-18,537.18,429.0,6.985799999999999,7,37,4585.0
100,2019-07-19,539.25,417.0,3.5740999999999987,7,39,4410.0
101,2019-07-20,539.53,423.0,5.8443000000000005,7,35,5113.0
102,2019-07-21,539.7,426.0,3.5747000000000013,7,35,4983.0
103,2019-07-22,540.04,415.0,6.852599999999998,7,36,5277.0
104,2019-07-23,540.25,416.0,4.3855,7,34,4691.0
105,2019-07-24,540.45,415.0,3.641799999999998,7,34,4932.0
106,2019-07-25,540.58,435.0,2.2066999999999997,6,34,4774.0
107,2019-07-26,546.65,415.0,7.3752,7,34,4331.0
108,2019-07-27,550.87,420.0,8.545900000000003,7,31,4663.0
109,2019-07-28,553.06,413.0,5.889200000000002,7,30,5068.0
110,2019-07-29,553.28,406.0,4.5751,7,34,7498.0
111,2019-07-30,553.42,415.0,2.9102000000000006,7,34,6630.0
112,2019-07-31,553.6,412.0,3.2964999999999995,7,34,5942.0
113,2019-08-01,142.6,422.0,9.492500000000001,7,37,5658.0
114,2019-08-02,139.84,371.0,1.5111000000000008,7,41,3635.0
115,2019-08-03,139.95,394.0,1.8222999999999996,8,36,4006.0
116,2019-08-04,142.0,363.0,2.8517,8,36,2954.0
117,2019-08-05,144.08,347.0,3.6356999999999995,9,40,2510.0
118,2019-08-06,144.15,358.0,1.2976,7,39,2674.0
119,2019-08-07,144.29,381.0,2.9294,7,35,2294.0
120,2019-08-08,144.43,393.0,2.393,6,37,3030.0
121,2019-08-09,148.09,372.0,8.146,8,38,4001.0
122,2019-08-10,148.17,335.0,1.3489000000000004,8,37,1966.0
123,2019-08-11,148.22,146.0,1.1212,9,52,1421.0
124,2019-08-12,148.29,144.0,1.4568,9,54,1812.0
125,2019-08-13,148.4,142.0,1.9637,9,51,1541.0
126,2019-08-14,148.57,138.0,3.3838999999999992,9,54,1771.0
127,2019-08-15,148.73,144.0,3.1570999999999994,9,54,2071.0
128,2019-08-16,148.91,150.0,3.844500000000001,9,54,2410.0
129,2019-08-17,149.03,132.0,1.3764000000000003,9,54,1625.0
130,2019-08-18,89.04,138.0,0.5206,9,51,1295.0
131,2019-08-19,89.22,308.0,3.6443999999999988,7,42,2240.0
132,2019-08-20,91.34,146.0,4.113700000000001,9,54,2122.0
133,2019-08-21,91.53,151.0,2.261700000000001,9,54,1848.0
134,2019-08-22,87.41,150.0,1.9549999999999998,9,54,1578.0
135,2019-08-23,87.49,142.0,1.8534000000000002,9,54,1765.0
136,2019-08-24,87.58,130.0,1.8868000000000003,9,52,1457.0
137,2019-08-25,87.66,149.0,1.4522000000000002,9,48,1532.0
138,2019-08-26,87.77,152.0,2.3217000000000003,9,50,1943.0
139,2019-08-27,83.42,169.0,2.3253999999999992,9,51,2042.0
140,2019-08-28,83.59,148.0,3.203100000000001,9,53,1762.0
141,2019-08-29,83.64,148.0,1.1007999999999998,9,52,1588.0
142,2019-08-30,83.75,146.0,2.2378,9,50,1849.0
143,2019-08-31,83.91,141.0,3.291300000000001,9,49,1803.0
144,2019-09-01,88.48,148.0,5.6703,9,48,1756.0
145,2019-09-02,89.8,145.0,1.4003,9,50,1282.0
146,2019-09-03,68.72,145.0,1.2937000000000003,9,50,1607.0
147,2019-09-04,82.28,141.0,26.85350000000005,9,52,2606.0
148,2019-09-05,82.47,138.0,5.6908,9,52,2081.0
149,2019-09-06,85.63,134.0,8.255900000000006,9,53,2200.0
150,2019-09-07,85.7,137.0,4.391400000000001,10,54,2182.0
151,2019-09-08,86.07,137.0,7.112399999999991,10,51,2026.0
152,2019-09-09,0.0,146.0,6.267599999999999,10,52,2564.0
