,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-11,0.0,6.0,6.641,15,125,208.0
1,2019-10-12,0.0,5.0,7.257099999999994,19,135,667.0
2,2019-10-13,0.0,1.0,0.0,29,198,1.0
3,2019-10-14,0.0,7.0,5.724,15,117,100.0
4,2019-10-15,0.0,8.0,1.22,15,110,69.0
5,2019-10-16,0.0,143.0,842.3186999999999,8,44,3481.0
6,2019-10-17,0.0,143.0,310.51739999999995,8,45,2433.0
7,2019-10-18,0.0,158.0,415.2084,8,44,3117.0
8,2019-10-19,0.0,110.0,255.10240000000007,8,46,2446.0
9,2019-10-20,0.0,96.0,123.183,10,51,2176.0
10,2019-10-21,0.0,110.0,111.458,9,53,2009.0
11,2019-10-22,0.0,94.0,75.334,10,55,1517.0
12,2019-10-23,0.0,97.0,40.618,11,58,1677.0
13,2019-10-24,1559.17,92.0,53.915,9,54,1747.0
14,2019-10-25,1488.44,66.0,27.3498,9,49,1381.0
15,2019-10-26,1515.47,56.0,45.948299999999996,11,54,990.0
16,2019-10-27,1528.26,60.0,12.468,11,50,839.0
17,2019-10-28,1458.1,60.0,33.09400000000001,10,51,1129.0
18,2019-10-29,1479.89,61.0,20.466,12,61,1128.0
19,2019-10-30,1486.75,59.0,39.592999999999996,12,62,1460.0
20,2019-10-31,1464.42,66.0,42.897999999999996,12,61,790.0
21,2019-11-01,750.43,40.0,0.02,13,70,217.0
22,2019-11-02,743.6,14.0,0.15,12,69,49.0
23,2019-11-03,665.73,9.0,3.5,13,74,55.0
24,2019-11-04,556.43,21.0,4.5,10,58,153.0
25,2019-11-05,480.52,12.0,0.15,13,71,92.0
26,2019-11-06,404.83,12.0,1.5,12,66,77.0
27,2019-11-07,397.32,10.0,4.0,14,75,85.0
28,2019-11-08,393.15,17.0,1.5614000000000001,13,62,189.0
29,2019-11-09,368.44,9.0,1.5,15,75,65.0
30,2019-11-10,369.94,8.0,1.5,15,78,46.0
31,2019-11-11,372.06,11.0,2.5,15,71,90.0
32,2019-11-12,372.06,14.0,0.0,14,66,49.0
33,2019-11-13,153.73,19.0,0.0,11,57,37.0
34,2019-11-14,153.79,15.0,0.83,11,66,56.0
35,2019-11-15,155.56,8.0,1.7999999999999998,15,86,32.0
36,2019-11-16,155.56,0.0,0.0,NULL,NULL,0.0
37,2019-11-17,155.56,0.0,0.0,NULL,NULL,0.0
38,2019-11-18,5.56,6.0,0.0054,17,93,80.0
39,2019-11-19,5.56,10.0,0.0,16,80,13.0
40,2019-11-20,23.65,19.0,5.6,11,55,141.0
41,2019-11-21,983.24,291.0,1024.9816999999998,5,17,9403.0
42,2019-11-22,1966.0,409.0,834.5051000000005,5,14,11921.0
43,2019-11-23,2023.58,428.0,371.01210000000003,4,12,10310.0
44,2019-11-24,2352.21,428.0,304.0906,4,10,9178.0
45,2019-11-25,1609.29,458.0,378.36609999999985,4,11,9432.0
46,2019-11-26,2013.74,401.0,483.79479999999984,5,13,7622.0
47,2019-11-27,2355.37,454.0,288.00949999999995,3,10,9188.0
48,2019-11-28,2806.15,506.0,506.58029999999974,3,10,9096.0
49,2019-11-29,2970.01,509.0,385.63220000000007,4,12,8988.0
50,2019-11-30,0.0,521.0,221.44209999999998,4,10,8407.0
51,2019-12-01,2754.32,463.0,98.82499999999997,4,9,6515.0
52,2019-12-02,2999.15,496.0,314.73780000000005,4,10,7258.0
53,2019-12-03,3126.06,534.0,263.0810000000001,3,10,7346.0
54,2019-12-04,3333.07,467.0,233.29110000000006,4,12,6940.0
55,2019-12-05,3005.5,406.0,249.91289999999998,4,12,6711.0
56,2019-12-06,2990.24,332.0,229.39550000000006,6,17,5429.0
57,2019-12-07,3072.38,342.0,161.28789999999998,6,16,5192.0
58,2019-12-08,3708.81,283.0,182.9671,6,16,4761.0
59,2019-12-09,3897.29,286.0,283.03600000000006,6,16,5054.0
60,2019-12-10,4076.99,298.0,227.95069999999996,6,15,6382.0
61,2019-12-11,4142.61,241.0,118.19910000000003,6,16,5016.0
62,2019-12-12,4235.76,317.0,64.3193,6,19,4647.0
63,2019-12-13,4382.91,282.0,105.1752,6,18,5706.0
64,2019-12-14,4495.44,288.0,140.26690000000002,7,19,7145.0
65,2019-12-15,4593.64,320.0,79.30930000000002,7,18,6228.0
66,2019-12-16,4931.57,278.0,135.72310000000004,7,19,6925.0
67,2019-12-17,5218.8,487.0,154.50439999999998,5,12,7932.0
68,2019-12-18,4762.48,368.0,628.6551,6,12,10327.0
69,2019-12-19,5181.74,663.0,445.3769999999998,3,5,11546.0
70,2019-12-20,5592.11,374.0,376.4353,5,14,8601.0
71,2019-12-21,5830.13,332.0,295.1961000000001,5,15,7696.0
72,2019-12-22,6111.46,351.0,174.53740000000002,6,13,7755.0
73,2019-12-23,6285.91,295.0,203.93759999999997,7,17,7398.0
74,2019-12-24,6532.41,330.0,126.87619999999998,6,17,7145.0
75,2019-12-25,6822.61,252.0,199.13640000000004,7,18,6403.0
76,2019-12-26,7075.31,349.0,273.02079999999995,6,16,7011.0
77,2019-12-27,7259.39,294.0,140.7377,6,16,6604.0
78,2019-12-28,7506.59,286.0,213.46820000000008,6,16,6792.0
79,2019-12-29,6539.53,296.0,214.60020000000003,7,17,6264.0
80,2019-12-30,7045.11,288.0,461.92699999999985,6,15,7696.0
81,2019-12-31,7170.67,333.0,284.55850000000004,6,14,6655.0
82,2020-01-01,7362.96,374.0,164.0831,6,15,6801.0
83,2020-01-02,7585.32,312.0,162.3273,6,16,6078.0
84,2020-01-03,5106.26,321.0,282.98549999999994,6,14,6861.0
85,2020-01-04,5246.23,253.0,135.5146,6,16,5500.0
86,2020-01-05,5351.67,270.0,128.85940000000005,6,17,6026.0
87,2020-01-06,5355.64,225.0,39.843999999999994,7,19,2587.0
88,2020-01-07,5500.31,312.0,127.96529999999998,6,16,5545.0
89,2020-01-08,5542.75,279.0,141.54319999999998,7,16,5439.0
90,2020-01-09,5493.44,270.0,58.700300000000006,7,18,4754.0
91,2020-01-10,5494.53,253.0,189.68869999999998,6,16,5427.0
92,2020-01-11,5543.81,235.0,186.7504,7,16,4735.0
93,2020-01-12,5402.47,192.0,69.2427,7,20,4232.0
