,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-05,0.0,1.0,0.002,34,184,1.0
1,2019-04-06,0.0,1.0,0.001,33,183,1.0
2,2019-04-08,0.0,2.0,49.9,31,166,3.0
3,2019-04-09,0.0,5.0,9.0,24,142,5.0
4,2019-04-10,0.0,3.0,5.0,30,159,4.0
5,2019-04-11,0.0,8.0,19.0,23,128,11.0
6,2019-04-13,0.0,2.0,5.002,32,165,2.0
7,2019-04-14,0.0,3.0,7.0,28,150,3.0
8,2019-04-15,0.0,4.0,107.0,29,151,4.0
9,2019-04-16,0.0,28.0,88.13400000000001,16,94,49.0
10,2019-04-17,0.0,21.0,176.1599999999999,17,106,52.0
11,2019-04-18,0.0,23.0,428.6828,17,102,160.0
12,2019-04-19,0.0,24.0,373.08799999999997,14,97,89.0
13,2019-04-20,0.0,8.0,124.64,23,131,54.0
14,2019-04-21,0.0,6.0,352.68,20,133,28.0
15,2019-04-22,0.0,10.0,100.0413,21,126,44.0
16,2019-04-23,0.0,9.0,307.0002,21,128,124.0
17,2019-04-24,0.0,6.0,23.58,21,134,75.0
18,2019-04-25,0.0,2.0,5.4,28,169,5.0
19,2019-04-26,0.0,15.0,41.08069999999999,14,108,23.0
20,2019-04-27,0.0,27.0,727.0399999999998,12,93,65.0
21,2019-04-28,2699.82,27.0,532.8199999999999,12,94,52.0
22,2019-04-29,2795.98,15.0,96.56000000000003,15,108,26.0
23,2019-04-30,3489.17,21.0,693.1879000000002,12,98,47.0
24,2019-05-01,3524.37,9.0,35.2,16,122,18.0
25,2019-05-02,3663.27,12.0,189.10000000000005,17,118,27.0
26,2019-05-03,3772.15,4.0,108.68,22,145,7.0
27,2019-05-04,3808.73,8.0,87.08,18,122,9.0
28,2019-05-05,3804.51,14.0,39.78,15,108,15.0
29,2019-05-06,3938.99,9.0,134.48000000000002,18,124,12.0
30,2019-05-07,3962.15,6.0,23.16,20,137,8.0
31,2019-05-08,3984.33,12.0,22.179999999999996,17,115,13.0
32,2019-05-09,4010.49,12.0,26.159999999999993,17,117,15.0
33,2019-05-10,4166.69,4.0,156.20000000000002,22,144,7.0
34,2019-05-11,4173.37,4.0,13.28,24,148,4.0
35,2019-05-12,4188.67,2.0,9.7,29,162,2.0
36,2019-05-13,4197.93,3.0,9.26,26,150,11.0
37,2019-05-14,4228.41,3.0,30.479999999999997,27,160,3.0
38,2019-05-15,4293.25,5.0,64.84,21,137,13.0
39,2019-05-16,4299.05,2.0,5.8,31,160,2.0
40,2019-05-17,4304.65,1.0,5.6,36,176,1.0
41,2019-05-18,4322.23,3.0,17.58,25,146,7.0
42,2019-05-19,4348.47,4.0,26.24,23,144,9.0
43,2019-05-20,4348.87,3.0,0.4,25,151,15.0
44,2019-05-21,4378.47,4.0,29.6,22,135,5.0
45,2019-05-22,4526.55,8.0,148.07999999999998,17,118,21.0
46,2019-05-23,4584.91,6.0,58.36000000000001,19,134,13.0
47,2019-05-24,4594.11,3.0,9.2,22,160,3.0
48,2019-05-25,4716.79,4.0,122.67999999999999,20,145,6.0
49,2019-05-26,4716.79,1.0,0.0001,27,188,1.0
50,2019-05-27,4717.39,6.0,0.6002000000000001,19,147,6.0
51,2019-05-28,4717.39,0.0,0.0,NULL,NULL,0.0
52,2019-05-29,4727.89,8.0,12.660099999999996,15,131,9.0
53,2019-05-30,4754.29,4.0,26.4001,19,155,4.0
54,2019-05-31,4763.89,7.0,9.700199999999999,19,137,9.0
55,2019-06-01,4773.13,4.0,9.24,18,140,14.0
56,2019-06-02,4808.33,5.0,35.2,17,138,5.0
57,2019-06-03,4549.52,12.0,719.53,13,113,16.0
58,2019-06-04,2510.36,19.0,9.84,12,99,31.0
59,2019-06-05,2524.76,7.0,14.4002,16,127,8.0
60,2019-06-06,2525.56,7.0,3.8003000000000005,15,120,12.0
61,2019-06-07,2580.86,11.0,55.300000000000004,11,106,11.0
62,2019-06-08,2588.36,4.0,7.5,15,135,4.0
63,2019-06-09,2601.26,3.0,12.899999999999999,21,154,4.0
64,2019-06-10,1740.4,7.0,1113.3,15,128,11.0
65,2019-06-11,1717.93,8.0,3.2040999999999995,13,116,45.0
66,2019-06-12,1825.47,9.0,125.0005,13,117,14.0
67,2019-06-13,1900.95,7.0,115.9805,14,124,13.0
68,2019-06-14,1991.15,6.0,76.69999999999999,14,122,9.0
69,2019-06-15,2007.61,6.0,16.46,14,121,7.0
70,2019-06-16,2082.17,7.0,74.56,15,116,13.0
71,2019-06-17,2082.57,2.0,0.4,23,156,2.0
72,2019-06-18,2050.09,6.0,13.5,17,132,108.0
73,2019-06-19,2082.06,10.0,33.000200000000014,15,117,57.0
74,2019-06-20,1827.5,7.0,11.200099999999999,15,123,7.0
75,2019-06-21,1837.54,8.0,28.049999999999997,14,120,10.0
76,2019-06-22,1858.74,6.0,21.199999999999996,14,126,7.0
77,2019-06-23,1901.64,3.0,42.900000000000006,16,144,6.0
78,2019-06-24,1911.51,13.0,15.2014,11,111,21.0
79,2019-06-25,1914.62,4.0,14.200099999999999,20,149,4.0
80,2019-06-26,1957.22,8.0,42.600300000000004,14,122,12.0
81,2019-06-27,1971.1,13.0,13.9001,11,110,24.0
82,2019-06-28,1968.71,3.0,0.0001,17,144,26.0
83,2019-06-29,2010.91,4.0,42.2,17,137,5.0
84,2019-06-30,1843.35,4.0,230.9585,15,135,5.0
85,2019-07-01,1832.62,7.0,13.899999999999999,13,120,11.0
86,2019-07-02,1853.99,4.0,23.2002,20,148,7.0
87,2019-07-03,2583.18,16.0,795.4801,11,101,48.0
88,2019-07-04,3688.98,13.0,1055.07,13,115,65.0
89,2019-07-05,4837.09,10.0,1150.4100000000005,14,116,53.0
90,2019-07-06,5004.16,8.0,167.07,15,120,12.0
91,2019-07-07,5027.16,2.0,23.0,22,161,3.0
92,2019-07-08,5069.6,11.0,71.56,12,118,20.0
93,2019-07-09,4533.38,9.0,590.0689,14,123,10.0
94,2019-07-10,4449.48,18.0,784.4,11,104,26.0
95,2019-07-11,4344.23,9.0,101.38,14,122,15.0
96,2019-07-12,4374.43,13.0,238.42020000000002,12,117,30.0
97,2019-07-13,4394.61,8.0,20.18,13,121,8.0
98,2019-07-14,4899.85,9.0,509.34000000000003,12,116,19.0
99,2019-07-15,4907.29,5.0,5.1,14,132,9.0
100,2019-07-16,4942.0,6.0,34.8001,15,136,8.0
101,2019-07-17,4978.04,8.0,36.680099999999996,14,123,10.0
102,2019-07-18,5001.53,6.0,23.5001,15,135,10.0
103,2019-07-19,5037.23,8.0,35.699999999999996,13,124,11.0
104,2019-07-20,4968.17,8.0,201.71999999999997,14,119,11.0
105,2019-07-21,4912.95,3.0,1.28,18,146,7.0
106,2019-07-22,4905.31,8.0,8.759999999999998,12,120,9.0
107,2019-07-23,5085.69,11.0,223.51999999999995,11,117,14.0
108,2019-07-24,5649.86,9.0,585.7500000000001,12,114,52.0
109,2019-07-25,6108.6,13.0,895.5500000000003,11,109,20.0
110,2019-07-26,6112.11,7.0,10.11,12,119,8.0
111,2019-07-27,6196.01,15.0,226.12,11,102,33.0
112,2019-07-28,6149.45,5.0,5.82,14,123,5.0
113,2019-07-29,6194.5,10.0,201.9,11,112,31.0
114,2019-07-30,6169.18,12.0,90.38000000000001,10,108,33.0
115,2019-07-31,6177.8,19.0,235.73999999999998,10,95,28.0
116,2019-08-01,6241.58,11.0,134.54,12,108,16.0
117,2019-08-02,6218.89,4.0,32.8602,17,141,9.0
118,2019-08-03,6227.45,3.0,8.56,16,140,5.0
119,2019-08-04,6264.17,4.0,201.08,16,128,7.0
120,2019-08-05,6248.57,6.0,20.982,14,124,10.0
121,2019-08-06,6263.01,17.0,16.299999999999997,10,92,39.0
122,2019-08-07,6414.18,11.0,650.9400999999999,13,106,28.0
123,2019-08-08,6508.41,10.0,111.2002,12,110,18.0
124,2019-08-09,6470.14,7.0,4.5,14,121,14.0
125,2019-08-10,6470.14,0.0,0.0,NULL,NULL,0.0
126,2019-08-11,5259.1,5.0,1219.1,13,125,7.0
127,2019-08-12,5014.09,5.0,522.3,14,124,9.0
128,2019-08-13,5421.79,7.0,434.1,11,117,7.0
129,2019-08-14,5984.85,8.0,568.4000000000001,11,114,11.0
130,2019-08-15,6218.71,7.0,248.67999999999998,13,120,10.0
131,2019-08-16,6328.73,3.0,112.5001,21,153,4.0
132,2019-08-17,6398.18,4.0,113.66,12,131,5.0
133,2019-08-18,6411.88,2.0,13.7,22,155,2.0
134,2019-08-19,6328.72,0.0,0.0,NULL,NULL,0.0
135,2019-08-20,6333.42,6.0,4.7,13,122,6.0
136,2019-08-21,6333.42,0.0,0.0,NULL,NULL,0.0
137,2019-08-22,6311.81,3.0,200.0001,14,142,3.0
138,2019-08-23,6017.71,2.0,401.5,15,149,2.0
139,2019-08-24,5996.84,5.0,8.640199999999998,12,121,7.0
140,2019-08-25,6020.13,8.0,27.9,10,107,23.0
141,2019-08-26,6047.63,4.0,27.5,14,128,4.0
142,2019-08-27,6041.21,5.0,25.34,14,127,11.0
143,2019-08-28,6092.69,2.0,100.0,19,156,2.0
144,2019-08-29,3595.42,3.0,2548.5000000000005,16,138,4.0
145,2019-08-30,3486.69,2.0,100.0,18,158,2.0
146,2019-08-31,3486.69,0.0,0.0,NULL,NULL,0.0
147,2019-09-01,3537.41,4.0,125.0,13,126,7.0
148,2019-09-02,3504.07,3.0,6.6000000000000005,15,141,4.0
149,2019-09-03,3524.52,5.0,257.98,13,123,6.0
150,2019-09-04,3560.46,4.0,70.66,16,130,17.0
151,2019-09-05,3554.16,7.0,11.16,15,119,10.0
152,2019-09-06,3540.38,5.0,1.9,16,128,5.0
153,2019-09-07,3543.78,1.0,13.5,23,171,1.0
154,2019-09-08,3653.98,2.0,110.2,20,151,2.0
155,2019-09-09,0.0,7.0,13.5,16,123,87.0
156,2019-09-10,0.0,7.0,90.0,16,122,18.0
157,2019-09-11,0.0,4.0,203.04,18,139,5.0
158,2019-09-12,0.0,10.0,510.95,16,114,21.0
159,2019-09-13,0.0,5.0,204.97999999999996,16,127,18.0
160,2019-09-14,0.0,3.0,39.45,19,142,7.0
161,2019-09-15,0.0,4.0,17.33,19,140,5.0
162,2019-09-16,0.0,8.0,6.65,15,116,45.0
163,2019-09-17,0.0,7.0,15.549999999999999,14,118,20.0
164,2019-09-18,0.0,1.0,0.0002,24,186,2.0
165,2019-09-19,0.0,3.0,100.0,21,155,3.0
166,2019-09-20,0.0,11.0,201.7,14,106,35.0
167,2019-09-21,0.0,2.0,2.7800000000000002,20,151,4.0
168,2019-09-22,0.0,1.0,0.2,22,169,1.0
169,2019-09-23,0.0,1.0,1.5,26,179,1.0
170,2019-09-24,0.0,2.0,1.5,21,157,3.0
171,2019-09-25,0.0,1.0,0.0,23,175,1.0
172,2019-09-26,3158.03,16.0,208.7999999999999,13,92,20.0
173,2019-09-27,3294.93,6.0,136.10000000000002,14,120,9.0
174,2019-09-28,3308.96,9.0,14.029999999999998,14,110,11.0
175,2019-09-29,2369.3,7.0,720.8000000000001,14,111,22.0
176,2019-09-30,2335.74,6.0,35.350000000000016,16,119,7.0
177,2019-10-01,2413.64,9.0,190.24,14,106,20.0
178,2019-10-02,2416.02,3.0,2.3800000000000003,19,139,4.0
179,2019-10-03,2523.51,1.0,110.0,22,152,1.0
180,2019-10-04,2525.34,4.0,1.83,16,130,4.0
181,2019-10-05,2557.34,3.0,37.7001,16,127,3.0
182,2019-10-06,2557.74,2.0,0.4,17,135,2.0
183,2019-10-07,2559.24,1.0,1.5,26,163,1.0
184,2019-10-08,2515.8,0.0,0.0,NULL,NULL,0.0
185,2019-10-09,2515.8,2.0,0.0002,24,170,2.0
186,2019-10-10,1083.5,4.0,109.4504,19,143,6.0
