,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-10-29,0.0,2.0,200.0,18,102,4.0
1,2018-10-30,0.0,3.0,0.0,17,97,117.0
2,2018-10-31,0.0,3.0,171.0,18,96,83.0
3,2018-11-01,0.0,2.0,100.0,19,107,47.0
4,2018-11-02,0.0,2.0,0.0,19,104,9.0
5,2018-11-07,0.0,3.0,8.0,20,98,6.0
6,2018-11-10,0.0,3.0,8.0,16,103,5.0
7,2018-11-12,0.0,2.0,8.0,19,115,12.0
8,2018-11-15,0.0,4.0,20.0,15,98,13.0
9,2018-11-16,0.0,4.0,2.0,15,101,10.0
10,2018-11-17,0.0,4.0,11.0,14,90,21.0
11,2018-11-18,0.0,4.0,0.0,14,94,6.0
12,2018-11-19,0.0,4.0,8.0,13,94,10.0
13,2018-11-20,0.0,2.0,0.0,15,117,3.0
14,2018-11-22,0.0,3.0,2.0,14,109,3.0
15,2018-11-23,0.0,3.0,0.0,15,106,7.0
16,2018-11-24,0.0,2.0,0.0,17,115,4.0
17,2018-11-27,0.0,2.0,0.0,14,118,5.0
18,2018-11-28,0.0,6.0,6.0,14,102,66.0
19,2018-11-29,0.0,4.0,7.0,16,113,45.0
20,2018-11-30,0.0,6.0,0.0,15,105,34.0
21,2018-12-01,0.0,5.0,1.0,14,106,61.0
22,2018-12-02,0.0,3.0,0.0,14,111,25.0
23,2018-12-03,0.0,2.0,4.0,17,126,33.0
24,2018-12-04,0.0,4.0,0.0,16,118,20.0
25,2018-12-05,0.0,3.0,2.0,15,121,17.0
26,2018-12-06,0.0,2.0,0.0,17,134,17.0
27,2018-12-07,0.0,5.0,60.0,15,116,34.0
28,2018-12-08,0.0,1.0,0.0,18,87,7.0
29,2018-12-09,0.0,1.0,0.0,19,77,14.0
30,2018-12-10,208.36,2.0,0.0,19,132,15.0
31,2018-12-11,207.7,1.0,0.0,17,79,15.0
32,2018-12-12,207.27,2.0,0.0,18,129,17.0
33,2018-12-13,258.98,4.0,70.0,18,116,26.0
34,2018-12-14,249.19,1.0,0.0,28,124,7.0
35,2018-12-15,248.87,2.0,0.0,18,122,13.0
36,2018-12-17,167.96,2.0,0.0,20,129,18.0
