,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-10,0.0,1.0,0.0001,37,208,1.0
1,2019-04-21,0.0,1.0,1.54,33,176,7.0
2,2019-04-22,0.0,2.0,0.067,36,177,13.0
3,2019-04-23,0.0,1.0,0.02900000000000002,32,189,29.0
4,2019-04-24,0.0,1.0,0.027000000000000017,37,192,27.0
5,2019-04-25,0.0,2.0,0.03500000000000002,28,169,35.0
6,2019-04-26,0.0,2.0,0.030000000000000013,32,175,30.0
7,2019-04-27,0.0,12.0,10.129,18,116,130.0
8,2019-04-28,0.0,9.0,0.021,19,122,21.0
9,2019-04-29,0.0,17.0,0.11840000000000006,13,104,75.0
10,2019-04-30,0.0,11.0,0.07000000000000003,14,116,70.0
11,2019-05-01,0.0,9.0,0.015000000000000003,16,122,15.0
12,2019-05-02,0.0,12.0,0.03200000000000001,17,118,32.0
13,2019-05-03,0.0,2.0,0.002,28,164,2.0
14,2019-05-04,0.0,4.0,0.004,22,142,4.0
15,2019-05-05,0.0,9.0,0.018000000000000002,18,119,18.0
16,2019-05-06,155.96,5.0,0.016,22,145,16.0
17,2019-05-07,156.71,74.0,0.4020000000000003,7,72,402.0
18,2019-05-08,156.95,49.0,0.25120000000000015,10,84,253.0
19,2019-05-09,157.02,21.0,0.07560000000000004,14,102,117.0
20,2019-05-10,157.07,17.0,0.04270000000000001,15,105,58.0
21,2019-05-11,157.08,13.0,0.014399999999999998,14,112,54.0
22,2019-05-12,157.08,6.0,0.0017000000000000003,20,135,17.0
23,2019-05-13,67.14,21.0,1.6367999999999994,13,101,169.0
24,2019-05-14,168.11,15.0,100.9787,15,112,80.0
25,2019-05-15,154.24,17.0,0.19920000000000013,14,105,198.0
26,2019-05-16,140.35,13.0,0.27640000000000015,14,112,273.0
27,2019-05-17,140.41,8.0,0.08300000000000005,18,123,83.0
28,2019-05-18,139.35,5.0,0.07400000000000004,18,130,74.0
29,2019-05-19,139.36,4.0,10.004,23,144,5.0
30,2019-05-20,139.39,19.0,0.5076000000000004,14,99,504.0
31,2019-05-21,139.33,21.0,0.11500000000000005,14,98,114.0
32,2019-05-22,138.64,12.0,0.6070000000000001,16,110,70.0
33,2019-05-23,138.1,10.0,1.1100000000000003,15,118,111.0
34,2019-05-24,137.74,12.0,0.7570000000000002,13,111,76.0
35,2019-05-25,136.95,7.0,0.37700000000000006,18,127,38.0
36,2019-05-26,135.57,5.0,0.17699999999999996,20,141,18.0
37,2019-05-27,133.87,10.0,1.2400000000000004,15,124,124.0
38,2019-05-28,133.47,13.0,2.540000000000001,14,114,254.0
39,2019-05-29,132.69,18.0,2.9610000000000007,12,101,295.0
40,2019-05-30,131.32,16.0,1.108,14,112,110.0
41,2019-05-31,129.76,16.0,11.621199999999998,12,109,165.0
42,2019-06-01,205.69,19.0,52.059999999999995,12,104,207.0
43,2019-06-02,202.97,13.0,1.4800000000000004,12,106,148.0
44,2019-06-03,201.02,10.0,0.6900000000000001,15,119,69.0
