,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-22,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-30,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-01-31,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-02-01,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-02-02,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-02-03,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-02-04,0.0,11.0,207.0,41,157,65.0
7,2019-02-05,57.9,10.0,80.0,40,161,32.0
8,2019-02-06,57.9,16.0,603.0,39,155,53.0
9,2019-02-07,57.9,10.0,290.0,42,156,22.0
10,2019-02-08,57.9,4.0,4.0,47,163,4.0
11,2019-02-09,57.9,7.0,108.0,44,160,8.0
12,2019-02-10,57.9,5.0,263.0,47,166,8.0
13,2019-02-11,57.9,9.0,51.0,44,166,16.0
14,2019-02-12,57.9,5.0,18.0,47,168,9.0
15,2019-02-13,57.9,4.0,46.0,47,174,7.0
16,2019-02-14,57.9,8.0,16.0,44,170,9.0
17,2019-02-15,57.9,6.0,16.0,48,183,11.0
18,2019-02-16,57.9,4.0,16.0,47,173,9.0
19,2019-02-17,57.9,4.0,40.0,47,172,8.0
20,2019-02-18,57.9,3.0,403.0,45,180,4.0
21,2019-02-19,57.9,1.0,23.0,49,180,6.0
22,2019-02-20,57.9,2.0,2.0,29,108,2.0
23,2019-02-21,57.9,3.0,3.0,26,106,4.0
24,2019-02-22,0.0,2.0,4.0,28,110,3.0
25,2019-02-23,57.901,2.0,2.0,28,106,2.0
26,2019-02-24,57.901,2.0,16.0,26,100,2.0
27,2019-02-25,54.9,2.0,1.0,25,108,4.0
28,2019-02-26,54.9,7.0,81.0,24,99,8.0
29,2019-02-27,54.9,10.0,41.0,21,104,16.0
30,2019-02-28,54.9,10.0,52.0,21,112,14.0
31,2019-03-01,54.9,3.0,4.0,28,144,3.0
32,2019-03-02,54.9,4.0,37.0,26,133,16.0
33,2019-03-03,54.9,6.0,15.0,25,122,10.0
34,2019-03-04,54.9,4.0,8.0,28,139,6.0
35,2019-03-05,54.9,7.0,26.0,23,121,11.0
36,2019-03-06,54.9,6.0,62.0,24,118,16.0
37,2019-03-07,54.9,6.0,11.0,28,124,9.0
38,2019-03-08,54.9,4.0,7.0,26,132,6.0
39,2019-03-09,54.9,5.0,143.0,29,126,9.0
40,2019-03-10,54.9,3.0,7.0,29,136,5.0
41,2019-03-11,54.9,4.0,18.0,31,137,7.0
42,2019-03-12,54.9,6.0,57.0,27,122,9.0
43,2019-03-13,54.9,7.0,80.0,25,117,14.0
44,2019-03-14,54.901,8.0,20.0,23,117,17.0
45,2019-03-15,54.901,6.0,43.0,26,127,19.0
46,2019-03-16,54.901,4.0,1.0,28,131,4.0
47,2019-03-17,54.901,2.0,14.0,33,145,5.0
48,2019-03-18,54.901,7.0,7.0,26,128,12.0
49,2019-03-19,54.901,10.0,7.0,23,118,12.0
50,2019-03-20,54.9,11.0,5.0,24,116,16.0
51,2019-03-21,54.9,6.0,60.0,26,128,17.0
52,2019-03-22,54.9,4.0,6.0,29,140,8.0
53,2019-03-23,54.9,2.0,4.0,33,150,3.0
54,2019-03-24,54.9,0.0,0.0,NULL,NULL,0.0
55,2019-03-25,54.9,7.0,38.0,25,126,11.0
56,2019-03-26,54.9,8.0,4.0,24,122,8.0
57,2019-03-27,48.9,70.0,3.0,18,76,120.0
58,2019-03-28,48.9,32.0,57.0,21,93,79.0
59,2019-03-29,48.9,19.0,4.0,22,101,35.0
60,2019-03-30,48.9,11.0,1.0,24,112,16.0
61,2019-03-31,48.9,14.0,60.0,17,109,15.0
62,2019-04-01,48.9,19.0,4.8,16,105,22.0
63,2019-04-02,48.9,17.0,4.9001,17,112,18.0
64,2019-04-03,48.52,23.0,2.5002,16,108,39.0
65,2019-04-04,48.52,14.0,0.5001,18,118,15.0
66,2019-04-05,48.52,17.0,4.3,17,111,18.0
67,2019-04-06,48.52,11.0,0.0,21,118,11.0
68,2019-04-07,48.52,10.0,1.8,20,123,12.0
69,2019-04-08,48.52,18.0,0.0,17,103,18.0
70,2019-04-09,48.52,13.0,4.9,16,118,15.0
71,2019-04-10,48.52,22.0,1.0001,17,102,24.0
72,2019-04-11,48.52,15.0,1.3001,19,117,15.0
73,2019-04-12,48.52,19.0,0.0,19,107,22.0
74,2019-04-13,48.52,13.0,0.0,21,112,13.0
75,2019-04-14,48.52,16.0,0.0,19,105,16.0
76,2019-04-15,48.52,20.0,0.0,19,105,21.0
77,2019-04-16,48.52,17.0,1.3,21,110,18.0
78,2019-04-17,48.52,22.0,0.0,15,104,22.0
79,2019-04-18,48.52,25.0,3.8002,16,101,31.0
80,2019-04-19,48.52,18.0,274.2,18,108,48.0
81,2019-04-20,48.52,22.0,37.4,13,102,29.0
82,2019-04-21,48.52,18.0,43.5,13,103,25.0
83,2019-04-22,48.52,24.0,34.099999999999994,14,102,51.0
84,2019-04-23,48.52,77.0,86.0,9,68,84.0
85,2019-04-24,48.52,10.0,50.5,15,116,17.0
86,2019-04-25,48.52,14.0,25.5,15,114,19.0
87,2019-04-26,48.52,10.0,6.0,17,120,11.0
88,2019-04-27,48.52,13.0,10.5,15,110,14.0
89,2019-04-28,48.52,13.0,22.8,15,112,19.0
90,2019-04-29,48.52,9.0,13.8,17,122,11.0
91,2019-04-30,48.52,11.0,28.8,14,116,12.0
92,2019-05-01,48.52,7.0,0.0,19,131,7.0
93,2019-05-02,48.52,9.0,39.8,19,124,14.0
94,2019-05-03,48.52,21.0,12.5,13,98,22.0
95,2019-05-04,48.52,6.0,10.0,20,131,7.0
96,2019-05-05,48.52,9.0,25.0,18,119,13.0
97,2019-05-06,48.52,8.0,15.0,19,131,11.0
98,2019-05-07,48.52,5.0,1.3,22,145,6.0
99,2019-05-08,48.52,10.0,2.5,18,122,13.0
100,2019-05-09,48.52,5.0,0.0,23,144,5.0
101,2019-05-10,48.52,3.0,0.0,27,154,3.0
102,2019-05-11,48.52,8.0,6.4,16,123,10.0
103,2019-05-12,48.52,7.0,0.5,18,131,7.0
104,2019-05-13,48.52,6.0,3.8,18,131,8.0
105,2019-05-14,48.52,33.0,15.5,14,90,38.0
106,2019-05-15,48.52,7.0,1.8,17,128,7.0
107,2019-05-16,48.52,7.0,0.5,22,131,7.0
108,2019-05-17,48.52,7.0,4.9,19,125,8.0
109,2019-05-18,48.52,5.0,2.8,18,130,5.0
110,2019-05-19,48.52,5.0,1.8,19,132,6.0
111,2019-05-20,48.52,6.0,0.0,20,133,6.0
112,2019-05-21,48.52,2.0,0.0,28,158,2.0
113,2019-05-22,48.52,6.0,0.0,20,126,6.0
114,2019-05-23,291.75,5.0,0.0,20,141,5.0
115,2019-05-24,289.39,9.0,3.3,14,114,10.0
116,2019-05-25,289.39,2.0,0.0,26,174,2.0
117,2019-05-26,289.39,3.0,0.0,22,156,3.0
118,2019-05-27,291.25,7.0,2.5,18,142,7.0
119,2019-05-28,291.25,5.0,0.0,18,144,5.0
120,2019-05-29,291.25,5.0,0.0,20,150,5.0
121,2019-05-30,292.67,251.0,1.8,8,50,251.0
122,2019-05-31,293.6,4.0,1.3002,23,162,4.0
123,2019-06-01,293.6,3.0,0.0,19,150,3.0
124,2019-06-02,293.6,2.0,0.0,21,162,2.0
125,2019-06-03,288.95,2.0,0.0,23,176,2.0
126,2019-06-04,288.95,0.0,0.0,NULL,NULL,0.0
127,2019-06-05,288.95,2.0,0.0,22,160,2.0
128,2019-06-06,289.92,4.0,1.3,19,140,4.0
129,2019-06-07,289.92,9.0,0.0,14,114,9.0
130,2019-06-08,289.92,3.0,0.0,18,149,3.0
131,2019-06-09,289.92,3.0,0.0,21,154,3.0
132,2019-06-10,289.92,2.0,0.0,23,173,2.0
133,2019-06-11,289.92,3.0,0.0,22,153,3.0
134,2019-06-12,289.92,0.0,0.0,NULL,NULL,0.0
135,2019-06-13,289.92,4.0,0.0,18,137,4.0
136,2019-06-14,289.92,3.0,0.0,19,150,3.0
137,2019-06-15,289.92,2.0,0.0,19,152,2.0
138,2019-06-16,290.96,4.0,1.3,20,136,4.0
139,2019-06-17,290.96,3.0,0.0,21,147,3.0
140,2019-06-18,290.96,3.0,0.0,22,152,3.0
141,2019-06-19,290.96,6.0,0.0,17,127,10.0
142,2019-06-20,290.96,0.0,0.0,NULL,NULL,0.0
143,2019-06-21,290.96,0.0,0.0,NULL,NULL,0.0
144,2019-06-22,290.96,3.0,0.0,19,145,3.0
145,2019-06-23,290.96,0.0,0.0,NULL,NULL,0.0
146,2019-06-24,290.96,4.0,0.0,17,142,4.0
147,2019-06-25,290.96,7.0,0.0,16,133,7.0
148,2019-06-26,291.33,5.0,0.5,17,135,6.0
149,2019-06-27,48.73,2.0,0.0,26,175,2.0
150,2019-06-28,48.73,2.0,0.0,19,157,2.0
151,2019-06-29,48.73,2.0,0.0,22,154,3.0
152,2019-06-30,48.73,5.0,0.0,14,126,5.0
153,2019-07-01,48.73,4.0,0.0,20,148,4.0
154,2019-07-02,48.73,7.0,0.0,14,128,9.0
155,2019-07-03,48.73,3.0,0.0,19,151,3.0
156,2019-07-04,48.73,5.0,0.0,18,136,5.0
157,2019-07-05,48.73,3.0,0.0,22,157,3.0
158,2019-07-06,49.7,1.0,1.3,28,179,1.0
159,2019-07-07,49.7,3.0,0.0,17,145,3.0
160,2019-07-08,49.7,3.0,0.0,19,154,3.0
161,2019-07-09,49.7,4.0,0.0,21,147,4.0
162,2019-07-10,50.1,3.0,0.5,22,151,3.0
163,2019-07-11,50.1,0.0,0.0,NULL,NULL,0.0
164,2019-07-12,50.1,4.0,0.0,22,151,4.0
165,2019-07-13,50.1,2.0,0.0,22,154,2.0
166,2019-07-14,51.46,3.0,1.8,18,143,4.0
167,2019-07-15,51.46,0.0,0.0,NULL,NULL,0.0
168,2019-07-16,51.46,0.0,0.0,NULL,NULL,0.0
169,2019-07-17,52.43,19.0,1.3,11,99,19.0
170,2019-07-18,52.43,9.0,0.0,14,124,9.0
171,2019-07-19,52.43,8.0,0.0,13,124,8.0
172,2019-07-20,52.43,4.0,0.0,16,141,4.0
173,2019-07-21,52.43,5.0,0.0,14,130,5.0
174,2019-07-22,52.43,3.0,0.0,18,145,3.0
175,2019-07-23,52.43,6.0,0.0,15,134,6.0
176,2019-07-24,52.43,5.0,0.0,16,133,5.0
177,2019-07-25,52.43,3.0,0.0,18,146,3.0
178,2019-07-26,52.43,3.0,0.0,21,149,3.0
179,2019-07-27,52.43,3.0,0.0,20,143,3.0
180,2019-07-28,52.43,6.0,0.0,13,118,6.0
181,2019-07-29,52.43,2.0,0.0,24,163,2.0
182,2019-07-30,52.43,3.0,0.0,17,145,3.0
183,2019-07-31,52.43,7.0,0.0,14,126,7.0
184,2019-08-01,52.43,6.0,0.0,15,124,6.0
185,2019-08-02,52.43,6.0,0.0001,16,128,6.0
186,2019-08-03,52.43,7.0,0.0,13,116,7.0
187,2019-08-04,52.43,2.0,0.0,21,152,2.0
188,2019-08-05,52.43,8.0,0.0,13,116,8.0
189,2019-08-06,52.43,3.0,0.0,18,147,3.0
190,2019-08-07,52.43,6.0,0.0,17,127,6.0
191,2019-08-08,52.43,5.0,0.0,15,134,5.0
192,2019-08-09,52.43,4.0,0.0,18,142,4.0
193,2019-08-10,52.43,4.0,0.0,15,131,4.0
194,2019-08-11,52.43,4.0,0.0,17,132,4.0
195,2019-08-12,52.43,2.0,0.0,21,153,2.0
196,2019-08-13,52.43,4.0,0.0,13,133,4.0
197,2019-08-14,52.43,4.0,0.0,15,136,4.0
198,2019-08-15,53.4,7.0,1.3,13,120,8.0
199,2019-08-16,53.4,4.0,0.0,17,139,4.0
200,2019-08-17,57.05,3.0,4.9,16,139,3.0
201,2019-08-18,57.05,4.0,0.0,16,135,4.0
202,2019-08-19,57.05,4.0,0.0,13,134,4.0
203,2019-08-20,57.05,6.0,0.0,13,122,6.0
204,2019-08-21,57.05,7.0,0.0,13,122,7.0
205,2019-08-22,57.05,2.0,0.0,16,159,2.0
206,2019-08-23,57.05,5.0,0.0,11,124,5.0
207,2019-08-24,57.42,3.0,0.5,15,139,3.0
208,2019-08-25,57.42,0.0,0.0,NULL,NULL,0.0
209,2019-08-26,57.42,2.0,0.0,18,153,3.0
210,2019-08-27,57.42,7.0,0.0,11,121,8.0
211,2019-08-28,57.42,7.0,0.0,12,121,7.0
212,2019-08-29,57.42,5.0,0.0,13,126,5.0
213,2019-08-30,57.42,6.0,0.0,12,122,6.0
214,2019-08-31,57.42,6.0,0.0,11,115,6.0
215,2019-09-01,57.42,6.0,0.0,11,113,6.0
216,2019-09-02,57.42,4.0,0.0,12,130,4.0
217,2019-09-03,57.42,2.0,0.0,20,151,2.0
218,2019-09-04,57.42,2.0,0.0,20,152,2.0
219,2019-09-05,58.19,5.0,1.0,16,130,5.0
220,2019-09-06,58.19,3.0,0.0001,19,142,3.0
221,2019-09-07,58.19,2.0,0.0,19,155,2.0
222,2019-09-08,58.19,3.0,0.0,19,141,4.0
223,2019-09-09,0.0,3.0,0.5,19,149,3.0
224,2019-09-10,0.0,4.0,0.0,19,144,4.0
225,2019-09-11,0.0,0.0,0.0,NULL,NULL,0.0
226,2019-09-12,0.0,2.0,0.0,24,165,2.0
227,2019-09-13,0.0,5.0,0.0,16,127,5.0
228,2019-09-14,0.0,4.0,0.0,16,136,4.0
229,2019-09-15,0.0,6.0,0.0,16,123,6.0
230,2019-09-16,0.0,7.0,0.0,16,122,7.0
231,2019-09-17,0.0,5.0,0.0,18,135,5.0
232,2019-09-18,0.0,4.0,0.0,17,136,4.0
233,2019-09-19,0.0,4.0,0.0,19,143,4.0
234,2019-09-20,0.0,2.0,0.0,21,168,2.0
235,2019-09-21,0.0,2.0,0.0,20,151,2.0
236,2019-09-22,0.0,2.0,0.0001,19,147,2.0
237,2019-09-23,0.0,4.0,0.0,16,138,4.0
238,2019-09-24,0.0,3.0,0.0,19,142,3.0
239,2019-09-25,0.0,3.0,1.3,18,144,3.0
240,2019-09-26,59.53,2.0,0.0,22,157,2.0
241,2019-09-27,59.53,4.0,0.0,18,137,4.0
242,2019-09-28,59.53,2.0,0.0,21,149,2.0
243,2019-09-29,59.53,2.0,0.0,19,148,2.0
244,2019-09-30,59.53,0.0,0.0,NULL,NULL,0.0
245,2019-10-01,59.53,0.0,0.0,NULL,NULL,0.0
246,2019-10-02,59.53,0.0,0.0,NULL,NULL,0.0
247,2019-10-03,59.53,2.0,0.0,17,143,2.0
248,2019-10-04,59.53,2.0,0.0,18,145,2.0
249,2019-10-05,59.53,2.0,0.0,20,142,2.0
250,2019-10-06,59.53,0.0,0.0,NULL,NULL,0.0
251,2019-10-07,59.53,0.0,0.0,NULL,NULL,0.0
252,2019-10-08,59.53,4.0,0.0001,17,123,4.0
253,2019-10-09,59.53,3.0,0.0001,19,147,3.0
254,2019-10-10,59.53,2.0,0.0001,28,179,2.0
255,2019-10-11,59.53,3.0,0.00030000000000000003,22,159,4.0
256,2019-10-12,59.53,3.0,0.0002,26,157,4.0
257,2019-10-13,59.53,2.0,0.0,22,165,2.0
258,2019-10-14,59.53,3.0,0.0001,22,153,3.0
259,2019-10-15,59.53,0.0,0.0,NULL,NULL,0.0
260,2019-10-16,59.53,2.0,0.0001,31,191,2.0
261,2019-10-17,59.53,2.0,0.0001,31,188,2.0
262,2019-10-18,59.53,0.0,0.0,NULL,NULL,0.0
263,2019-10-19,59.53,4.0,0.0,20,132,4.0
264,2019-10-20,59.53,2.0,0.0,23,149,2.0
265,2019-10-21,59.53,3.0,0.0,22,144,3.0
266,2019-10-22,59.53,0.0,0.0,NULL,NULL,0.0
267,2019-10-23,59.53,2.0,0.0001,30,196,2.0
268,2019-10-24,59.53,2.0,0.0,23,156,2.0
269,2019-10-25,59.53,0.0,0.0,NULL,NULL,0.0
270,2019-10-26,59.53,0.0,0.0,NULL,NULL,0.0
271,2019-10-27,59.53,0.0,0.0,NULL,NULL,0.0
272,2019-10-28,59.53,3.0,0.0002,24,153,3.0
273,2019-10-29,59.53,0.0,0.0,NULL,NULL,0.0
274,2019-10-30,59.53,3.0,0.0,23,145,3.0
275,2019-10-31,59.53,2.0,0.0,26,166,2.0
276,2019-11-01,59.53,0.0,0.0,NULL,NULL,0.0
277,2019-11-02,59.53,0.0,0.0,NULL,NULL,0.0
278,2019-11-03,59.53,0.0,0.0,NULL,NULL,0.0
279,2019-11-04,59.53,0.0,0.0,NULL,NULL,0.0
280,2019-11-05,59.53,0.0,0.0,NULL,NULL,0.0
281,2019-11-06,59.53,0.0,0.0,NULL,NULL,0.0
282,2019-11-07,59.53,0.0,0.0,NULL,NULL,0.0
283,2019-11-08,59.53,0.0,0.0,NULL,NULL,0.0
284,2019-11-09,59.53,1.0,0.0,20,141,1.0
285,2019-11-10,59.53,0.0,0.0,NULL,NULL,0.0
286,2019-11-11,59.53,0.0,0.0,NULL,NULL,0.0
287,2019-11-12,59.53,0.0,0.0,NULL,NULL,0.0
288,2019-11-13,59.53,0.0,0.0,NULL,NULL,0.0
289,2019-11-14,59.53,0.0,0.0,NULL,NULL,0.0
290,2019-11-15,59.53,0.0,0.0,NULL,NULL,0.0
291,2019-11-16,59.53,0.0,0.0,NULL,NULL,0.0
292,2019-11-17,59.53,0.0,0.0,NULL,NULL,0.0
293,2019-11-18,59.53,0.0,0.0,NULL,NULL,0.0
294,2019-11-19,59.53,0.0,0.0,NULL,NULL,0.0
295,2019-11-20,59.53,0.0,0.0,NULL,NULL,0.0
296,2019-11-21,59.53,0.0,0.0,NULL,NULL,0.0
297,2019-11-22,59.53,0.0,0.0,NULL,NULL,0.0
298,2019-11-23,59.53,0.0,0.0,NULL,NULL,0.0
299,2019-11-24,59.53,0.0,0.0,NULL,NULL,0.0
300,2019-11-25,59.53,0.0,0.0,NULL,NULL,0.0
301,2019-11-26,59.53,0.0,0.0,NULL,NULL,0.0
302,2019-11-27,59.53,1.0,0.0,22,136,1.0
303,2019-11-28,59.53,0.0,0.0,NULL,NULL,0.0
304,2019-11-29,59.53,0.0,0.0,NULL,NULL,0.0
305,2019-11-30,0.0,0.0,0.0,NULL,NULL,0.0
306,2019-12-01,59.53,0.0,0.0,NULL,NULL,0.0
307,2019-12-02,59.53,1.0,0.0,26,144,1.0
308,2019-12-03,59.53,0.0,0.0,NULL,NULL,0.0
309,2019-12-04,59.53,0.0,0.0,NULL,NULL,0.0
310,2019-12-05,59.53,0.0,0.0,NULL,NULL,0.0
311,2019-12-06,59.53,1.0,0.0,23,128,1.0
312,2019-12-07,59.53,0.0,0.0,NULL,NULL,0.0
313,2019-12-08,59.53,0.0,0.0,NULL,NULL,0.0
314,2019-12-09,59.53,0.0,0.0,NULL,NULL,0.0
315,2019-12-10,59.53,0.0,0.0,NULL,NULL,0.0
316,2019-12-11,59.53,0.0,0.0,NULL,NULL,0.0
317,2019-12-12,59.53,0.0,0.0,NULL,NULL,0.0
318,2019-12-13,59.53,0.0,0.0,NULL,NULL,0.0
319,2019-12-14,59.53,0.0,0.0,NULL,NULL,0.0
320,2019-12-15,59.53,0.0,0.0,NULL,NULL,0.0
321,2019-12-16,59.53,0.0,0.0,NULL,NULL,0.0
322,2019-12-17,59.53,0.0,0.0,NULL,NULL,0.0
