,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-02-01,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-02-23,0.0,2.0,0.0,28,106,4.0
2,2019-02-27,0.0,1.0,20.0,27,113,1.0
3,2019-03-01,0.0,1.0,10.0,26,111,5.0
4,2019-03-02,0.0,4.0,12.0,23,103,6.0
5,2019-03-03,0.0,6.0,14.0,22,105,7.0
6,2019-03-04,82.86,2.0,10.0,27,106,5.0
7,2019-03-05,84.86,1.0,2.0,28,107,1.0
8,2019-03-06,90.86,2.0,6.0,26,103,3.0
9,2019-03-07,94.86,1.0,2.0,32,114,1.0
10,2019-03-08,0.0,1.0,0.0,28,112,1.0
11,2019-03-11,94.86,2.0,10.0,29,108,5.0
12,2019-03-13,98.86,2.0,4.0,30,106,2.0
13,2019-03-14,104.8561,2.0,6.0,30,111,3.0
14,2019-03-19,106.3561,2.0,2.0,31,119,3.0
15,2019-03-21,0.0,8.0,60.0,23,108,62.0
16,2019-03-22,0.0,6.0,7.0,27,111,26.0
17,2019-03-23,0.0,4.0,9.0,28,107,8.0
18,2019-03-24,0.0,5.0,7.0,23,107,13.0
19,2019-03-25,0.0,3.0,5.0,30,113,9.0
20,2019-03-26,0.0,5.0,12.0,25,108,14.0
21,2019-03-28,0.0,5.0,40.0,25,107,16.0
22,2019-03-29,0.0,4.0,7.0,26,107,13.0
23,2019-03-30,0.0,4.0,4.0,28,109,8.0
24,2019-03-31,0.0,1.0,3.0,27,102,6.0
25,2019-04-01,0.0,3.0,5.0,26,102,10.0
26,2019-04-03,0.0,1.0,1.0,29,109,1.0
27,2019-04-04,0.0,2.0,2.0,27,105,3.0
28,2019-04-05,0.0,1.0,1.0,27,102,2.0
29,2019-04-06,0.0,1.0,1.0,27,100,2.0
30,2019-04-07,0.0,1.0,1.0,29,101,1.0
31,2019-04-08,0.0,2.0,1.0,31,114,2.0
32,2019-04-09,0.0,1.0,2.0,30,107,4.0
33,2019-04-10,0.0,2.0,4.0,32,106,7.0
34,2019-04-11,0.0,3.0,2.0,29,105,3.0
35,2019-04-12,0.0,6.0,3.0,27,105,6.0
36,2019-04-13,0.0,6.0,5.0,27,100,10.0
37,2019-04-14,0.0,4.0,12.0,26,103,6.0
38,2019-04-15,0.0,4.0,4.0,30,107,7.0
39,2019-04-16,0.0,4.0,4.0,30,108,7.0
40,2019-04-17,0.0,3.0,51.0,34,151,3.0
41,2019-04-18,0.0,0.0,0.0,NULL,NULL,0.0
42,2019-04-19,0.0,0.0,0.0,NULL,NULL,0.0
43,2019-04-21,0.0,0.0,0.0,NULL,NULL,0.0
44,2019-04-23,0.0,0.0,0.0,NULL,NULL,0.0
45,2019-04-25,0.0,0.0,0.0,NULL,NULL,0.0
46,2019-04-26,0.0,0.0,0.0,NULL,NULL,0.0
47,2019-04-27,0.0,0.0,0.0,NULL,NULL,0.0
48,2019-05-01,0.0,0.0,0.0,NULL,NULL,0.0
49,2019-05-05,0.0,0.0,0.0,NULL,NULL,0.0
50,2019-05-08,0.0,0.0,0.0,NULL,NULL,0.0
51,2019-05-11,0.0,0.0,0.0,NULL,NULL,0.0
52,2019-05-15,0.0,0.0,0.0,NULL,NULL,0.0
53,2019-05-22,0.0,0.0,0.0,NULL,NULL,0.0
54,2019-05-23,0.0,2.0,1.0,26,181,2.0
55,2019-05-24,0.0,1.0,14.0,33,197,10.0
56,2019-05-25,0.0,1.0,18.0,30,185,36.0
57,2019-05-26,0.0,1.0,7.0,27,188,14.0
58,2019-05-27,184.11,3.0,2.0,27,179,4.0
59,2019-05-28,187.61,3.0,3.0,22,165,6.0
60,2019-05-29,200.11,2.0,12.5,25,176,7.0
61,2019-05-30,220.11,3.0,20.0,21,163,22.0
62,2019-05-31,220.11,1.0,0.0001,30,207,1.0
63,2019-06-01,243.61,2.0,17.5,24,164,26.0
64,2019-06-02,249.61,1.0,1.0,28,183,2.0
65,2019-06-03,249.61,0.0,0.0,NULL,NULL,0.0
66,2019-06-04,255.11,1.0,5.0,25,189,1.0
67,2019-06-05,257.11,2.0,2.0001,22,160,5.0
68,2019-06-06,262.61,1.0,4.5,30,194,9.0
69,2019-06-07,264.61,1.0,2.0,29,187,4.0
70,2019-06-08,280.11,1.0,15.5,31,187,31.0
71,2019-06-09,304.11,2.0,23.5,28,171,20.0
72,2019-06-10,313.61,1.0,9.5,28,189,19.0
73,2019-06-11,361.11,1.0,47.5,28,189,59.0
74,2019-06-12,264.11,2.0,2.0,26,176,4.0
