,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-30,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-31,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-02-01,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-02-02,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-02-03,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-02-04,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-02-05,0.0,70.0,0.0,25,113,85.0
7,2019-02-06,0.0,72.0,0.0,24,112,87.0
8,2019-02-07,0.0,81.0,0.0,24,107,97.0
9,2019-02-08,0.0,75.0,0.0,25,108,91.0
10,2019-02-09,0.0,72.0,0.0,28,113,90.0
11,2019-02-10,0.0,67.0,0.0,31,119,88.0
12,2019-02-11,0.0,77.0,0.0,27,109,94.0
13,2019-02-12,0.0,79.0,0.0,28,109,98.0
14,2019-02-13,0.0,80.0,0.0,28,114,99.0
15,2019-02-14,0.0,76.0,0.0,31,121,95.0
16,2019-02-15,0.0,91.0,0.0,29,121,234.0
17,2019-02-16,0.0,92.0,0.0,29,114,113.0
18,2019-02-17,0.0,78.0,0.0,33,118,102.0
19,2019-02-18,0.0,96.0,0.0,27,116,118.0
20,2019-02-19,0.0,75.0,0.0,31,125,99.0
21,2019-02-20,0.0,94.0,0.0,15,63,118.0
22,2019-02-21,0.0,85.0,0.0,14,61,107.0
23,2019-02-22,0.0,80.0,0.0,16,66,104.0
24,2019-02-23,0.0,77.0,0.0,15,65,101.0
25,2019-02-24,0.0,90.0,0.0,13,57,113.0
26,2019-02-25,0.0,89.0,0.0,14,66,114.0
27,2019-02-26,0.0,93.0,0.0,15,62,116.0
28,2019-02-27,0.0,89.0,0.0,15,66,112.0
29,2019-02-28,0.0,90.0,0.0,16,66,118.0
30,2019-03-01,0.0,80.0,0.0,16,70,103.0
31,2019-03-02,0.0,85.0,0.0,17,66,110.0
32,2019-03-03,0.0,78.0,0.0,17,68,105.0
33,2019-03-04,0.0,65.0,0.0,17,73,89.0
34,2019-03-05,0.0,81.0,0.0,15,68,106.0
35,2019-03-06,0.0,86.0,0.0,15,69,111.0
36,2019-03-07,0.0,91.0,0.0,16,68,116.0
37,2019-03-08,0.0,82.0,0.0,16,69,108.0
38,2019-03-09,0.0,92.0,0.0,16,68,122.0
39,2019-03-10,0.0,63.0,0.0,15,71,90.0
40,2019-03-11,0.0,89.0,0.0,15,65,117.0
41,2019-03-12,0.0,94.0,0.0,17,66,120.0
42,2019-03-13,0.0,86.0,0.0,16,67,115.0
43,2019-03-14,0.0,83.0,0.0,19,74,110.0
44,2019-03-15,0.0001,79.0,0.0,17,70,107.0
45,2019-03-16,0.0001,83.0,0.0,16,71,114.0
46,2019-03-17,0.0001,67.0,0.0,18,73,94.0
47,2019-03-18,0.0001,80.0,0.0,18,73,107.0
48,2019-03-19,0.0001,93.0,0.0,16,71,121.0
49,2019-03-20,0.0,80.0,0.0,17,74,107.0
50,2019-03-21,0.0,83.0,0.0,16,73,205.0
51,2019-03-22,0.0,64.0,0.0,18,81,68.0
52,2019-03-23,0.0,76.0,0.0,18,74,105.0
53,2019-03-24,0.0,72.0,0.0,16,73,100.0
54,2019-03-25,0.0,85.0,0.0,17,72,114.0
55,2019-03-26,0.0,76.0,0.0,16,73,106.0
56,2019-03-27,0.0,84.0,0.0,17,72,115.0
57,2019-03-28,0.0,79.0,0.0,17,73,107.0
58,2019-03-29,0.0,73.0,0.0,17,77,103.0
59,2019-03-30,0.0,73.0,0.0,17,77,102.0
60,2019-03-31,0.0,68.0,0.0,12,80,98.0
61,2019-04-01,0.0,73.0,0.0,11,75,102.0
62,2019-04-02,0.0,69.0,0.0,12,79,97.0
63,2019-04-03,0.0,76.0,0.0,12,78,107.0
64,2019-04-04,0.0,72.0,0.0,13,77,103.0
65,2019-04-05,0.0,79.0,0.0,11,73,110.0
66,2019-04-06,0.0,75.0,0.0,13,72,107.0
67,2019-04-07,0.0,79.0,0.0,13,68,112.0
68,2019-04-08,0.0,81.0,0.0,13,72,111.0
69,2019-04-09,0.0,69.0,0.0,10,75,99.0
70,2019-04-10,0.0,70.0,0.0,13,78,100.0
71,2019-04-11,0.0,63.0,0.0,14,78,94.0
72,2019-04-12,0.0,64.0,0.0,15,82,96.0
73,2019-04-13,0.0,65.0,0.0,13,73,99.0
74,2019-04-14,0.0,59.0,0.0,13,72,91.0
75,2019-04-15,0.0,73.0,0.0,13,77,106.0
76,2019-04-16,0.0,117.0,0.0,12,64,20733.0
77,2019-04-17,0.0,87.0,0.0,12,72,24754.0
78,2019-04-18,0.0,80.0,0.0,12,73,129.0
79,2019-04-19,0.0,71.0,0.0,10,69,110.0
80,2019-04-20,0.0,73.0,0.0,8,67,115.0
81,2019-04-21,0.0,63.0,0.0,8,70,102.0
82,2019-04-22,0.0,96.0,0.0,8,66,86814.0
83,2019-04-23,0.0,81.0,0.0,8,67,63070.0
84,2019-04-24,0.0,87.0,0.0,8,69,71478.0
85,2019-04-25,0.0,81.0,0.0,8,70,30668.0
86,2019-04-26,0.0,83.0,0.0,8,68,27325.0
87,2019-04-27,0.0,61.0,0.0,8,71,103.0
88,2019-04-28,0.0,71.0,0.0,8,70,113.0
89,2019-04-29,0.0,84.0,0.0,8,70,125.0
90,2019-04-30,0.0,80.0,0.0,8,71,56038.0
91,2019-05-01,0.0,80.0,0.0,8,68,36211.0
92,2019-05-02,0.0,85.0,0.0,7,69,41059.0
93,2019-05-03,0.0,82.0,0.0,7,69,20671.0
94,2019-05-04,0.0,73.0,0.0,8,73,118.0
95,2019-05-05,0.0,62.0,0.0,10,78,110.0
96,2019-05-06,0.0,97.0,0.0,7,65,142.0
97,2019-05-07,0.0,74.0,0.0,7,72,116.0
98,2019-05-08,0.0,82.0,0.0,8,68,3018.0
99,2019-05-09,0.7,84.0,0.0,9,67,19176.0
100,2019-05-10,0.7,71.0,0.0,9,73,21867.0
101,2019-05-11,0.7,89.0,0.0,8,67,90744.0
102,2019-05-12,0.71,70.0,0.0,8,71,64033.0
103,2019-05-13,0.71,94.0,0.0,8,67,140.0
104,2019-05-14,0.71,83.0,0.0,9,66,132.0
105,2019-05-15,0.71,88.0,0.0,8,61,134.0
106,2019-05-16,0.71,84.0,0.0,9,66,130.0
107,2019-05-17,0.81,77.0,0.0,9,67,123.0
108,2019-05-18,0.81,72.0,0.0,9,65,122.0
109,2019-05-19,0.86,88.0,0.0,9,61,134.0
110,2019-05-20,1.73,87.0,0.0,9,64,130.0
111,2019-05-21,1.73,71.0,0.0,9,69,117.0
112,2019-05-22,1.73,77.0,0.0,10,68,121.0
113,2019-05-23,1.73,82.0,0.0,10,68,235.0
114,2019-05-24,1.73,103.0,0.0,9,61,264.0
115,2019-05-25,1.75,97.0,0.0,9,61,299.0
116,2019-05-26,1.75,108.0,0.0,9,60,307.0
117,2019-05-27,1.75,122.0,0.0,8,62,22955.0
118,2019-05-28,1.75,113.0,0.0,8,70,71186.0
119,2019-05-29,1.75,103.0,0.0,9,67,273.0
120,2019-05-30,1.75,105.0,0.0,10,64,315.0
121,2019-05-31,1.75,94.0,0.0,9,65,252.0
122,2019-06-01,1.75,75.0,0.0,8,67,233.0
123,2019-06-02,1.75,82.0,0.0,9,64,252.0
124,2019-06-03,1.75,86.0,0.0,9,63,247.0
125,2019-06-04,1.75,86.0,0.0,9,63,213.0
126,2019-06-05,1.75,94.0,0.0,9,64,259.0
127,2019-06-06,1.75,80.0,0.0,8,62,203.0
128,2019-06-07,1.75,75.0,0.0,9,65,210.0
129,2019-06-08,1.75,78.0,0.0,9,62,253.0
130,2019-06-09,1.77,94.0,0.0,9,61,379.0
131,2019-06-10,1.77,81.0,0.0,9,64,426.0
132,2019-06-11,1.77,108.0,0.0,9,60,78043.0
133,2019-06-12,1.84,131.0,0.0,8,55,120886.0
134,2019-06-13,1.84,105.0,0.0,9,61,313.0
135,2019-06-14,1.86,92.0,0.0,8,63,276.0
136,2019-06-15,1.86,93.0,0.0,9,65,280.0
137,2019-06-16,1.88,97.0,0.0,9,59,295.0
138,2019-06-17,2.03,93.0,0.0,9,65,299.0
139,2019-06-18,2.03,103.0,0.0,9,64,269.0
140,2019-06-19,5.0,96.0,0.0,9,64,255.0
141,2019-06-20,5.02,97.0,0.0,9,65,363.0
142,2019-06-21,5.02,89.0,0.0,9,65,462.0
143,2019-06-22,5.04,147.0,0.0,7,58,721.0
144,2019-06-23,5.05,120.0,0.0,8,61,421.0
145,2019-06-24,9.28,111.0,0.0,9,64,323.0
146,2019-06-25,9.29,115.0,0.0,8,62,470.0
147,2019-06-26,9.49,420.0,0.0,7,39,11182.0
148,2019-06-27,10.57,484.0,0.0,5,38,18483.0
149,2019-06-28,10.66,485.0,0.0,6,37,20421.0
150,2019-06-29,10.69,790.0,0.0,3,25,24110.0
151,2019-06-30,10.69,945.0,0.0,3,24,32757.0
152,2019-07-01,10.69,1134.0,0.0,3,22,40177.0
153,2019-07-02,10.69,1174.0,0.0001,3,20,44060.0
154,2019-07-03,10.69,1238.0,0.0,3,17,45722.0
155,2019-07-04,10.69,1330.0,0.0,3,17,47421.0
156,2019-07-05,10.69,1448.0,0.0,3,17,50076.0
157,2019-07-06,10.69,1402.0,0.0,3,17,47187.0
158,2019-07-07,10.69,1459.0,0.0,3,17,49190.0
159,2019-07-08,10.69,1677.0,0.0,2,14,52988.0
160,2019-07-09,10.69,1765.0,0.0001,2,13,52152.0
161,2019-07-10,10.69,1822.0,0.0,2,12,52481.0
162,2019-07-11,10.69,1925.0,0.0,2,11,52120.0
163,2019-07-12,10.69,1978.0,0.0001,2,12,52414.0
164,2019-07-13,10.69,1974.0,0.0,2,13,53691.0
165,2019-07-14,10.69,2032.0,0.0,2,15,53267.0
166,2019-07-15,10.69,2193.0,0.0,2,14,51647.0
167,2019-07-16,10.69,2144.0,0.0,2,15,49894.0
168,2019-07-17,10.69,2131.0,0.0,2,12,49128.0
169,2019-07-18,10.69,1910.0,0.0,2,13,45564.0
170,2019-07-19,0.0,1872.0,0.0,2,14,46186.0
171,2019-07-20,10.69,1877.0,0.0,2,11,45050.0
172,2019-07-21,10.69,1992.0,0.0,2,11,45843.0
173,2019-07-22,10.69,2134.0,0.0,2,12,45923.0
174,2019-07-23,10.69,2166.0,0.0,2,11,51957.0
175,2019-07-24,10.69,2235.0,0.0,2,12,53794.0
176,2019-07-25,10.69,2275.0,0.0,2,11,55599.0
177,2019-07-26,10.69,2412.0,0.0,2,11,57175.0
178,2019-07-27,10.69,2509.0,0.0,2,9,57004.0
179,2019-07-28,10.69,2662.0,0.0,1,8,62286.0
180,2019-07-29,10.69,2845.0,0.0,1,10,65305.0
181,2019-07-30,10.69,2850.0,0.0,1,9,65101.0
182,2019-07-31,10.69,2967.0,0.0,1,9,68955.0
183,2019-08-01,10.69,3097.0,0.0,1,9,68451.0
184,2019-08-02,10.69,3121.0,0.0001,1,10,69458.0
185,2019-08-03,10.69,3036.0,0.0,1,10,68416.0
186,2019-08-04,10.69,3025.0,0.0,1,9,65387.0
187,2019-08-05,10.69,3189.0,0.0,1,10,66722.0
188,2019-08-06,10.69,3275.0,0.0,1,8,65515.0
189,2019-08-07,10.69,3224.0,0.0,1,9,64060.0
190,2019-08-08,10.69,3293.0,0.0,1,8,64415.0
191,2019-08-09,10.69,3252.0,0.0,1,7,61427.0
192,2019-08-10,10.69,3232.0,0.0,1,7,60373.0
193,2019-08-11,10.69,3240.0,0.0,1,8,61338.0
194,2019-08-12,10.69,3376.0,0.0,1,6,62042.0
195,2019-08-13,10.69,3425.0,0.0002,1,6,74604.0
196,2019-08-14,10.69,3357.0,0.0002,1,7,68503.0
197,2019-08-15,10.69,3211.0,0.0,1,6,62172.0
198,2019-08-16,10.69,3174.0,0.0002,1,8,61749.0
199,2019-08-17,10.69,3170.0,0.0,1,6,60928.0
200,2019-08-18,10.69,3140.0,0.0,1,7,62033.0
201,2019-08-19,10.69,3208.0,0.0002,1,8,63561.0
202,2019-08-20,10.69,3233.0,0.0,1,8,60721.0
203,2019-08-21,10.72,3278.0,0.027299999999999998,1,8,60917.0
204,2019-08-22,10.72,3191.0,0.00030000000000000003,1,8,60840.0
205,2019-08-23,10.72,3173.0,0.0006000000000000001,1,8,60026.0
206,2019-08-24,10.72,3043.0,0.0,1,10,57039.0
207,2019-08-25,10.72,3156.0,0.0,1,8,58516.0
208,2019-08-26,10.72,3225.0,0.0006000000000000001,1,7,58805.0
209,2019-08-27,10.72,3258.0,0.0,1,9,54808.0
210,2019-08-28,10.72,3234.0,0.0007000000000000001,1,7,53464.0
211,2019-08-29,10.72,3165.0,0.0004,1,9,52331.0
212,2019-08-30,10.72,3134.0,0.0004,1,8,50008.0
213,2019-08-31,10.72,2971.0,0.0,1,10,47126.0
214,2019-09-01,10.72,2971.0,0.0,1,9,45748.0
215,2019-09-02,10.72,3037.0,0.00030000000000000003,1,10,48519.0
216,2019-09-03,10.82,3033.0,0.10070000000000001,1,9,47142.0
217,2019-09-04,10.69,3101.0,0.00030000000000000003,1,9,50444.0
218,2019-09-05,10.69,3102.0,0.00030000000000000003,1,9,49983.0
219,2019-09-06,10.69,3115.0,0.0,1,9,49358.0
220,2019-09-07,10.69,2939.0,0.0,1,10,46612.0
221,2019-09-08,10.69,2975.0,0.0,1,9,48176.0
222,2019-09-09,0.0,2989.0,0.0,1,8,44277.0
223,2019-09-10,0.0,2990.0,0.0,1,8,44545.0
224,2019-09-11,0.0,3023.0,0.0,1,7,46072.0
225,2019-09-12,0.0,2959.0,0.0,1,9,46161.0
