,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-07-29,0.0,1.0,250.0,29,186,1.0
1,2019-07-30,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-07-31,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-08-01,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-08-02,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-08-03,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-08-04,1500.0,33.0,61671.7,11,79,844.0
7,2019-08-05,1500.0,17.0,100.6,11,97,217.0
8,2019-08-06,1500.0,7.0,63.0,13,117,13.0
9,2019-08-07,1509.0,7.0,45.0,15,122,16.0
10,2019-08-08,1517.28,7.0,9.0,13,122,12.0
11,2019-08-09,1517.28,2.0,0.0,25,162,2.0
12,2019-08-10,1518.08,3.0,0.8,18,140,13.0
13,2019-08-11,1518.08,1.0,0.0,24,165,1.0
14,2019-08-12,1518.08,6.0,0.0,12,120,36.0
15,2019-08-13,1527.08,6.0,9.0,12,120,12.0
16,2019-08-14,1527.08,5.0,0.0,14,132,9.0
17,2019-08-15,1527.08,3.0,0.0,17,135,14.0
18,2019-08-16,1527.08,11.0,0.0,10,103,298.0
19,2019-08-17,1527.08,13.0,0.0,10,92,305.0
20,2019-08-18,1527.08,4.0,0.0,16,135,145.0
21,2019-08-19,1497.08,7.0,0.0,11,121,84.0
22,2019-08-20,1497.08,3.0,0.0,18,143,5.0
23,2019-08-21,1497.08,4.0,0.0,16,135,17.0
24,2019-08-22,1497.08,2.0,0.0,16,159,8.0
25,2019-08-23,1497.08,1.0,0.0,21,170,1.0
26,2019-08-24,1497.08,1.0,0.0,22,189,1.0
27,2019-08-25,1497.08,1.0,0.0,22,166,1.0
28,2019-08-26,1497.08,1.0,0.0,21,169,1.0
29,2019-08-27,1497.08,3.0,0.0,18,142,14.0
30,2019-08-28,1497.08,4.0,0.0,15,142,89.0
31,2019-08-29,1497.08,2.0,0.0,19,155,109.0
32,2019-08-30,1497.08,2.0,0.0,18,158,60.0
33,2019-08-31,1497.08,4.0,0.0,13,126,35.0
34,2019-09-01,1497.08,2.0,0.0,18,151,3.0
35,2019-09-02,1497.08,2.0,0.0,19,157,8.0
36,2019-09-03,1497.08,1.0,0.0,28,174,1.0
37,2019-09-04,1497.08,3.0,0.0,18,138,78.0
38,2019-09-05,1497.08,1.0,0.0,22,178,1.0
39,2019-09-06,1497.08,2.0,0.0,22,157,4.0
40,2019-09-07,1497.08,1.0,0.0,23,171,1.0
41,2019-09-08,1497.08,2.0,0.0,20,151,2.0
42,2019-09-09,0.0,1.0,0.0,25,176,1.0
43,2019-09-10,0.0,4.0,0.0,19,144,24.0
44,2019-09-11,0.0,1.0,0.0,26,176,1.0
45,2019-09-12,0.0,3.0,0.0,20,148,5.0
46,2019-09-13,0.0,3.0,0.0,21,148,41.0
47,2019-09-14,0.0,4.0,0.0,16,136,58.0
48,2019-09-15,0.0,1.0,0.0,28,184,1.0
49,2019-09-16,0.0,1.0,0.0,24,191,1.0
50,2019-09-17,0.0,2.0,0.0,21,157,4.0
51,2019-09-18,0.0,1.0,0.0,24,186,1.0
52,2019-09-19,0.0,1.0,0.0,32,229,1.0
53,2019-09-20,0.0,1.0,0.0,26,180,2.0
54,2019-09-21,0.0,3.0,0.0,17,139,5.0
55,2019-09-22,0.0,2.0,0.0,19,147,130.0
56,2019-09-23,0.0,0.0,0.0,NULL,NULL,0.0
57,2019-09-24,0.0,0.0,0.0,NULL,NULL,0.0
58,2019-09-25,0.0,0.0,0.0,NULL,NULL,0.0
59,2019-09-26,0.0,0.0,0.0,NULL,NULL,0.0
60,2019-09-27,0.0,0.0,0.0,NULL,NULL,0.0
61,2019-09-28,0.0,0.0,0.0,NULL,NULL,0.0
62,2019-09-29,0.0,0.0,0.0,NULL,NULL,0.0
63,2019-09-30,0.0,0.0,0.0,NULL,NULL,0.0
