,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-19,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-01-20,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-01-21,0.0,517.0,1767.0,13,52,904.0
3,2019-01-22,2108.05,125.0,385.0,21,95,213.0
4,2019-01-23,316.67,109.0,128.0,19,97,360.0
5,2019-01-24,319.68,38.0,2.0,24,123,129.0
6,2019-01-25,388.91,58.0,125.0,21,105,200.0
7,2019-01-26,534.93,60.0,146.0,20,107,258.0
8,2019-01-27,301.88,67.0,20.0,21,105,191.0
9,2019-01-28,302.88,17.0,1.0,36,148,65.0
10,2019-01-29,294.99,20.0,2.0,32,148,28.0
11,2019-01-30,295.99,17.0,1.0,35,153,27.0
12,2019-01-31,296.99,11.0,1.0,39,162,28.0
13,2019-02-01,296.99,7.0,0.0,45,161,11.0
14,2019-02-02,296.99,12.0,0.0,40,158,14.0
15,2019-02-03,297.0,16.0,0.0,36,148,18.0
16,2019-02-04,297.0,7.0,0.0,45,161,9.0
17,2019-02-05,297.0,7.0,0.0,43,164,7.0
18,2019-02-06,299.28,13.0,2.0,41,158,15.0
19,2019-02-07,299.28,4.0,0.0,47,162,4.0
20,2019-02-08,299.28,5.0,0.0,46,162,5.0
21,2019-02-09,319.08,8.0,1.0,43,159,9.0
22,2019-02-10,319.08,7.0,0.0,45,164,8.0
23,2019-02-11,319.08,7.0,0.0,45,168,10.0
24,2019-02-12,319.08,9.0,0.0,44,164,9.0
25,2019-02-13,319.08,7.0,0.0,44,171,10.0
26,2019-02-14,319.08,3.0,0.0,48,175,3.0
27,2019-02-15,319.08,7.0,0.0,47,182,7.0
28,2019-02-16,319.08,6.0,0.0,45,171,6.0
29,2019-02-17,319.08,2.0,0.0,49,174,2.0
30,2019-02-18,319.09,5.0,0.0,43,178,5.0
31,2019-02-19,319.09,4.0,0.0,46,177,5.0
32,2019-02-20,319.09,7.0,0.0,24,103,8.0
33,2019-02-21,319.09,4.0,0.0,25,105,6.0
34,2019-02-22,319.09,8.0,0.0,22,104,8.0
35,2019-02-23,319.0885,6.0,0.0,24,102,6.0
36,2019-02-24,319.0889,4.0,0.0,24,98,4.0
