,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-18,0.0,1.0,2.0,24,186,2.0
1,2019-09-19,0.0,1.0,1.1,32,229,2.0
2,2019-09-20,0.0,2.0,400.20000000000005,21,168,7.0
3,2019-09-21,0.0,1.0,0.1,23,170,1.0
4,2019-09-22,0.0,2.0,0.6000000000000001,19,147,4.0
5,2019-09-25,0.0,1.0,0.5,23,175,5.0
6,2019-09-26,1.55,2.0,0.2,22,157,2.0
7,2019-09-27,1.55,0.0,0.0,NULL,NULL,0.0
8,2019-09-28,202.75,11.0,201.2,13,107,21.0
9,2019-09-29,366.26,13.0,163.50549999999998,13,100,20.0
10,2019-09-30,386.76,6.0,21.100000000000005,16,119,6.0
11,2019-10-01,407.36,1.0,20.0,24,175,1.0
12,2019-10-02,427.36,1.0,20.0,23,165,1.0
13,2019-10-03,447.36,1.0,20.0,22,152,1.0
14,2019-10-04,459.86,2.0,12.5,18,145,3.0
15,2019-10-05,469.86,1.0,10.0,24,160,1.0
16,2019-10-06,479.86,1.0,10.0,25,156,1.0
17,2019-10-07,489.86,1.0,10.0,26,163,1.0
18,2019-10-08,499.86,1.0,10.0,26,174,1.0
19,2019-10-09,509.86,2.0,10.0001,24,170,2.0
20,2019-10-10,520.26,2.0,10.4,28,179,5.0
21,2019-10-11,827.26,3.0,307.0,22,159,4.0
22,2019-10-12,838.26,4.0,11.0012,24,146,5.0
23,2019-10-13,848.26,2.0,10.0001,22,165,2.0
24,2019-10-14,858.26,2.0,10.0001,30,182,2.0
25,2019-10-15,859.96,1.0,1.7,30,208,1.0
26,2019-10-16,860.06,2.0,0.10010000000000001,31,191,2.0
27,2019-10-17,859.96,1.0,0.0001,40,251,1.0
28,2019-10-18,859.96,1.0,0.0001,29,183,1.0
29,2019-10-19,859.96,1.0,0.00030000000000000003,30,171,3.0
30,2019-10-20,859.96,0.0,0.0,NULL,NULL,0.0
31,2019-10-21,859.96,0.0,0.0,NULL,NULL,0.0
32,2019-10-22,859.96,0.0,0.0,NULL,NULL,0.0
33,2019-10-23,859.96,1.0,0.0001,43,256,1.0
34,2019-10-24,859.96,0.0,0.0,NULL,NULL,0.0
35,2019-10-25,859.96,0.0,0.0,NULL,NULL,0.0
36,2019-10-26,859.96,0.0,0.0,NULL,NULL,0.0
37,2019-10-27,859.96,0.0,0.0,NULL,NULL,0.0
38,2019-10-28,859.96,1.0,0.0001,43,243,1.0
