,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-08-08,0.0,1.0,10.0,25,173,1.0
1,2019-08-13,0.0,1.0,0.0001,24,169,1.0
2,2019-08-14,0.0,1.0,0.0001,26,179,1.0
3,2019-08-16,0.0,1.0,0.0001,26,179,1.0
4,2019-08-19,4.98,1.0,0.0001,23,178,1.0
5,2019-08-20,4.98,0.0,0.0,NULL,NULL,0.0
6,2019-08-21,4.98,1.0,0.0001,22,172,1.0
7,2019-08-22,4.98,1.0,0.0001,24,181,1.0
8,2019-08-23,4.98,1.0,0.0002,21,170,2.0
9,2019-08-24,4.98,0.0,0.0,NULL,NULL,0.0
10,2019-08-25,4.98,0.0,0.0,NULL,NULL,0.0
11,2019-08-26,4.98,1.0,0.0001,21,169,1.0
12,2019-08-27,4.98,0.0,0.0,NULL,NULL,0.0
13,2019-08-28,4.98,1.0,0.0002,23,182,2.0
14,2019-08-29,4.98,1.0,0.0001,26,173,1.0
15,2019-08-30,4.98,1.0,0.0001,25,181,1.0
16,2019-08-31,4.98,0.0,0.0,NULL,NULL,0.0
17,2019-09-01,4.98,0.0,0.0,NULL,NULL,0.0
18,2019-09-02,4.98,1.0,0.0001,22,177,1.0
19,2019-09-03,4.98,1.0,0.0002,28,174,2.0
20,2019-09-04,44.73,2.0,100.0001,20,152,2.0
21,2019-09-05,44.73,1.0,0.0001,22,178,1.0
22,2019-09-06,44.73,63.0,0.0001,11,66,114.0
23,2019-09-07,44.73,149.0,0.0,9,52,430.0
24,2019-09-08,44.73,172.0,0.0,9,45,355.0
25,2019-09-09,0.0,190.0,0.0001,9,48,398.0
26,2019-09-10,0.0,165.0,0.0001,9,51,421.0
27,2019-09-11,0.0,131.0,0.0001,10,55,309.0
28,2019-09-12,0.0,119.0,0.0,10,58,289.0
29,2019-09-13,0.0,117.0,0.0,10,58,291.0
30,2019-09-14,0.0,143.0,0.0,9,53,297.0
31,2019-09-15,0.0,146.0,0.0,10,51,348.0
32,2019-09-16,0.0,135.0,0.0,10,58,355.0
33,2019-09-17,0.0,129.0,0.0001,10,59,309.0
34,2019-09-18,0.0,127.0,0.0002,10,58,368.0
35,2019-09-19,0.0,125.0,0.0002,10,56,282.0
36,2019-09-20,0.0,128.0,0.0001,10,55,288.0
37,2019-09-21,0.0,102.0,0.0,10,55,204.0
38,2019-09-22,0.0,105.0,0.0001,10,54,217.0
39,2019-09-23,0.0,96.0,0.0001,10,55,208.0
40,2019-09-24,0.0,98.0,0.0001,10,59,226.0
41,2019-09-25,0.0,94.0,0.0001,10,58,229.0
42,2019-09-26,44.73,96.0,0.0001,10,58,242.0
43,2019-09-27,44.73,121.0,0.0001,10,51,272.0
44,2019-09-28,44.73,107.0,0.0001,10,55,238.0
45,2019-09-29,44.73,104.0,0.0001,10,56,233.0
46,2019-09-30,22.36,96.0,0.0001,10,52,207.0
47,2019-10-01,22.36,84.0,0.0001,10,52,197.0
48,2019-10-02,22.36,79.0,0.0001,10,51,135.0
49,2019-10-03,22.36,71.0,0.0001,8,45,114.0
50,2019-10-04,22.36,101.0,0.0001,9,49,245.0
