,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-07-29,0.0,6.0,0.0,15,127,38.0
1,2019-07-30,0.0,9.0,0.0,12,117,85.0
2,2019-07-31,0.0,13.0,0.0,11,103,113.0
3,2019-08-01,0.0,20.0,0.0,10,93,1092.0
4,2019-08-02,0.0,14.0,0.0,10,102,594.0
5,2019-08-03,0.0,12.0,0.0,10,103,251.0
6,2019-08-04,0.0,1695.0,0.0,3,13,3393.0
7,2019-08-05,1.18,1687.0,2.0,4,14,2899.0
8,2019-08-06,1.18,15.0,0.0,11,96,505.0
9,2019-08-07,1.18,17.0,0.0,10,91,311.0
10,2019-08-08,1.18,13.0,0.0,10,103,253.0
11,2019-08-09,1.18,17.0,0.0,10,94,252.0
12,2019-08-10,1.18,11.0,0.0,10,102,163.0
13,2019-08-11,1.18,7.0,0.0,11,112,126.0
14,2019-08-12,1.18,7.0,0.0,11,119,175.0
15,2019-08-13,1.18,9.0,0.0,10,108,113.0
16,2019-08-14,1.18,7.0,0.0,13,121,101.0
17,2019-08-15,1.18,16.0,0.0,10,90,162.0
18,2019-08-16,1.18,10.0,0.0,11,106,170.0
19,2019-08-17,1.18,1.0,0.0,24,169,10.0
20,2019-08-18,1.18,8.0,0.0,11,110,122.0
21,2019-08-19,1.18,11.0,0.0,10,109,101.0
22,2019-08-20,1.18,5.0,0.0,15,130,57.0
23,2019-08-21,1.18,9.0,0.0,11,112,226.0
24,2019-08-22,1.18,12.0,0.0,10,96,87.0
25,2019-08-23,1.18,3.0,0.0,14,137,9.0
26,2019-08-24,1.18,2.0,0.0,19,155,3.0
27,2019-08-25,1.18,3.0,0.0,14,132,5.0
28,2019-08-26,1.18,6.0,0.0,11,120,62.0
29,2019-08-27,1.18,16.0,0.0,10,93,173.0
30,2019-08-28,1.18,13.0,0.0,10,97,144.0
31,2019-08-29,1.18,21.0,0.0,10,84,273.0
32,2019-08-30,1.18,14.0,0.0,10,94,88.0
33,2019-08-31,1.18,9.0,0.0,10,103,65.0
34,2019-09-01,1.18,8.0,0.0,10,98,62.0
35,2019-09-02,1.18,15.0,0.0,10,86,90.0
36,2019-09-03,1.18,10.0,0.0,11,103,83.0
37,2019-09-04,1.18,14.0,0.0,11,92,101.0
38,2019-09-05,1.18,17.0,0.0,12,87,593.0
39,2019-09-06,1.18,11.0,0.0,13,104,161.0
40,2019-09-07,1.18,5.0,0.0,16,131,87.0
41,2019-09-08,1.18,7.0,0.0,14,112,86.0
42,2019-09-09,0.0,13.0,0.0,14,101,292.0
43,2019-09-10,0.0,12.0,0.0,14,100,154.0
44,2019-09-11,0.0,9.0,0.0,14,112,86.0
45,2019-09-12,0.0,17.0,0.0,13,98,776.0
46,2019-09-13,0.0,9.0,0.0,14,105,93.0
47,2019-09-14,0.0,7.0,0.0,14,114,56.0
48,2019-09-15,0.0,5.0,0.0,18,131,13.0
49,2019-09-16,0.0,7.0,0.0,16,122,45.0
50,2019-09-17,0.0,6.0,0.0,16,125,23.0
51,2019-09-18,0.0,13.0,0.0,13,101,101.0
52,2019-09-19,0.0,9.0,0.0,16,116,58.0
53,2019-09-20,0.0,5.0,0.0,17,129,40.0
54,2019-09-21,0.0,6.0,0.0,15,122,45.0
55,2019-09-22,0.0,6.0,0.0,14,117,32.0
56,2019-09-23,0.0,6.0,0.0,13,122,74.0
57,2019-09-24,0.0,9.0,0.0,14,112,115.0
58,2019-09-25,0.0,6.0,0.0,13,117,57.0
59,2019-09-26,1.18,15.0,0.0,14,95,327.0
60,2019-09-27,1.18,5.0,0.0,16,130,49.0
61,2019-09-28,1.18,5.0,0.0,16,126,39.0
62,2019-09-29,1.18,4.0,0.0,17,132,29.0
63,2019-09-30,1.18,9.0,0.0,14,111,62.0
64,2019-10-01,1.18,8.0,0.0,15,112,58.0
65,2019-10-02,1.18,12.0,0.0,13,102,87.0
66,2019-10-03,1.18,6.0,0.0,13,110,35.0
67,2019-10-04,1.18,8.0,0.0,12,106,85.0
68,2019-10-05,1.18,6.0,0.0,13,109,54.0
69,2019-10-06,1.18,4.0,0.0,13,117,33.0
70,2019-10-07,1.18,8.0,0.0,12,104,45.0
71,2019-10-08,1.18,14.0,0.0,12,93,143.0
72,2019-10-09,1.18,7.0,0.0,13,114,48.0
73,2019-10-10,1.18,7.0,0.0,14,121,103.0
74,2019-10-11,1.18,9.0,0.0001,14,112,116.0
75,2019-10-12,1.18,6.0,0.0001,17,129,31.0
76,2019-10-13,1.18,5.0,0.0,12,126,35.0
77,2019-10-14,1.18,9.0,0.0001,13,106,111.0
78,2019-10-15,1.18,6.0,0.0,16,117,45.0
79,2019-10-16,1.18,14.0,0.0001,13,95,282.0
80,2019-10-17,1.18,13.0,0.0001,15,99,173.0
81,2019-10-18,1.18,6.0,0.0,18,122,113.0
82,2019-10-19,1.18,5.0,0.0,17,122,76.0
83,2019-10-20,1.18,4.0,0.0,19,127,46.0
84,2019-10-21,1.18,8.0,0.0,17,111,125.0
85,2019-10-22,1.18,6.0,0.0,17,120,84.0
86,2019-10-23,1.18,15.0,0.0001,16,102,242.0
87,2019-10-24,1.18,10.0,0.0,18,108,110.0
88,2019-10-25,1.18,12.0,0.0,17,99,98.0
89,2019-10-26,1.18,2.0,0.0,24,144,13.0
90,2019-10-27,1.18,4.0,0.0,19,122,61.0
91,2019-10-28,1.18,5.0,0.0001,20,129,21.0
92,2019-10-29,1.18,8.0,0.0,17,119,53.0
93,2019-10-30,1.18,7.0,0.0,18,124,58.0
94,2019-10-31,1.18,10.0,0.0,18,116,220.0
95,2019-11-01,1.18,8.0,0.0,17,112,40.0
96,2019-11-02,1.18,4.0,0.0,16,104,258.0
97,2019-11-03,1.18,4.0,0.0,18,107,12.0
98,2019-11-04,1.18,7.0,85.0,15,90,24.0
99,2019-11-05,102.18,2.0,16.0,20,132,5.0
100,2019-11-06,155.18,11.0,53.0,13,68,22.0
101,2019-11-07,157.18,6.0,2.0,16,93,14.0
102,2019-11-08,157.18,1.0,0.0,20,144,2.0
103,2019-11-09,157.18,0.0,0.0,NULL,NULL,0.0
