,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-07-09,180.33,0.0,0.0,NULL,NULL,0.0
1,2018-07-10,163.26,0.0,0.0,NULL,NULL,0.0
2,2018-07-11,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-07-12,142.48,0.0,0.0,NULL,NULL,0.0
4,2018-07-13,125.89,0.0,0.0,NULL,NULL,0.0
5,2018-07-14,117.06,0.0,0.0,NULL,NULL,0.0
6,2018-07-15,108.13,0.0,0.0,NULL,NULL,0.0
7,2018-07-16,96.83,0.0,0.0,NULL,NULL,0.0
8,2018-07-17,81.73,0.0,0.0,NULL,NULL,0.0
9,2018-07-18,62.85,0.0,0.0,NULL,NULL,0.0
10,2018-07-19,21.02,0.0,0.0,NULL,NULL,0.0
11,2018-07-20,68.09,0.0,0.0,NULL,NULL,0.0
12,2018-07-21,200.31,0.0,0.0,NULL,NULL,0.0
13,2018-07-22,133.66,0.0,0.0,NULL,NULL,0.0
14,2018-07-23,86.75,0.0,0.0,NULL,NULL,0.0
15,2018-07-24,49.85,0.0,0.0,NULL,NULL,0.0
16,2018-07-25,109.12,0.0,0.0,NULL,NULL,0.0
17,2018-07-26,92.73,0.0,0.0,NULL,NULL,0.0
18,2018-07-27,72.46,0.0,0.0,NULL,NULL,0.0
19,2018-07-28,50.27,0.0,0.0,NULL,NULL,0.0
20,2018-07-29,32.65,0.0,0.0,NULL,NULL,0.0
21,2018-07-30,6.7,0.0,0.0,NULL,NULL,0.0
22,2018-07-31,91.51,0.0,0.0,NULL,NULL,0.0
23,2018-08-01,67.59,0.0,0.0,NULL,NULL,0.0
24,2018-08-02,46.27,0.0,0.0,NULL,NULL,0.0
25,2018-08-03,36.09,0.0,0.0,NULL,NULL,0.0
26,2018-08-04,25.26,0.0,0.0,NULL,NULL,0.0
27,2018-08-05,15.53,0.0,0.0,NULL,NULL,0.0
28,2018-08-06,102.16,0.0,0.0,NULL,NULL,0.0
29,2018-08-07,77.33,0.0,0.0,NULL,NULL,0.0
30,2018-08-08,62.38,0.0,0.0,NULL,NULL,0.0
31,2018-08-09,47.0,0.0,0.0,NULL,NULL,0.0
32,2018-08-10,23.13,0.0,0.0,NULL,NULL,0.0
33,2018-08-11,17.88,0.0,0.0,NULL,NULL,0.0
34,2018-08-12,3.74,0.0,0.0,NULL,NULL,0.0
35,2018-08-13,680.66,0.0,0.0,NULL,NULL,0.0
36,2018-08-14,660.26,0.0,0.0,NULL,NULL,0.0
37,2018-08-15,648.72,0.0,0.0,NULL,NULL,0.0
38,2018-08-16,633.14,0.0,0.0,NULL,NULL,0.0
39,2018-08-17,617.95,0.0,0.0,NULL,NULL,0.0
40,2018-08-18,612.31,0.0,0.0,NULL,NULL,0.0
41,2018-08-19,595.5,0.0,0.0,NULL,NULL,0.0
42,2018-08-20,583.64,0.0,0.0,NULL,NULL,0.0
43,2018-08-21,572.84,0.0,0.0,NULL,NULL,0.0
44,2018-08-22,561.47,0.0,0.0,NULL,NULL,0.0
45,2018-08-23,546.4,0.0,0.0,NULL,NULL,0.0
46,2018-08-24,531.97,0.0,0.0,NULL,NULL,0.0
47,2018-08-25,516.13,0.0,0.0,NULL,NULL,0.0
48,2018-08-26,508.9,0.0,0.0,NULL,NULL,0.0
49,2018-08-27,485.82,0.0,0.0,NULL,NULL,0.0
50,2018-08-28,465.52,0.0,0.0,NULL,NULL,0.0
51,2018-08-29,449.63,0.0,0.0,NULL,NULL,0.0
52,2018-08-30,431.71,0.0,0.0,NULL,NULL,0.0
53,2018-08-31,408.0,0.0,0.0,NULL,NULL,0.0
54,2018-09-01,397.9,0.0,0.0,NULL,NULL,0.0
55,2018-09-02,377.36,0.0,0.0,NULL,NULL,0.0
56,2018-09-03,360.78,0.0,0.0,NULL,NULL,0.0
57,2018-09-03,360.78,0.0,0.0,NULL,NULL,0.0
58,2018-09-04,344.02,0.0,0.0,NULL,NULL,0.0
59,2018-09-04,344.02,0.0,0.0,NULL,NULL,0.0
60,2018-09-05,311.99,0.0,0.0,NULL,NULL,0.0
61,2018-09-06,295.36,0.0,0.0,NULL,NULL,0.0
62,2018-09-07,284.14,0.0,0.0,NULL,NULL,0.0
63,2018-09-08,275.03,0.0,0.0,NULL,NULL,0.0
64,2018-09-09,263.46,0.0,0.0,NULL,NULL,0.0
65,2018-09-10,246.31,0.0,0.0,NULL,NULL,0.0
66,2018-09-11,224.08,0.0,0.0,NULL,NULL,0.0
67,2018-09-12,194.92,0.0,0.0,NULL,NULL,0.0
68,2018-09-13,184.63,0.0,0.0,NULL,NULL,0.0
69,2018-09-14,169.72,0.0,0.0,NULL,NULL,0.0
70,2018-09-15,155.25,0.0,0.0,NULL,NULL,0.0
71,2018-09-16,145.75,0.0,0.0,NULL,NULL,0.0
72,2018-09-17,135.56,0.0,0.0,NULL,NULL,0.0
73,2018-09-18,122.79,0.0,0.0,NULL,NULL,0.0
74,2018-09-19,107.13,0.0,0.0,NULL,NULL,0.0
75,2018-09-20,98.64,0.0,0.0,NULL,NULL,0.0
76,2018-09-21,183.4,0.0,0.0,NULL,NULL,0.0
77,2018-09-22,168.44,0.0,0.0,NULL,NULL,0.0
78,2018-09-23,153.86,0.0,0.0,NULL,NULL,0.0
79,2018-09-24,144.3,0.0,0.0,NULL,NULL,0.0
80,2018-09-25,135.63,0.0,0.0,NULL,NULL,0.0
81,2018-09-26,109.44,0.0,0.0,NULL,NULL,0.0
82,2018-09-27,88.85,0.0,0.0,NULL,NULL,0.0
83,2018-09-28,65.05,0.0,0.0,NULL,NULL,0.0
84,2018-09-29,47.07,0.0,0.0,NULL,NULL,0.0
85,2018-09-30,26.1,16.0,0.0,13,39,181.0
86,2018-10-01,210.11,11.0,0.0,15,48,87.0
87,2018-10-02,190.41,16.0,0.0,13,41,128.0
88,2018-10-03,178.12,15.0,0.0,12,41,127.0
89,2018-10-04,151.88,7.0,0.0,15,59,95.0
90,2018-10-05,136.89,6.0,0.0,15,57,97.0
91,2018-10-06,122.57,9.0,0.0,15,53,119.0
92,2018-10-07,103.86,7.0,0.0,15,53,86.0
93,2018-10-08,88.17,7.0,0.0,15,59,82.0
94,2018-10-09,71.24,8.0,0.0,15,60,102.0
95,2018-10-10,57.06,7.0,0.0,15,62,94.0
96,2018-10-11,49.82,9.0,104.0,15,60,74.0
97,2018-10-12,42.04,7.0,246.0,15,65,62.0
98,2018-10-13,31.7,11.0,910.0,13,52,82.0
99,2018-10-14,16.29,7.0,71.0,15,60,64.0
100,2018-10-15,70.53,9.0,141.0,13,57,114.0
101,2018-10-16,56.05,7.0,76.0,14,64,69.0
102,2018-10-17,45.01,11.0,414.0,13,62,106.0
103,2018-10-18,29.03,13.0,489.0,13,64,77.0
104,2018-10-19,16.12,10.0,76.0,15,67,71.0
105,2018-10-20,3.29,6.0,56.0,15,69,71.0
106,2018-10-21,90.07,12.0,152.0,13,58,90.0
107,2018-10-22,76.83,12.0,369.0,12,63,272.0
108,2018-10-23,57.67,13.0,453.0,12,61,208.0
109,2018-10-24,42.0,11.0,290.0,15,67,206.0
110,2018-10-25,31.23,16.0,124.0,13,62,121.0
111,2018-10-26,19.45,12.0,570.0,15,71,129.0
112,2018-10-27,5.75,7.0,0.0,15,75,104.0
113,2018-10-28,183.94,9.0,323.0,14,69,107.0
114,2018-10-29,165.59,12.0,52.0,13,67,117.0
115,2018-10-30,154.97,10.0,0.0,14,75,112.0
116,2018-10-31,145.33,13.0,227.0,11,68,134.0
117,2018-11-01,129.91,11.0,72.0,14,73,108.0
118,2018-11-02,115.92,10.0,257.0,14,74,122.0
119,2018-11-03,103.36,12.0,28.0,12,71,97.0
120,2018-11-04,86.94,8.0,48.0,14,75,99.0
121,2018-11-05,70.58,14.0,950.0,12,71,127.0
122,2018-11-06,55.17,7.0,79.0,16,82,110.0
123,2018-11-07,40.77,11.0,193.0,14,76,125.0
124,2018-11-08,28.32,14.0,97.0,11,70,122.0
125,2018-11-09,18.26,15.0,183.0,13,77,108.0
126,2018-11-10,200.15,7.0,281.0,13,88,101.0
127,2018-11-11,189.76,13.0,252.0,11,76,124.0
128,2018-11-12,166.73,15.0,279.0,11,78,137.0
129,2018-11-13,150.86,7.0,262.0,13,87,107.0
130,2018-11-14,134.15,18.0,302.0,9,71,150.0
131,2018-11-15,125.88,10.0,560.0,12,81,116.0
132,2018-11-16,114.66,12.0,69.0,10,78,107.0
133,2018-11-17,101.81,11.0,76.0,9,74,71.0
134,2018-11-18,94.13,14.0,624.0,9,70,133.0
135,2018-11-19,84.84,10.0,273.0,10,78,102.0
136,2018-11-20,70.92,12.0,231.0,10,77,90.0
137,2018-11-21,61.08,11.0,24.0,11,81,77.0
138,2018-11-22,51.21,9.0,197.0,10,84,97.0
139,2018-11-23,43.77,10.0,90.0,10,83,84.0
140,2018-11-24,36.79,8.0,26.0,12,88,91.0
141,2018-11-25,29.39,10.0,131.0,11,86,98.0
142,2018-11-26,25.1,10.0,218.0,11,86,120.0
143,2018-11-27,109.2,8.0,714.0,12,93,135.0
144,2018-11-28,101.9,12.0,1032.0,10,90,124.0
145,2018-11-29,84.91,14.0,133.0,10,84,111.0
146,2018-11-30,75.62,8.0,0.0,13,99,145.0
147,2018-12-01,65.94,12.0,37.0,10,87,98.0
148,2018-12-02,56.79,14.0,46.0,11,80,100.0
149,2018-12-03,48.11,15.0,201.0,13,88,95.0
150,2018-12-04,37.1,10.0,2450.0,12,94,118.0
151,2018-12-05,29.98,15.0,58.0,11,86,144.0
152,2018-12-06,118.56,10.0,238.0,13,104,108.0
153,2018-12-07,111.13,8.0,20.0,13,107,85.0
154,2018-12-08,103.23,14.0,737.0,12,89,109.0
155,2018-12-09,94.16,12.0,373.0,11,87,143.0
156,2018-12-10,85.05,5.0,306.0,15,111,76.0
157,2018-12-11,73.16,5.0,948.0,14,110,86.0
158,2018-12-12,64.84,10.0,34.0,11,82,119.0
159,2018-12-13,54.53,19.0,1546.0,9,72,183.0
160,2018-12-14,45.74,13.0,358.0,11,85,119.0
161,2018-12-15,36.94,10.0,140.0,13,84,116.0
162,2018-12-16,32.53,8.0,261.0,14,92,129.0
163,2018-12-17,20.9,9.0,411.0,14,91,274.0
164,2018-12-18,55.08,13.0,268.0,15,92,145.0
165,2018-12-19,43.13,10.0,117.0,17,110,107.0
