,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-03-31,0.0,13.0,0.0,18,110,52.0
1,2019-04-01,0.0,18.0,0.0,17,108,53.0
2,2019-04-02,0.0,12.0,0.0,18,120,37.0
3,2019-04-03,0.0,13.0,0.0,18,121,68.0
4,2019-04-04,0.0,9.0,0.0,19,130,30.0
5,2019-04-05,0.0,7.0,0.0,19,128,26.0
6,2019-04-06,0.0,9.0,0.0,22,124,39.0
7,2019-04-07,0.0,3.0,0.0,24,149,5.0
8,2019-04-08,0.0,6.0,0.0,26,140,14.0
9,2019-04-09,0.0,12.0,0.0,18,122,40.0
10,2019-04-10,0.0,6.0,0.0,24,142,20.0
11,2019-04-11,0.0,6.0,0.0,25,145,15.0
12,2019-04-12,0.0,8.0,0.0,23,129,24.0
13,2019-04-13,0.0,9.0,0.0,22,123,66.0
14,2019-04-14,0.0,16.0,0.0,19,105,106.0
15,2019-04-15,0.0,14.0,0.0,20,113,77.0
16,2019-04-16,0.0,13.0,0.0,24,117,76.0
17,2019-04-17,0.0,10.0,0.0,23,128,39.0
18,2019-04-18,0.0,9.0,0.0,24,129,40.0
19,2019-04-19,0.0,7.0,0.0,23,133,25.0
20,2019-04-20,0.0,6.0,0.0,26,138,16.0
21,2019-04-21,0.0,5.0,0.0,22,140,11.0
22,2019-04-22,0.0,5.0,0.0,26,143,10.0
23,2019-04-23,0.0,2.0,0.0,27,166,4.0
24,2019-04-24,0.0,3.0,0.0,26,158,4.0
25,2019-04-25,0.0,5.0,0.0,25,148,13.0
26,2019-04-26,0.0,2.0,0.0,32,175,3.0
27,2019-04-28,0.0,3.0,0.0,24,157,4.0
28,2019-04-30,0.0,3.0,0.0,27,157,4.0
29,2019-05-01,0.0,4.0,0.0,24,148,13.0
30,2019-05-02,0.0,3.0,0.0,27,157,3.0
31,2019-05-03,0.0,3.0,0.0,25,154,4.0
32,2019-05-04,0.0,2.0,0.0,31,162,6.0
33,2019-05-05,0.0,1.0,0.0,35,192,1.0
34,2019-05-06,0.0,1.0,0.0,37,193,1.0
35,2019-05-07,0.0,3.0,0.0,28,162,4.0
36,2019-05-08,0.0,4.0,0.0,27,153,4.0
37,2019-05-09,0.0,0.0,0.0,NULL,NULL,0.0
38,2019-05-10,0.0,3.0,0.0,27,154,5.0
39,2019-05-11,0.0,4.0,0.0,24,148,8.0
40,2019-05-12,0.0,1.0,0.0,36,185,1.0
41,2019-05-13,0.0,2.0,0.0,30,164,2.0
42,2019-05-14,0.0,5.0,0.0,22,140,10.0
43,2019-05-15,0.0,2.0,0.0,30,166,2.0
44,2019-05-16,0.0,8.0,0.0,20,126,30.0
45,2019-05-17,0.0,2.0,0.0,31,161,2.0
46,2019-05-18,0.0,2.0,0.0,30,159,2.0
47,2019-05-19,0.0,0.0,0.0,NULL,NULL,0.0
48,2019-05-20,0.0,1.0,0.0,34,177,1.0
49,2019-05-21,0.0,2.0,0.0,28,158,2.0
50,2019-05-22,0.0,0.0,0.0,NULL,NULL,0.0
51,2019-05-23,0.0,3.0,0.0,23,161,14.0
52,2019-05-24,0.0,4.0,0.0,19,150,11.0
53,2019-05-25,0.0,4.0,0.0,20,145,6.0
54,2019-05-26,0.0,2.0,0.0,25,172,2.0
55,2019-05-27,0.0,5.0,0.0,23,155,9.0
56,2019-05-28,0.0,2.0,0.0,27,190,3.0
57,2019-05-29,0.0,1.0,0.0,28,198,1.0
58,2019-05-30,0.0,0.0,0.0,NULL,NULL,0.0
59,2019-05-31,0.0,0.0,0.0,NULL,NULL,0.0
60,2019-06-01,0.0,0.0,0.0,NULL,NULL,0.0
61,2019-06-02,0.0,0.0,0.0,NULL,NULL,0.0
62,2019-06-03,0.0,1.0,0.0,25,188,1.0
63,2019-06-04,0.0,0.0,0.0,NULL,NULL,0.0
64,2019-06-05,0.0,0.0,0.0,NULL,NULL,0.0
65,2019-06-06,0.0,4.0,0.0,19,140,5.0
66,2019-06-07,0.0,0.0,0.0,NULL,NULL,0.0
67,2019-06-08,0.0,3.0,0.0,18,149,6.0
