,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-04-03,0.0,1.0,0.0,32,190,6.0
1,2019-04-05,0.0,1.0,0.0,34,184,11.0
2,2019-04-14,0.0,4.0,231.0,26,143,60.0
3,2019-04-15,0.0,1.0,0.0,35,187,2.0
4,2019-04-16,0.0,2.0,50.0,34,170,22.0
5,2019-04-17,0.0,27.0,202.0,14,100,51.0
6,2019-04-18,0.0,12.0,328.4,22,119,58.0
7,2019-04-19,0.0,22.0,373.8027,15,102,289.0
8,2019-04-20,0.0,20.0,159.00610000000003,15,105,1634.0
9,2019-04-21,0.0,20.0,8.6024,12,101,835.0
10,2019-04-22,0.0,29.0,353.3025,12,94,1122.0
11,2019-04-23,0.0,31.0,96.31130000000003,11,97,2193.0
12,2019-04-24,0.0,34.0,401.30840000000006,11,92,1868.0
13,2019-04-25,0.0,43.0,287.60900000000004,10,88,2157.0
14,2019-04-26,0.0,45.0,353.0110000000001,10,83,2342.0
15,2019-04-27,0.0,39.0,24.210800000000003,11,86,2701.0
16,2019-04-28,0.0,41.0,22.8089,10,86,2307.0
17,2019-04-29,0.0,44.0,28.014699999999998,9,85,2447.0
18,2019-04-30,0.0,60.0,496.41870000000006,9,79,3124.0
19,2019-05-01,0.0,80.0,74.03420000000001,8,68,3786.0
20,2019-05-02,0.0,55.0,105.93580000000001,9,82,2798.0
21,2019-05-03,0.0,56.0,440.78770000000003,8,79,2815.0
22,2019-05-04,0.0,62.0,343.02650000000006,9,79,3029.0
23,2019-05-05,0.0,69.0,345.87359999999984,7,72,3354.0
24,2019-05-06,0.0,76.0,146.30699999999996,8,70,3075.0
25,2019-05-07,0.0,65.0,95.84249999999999,10,80,3134.0
26,2019-05-08,0.0,57.0,92.3354,9,80,2632.0
27,2019-05-09,0.0,57.0,8.957,11,80,2150.0
28,2019-05-10,0.0,55.0,8.278299999999998,10,79,1949.0
29,2019-05-11,0.0,50.0,2.4683,11,84,2030.0
30,2019-05-12,0.0,55.0,8.849799999999998,9,75,2401.0
31,2019-05-13,0.0,89.0,708.1141000000001,9,68,2771.0
32,2019-05-14,0.0,63.0,99.1207,10,72,2864.0
33,2019-05-15,1311.52,62.0,38.2172,9,67,1411.0
34,2019-05-16,1968.73,19.0,674.4,12,99,38.0
35,2019-05-17,2097.87,293.0,156.52569999999997,8,44,19720.0
36,2019-05-18,2336.81,393.0,386.87259999999964,5,37,49665.0
37,2019-05-19,2774.04,448.0,620.3903999999998,5,39,46716.0
38,2019-05-20,3232.3,507.0,720.9187999999997,5,37,54708.0
39,2019-05-21,3578.1,529.0,619.2696000000001,5,34,54983.0
40,2019-05-22,3804.15,578.0,565.4971000000002,5,34,57567.0
41,2019-05-23,4186.96,570.0,632.8718999999998,4,34,54665.0
42,2019-05-24,4433.98,598.0,566.4656999999999,3,31,64961.0
43,2019-05-25,4926.47,626.0,842.0475000000002,3,30,73798.0
44,2019-05-26,5486.24,661.0,1073.5453000000002,3,29,78583.0
45,2019-05-27,2362.63,740.0,1453.8077999999996,2,26,96108.0
46,2019-05-28,2617.23,765.0,767.2973999999997,2,29,107556.0
47,2019-05-29,3917.94,803.0,2025.9786000000001,2,27,115837.0
48,2019-05-30,4959.5,864.0,1911.333100000001,2,25,125419.0
49,2019-05-31,5685.13,955.0,1663.2554000000007,2,24,139684.0
50,2019-06-01,5986.89,986.0,971.8457999999998,2,20,141584.0
51,2019-06-02,2399.09,1085.0,1296.4264999999994,2,19,127128.0
