,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-12-07,0.0,4.0,0.0,18,124,25.0
1,2018-12-12,0.0,1.0,0.0,23,147,1.0
2,2018-12-13,0.0,12.0,11.0,15,85,110.0
3,2018-12-14,0.0,8.0,10.0,14,96,109.0
4,2018-12-17,0.0,7.0,11.0,16,98,83.0
5,2018-12-18,0.0,10.0,16.0,16,96,174.0
6,2018-12-19,0.0,13.0,14.0,16,103,185.0
7,2018-12-20,0.0,18.0,15.0,17,85,175.0
8,2018-12-21,0.0,38.0,66.0,11,66,812.0
9,2018-12-22,0.0,25.0,7.0,11,69,855.0
10,2018-12-23,0.0,30.0,17.0,10,70,860.0
11,2018-12-24,3.42,74.0,0.0,9,55,1056.0
12,2018-12-25,0.83,39.0,11.0,10,67,686.0
13,2018-12-26,3.68,41.0,0.0,12,63,666.0
14,2018-12-27,0.75,39.0,0.0,12,63,833.0
15,2018-12-28,0.09,65.0,0.0,11,58,801.0
16,2018-12-29,6.39,35.0,15.0,12,72,609.0
17,2018-12-30,2.42,45.0,14.0,10,66,688.0
18,2018-12-31,0.07,36.0,11.0,19,115,402.0
19,2019-01-01,0.44,44.0,7.0,17,110,362.0
20,2019-01-02,2.64,43.0,28.0,17,109,535.0
21,2019-01-03,7.64,53.0,65.0,14,105,616.0
22,2019-01-04,9.33,50.0,59.0,14,108,872.0
23,2019-01-05,0.03,33.0,3.0,17,112,250.0
24,2019-01-06,0.06,13.0,1.0,25,131,90.0
25,2019-01-07,0.1,32.0,9.0,19,120,236.0
26,2019-01-08,3.45,45.0,26.0,22,121,389.0
27,2019-01-09,1.05,45.0,43.0,23,121,467.0
28,2019-01-10,2.21,52.0,45.0,24,120,651.0
29,2019-01-11,0.45,55.0,18.0,24,116,497.0
30,2019-01-12,4.32,18.0,14.0,25,130,189.0
31,2019-01-13,3.71,22.0,33.0,28,125,448.0
32,2019-01-14,2.49,40.0,21.0,25,124,408.0
33,2019-01-15,0.68,51.0,30.0,22,118,520.0
34,2019-01-16,2.85,35.0,16.0,28,123,275.0
35,2019-01-17,0.38,45.0,21.0,26,116,367.0
36,2019-01-18,0.44,42.0,22.0,25,116,366.0
37,2019-01-19,0.03,32.0,1.0,29,122,162.0
38,2019-01-20,1.9,20.0,2.0,34,137,78.0
39,2019-01-21,0.49,32.0,20.0,30,135,233.0
40,2019-01-22,1.69,27.0,24.0,31,129,282.0
41,2019-01-23,4.55,29.0,16.0,27,130,305.0
42,2019-01-24,0.34,22.0,18.0,29,137,210.0
43,2019-01-25,0.04,12.0,15.0,35,141,196.0
44,2019-01-26,0.03,10.0,0.0,34,144,37.0
45,2019-01-27,0.3,4.0,1.0,38,154,19.0
46,2019-01-28,0.33,13.0,2.0,39,152,70.0
47,2019-01-29,0.03,21.0,2.0,31,147,99.0
48,2019-01-30,0.31,25.0,7.0,32,147,87.0
49,2019-01-31,0.03,28.0,13.0,32,147,155.0
50,2019-02-01,1.26,30.0,4.0,32,140,103.0
51,2019-02-02,0.0,21.0,4.0,35,150,79.0
52,2019-02-03,4.69,24.0,9.0,32,140,93.0
53,2019-02-04,0.36,24.0,12.0,34,145,140.0
54,2019-02-05,0.33,35.0,9.0,30,138,150.0
55,2019-02-06,0.05,23.0,0.0,36,149,47.0
56,2019-02-07,0.11,31.0,8.0,33,137,168.0
57,2019-02-08,0.0,33.0,3.0,32,139,144.0
58,2019-02-09,4.62,24.0,10.0,36,144,156.0
59,2019-02-10,0.0,25.0,2.0,34,147,108.0
60,2019-02-11,0.78,69.0,96.0,30,114,309.0
61,2019-02-12,1.84,67.0,49.0,33,119,434.0
62,2019-02-13,0.02,78.0,10.0,29,115,284.0
63,2019-02-14,15.03,87.0,47.0,29,117,417.0
64,2019-02-15,16.19,93.0,142.0,28,119,560.0
65,2019-02-16,11.63,65.0,88.0,31,128,383.0
66,2019-02-17,6.09,6.0,45.0,45,170,183.0
67,2019-02-18,6.15,87.0,17.0,29,119,338.0
68,2019-02-19,7.67,56.0,75.0,36,136,238.0
69,2019-02-20,3.33,93.0,24.0,16,64,444.0
70,2019-02-21,0.97,105.0,47.0,12,58,364.0
71,2019-02-22,4.62,119.0,51.0,14,58,448.0
72,2019-02-23,3.429,126.0,39.0,13,54,478.0
73,2019-02-24,7.326,120.0,8.0,12,53,312.0
74,2019-02-25,0.03,193.0,7.0,13,52,500.0
75,2019-02-26,0.3,209.0,30.0,14,49,725.0
76,2019-02-27,0.03,214.0,8.0,14,52,618.0
77,2019-02-28,0.6,257.0,29.0,14,48,618.0
78,2019-03-01,0.0,242.0,76.0,14,50,681.0
79,2019-03-02,0.04,286.0,1.0,12,47,555.0
80,2019-03-03,0.0,270.0,0.0,12,46,445.0
81,2019-03-04,0.0,227.0,2.0,14,51,504.0
82,2019-03-05,0.03,253.0,2.0,12,50,564.0
83,2019-03-06,0.48,281.0,2.0,12,48,599.0
84,2019-03-07,0.3,261.0,4.0,12,49,577.0
85,2019-03-08,0.03,233.0,9.0,13,53,541.0
86,2019-03-09,0.0,284.0,1.0,12,48,482.0
87,2019-03-10,0.93,284.0,2.0,10,46,489.0
88,2019-03-11,0.01,243.0,6.0,12,50,666.0
89,2019-03-12,9.66,266.0,18.0,12,50,597.0
90,2019-03-13,0.01,302.0,15.0,12,50,570.0
91,2019-03-14,24.4692,276.0,71.0,13,52,707.0
92,2019-03-15,0.0072,266.0,22.0,12,51,703.0
93,2019-03-16,0.0258,282.0,1.0,13,50,524.0
94,2019-03-17,0.3102,306.0,1.0,13,49,688.0
95,2019-03-18,0.6432,287.0,20.0,12,52,583.0
96,2019-03-19,0.0024,245.0,20.0,12,54,531.0
97,2019-03-20,0.36,275.0,2.0,13,54,666.0
98,2019-03-21,0.09,298.0,7.0,12,50,1115.0
99,2019-03-22,1.23,239.0,2.0,13,53,604.0
100,2019-03-23,17.14,247.0,17.0,13,53,533.0
101,2019-03-24,0.01,276.0,0.0,11,48,494.0
102,2019-03-25,2.38,146.0,4.0,15,62,551.0
103,2019-03-26,2.75,126.0,31.0,15,64,482.0
104,2019-03-27,2.21,181.0,9.0,14,60,590.0
105,2019-03-28,3.4,168.0,17.0,14,61,604.0
106,2019-03-29,1.12,185.0,5.0,14,60,488.0
107,2019-03-30,1.97,172.0,5.0,14,59,355.0
108,2019-03-31,0.64,181.0,0.8946000000000027,10,58,356.0
109,2019-04-01,0.57,186.0,2.4941999999999984,10,57,480.0
110,2019-04-02,0.0,159.0,0.5447999999999997,10,62,321.0
