,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-03-04,0,2.0,1.0,27,106,4.0
1,2019-03-05,0,23.0,0.0,19,90,31.0
2,2019-03-06,0,83.0,0.0,15,71,100.0
3,2019-03-07,0,21.0,0.0,20,96,21.0
4,2019-03-08,0,354.0,0.0,11,45,354.0
5,2019-03-09,0,75.0,0.0,16,71,75.0
6,2019-03-10,0,58.0,0.0,15,73,69.0
7,2019-03-11,0,26.0,0.0,18,90,43.0
8,2019-03-12,0,30.0,0.0,18,88,32.0
9,2019-03-13,0,150.0,0.0,14,56,154.0
10,2019-03-14,0,149.0,0.0,14,63,149.0
11,2019-03-15,0,16.0,0.0,22,99,16.0
12,2019-03-16,0,18.0,0.0,22,96,18.0
13,2019-03-17,0,31.0,0.0,19,84,34.0
14,2019-03-19,0,70.0,0.0,17,81,70.0
15,2019-03-20,0,67.0,0.0,18,82,67.0
16,2019-03-21,0,12.0,0.0,21,104,24.0
17,2019-03-22,0,104.0,0.0,16,73,104.0
18,2019-03-23,0,110.0,0.0,16,66,110.0
19,2019-03-24,0,7.0,0.0,22,105,7.0
20,2019-03-25,0,8.0,0.0,25,108,8.0
21,2019-03-26,0,17.0,0.0,21,97,18.0
22,2019-03-27,0,15.0,0.0,23,94,15.0
23,2019-03-28,0,21.0,0.0,22,92,21.0
24,2019-03-30,0,51.0,0.0,18,77,51.0
25,2019-03-31,0,21.0,0.0,21,86,21.0
26,2019-04-01,0,13.0,0.0,22,92,13.0
27,2019-04-02,0,20.0,0.0,22,86,20.0
28,2019-04-03,0,10.0,0.0,23,100,10.0
29,2019-04-05,0,28.0,0.0,20,80,28.0
30,2019-04-06,0,4.0,0.0,24,97,4.0
31,2019-04-07,0,14.0,0.0,23,89,14.0
32,2019-04-08,0,7.0,0.0,27,109,7.0
33,2019-04-09,0,9.0,0.0,23,99,9.0
34,2019-04-10,0,14.0,0.0,25,94,14.0
35,2019-04-12,0,2.0,0.0,30,109,2.0
36,2019-04-14,0,4.0,0.0,26,103,4.0
37,2019-04-16,0,5.0,0.0,29,107,5.0
38,2019-04-17,0,2.0,0.0,38,163,2.0
39,2019-04-18,0,0.0,0.0,NULL,NULL,0.0
40,2019-04-19,0,0.0,0.0,NULL,NULL,0.0
41,2019-04-21,0,0.0,0.0,NULL,NULL,0.0
42,2019-04-22,0,0.0,0.0,NULL,NULL,0.0
43,2019-04-23,0,0.0,0.0,NULL,NULL,0.0
44,2019-04-24,0,0.0,0.0,NULL,NULL,0.0
45,2019-04-29,0,0.0,0.0,NULL,NULL,0.0
46,2019-05-01,0,0.0,0.0,NULL,NULL,0.0
47,2019-05-02,0,0.0,0.0,NULL,NULL,0.0
48,2019-05-03,0,0.0,0.0,NULL,NULL,0.0
49,2019-05-04,0,0.0,0.0,NULL,NULL,0.0
50,2019-05-05,0,0.0,0.0,NULL,NULL,0.0
51,2019-05-06,0,0.0,0.0,NULL,NULL,0.0
52,2019-05-08,0,0.0,0.0,NULL,NULL,0.0
53,2019-05-09,0,0.0,0.0,NULL,NULL,0.0
54,2019-05-11,0,0.0,0.0,NULL,NULL,0.0
55,2019-05-13,0,0.0,0.0,NULL,NULL,0.0
56,2019-05-15,0,0.0,0.0,NULL,NULL,0.0
57,2019-05-17,0,0.0,0.0,NULL,NULL,0.0
58,2019-05-19,0,0.0,0.0,NULL,NULL,0.0
59,2019-05-20,0,0.0,0.0,NULL,NULL,0.0
60,2019-05-22,0,0.0,0.0,NULL,NULL,0.0
61,2019-05-23,0,1.0,0.0,31,201,1.0
62,2019-05-24,0,0.0,0.0,NULL,NULL,0.0
63,2019-05-25,0,2.0,0.0,26,174,2.0
64,2019-05-26,0,0.0,0.0,NULL,NULL,0.0
65,2019-05-27,0,0.0,0.0,NULL,NULL,0.0
66,2019-05-28,0,3.0,0.0,22,165,3.0
67,2019-05-29,0,1.0,0.0,28,198,1.0
68,2019-05-30,0,2.0,0.0,23,175,2.0
69,2019-05-31,0,9.0,0.0,15,123,24.0
70,2019-06-01,0,0.0,0.0,NULL,NULL,0.0
71,2019-06-02,0,2.0,0.0,21,162,2.0
72,2019-06-03,0,3.0,0.0,19,159,3.0
73,2019-06-04,0,1.0,0.0,25,189,1.0
74,2019-06-05,0,2.0,0.0,22,160,2.0
75,2019-06-06,0,0.0,0.0,NULL,NULL,0.0
76,2019-06-07,0,9.0,0.0,14,114,9.0
77,2019-06-08,0,0.0,0.0,NULL,NULL,0.0
78,2019-06-09,0,7.0,0.0,13,119,7.0
79,2019-06-10,0,1.0,0.0,28,189,1.0
80,2019-06-11,0,1.0,0.0,28,189,1.0
81,2019-06-12,0,3.0,0.0,21,155,3.0
82,2019-06-13,0,0.0,0.0,NULL,NULL,0.0
83,2019-06-14,0,0.0,0.0,NULL,NULL,0.0
84,2019-06-15,0,0.0,0.0,NULL,NULL,0.0
85,2019-06-16,0,6.0,0.0,16,120,6.0
86,2019-06-17,0,0.0,0.0,NULL,NULL,0.0
87,2019-06-18,0,0.0,0.0,NULL,NULL,0.0
88,2019-06-19,0,0.0,0.0,NULL,NULL,0.0
89,2019-06-20,0,0.0,0.0,NULL,NULL,0.0
90,2019-06-21,0,1.0,0.0,25,188,1.0
91,2019-06-22,0,0.0,0.0,NULL,NULL,0.0
92,2019-06-23,0,1.0,0.0,25,174,1.0
93,2019-06-24,0,1.0,0.0,30,192,1.0
94,2019-06-25,0,16.0,0.0,11,107,16.0
95,2019-06-26,0,0.0,0.0,NULL,NULL,0.0
96,2019-06-27,0,0.0,0.0,NULL,NULL,0.0
97,2019-06-28,0,2.0,0.0,19,157,3.0
98,2019-06-29,0,3.0,0.0,19,141,4.0
99,2019-06-30,0,4.0,0.0,15,135,6.0
100,2019-07-01,0,5.0,0.0,16,138,7.0
101,2019-07-02,0,0.0,0.0,NULL,NULL,0.0
102,2019-07-03,0,0.0,0.0,NULL,NULL,0.0
103,2019-07-04,0,228.0,0.0,9,53,240.0
104,2019-07-05,0,4.0,0.0,18,145,10.0
105,2019-07-06,0,3.0,0.0,20,147,4.0
106,2019-07-07,0,1.0,0.0,27,176,1.0
107,2019-07-08,0,3.0,0.0,19,154,4.0
108,2019-07-09,0,6.0,0.0,17,137,17.0
109,2019-07-10,0,5.0,0.0,16,135,5.0
110,2019-07-11,0,1.0,0.0,28,178,1.0
111,2019-07-12,0,2.0,0.0001,31,187,2.0
112,2019-07-13,0,1.0,0.0,28,173,15.0
113,2019-07-14,0,1.0,0.0,26,172,1.0
114,2019-07-15,0,1.0,0.0,22,179,1.0
115,2019-07-16,0,16.0,0.0,11,106,16.0
116,2019-07-17,0,6.0,0.0,16,135,10.0
117,2019-07-18,0,3.0,0.0,21,153,4.0
118,2019-07-19,0,0.0,0.0,NULL,NULL,0.0
119,2019-07-20,0,1.0,0.0,25,168,1.0
120,2019-07-21,0,3.0,0.0,18,146,5.0
121,2019-07-22,0,0.0,0.0,NULL,NULL,0.0
122,2019-07-23,0,1.0,0.0,26,173,2.0
123,2019-07-24,0,1.0,0.0,29,178,1.0
124,2019-07-25,0,2.0,0.0,23,160,2.0
125,2019-07-26,0,3.0,0.0,21,149,6.0
126,2019-07-27,0,3.0,0.0,20,143,3.0
127,2019-07-28,0,3.0,0.0,22,142,8.0
128,2019-07-29,0,2.0,0.0,24,163,3.0
129,2019-07-30,0,0.0,0.0,NULL,NULL,0.0
130,2019-07-31,0,0.0,0.0,NULL,NULL,0.0
131,2019-08-01,0,0.0,0.0,NULL,NULL,0.0
132,2019-08-02,0,0.0,0.0,NULL,NULL,0.0
133,2019-08-03,0,0.0,0.0,NULL,NULL,0.0
134,2019-08-04,0,0.0,0.0,NULL,NULL,0.0
135,2019-08-05,0,0.0,0.0,NULL,NULL,0.0
136,2019-08-06,0,2.0,0.0,23,163,3.0
137,2019-08-07,0,0.0,0.0,NULL,NULL,0.0
138,2019-08-08,0,1.0,0.0,25,173,1.0
139,2019-08-09,0,0.0,0.0,NULL,NULL,0.0
140,2019-08-10,0,0.0,0.0,NULL,NULL,0.0
141,2019-08-11,0,1.0,0.0,24,165,1.0
142,2019-08-12,0,0.0,0.0,NULL,NULL,0.0
143,2019-08-13,0,1.0,0.0,24,169,1.0
144,2019-08-14,0,0.0,0.0,NULL,NULL,0.0
145,2019-08-15,0,1.0,0.0,24,168,1.0
146,2019-08-16,0,1.0,0.0,26,179,1.0
147,2019-08-17,0,0.0,0.0,NULL,NULL,0.0
148,2019-08-18,0,0.0,0.0,NULL,NULL,0.0
149,2019-08-19,0,0.0,0.0,NULL,NULL,0.0
150,2019-08-20,0,1.0,0.0,26,175,1.0
151,2019-08-21,0,0.0,0.0,NULL,NULL,0.0
152,2019-08-22,0,2.0,0.0,16,159,2.0
153,2019-08-23,0,0.0,0.0,NULL,NULL,0.0
154,2019-08-24,0,0.0,0.0,NULL,NULL,0.0
155,2019-08-25,0,0.0,0.0,NULL,NULL,0.0
156,2019-08-26,0,0.0,0.0,NULL,NULL,0.0
157,2019-08-27,0,0.0,0.0,NULL,NULL,0.0
158,2019-08-28,0,0.0,0.0,NULL,NULL,0.0
159,2019-08-29,0,0.0,0.0,NULL,NULL,0.0
160,2019-08-30,0,0.0,0.0,NULL,NULL,0.0
161,2019-08-31,0,0.0,0.0,NULL,NULL,0.0
162,2019-09-01,0,0.0,0.0,NULL,NULL,0.0
163,2019-09-02,0,0.0,0.0,NULL,NULL,0.0
164,2019-09-03,0,0.0,0.0,NULL,NULL,0.0
165,2019-09-04,0,0.0,0.0,NULL,NULL,0.0
166,2019-09-05,0,0.0,0.0,NULL,NULL,0.0
167,2019-09-06,0,0.0,0.0,NULL,NULL,0.0
168,2019-09-07,0,0.0,0.0,NULL,NULL,0.0
169,2019-09-08,0,0.0,0.0,NULL,NULL,0.0
170,2019-09-09,0,1.0,0.0,25,176,1.0
171,2019-09-10,0,0.0,0.0,NULL,NULL,0.0
172,2019-09-11,0,1.0,0.0,26,176,1.0
173,2019-09-12,0,0.0,0.0,NULL,NULL,0.0
174,2019-09-13,0,0.0,0.0,NULL,NULL,0.0
175,2019-09-14,0,1.0,0.0,28,182,1.0
176,2019-09-15,0,0.0,0.0,NULL,NULL,0.0
177,2019-09-16,0,0.0,0.0,NULL,NULL,0.0
178,2019-09-17,0,0.0,0.0,NULL,NULL,0.0
179,2019-09-18,0,0.0,0.0,NULL,NULL,0.0
180,2019-09-19,0,0.0,0.0,NULL,NULL,0.0
181,2019-09-20,0,0.0,0.0,NULL,NULL,0.0
182,2019-09-21,0,1.0,0.0,23,170,1.0
183,2019-09-22,0,1.0,0.0,22,169,1.0
184,2019-09-23,0,1.0,0.0,26,179,1.0
185,2019-09-24,0,0.0,0.0,NULL,NULL,0.0
186,2019-09-25,0,0.0,0.0,NULL,NULL,0.0
187,2019-09-26,0,0.0,0.0,NULL,NULL,0.0
188,2019-09-27,0,0.0,0.0,NULL,NULL,0.0
189,2019-09-28,0,0.0,0.0,NULL,NULL,0.0
190,2019-09-29,0,1.0,0.0,21,166,1.0
191,2019-09-30,0,0.0,0.0,NULL,NULL,0.0
192,2019-10-01,0,0.0,0.0,NULL,NULL,0.0
193,2019-10-02,0,1.0,0.0,23,165,1.0
194,2019-10-03,0,0.0,0.0,NULL,NULL,0.0
195,2019-10-04,0,0.0,0.0,NULL,NULL,0.0
196,2019-10-05,0,0.0,0.0,NULL,NULL,0.0
197,2019-10-06,0,0.0,0.0,NULL,NULL,0.0
198,2019-10-07,0,0.0,0.0,NULL,NULL,0.0
199,2019-10-08,0,0.0,0.0,NULL,NULL,0.0
200,2019-10-09,0,0.0,0.0,NULL,NULL,0.0
201,2019-10-10,0,0.0,0.0,NULL,NULL,0.0
202,2019-10-11,0,0.0,0.0,NULL,NULL,0.0
203,2019-10-12,0,0.0,0.0,NULL,NULL,0.0
204,2019-10-13,0,1.0,0.0,29,198,1.0
205,2019-10-14,0,0.0,0.0,NULL,NULL,0.0
206,2019-10-15,0,2.0,0.0001,22,166,2.0
207,2019-10-16,0,0.0,0.0,NULL,NULL,0.0
208,2019-10-17,0,0.0,0.0,NULL,NULL,0.0
209,2019-10-18,0,1.0,0.0,29,183,1.0
210,2019-10-19,0,0.0,0.0,NULL,NULL,0.0
211,2019-10-20,0,0.0,0.0,NULL,NULL,0.0
212,2019-10-21,0,0.0,0.0,NULL,NULL,0.0
213,2019-10-22,0,0.0,0.0,NULL,NULL,0.0
214,2019-10-23,0,0.0,0.0,NULL,NULL,0.0
215,2019-10-24,0,0.0,0.0,NULL,NULL,0.0
216,2019-10-25,0,5.0,0.0,20,126,5.0
217,2019-10-26,0,0.0,0.0,NULL,NULL,0.0
218,2019-10-27,0,0.0,0.0,NULL,NULL,0.0
219,2019-10-28,0,0.0,0.0,NULL,NULL,0.0
220,2019-10-29,0,1.0,0.0,28,172,1.0
221,2019-10-30,0,0.0,0.0,NULL,NULL,0.0
222,2019-10-31,0,0.0,0.0,NULL,NULL,0.0
223,2019-11-01,0,0.0,0.0,NULL,NULL,0.0
224,2019-11-02,0,0.0,0.0,NULL,NULL,0.0
225,2019-11-03,0,0.0,0.0,NULL,NULL,0.0
226,2019-11-04,0,0.0,0.0,NULL,NULL,0.0
227,2019-11-05,0,0.0,0.0,NULL,NULL,0.0
228,2019-11-06,0,0.0,0.0,NULL,NULL,0.0
229,2019-11-07,0,1.0,0.0,20,141,1.0
230,2019-11-08,0,0.0,0.0,NULL,NULL,0.0
231,2019-11-09,0,0.0,0.0,NULL,NULL,0.0
232,2019-11-10,0,0.0,0.0,NULL,NULL,0.0
233,2019-11-11,0,0.0,0.0,NULL,NULL,0.0
234,2019-11-12,0,1.0,0.0,24,151,1.0
235,2019-11-13,0,1.0,0.0,24,151,1.0
236,2019-11-14,0,0.0,0.0,NULL,NULL,0.0
237,2019-11-15,0,2.0,0.0,23,131,2.0
238,2019-11-16,0,1.0,0.0,20,142,1.0
239,2019-11-17,0,1.0,0.0,19,144,1.0
240,2019-11-18,0,1.0,0.0,26,153,1.0
241,2019-11-19,0,0.0,0.0,NULL,NULL,0.0
242,2019-11-20,0,0.0,0.0,NULL,NULL,0.0
243,2019-11-21,0,0.0,0.0,NULL,NULL,0.0
244,2019-11-22,0,0.0,0.0,NULL,NULL,0.0
245,2019-11-23,0,0.0,0.0,NULL,NULL,0.0
246,2019-11-24,0,0.0,0.0,NULL,NULL,0.0
247,2019-11-25,0,8.0,0.0,17,83,7.0
248,2019-11-26,0,6.0,0.0,19,92,5.0
249,2019-11-27,0,0.0,0.0,NULL,NULL,0.0
250,2019-11-28,0,0.0,0.0,NULL,NULL,0.0
251,2019-11-29,0,0.0,0.0,NULL,NULL,0.0
252,2019-11-30,0,0.0,0.0,NULL,NULL,0.0
253,2019-12-01,0,0.0,0.0,NULL,NULL,0.0
254,2019-12-02,0,0.0,0.0,NULL,NULL,0.0
255,2019-12-03,0,0.0,0.0,NULL,NULL,0.0
256,2019-12-04,0,0.0,0.0,NULL,NULL,0.0
257,2019-12-05,0,0.0,0.0,NULL,NULL,0.0
258,2019-12-06,0,0.0,0.0,NULL,NULL,0.0
259,2019-12-07,0,0.0,0.0,NULL,NULL,0.0
260,2019-12-08,0,0.0,0.0,NULL,NULL,0.0
261,2019-12-09,0,0.0,0.0,NULL,NULL,0.0
262,2019-12-10,0,0.0,0.0,NULL,NULL,0.0
263,2019-12-11,0,0.0,0.0,NULL,NULL,0.0
264,2019-12-12,0,0.0,0.0,NULL,NULL,0.0
265,2019-12-13,0,0.0,0.0,NULL,NULL,0.0
266,2019-12-14,0,0.0,0.0,NULL,NULL,0.0
267,2019-12-15,0,0.0,0.0,NULL,NULL,0.0
268,2019-12-16,0,0.0,0.0,NULL,NULL,0.0
269,2019-12-17,0,2.0,0.0,25,122,1.0
270,2019-12-18,0,0.0,0.0,NULL,NULL,0.0
271,2019-12-19,0,0.0,0.0,NULL,NULL,0.0
272,2019-12-20,0,0.0,0.0,NULL,NULL,0.0
273,2019-12-21,0,0.0,0.0,NULL,NULL,0.0
274,2019-12-22,0,0.0,0.0,NULL,NULL,0.0
275,2019-12-23,0,0.0,0.0,NULL,NULL,0.0
276,2019-12-24,0,0.0,0.0,NULL,NULL,0.0
277,2019-12-25,0,0.0,0.0,NULL,NULL,0.0
278,2019-12-26,0,0.0,0.0,NULL,NULL,0.0
279,2019-12-27,0,0.0,0.0,NULL,NULL,0.0
280,2019-12-28,0,0.0,0.0,NULL,NULL,0.0
281,2019-12-29,0,0.0,0.0,NULL,NULL,0.0
282,2019-12-30,0,0.0,0.0,NULL,NULL,0.0
283,2019-12-31,0,0.0,0.0,NULL,NULL,0.0
284,2020-01-01,0,0.0,0.0,NULL,NULL,0.0
285,2020-01-02,0,0.0,0.0,NULL,NULL,0.0
