,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-10-15,0.0,2.0,493.90099999999995,22,166,2.0
1,2019-10-17,0.0,4.0,22.0,22,148,75.0
2,2019-10-18,0.0,9.0,166.0,16,106,187.0
3,2019-10-19,0.0,9.0,131.0,16,107,233.0
4,2019-10-20,0.0,15.0,1109.0,15,91,516.0
5,2019-10-21,580.94,28.0,2223.0,15,77,2180.0
6,2019-10-22,795.96,35.0,1781.0,15,75,2218.0
7,2019-10-23,1226.52,39.0,3079.0,15,77,2138.0
8,2019-10-24,1662.89,33.0,654.0,15,77,976.0
9,2019-10-25,1651.23,13.0,79.0,16,97,328.0
10,2019-10-26,1672.77,13.0,73.0,15,91,283.0
11,2019-10-27,1816.76,24.0,560.0,14,69,777.0
12,2019-10-28,1797.39,35.0,863.0,14,67,1319.0
13,2019-10-29,1850.47,23.0,218.0,15,85,574.0
14,2019-10-30,297.01,33.0,752.0,15,77,733.0
15,2019-10-31,253.45,23.0,132.0,16,87,408.0
16,2019-11-01,263.28,8.0,14.0001,17,112,193.0
17,2019-11-02,262.76,0.0,0.0,NULL,NULL,0.0
18,2019-11-03,262.76,0.0,0.0,NULL,NULL,0.0
19,2019-11-04,258.12,3.0,43.0,18,118,111.0
20,2019-11-05,242.01,4.0,2.0,17,108,148.0
21,2019-11-06,241.97,2.0,0.0,19,131,145.0
22,2019-11-07,241.97,0.0,0.0,NULL,NULL,0.0
23,2019-11-08,241.97,2.0,1.0,19,129,146.0
24,2019-11-09,241.97,0.0,0.0,NULL,NULL,0.0
25,2019-11-10,241.97,0.0,0.0,NULL,NULL,0.0
26,2019-11-11,241.92,3.0,0.0,18,115,145.0
27,2019-11-12,241.42,5.0,3.0,17,94,157.0
28,2019-11-13,241.42,0.0,0.0,NULL,NULL,0.0
29,2019-11-14,241.42,0.0,0.0,NULL,NULL,0.0
30,2019-11-15,221.42,0.0,0.0,NULL,NULL,0.0
31,2019-11-16,221.42,0.0,0.0,NULL,NULL,0.0
32,2019-11-17,221.42,0.0,0.0,NULL,NULL,0.0
33,2019-11-18,221.42,0.0,0.0,NULL,NULL,0.0
34,2019-11-19,223.42,2.0,2.0,20,129,145.0
35,2019-11-20,223.42,0.0,0.0,NULL,NULL,0.0
36,2019-11-21,222.93,3.0,1.0,20,106,145.0
37,2019-11-22,222.93,3.0,2.0,20,111,61.0
38,2019-11-23,222.93,0.0,0.0,NULL,NULL,0.0
39,2019-11-24,222.93,0.0,0.0,NULL,NULL,0.0
40,2019-11-25,222.93,0.0,0.0,NULL,NULL,0.0
41,2019-11-26,223.7,3.0,2.0,22,117,8.0
42,2019-11-27,223.7,0.0,0.0,NULL,NULL,0.0
43,2019-11-28,173.7,0.0,0.0,NULL,NULL,0.0
44,2019-11-29,174.7,1.0,1.0,25,138,1.0
45,2019-11-30,0.0,3.0,0.0,21,109,3.0
46,2019-12-01,173.66,4.0,14.0,21,97,26.0
47,2019-12-02,172.41,3.0,1.0,20,111,27.0
48,2019-12-03,167.41,2.0,0.0,24,124,1.0
49,2019-12-04,167.31,2.0,0.0,24,123,1.0
50,2019-12-05,168.85,6.0,8.0,19,88,12.0
51,2019-12-06,168.85,0.0,0.0,NULL,NULL,0.0
52,2019-12-07,129.42,12.0,89.0,13,62,26.0
53,2019-12-08,129.42,0.0,0.0,NULL,NULL,0.0
54,2019-12-09,99.03,15.0,35.0,12,60,31.0
55,2019-12-10,80.6,22.0,25.0,13,50,44.0
56,2019-12-11,80.6,0.0,0.0,NULL,NULL,0.0
57,2019-12-12,80.6,0.0,0.0,NULL,NULL,0.0
58,2019-12-13,80.6,0.0,0.0,NULL,NULL,0.0
59,2019-12-14,80.6,0.0,0.0,NULL,NULL,0.0
60,2019-12-15,80.6,0.0,0.0,NULL,NULL,0.0
61,2019-12-16,80.6,0.0,0.0,NULL,NULL,0.0
62,2019-12-17,80.18,3.0,3.0,22,108,9.0
63,2019-12-18,75.23,2.0,41.0,21,115,9.0
64,2019-12-19,75.08,2.0,0.0,24,117,1.0
65,2019-12-20,75.08,0.0,0.0,NULL,NULL,0.0
66,2019-12-21,75.08,0.0,0.0,NULL,NULL,0.0
67,2019-12-22,75.08,0.0,0.0,NULL,NULL,0.0
68,2019-12-23,75.08,0.0,0.0,NULL,NULL,0.0
69,2019-12-24,75.08,0.0,0.0,NULL,NULL,0.0
70,2019-12-25,75.08,0.0,0.0,NULL,NULL,0.0
71,2019-12-26,75.08,0.0,0.0,NULL,NULL,0.0
72,2019-12-27,75.08,0.0,0.0,NULL,NULL,0.0
73,2019-12-28,75.08,0.0,0.0,NULL,NULL,0.0
74,2019-12-29,75.08,0.0,0.0,NULL,NULL,0.0
75,2019-12-30,75.08,0.0,0.0,NULL,NULL,0.0
76,2019-12-31,75.08,0.0,0.0,NULL,NULL,0.0
77,2020-01-01,75.08,0.0,0.0,NULL,NULL,0.0
78,2020-01-02,75.08,0.0,0.0,NULL,NULL,0.0
