,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-09-30,0.0,181.0,0.0,6,17,1977.0
1,2018-10-01,0.0,122.0,0.0,7,19,441.0
2,2018-10-02,0.0,118.0,0.0,6,20,401.0
3,2018-10-03,0.0,73.0,0.0,9,27,212.0
4,2018-10-04,0.0,68.0,0.0,7,25,143.0
5,2018-10-05,0.0,49.0,0.0,9,30,81.0
6,2018-10-06,0.0,33.0,0.0,10,36,69.0
7,2018-10-07,0.0,22.0,0.0,10,40,58.0
8,2018-10-08,0.0,38.0,0.0,10,34,70.0
9,2018-10-09,0.0,39.0,0.0,10,34,116.0
10,2018-10-10,0.0,57.0,0.0,9,31,417.0
11,2018-10-11,0.0,78.0,66.0,7,28,1068.0
12,2018-10-12,0.0,53.0,16.0,8,30,307.0
13,2018-10-13,0.0,28.0,32.0,11,38,477.0
14,2018-10-14,0.0,35.0,41.0,10,35,652.0
15,2018-10-15,0.0,39.0,10.0,9,31,190.0
16,2018-10-16,0.0,31.0,22.0,9,35,237.0
17,2018-10-17,0.0,33.0,38.0,10,43,476.0
18,2018-10-18,0.0,42.0,412.0,8,37,1107.0
19,2018-10-19,0.0,74.0,698.0,7,30,1876.0
20,2018-10-20,0.0,62.0,360.0,8,31,902.0
21,2018-10-21,0.0,30.0,32.0,11,44,201.0
22,2018-10-22,0.0,264.0,322.0,4,18,1012.0
23,2018-10-23,0.0,351.0,72.0,4,19,545.0
24,2018-10-24,0.0,20.0,16.0,13,59,70.0
25,2018-10-25,0.0,17.0,2.0,12,61,35.0
26,2018-10-26,0.0,19.0,0.0,12,60,26.0
27,2018-10-27,0.0,16.0,0.0,11,59,32.0
28,2018-10-28,0.0,14.0,2.0,11,57,32.0
29,2018-10-29,0.0,30.0,97.0,10,51,218.0
30,2018-10-30,0.0,13.0,0.0,12,69,28.0
31,2018-10-31,0.0,11.0,1.0,12,71,19.0
32,2018-11-01,0.0,161.0,9977.0,5,37,235.0
33,2018-11-02,0.0,41.0,80.0,7,48,252.0
34,2018-11-03,0.0,23.0,0.0,9,60,44.0
35,2018-11-04,0.0,22.0,0.0,9,59,48.0
36,2018-11-05,0.0,38.0,130.0,7,50,291.0
37,2018-11-06,0.0,43.0,0.0,6,48,90.0
38,2018-11-07,313.27,24.0,0.0,9,58,97.0
39,2018-11-08,6541.91,97.0,0.0,5,42,381.0
40,2018-11-09,6515.24,77.0,0.0,5,47,261.0
41,2018-11-10,6233.34,29.0,0.0,6,60,56.0
42,2018-11-11,6238.88,14.0,0.0,10,73,22.0
43,2018-11-12,6238.68,29.0,0.0,7,65,57.0
44,2018-11-13,6317.0,29.0,0.0,6,62,49.0
45,2018-11-14,6357.32,20.0,0.0,7,67,24.0
46,2018-11-15,6316.37,20.0,0.0,9,68,21.0
47,2018-11-16,6338.3,9.0,0.0,12,83,21.0
48,2018-11-17,6411.43,9.0,0.0,11,77,16.0
49,2018-11-18,6468.6,13.0,0.0,11,73,16.0
50,2018-11-19,6492.75,9.0,0.0,11,84,18.0
