,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-06-07,0.0,5.0,0.151368370065396,45,182,23.0
1,2019-06-09,0.0,1.0,0.020183264037461,68,286,1.0
2,2019-06-14,0.0,1.0,0.0,67,295,1.0
3,2019-06-25,0.0,37.0,14.3007839615721,19,72,278.0
4,2019-06-26,0.0,29.0,6.13965330264824,20,86,167.0
5,2019-06-27,0.05,27.0,2.47772865080501,21,84,65.0
6,2019-06-28,1.57,11.0,1.98585043180251,30,125,45.0
7,2019-06-29,1.83,8.0,0.294405939031449,36,144,19.0
8,2019-06-30,3.21,9.0,1.89855364180752,32,132,39.0
9,2019-07-01,3.4,4.0,0.373543756307193,42,182,8.0
10,2019-07-02,4.02,4.0,0.612766251251436,43,189,16.0
11,2019-07-03,5.14,10.0,1.32249114749617,32,135,29.0
12,2019-07-04,5.88,9.0,1.0368700684833,33,145,21.0
13,2019-07-05,6.15,8.0,0.887415245316888,36,143,25.0
14,2019-07-06,7.36,6.0,1.47102633418449,42,155,24.0
15,2019-07-07,8.34,8.0,1.03441376612245,38,139,33.0
16,2019-07-08,8.63,5.0,0.288890070949628,43,175,17.0
17,2019-07-09,9.16,5.0,0.528883672852706,47,191,23.0
18,2019-07-10,9.21,1.0,0.0480445853752305,69,293,9.0
19,2019-07-11,9.23,4.0,0.0583385309679418,42,180,10.0
20,2019-07-12,9.39,5.0,0.177251235396695,44,177,16.0
21,2019-07-13,9.45,4.0,0.054454367240256,42,172,16.0
22,2019-07-14,10.1,4.0,0.757072927901771,40,169,15.0
23,2019-07-15,10.29,5.0,0.109713105715313,40,162,13.0
24,2019-07-16,10.59,4.0,0.299880885506691,37,162,7.0
25,2019-07-17,10.71,6.0,0.252496840960825,39,153,19.0
26,2019-07-18,11.03,6.0,0.448129875846694,38,151,16.0
27,2019-07-19,12.62,13.0,1.67645288215804,30,103,35.0
28,2019-07-20,13.19,7.0,0.625466991760945,37,133,27.0
29,2019-07-21,14.56,4.0,3.58274323022379,43,159,27.0
30,2019-07-22,15.33,6.0,0.823483803274806,41,149,28.0
31,2019-07-23,16.4,7.0,1.14686780818112,36,146,27.0
32,2019-07-24,16.67,2.0,0.261580899838299,48,221,4.0
33,2019-07-25,18.0,12.0,1.73432829733909,32,104,37.0
34,2019-07-26,18.25,9.0,0.563092316158124,34,122,46.0
35,2019-07-27,18.25,5.0,0.01,42,153,16.0
36,2019-07-28,18.25,1.0,0.0,64,255,1.0
37,2019-07-29,18.27,4.0,0.378000008933532,48,190,7.0
38,2019-07-30,18.27,3.0,0.0,50,202,7.0
39,2019-07-31,18.41,5.0,0.139024051160853,42,167,15.0
40,2019-08-01,18.41,4.0,0.0100000004294967,46,175,10.0
41,2019-08-02,18.41,2.0,0.0100000004294967,53,223,2.0
42,2019-08-03,18.41,0.0,0.0,NULL,NULL,0.0
43,2019-08-04,18.41,1.0,0.0,64,267,1.0
44,2019-08-05,18.41,4.0,0.0,44,177,7.0
45,2019-08-06,18.41,2.0,0.0,56,223,5.0
46,2019-08-07,18.41,0.0,0.0,NULL,NULL,0.0
47,2019-08-08,18.46,2.0,0.044605022525537,62,230,3.0
48,2019-08-09,18.63,3.0,1.16784990277753,50,192,11.0
49,2019-08-10,18.63,3.0,0.0,50,179,7.0
50,2019-08-11,18.63,1.0,0.0219999996564026,68,257,1.0
51,2019-08-12,18.67,2.0,0.046168051708219,60,230,2.0
52,2019-08-13,18.67,4.0,0.0489999984538117,48,180,13.0
53,2019-08-14,18.7,2.0,0.487089602983525,56,231,2.0
54,2019-08-15,18.7,2.0,0.0,52,220,2.0
55,2019-08-16,18.75,2.0,1.04487971170805,55,217,12.0
56,2019-08-17,18.8,4.0,0.078919982745607,42,167,8.0
57,2019-08-18,18.94,2.0,0.154585680651772,55,207,2.0
58,2019-08-19,18.94,0.0,0.0,NULL,NULL,0.0
59,2019-08-20,18.94,0.0,0.0,NULL,NULL,0.0
60,2019-08-21,18.94,0.0,0.0,NULL,NULL,0.0
61,2019-08-22,19.05,1.0,0.106866150146942,64,258,4.0
62,2019-08-23,19.18,1.0,0.133582687683676,59,262,3.0
63,2019-08-24,19.28,2.0,0.262743247208648,55,214,6.0
64,2019-08-25,19.28,0.0,0.0,NULL,NULL,0.0
65,2019-08-26,19.28,1.0,0.140743243257278,58,244,4.0
66,2019-08-27,19.28,1.0,0.0,63,257,12.0
67,2019-08-28,19.28,1.0,0.0,60,273,1.0
68,2019-08-29,19.28,0.0,0.0,NULL,NULL,0.0
69,2019-08-30,19.28,1.0,0.0,65,270,2.0
70,2019-08-31,19.28,1.0,0.106123315292372,62,252,2.0
71,2019-09-01,19.28,3.0,0.0,50,179,5.0
72,2019-09-02,19.28,3.0,0.14712331426158,52,199,9.0
73,2019-09-03,19.28,0.0,0.0,NULL,NULL,0.0
74,2019-09-04,19.28,0.0,0.0,NULL,NULL,0.0
75,2019-09-05,19.31,1.0,0.5,56,251,1.0
76,2019-09-06,19.31,0.0,0.0,NULL,NULL,0.0
77,2019-09-07,19.31,1.0,0.0,53,244,2.0
78,2019-09-08,19.31,1.0,0.0,53,234,1.0
79,2019-09-09,19.31,0.0,0.0,NULL,NULL,0.0
80,2019-09-10,0.34,1.0,0.0,51,239,1.0
81,2019-09-11,0.34,0.0,0.0,NULL,NULL,0.0
82,2019-09-12,0.34,1.0,0.0,50,250,1.0
83,2019-09-13,0.34,0.0,0.0,NULL,NULL,0.0
84,2019-09-14,0.34,2.0,0.032000002233383,44,187,3.0
85,2019-09-15,0.34,0.0,0.0,NULL,NULL,0.0
86,2019-09-16,0.34,0.0,0.0,NULL,NULL,0.0
87,2019-09-17,0.34,1.0,0.0,51,231,1.0
88,2019-09-18,0.34,0.0,0.0,NULL,NULL,0.0
89,2019-09-19,0.34,0.0,0.0,NULL,NULL,0.0
90,2019-09-20,0.34,0.0,0.0,NULL,NULL,0.0
91,2019-09-21,0.34,0.0,0.0,NULL,NULL,0.0
92,2019-09-22,0.34,2.0,0.0,45,200,3.0
93,2019-09-23,0.34,2.0,0.0,50,213,3.0
94,2019-09-24,0.34,0.0,0.0,NULL,NULL,0.0
95,2019-09-25,0.34,0.0,0.0,NULL,NULL,0.0
96,2019-09-26,0.34,0.0,0.0,NULL,NULL,0.0
97,2019-09-27,0.34,0.0,0.0,NULL,NULL,0.0
98,2019-09-28,0.39,1.0,0.057365764111979,55,247,1.0
99,2019-09-29,0.39,0.0,0.0,NULL,NULL,0.0
100,2019-09-30,0.45,2.0,0.0618629588169442,50,224,2.0
101,2019-10-01,0.45,0.0,0.0,NULL,NULL,0.0
102,2019-10-02,0.45,2.0,0.0,55,223,5.0
103,2019-10-03,0.45,0.0,0.0,NULL,NULL,0.0
104,2019-10-04,0.45,1.0,0.0219999996564026,59,266,1.0
105,2019-10-05,0.45,0.0,0.0,NULL,NULL,0.0
106,2019-10-06,0.45,0.0,0.0,NULL,NULL,0.0
107,2019-10-07,0.45,1.0,0.0,59,282,6.0
108,2019-10-08,0.45,0.0,0.0,NULL,NULL,0.0
109,2019-10-09,0.45,1.0,0.0,60,272,1.0
110,2019-10-10,0.58,2.0,0.129085557907784,52,229,2.0
111,2019-10-11,0.58,0.0,0.0,NULL,NULL,0.0
112,2019-10-12,0.58,0.0,0.0,NULL,NULL,0.0
113,2019-10-13,0.58,1.0,0.0,58,244,2.0
114,2019-10-14,0.58,2.0,0.0,49,235,3.0
115,2019-10-15,1.57,1.0,0.98994006849316,61,263,4.0
116,2019-10-16,1.57,2.0,0.0,56,227,6.0
117,2019-10-17,1.57,0.0,0.0,NULL,NULL,0.0
118,2019-10-18,1.57,0.0,0.0,NULL,NULL,0.0
119,2019-10-19,1.57,1.0,0.0,63,248,1.0
120,2019-10-20,1.57,0.0,0.0,NULL,NULL,0.0
121,2019-10-21,1.57,0.0,0.0,NULL,NULL,0.0
122,2019-10-22,1.57,0.0,0.0,NULL,NULL,0.0
123,2019-10-23,1.57,0.0,0.0,NULL,NULL,0.0
124,2019-10-24,1.57,0.0,0.0,NULL,NULL,0.0
125,2019-10-25,1.63,1.0,0.062096373571784,59,256,2.0
126,2019-10-26,1.63,1.0,0.025,64,253,1.0
127,2019-10-27,1.63,0.0,0.0,NULL,NULL,0.0
128,2019-10-28,1.63,0.0,0.0,NULL,NULL,0.0
129,2019-10-29,1.63,0.0,0.0,NULL,NULL,0.0
130,2019-10-30,1.63,0.0,0.0,NULL,NULL,0.0
131,2019-10-31,1.63,0.0,0.0,NULL,NULL,0.0
132,2019-11-01,1.69,2.0,0.173701602069767,52,234,5.0
133,2019-11-02,1.69,0.0,0.0,NULL,NULL,0.0
134,2019-11-03,1.69,0.0,0.0,NULL,NULL,0.0
135,2019-11-04,1.69,0.0,0.0,NULL,NULL,0.0
136,2019-11-05,1.69,0.0,0.0,NULL,NULL,0.0
137,2019-11-06,1.69,1.0,0.0,60,275,1.0
138,2019-11-07,1.69,0.0,0.0,NULL,NULL,0.0
139,2019-11-08,1.69,0.0,0.0,NULL,NULL,0.0
140,2019-11-09,1.85,1.0,0.170800854393061,62,268,5.0
141,2019-11-10,1.85,0.0,0.0,NULL,NULL,0.0
142,2019-11-11,1.85,0.0,0.0,NULL,NULL,0.0
143,2019-11-12,1.85,0.0,0.0,NULL,NULL,0.0
144,2019-11-13,1.85,0.0,0.0,NULL,NULL,0.0
145,2019-11-14,1.85,0.0,0.0,NULL,NULL,0.0
146,2019-11-15,1.85,1.0,0.0,55,275,1.0
147,2019-11-16,1.85,3.0,0.0,43,190,3.0
148,2019-11-17,1.85,0.0,0.0,NULL,NULL,0.0
149,2019-11-18,1.85,1.0,0.0,55,264,1.0
150,2019-11-19,1.91,1.0,0.056085249579362,61,275,1.0
151,2019-11-20,1.91,1.0,0.0,60,264,1.0
152,2019-11-21,1.91,1.0,0.0,57,247,1.0
153,2019-11-22,1.91,0.0,0.0,NULL,NULL,0.0
154,2019-11-23,1.91,1.0,0.0,57,256,1.0
155,2019-11-24,1.91,0.0,0.0,NULL,NULL,0.0
156,2019-11-25,1.91,0.0,0.0,NULL,NULL,0.0
157,2019-11-26,1.91,1.0,0.0,65,264,1.0
158,2019-11-27,5.28,1.0,3.37427453097585,64,269,5.0
159,2019-11-28,5.28,0.0,0.0,NULL,NULL,0.0
160,2019-11-29,0.34,2.0,0.991145764503765,52,221,3.0
161,2019-11-30,0.34,0.0,0.0,NULL,NULL,0.0
162,2019-12-01,0.34,0.0,0.0,NULL,NULL,0.0
163,2019-12-02,0.4,1.0,0.0,63,273,1.0
164,2019-12-03,0.4,1.0,0.0,69,280,1.0
165,2019-12-04,0.4,0.0,0.0,NULL,NULL,0.0
166,2019-12-05,0.4,0.0,0.0,NULL,NULL,0.0
167,2019-12-06,0.74,1.0,0.337359152553811,62,274,1.0
168,2019-12-07,0.75,1.0,0.739999997423019,58,254,8.0
169,2019-12-08,0.88,1.0,0.135062128579148,61,252,2.0
170,2019-12-09,0.88,2.0,1.23249998797409,48,229,12.0
171,2019-12-10,0.88,0.0,0.0,NULL,NULL,0.0
172,2019-12-11,0.88,0.0,0.0,NULL,NULL,0.0
173,2019-12-12,0.88,0.0,0.0,NULL,NULL,0.0
174,2019-12-13,0.89,2.0,0.105499996892875,48,218,6.0
175,2019-12-14,0.89,0.0,0.0,NULL,NULL,0.0
176,2019-12-15,0.89,1.0,0.0,60,259,1.0
177,2019-12-16,0.89,1.0,0.470000005453961,59,274,5.0
178,2019-12-17,0.89,0.0,0.0,NULL,NULL,0.0
179,2019-12-18,0.89,0.0,0.0,NULL,NULL,0.0
180,2019-12-19,0.89,1.0,0.0,63,274,1.0
181,2019-12-20,0.89,0.0,0.0,NULL,NULL,0.0
182,2019-12-21,0.96,1.0,0.078216660148613,60,261,1.0
183,2019-12-22,0.96,0.0,0.0,NULL,NULL,0.0
184,2019-12-23,0.96,0.0,0.0,NULL,NULL,0.0
185,2019-12-24,0.96,0.0,0.0,NULL,NULL,0.0
186,2019-12-25,0.96,0.0,0.0,NULL,NULL,0.0
