,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-06-20,0.0,1.0,0.0,63,287,12.0
1,2019-06-21,0.0,9.0,1.70503952276633,36,153,21.0
2,2019-06-22,0.0,5.0,0.7501890563797,42,190,20.0
3,2019-06-23,3.08,6.0,0.72486203204314,39,165,15.0
4,2019-06-24,3.6,7.0,0.516848038735238,38,165,8.0
5,2019-06-25,4.59,6.0,0.991612067962088,42,179,13.0
6,2019-06-26,5.06,7.0,0.516948232498213,42,182,19.0
7,2019-06-27,5.06,5.0,0.0817688231830975,42,188,9.0
8,2019-06-28,5.56,5.0,0.680086692527044,41,178,19.0
9,2019-06-29,5.56,3.0,0.0,48,202,6.0
10,2019-06-30,7.31,5.0,2.92763577619822,41,170,28.0
11,2019-07-01,7.65,5.0,1.18970704671416,39,169,13.0
12,2019-07-02,8.0,8.0,1.81365996428968,36,146,15.0
13,2019-07-03,8.25,3.0,0.267695673285449,51,221,5.0
14,2019-07-04,8.25,5.0,0.0,40,181,17.0
15,2019-07-05,8.25,2.0,0.0,60,247,3.0
16,2019-07-06,8.25,0.0,0.0,NULL,NULL,0.0
17,2019-07-07,8.25,3.0,0.022642932009697,49,195,3.0
18,2019-07-08,8.27,2.0,0.037236030197525,56,246,3.0
19,2019-07-09,8.29,4.0,0.0160148617917425,52,207,11.0
20,2019-07-10,8.29,3.0,0.0,52,223,6.0
21,2019-07-11,8.29,1.0,0.0,66,286,6.0
22,2019-07-12,8.29,4.0,0.0640738936811686,49,200,10.0
23,2019-07-13,8.3,4.0,0.128932470440865,42,172,14.0
24,2019-07-14,8.3,2.0,0.0522884508952498,56,227,4.0
25,2019-07-15,8.3,1.0,0.0,72,288,1.0
26,2019-07-16,8.33,4.0,0.0620836744419993,37,162,7.0
27,2019-07-17,8.33,7.0,0.03,36,141,14.0
28,2019-07-18,8.33,4.0,0.1,45,186,4.0
29,2019-07-19,8.34,4.0,0.0898625560104847,46,177,12.0
30,2019-07-20,8.34,0.0,0.0,NULL,NULL,0.0
31,2019-07-21,8.34,1.0,0.0,67,256,2.0
32,2019-07-22,8.34,0.0,0.0,NULL,NULL,0.0
33,2019-07-23,8.34,2.0,0.15,55,229,3.0
34,2019-07-24,8.34,0.0,0.0,NULL,NULL,0.0
35,2019-07-25,8.41,4.0,1.4,47,175,5.0
36,2019-07-26,8.41,0.0,0.0,NULL,NULL,0.0
37,2019-07-27,8.41,1.0,0.0,65,255,1.0
38,2019-07-28,8.42,3.0,0.05,47,184,6.0
39,2019-07-29,8.42,1.0,0.0,65,263,1.0
40,2019-07-30,8.42,0.0,0.0,NULL,NULL,0.0
41,2019-07-31,8.42,2.0,0.0884678488522769,55,242,8.0
42,2019-08-01,8.42,0.0,0.0,NULL,NULL,0.0
43,2019-08-02,8.42,1.0,0.0,69,273,1.0
44,2019-08-03,8.42,1.0,0.03470457213521,63,244,2.0
