,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-25,0.0,449.0,3087.64518995967,6,14,3305.0
1,2019-10-26,0.0,246.0,24.527148,9,26,733.0
2,2019-10-27,0.0,202.0,7.738768,11,29,545.0
3,2019-10-28,956.29,189.0,7.9887845,11,29,411.0
4,2019-10-29,943.68,109.0,0.388,15,42,180.0
5,2019-10-30,906.65,108.0,1.38097618055556,13,38,208.0
6,2019-10-31,567.93,188.0,82.7717774444444,11,31,546.0
7,2019-11-01,605.27,155.0,64.2242584806784,11,32,343.0
8,2019-11-02,564.45,142.0,5.84730297222222,11,32,306.0
9,2019-11-03,491.34,115.0,3.717,14,35,187.0
10,2019-11-04,485.89,153.0,2.85914295,11,32,265.0
11,2019-11-05,484.4,102.0,2.7192,14,41,147.0
12,2019-11-06,480.07,66.0,0.02,15,48,91.0
13,2019-11-07,476.84,63.0,0.0023,15,54,79.0
14,2019-11-08,437.82,78.0,0.925331,15,46,124.0
15,2019-11-09,424.95,82.0,0.69,15,43,115.0
16,2019-11-10,422.24,67.0,0.63,15,42,99.0
17,2019-11-11,421.8,35.0,0.0,17,59,40.0
18,2019-11-12,413.52,53.0,0.0,17,54,81.0
19,2019-11-13,405.99,60.0,0.11,15,50,90.0
20,2019-11-14,397.13,60.0,0.0,15,50,86.0
21,2019-11-15,394.58,41.0,0.0,17,60,54.0
22,2019-11-16,392.94,44.0,0.0,16,50,55.0
23,2019-11-17,384.15,43.0,0.0,17,55,68.0
24,2019-11-18,359.66,56.0,0.0,15,51,83.0
25,2019-11-19,352.0,55.0,0.0141,16,54,90.0
26,2019-11-20,344.26,55.0,0.0,17,52,100.0
27,2019-11-21,335.71,46.0,0.071136,17,64,72.0
28,2019-11-22,334.13,28.0,0.01481803,21,80,35.0
29,2019-11-23,329.3,40.0,0.75,19,62,52.0
30,2019-11-24,329.43,33.0,0.75,20,66,58.0
31,2019-11-25,331.56,32.0,4.7,18,71,47.0
32,2019-11-26,332.47,31.0,1.5,19,71,40.0
33,2019-11-27,330.33,26.0,0.0,21,82,37.0
34,2019-11-28,330.29,23.0,0.25,22,83,27.0
35,2019-11-29,330.38,21.0,0.75,25,87,28.0
36,2019-11-30,330.4,24.0,0.67,24,85,32.0
37,2019-12-01,330.67,16.0,0.39,26,100,21.0
38,2019-12-02,332.32,21.0,2.25,20,89,27.0
39,2019-12-03,331.39,15.0,0.25,25,108,19.0
40,2019-12-04,331.66,8.0,0.33,30,139,10.0
41,2019-12-05,331.67,10.0,0.02,30,134,11.0
42,2019-12-06,331.58,16.0,0.0,25,103,16.0
43,2019-12-07,331.56,4.0,0.0,37,164,4.0
44,2019-12-08,331.38,12.0,0.0,26,112,14.0
45,2019-12-09,331.38,10.0,0.0,28,123,13.0
46,2019-12-10,330.82,14.0,0.0,24,105,20.0
47,2019-12-11,330.76,11.0,0.0,29,126,12.0
48,2019-12-12,330.65,11.0,0.0,27,122,13.0
49,2019-12-13,330.64,11.0,0.0,27,115,11.0
50,2019-12-14,330.42,11.0,0.0,28,114,12.0
51,2019-12-15,329.91,7.0,0.0,32,127,9.0
52,2019-12-16,329.87,9.0,0.0,30,126,11.0
53,2019-12-17,329.85,11.0,0.0,29,116,12.0
54,2019-12-18,329.85,4.0,0.0,40,179,5.0
55,2019-12-19,329.82,7.0,0.0,32,147,8.0
56,2019-12-20,329.17,12.0,0.0,25,107,15.0
57,2019-12-21,329.16,5.0,0.0,39,150,5.0
58,2019-12-22,329.11,12.0,0.0,31,111,101.0
59,2019-12-23,328.98,8.0,0.0,35,133,10.0
60,2019-12-24,328.82,6.0,0.0,35,142,8.0
61,2019-12-25,328.82,8.0,0.0,30,124,9.0
62,2019-12-26,328.66,5.0,0.0,34,156,6.0
63,2019-12-27,328.66,4.0,0.0,40,168,4.0
64,2019-12-28,328.66,5.0,0.0,35,146,5.0
65,2019-12-29,328.41,11.0,0.0,27,113,11.0
66,2019-12-30,328.32,4.0,0.0,40,176,4.0
67,2019-12-31,328.23,9.0,0.0,33,127,10.0
68,2020-01-01,327.7,11.0,0.0,29,106,13.0
69,2020-01-02,325.29,9.0,0.0,34,127,15.0
70,2020-01-03,325.2,9.0,0.0,32,123,9.0
71,2020-01-04,325.01,12.0,0.0,28,104,12.0
72,2020-01-05,324.64,8.0,0.0,33,128,13.0
73,2020-01-06,324.6,7.0,0.0,32,136,8.0
74,2020-01-07,324.41,11.0,0.0,32,119,13.0
75,2020-01-08,319.21,7.0,0.0,38,144,10.0
76,2020-01-09,318.95,12.0,0.0,31,118,12.0
77,2020-01-10,318.79,6.0,0.0,33,147,6.0
78,2020-01-11,318.55,8.0,0.0,34,133,20.0
79,2020-01-12,318.5,6.0,0.0,33,151,6.0
