,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-10-18,0.0,56.0,52.585,34,65,599.0
1,2018-10-19,0.0,66.0,30.48,31,56,642.0
2,2018-10-20,0.0,58.0,23.982,29,53,527.0
3,2018-10-21,0.0,51.0,27.8355,30,64,484.0
4,2018-10-22,0.0,69.0,23.211,25,59,516.0
5,2018-10-23,0.0,51.0,12.554,29,74,332.0
6,2018-10-24,0.0,53.0,16.72,26,69,290.0
7,2018-10-25,0.0,58.0,10.6795,24,63,309.0
8,2018-10-26,0.0,51.0,8.3415,28,78,290.0
9,2018-10-27,0.0,47.0,9.7865,26,71,196.0
10,2018-10-28,0.0,43.0,7.948,25,59,172.0
11,2018-10-29,0.0,52.0,8.0765,27,72,178.0
12,2018-10-30,0.0,46.0,8.7615,26,70,148.0
13,2018-10-31,0.0,42.0,5.159,26,68,117.0
14,2018-11-01,0.0,39.0,5.403,30,78,121.0
15,2018-11-02,0.0,30.0,3.8195,31,84,74.0
16,2018-11-03,0.0,18.0,4.8515,40,114,49.0
17,2018-11-04,0.0,16.0,3.2755,42,125,42.0
18,2018-11-05,0.0,46.0,4.7575,23,64,119.0
19,2018-11-06,0.0,28.0,5.197,29,92,109.0
20,2018-11-07,0.0,27.0,4.4515,31,98,112.0
21,2018-11-08,0.0,36.0,4.596,23,73,138.0
22,2018-11-09,0.0,37.0,7.805,28,65,205.0
23,2018-11-10,0.0,50.0,6.2565,17,49,161.0
24,2018-11-11,0.0,56.0,4.8625,16,42,147.0
25,2018-11-12,0.0,54.0,3.518,17,50,122.0
26,2018-11-13,0.0,33.0,2.667,26,77,71.0
27,2018-11-14,0.0,34.0,2.002,26,82,82.0
28,2018-11-15,0.0,21.0,1.438,30,104,58.0
29,2018-11-16,0.0,22.0,2.1075,31,93,68.0
30,2018-11-17,0.0,11.0,0.865,41,134,29.0
31,2018-11-18,0.0,11.0,0.937,39,125,23.0
32,2018-11-19,0.0,24.0,1.9095,30,100,57.0
33,2018-11-20,0.0,18.0,2.1355,34,119,47.0
34,2018-11-21,0.0,14.0,3.4005,39,127,52.0
35,2018-11-22,0.0,27.0,3.348,28,86,66.0
36,2018-11-23,0.0,23.0,4.273,28,90,56.0
37,2018-11-24,0.0,49.0,1.7045,19,57,77.0
38,2018-11-25,0.0,49.0,1.0785,18,59,112.0
39,2018-11-26,0.0,42.0,2.8165,21,66,96.0
40,2018-11-27,0.0,45.0,4.5545,17,48,109.0
41,2018-11-28,0.0,41.0,2.4395,20,54,108.0
42,2018-11-29,0.0,13.0,0.801,36,121,39.0
43,2018-11-30,0.0,16.0,1.281,34,103,30.0
44,2018-12-01,0.0,11.0,0.684,42,120,24.0
45,2018-12-02,0.0,7.0,0.295,47,145,22.0
46,2018-12-03,0.0,17.0,0.444,36,109,81.0
47,2018-12-04,0.0,11.0,0.4855,41,129,26.0
48,2018-12-05,0.0,16.0,0.9035,37,104,36.0
49,2018-12-06,0.0,13.0,0.718,39,124,23.0
50,2018-12-07,0.0,15.0,0.4435,38,116,31.0
51,2018-12-08,0.0,12.0,0.584,37,114,23.0
52,2018-12-09,0.0,9.0,1.3545,44,140,33.0
53,2018-12-10,0.0,16.0,0.5065,35,104,31.0
54,2018-12-11,0.0,52.0,2.1355,18,48,119.0
55,2018-12-12,0.0,50.0,0.9385,22,51,127.0
56,2018-12-13,0.0,47.0,1.0575,18,47,107.0
57,2018-12-14,0.0,45.0,1.399,21,51,104.0
58,2018-12-15,0.0,44.0,0.518,19,48,64.0
59,2018-12-16,0.0,9.0,0.1265,43,139,17.0
60,2018-12-17,0.0,10.0,0.175,43,151,14.0
61,2018-12-18,0.0,16.0,0.9865,36,111,49.0
62,2018-12-19,0.0,9.0,1.465,47,154,30.0
63,2018-12-20,0.0,8.0,0.1805,49,163,14.0
64,2018-12-21,0.0,7.0,0.6085,46,165,20.0
65,2018-12-22,0.0,8.0,0.866,46,145,20.0
66,2018-12-23,0.0,8.0,0.6,45,158,21.0
67,2018-12-24,0.0,9.0,0.765,47,145,21.0
68,2018-12-25,0.0,10.0,0.539,42,125,16.0
69,2018-12-26,0.0,10.0,0.13,40,130,17.0
70,2018-12-27,0.0,11.0,0.298,41,132,16.0
71,2018-12-28,0.0,9.0,0.1575,46,147,18.0
72,2018-12-29,0.0,8.0,0.11,46,147,10.0
73,2018-12-30,0.0,4.0,0.01,56,194,5.0
74,2018-12-31,0.0,2.0,0.01,70,242,4.0
75,2019-01-01,0.0,2.0,0.0105,68,226,4.0
76,2019-01-02,0.0,4.0,0.0105,61,206,19.0
77,2019-01-03,0.0,5.0,0.044,60,202,10.0
78,2019-01-04,0.0,6.0,0.135,52,184,11.0
79,2019-01-05,0.0,4.0,0.032,58,192,8.0
80,2019-01-06,0.0,2.0,0.03,71,254,4.0
81,2019-01-07,0.0,7.0,0.147,48,162,26.0
82,2019-01-08,0.0,5.0,0.0265,54,186,9.0
83,2019-01-09,0.0,5.0,0.043,54,198,7.0
84,2019-01-10,0.0,5.0,0.015,56,186,6.0
85,2019-01-11,0.0,5.0,0.015,48,179,6.0
86,2019-01-12,0.0,2.0,0.0105,70,242,3.0
87,2019-01-13,0.0,1.0,0.01,76,277,2.0
88,2019-01-14,0.0,5.0,0.12,46,175,6.0
89,2019-01-15,0.0,9.0,0.04,41,141,10.0
90,2019-01-16,0.0,4.0,0.005,55,191,4.0
91,2019-01-17,0.0,4.0,0.0415,54,192,8.0
92,2019-01-18,0.0,4.0,0.015,49,183,6.0
93,2019-01-19,0.0,2.0,0.003,68,244,3.0
94,2019-01-20,0.0,1.0,0.005,80,275,1.0
95,2019-01-21,0.0,3.0,0.01,64,233,3.0
96,2019-01-22,0.0,2.0,0.01,68,255,2.0
97,2019-01-23,0.0,1.0,0.005,86,309,1.0
98,2019-01-24,0.0,2.0,0.01,70,262,3.0
99,2019-01-25,0.0,2.0,0.025,69,247,3.0
