,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-04,0.0,1.0,0.0,100,322,2.0
1,2018-12-05,0.0,0.0,0.0,44,74,0.0
2,2018-12-06,0.0,35.0,62.8061,19,62,359.0
3,2018-12-07,81.72,39.0,21.5341,18,58,178.0
4,2018-12-08,88.91,38.0,7.27804,18,52,78.0
5,2018-12-09,89.43,15.0,0.52398,33,106,24.0
6,2018-12-10,90.94,111.0,1.51457,7,24,118.0
7,2018-12-11,93.75,70.0,2.80584,15,40,99.0
8,2018-12-12,95.08,110.0,1.33505,9,27,164.0
9,2018-12-13,98.84,132.0,3.90039,9,23,398.0
10,2018-12-14,100.87,140.0,2.02745,7,19,169.0
11,2018-12-15,101.73,100.0,0.90349,9,24,107.0
12,2018-12-16,103.73,163.0,1.99514,7,16,186.0
13,2018-12-17,104.94,130.0,1.21125,9,23,172.0
14,2018-12-18,105.4,108.0,0.46425,10,31,122.0
15,2018-12-19,106.56,131.0,1.1932,9,26,195.0
16,2018-12-20,122.55,48.0,15.99783,19,54,111.0
17,2018-12-21,139.95,64.0,17.56139,14,44,138.0
18,2018-12-22,143.42,159.0,3.4804,9,21,164.0
19,2018-12-23,143.43,2.0,0.01326,78,270,2.0
20,2018-12-24,143.43,64.0,0.0,14,44,66.0
21,2018-12-25,143.46,63.0,0.02686,14,34,65.0
22,2018-12-26,144.41,152.0,0.95432,11,25,200.0
23,2018-12-27,145.32,62.0,0.96,14,40,62.0
24,2018-12-28,145.39,97.0,0.068,13,36,97.0
25,2018-12-29,145.49,151.0,0.09639,9,25,195.0
26,2018-12-31,145.49,1.0,0.0,80,289,1.0
27,2019-01-02,145.51,148.0,0.02822,11,25,150.0
28,2019-01-03,145.51,113.0,0.0,12,29,125.0
29,2019-01-04,146.49,205.0,1.00044,5,15,207.0
30,2019-01-05,149.76,215.0,3.27488,6,14,229.0
31,2019-01-06,149.76,200.0,0.0,6,15,200.0
32,2019-01-07,149.98,212.0,0.21675,6,14,234.0
33,2019-01-08,149.98,276.0,0.0,6,12,277.0
34,2019-01-09,150.0,278.0,0.02873,4,10,278.0
35,2019-01-10,150.01,278.0,0.01479,5,11,278.0
36,2019-01-11,150.08,283.0,0.07412,5,12,287.0
37,2019-01-12,152.72,282.0,2.6312,5,13,282.0
38,2019-01-13,153.02,280.0,0.30536,5,14,280.0
39,2019-01-14,154.13,285.0,1.18904,4,12,289.0
40,2019-01-15,154.55,285.0,0.33909,4,13,287.0
41,2019-01-16,155.41,284.0,0.9063,5,14,286.0
